name,__glayCluster
prmc,5
ptsg,23
puua,5
puub,5
puuc,5
puud,5
puue,5
puup,5
rhat,3
rplb,5
rplc,5
rpld,5
rplp,5
rplv,5
rplw,5
rpmc,5
rpos,15
rpsc,5
rpsj,5
rpsq,5
rpss,5
sdha,1
sdhb,1
sdhc,1
sdhd,1
soda,0
ssb,7
suca,1
sucb,1
succ,1
sucd,1
tpx,5
treb,9
trec,9
ubia,5
ubic,5
uvra,7
ybdn,38
ydea,5
argo,16
dapb,16
dapd,16
dnan,16
gdha,12
lysa,16
lysc,16
lysp,16
nrda,16
nrdb,16
recf,16
yfae,16
argr,17
arga,17
argb,17
argc,17
argd,9
arge,17
argf,17
argg,17
argh,17
argi,17
arti,17
artj,17
artm,17
artp,17
artq,17
asta,17
astb,17
astc,17
astd,17
aste,17
cara,17
carb,17
hisj,17
hism,17
hisp,17
hisq,17
infb,23
mety,23
nusa,23
pnp,23
rbfa,23
rpso,23
trub,23
arsr,18
arsb,18
arsc,18
ascb,8
ascf,8
htpg,8
ybit,8
asna,12
mioc,12
atoc,19
atoa,19
atob,19
atod,19
atoe,19
acrd,36
baes,36
mdta,36
mdtb,36
mdtc,36
mdtd,36
spy,36
csge,36
csgf,36
csgg,36
cspi,36
dgka,36
fimb,36
hha,36
qsec,36
yrbl,36
bira,20
bioa,20
biob,20
bioc,20
biod,20
biof,20
ampc,36
dacc,36
aaea,23
aaeb,23
aaer,23
aaex,23
acs,23
actp,23
aer,5
agp,23
aldb,23
ampd,23
ampe,23
ansb,23
aroa,12
aspa,5
bglb,23
bglf,23
bglg,23
cdd,23
chba,21
chbb,21
chbc,21
chbf,21
chbg,21
cira,1
cpdb,23
crr,21
csie,23
cspd,23
cspe,23
csta,23
cyaa,23
cysg,23
dada,12
dadx,12
dcua,5
dcub,5
deoa,23
deob,23
deoc,23
deod,23
dksa,23
dsda,41
dsdx,41
dusb,23
ebga,42
ebgc,42
enta,1
entb,1
entc,1
entd,1
ente,1
envz,23
epd,23
exut,2
fbaa,23
feab,12
feca,1
fecb,1
fecc,1
fecd,1
fece,7
fepa,1
fiu,1
fixa,5
fixb,5
fixc,5
fixx,5
focb,25
fuca,22
fuci,22
fuck,22
fuco,22
fucp,22
fucu,22
gabd,12
gabp,12
gabt,12
gale,27
galk,27
galm,27
galp,27
galt,27
gapa,23
gcd,23
gcvh,6
gcvp,6
gcvt,6
glga,9
glgc,9
glgp,9
glgs,23
glna,23
glnl,23
glpe,23
glpf,23
glpg,23
glpk,23
glpq,23
glpt,23
glpx,23
gntk,24
gntp,2
gntt,24
gntu,24
gntx,24
gpsa,23
grpe,23
guaa,23
guab,23
gutq,30
gyra,23
hflc,23
hflk,23
hflx,23
hfq,23
hlye,23
hofb,23
hofc,23
hpt,23
hyfa,25
hyfb,25
hyfc,25
hyfd,25
hyfe,25
hyff,25
hyfg,25
hyfh,25
hyfi,25
hyfj,25
idnd,24
idnk,24
idno,24
idnt,24
ilvb,23
ilvn,23
ivbl,23
laca,23
lacy,23
lacz,23
lamb,9
lsra,26
lsrb,26
lsrc,26
lsrd,26
lsrf,26
lsrg,26
lsrk,26
lyxk,34
male,23
malf,23
malg,23
malk,9
malm,9
mals,9
malx,23
maly,23
mana,23
manx,21
many,21
manz,21
mdte,36
mdtf,15
mela,23
melb,23
metk,9
mgla,27
mglb,27
mglc,27
mhpa,28
mhpb,28
mhpc,28
mhpd,28
mhpe,28
mhpf,28
moda,25
modb,25
modc,25
mpl,23
mtla,23
mtld,23
murp,23
nadc,23
naga,9
nagb,21
nage,21
nana,23
nane,23
nank,23
nant,23
narq,23
nirb,23
nirc,23
nird,23
nlpe,23
nmpc,0
nupc,12
nupg,23
ompa,23
ompf,36
osmy,23
paaa,29
paab,29
paac,29
paad,29
paae,29
paaf,29
paag,29
paah,29
paai,29
paaj,29
paak,29
pck,23
pgk,23
pncb,49
ppdd,23
ppia,23
prib,23
prop,23
prpb,8
prpc,8
prpd,8
prpe,8
ptsh,21
ptsi,21
putp,36
rbsa,6
rbsb,6
rbsc,6
rbsd,6
rbsk,6
rela,43
rhaa,3
rhab,3
rhad,3
rmf,23
rof,23
rpli,23
rplm,23
rpoh,23
rpsf,23
rpsi,23
rpsr,23
sbmc,7
secb,23
sera,12
serc,12
sfsa,23
sgbe,34
sgbh,34
sgbu,34
sodb,23
sohb,23
spec,23
spf,23
srla,30
srlb,30
srld,30
srle,30
tam,26
tdcb,31
tdcc,31
tdcd,31
tdce,31
tdcf,31
tdcg,31
tnaa,15
tnab,15
tnac,15
trg,23
trxa,23
tsx,23
ubig,23
udp,23
ugpa,8
ugpb,8
ugpc,8
ugpe,8
ugpq,8
uhpt,32
uida,2
uidb,2
uidc,2
ulaa,33
ulab,33
ulac,33
ulad,33
ulae,33
ulaf,33
uxaa,2
uxab,2
uxac,2
uxua,2
uxub,2
xsea,23
xylf,23
xylg,23
xylh,23
yaep,23
yaeq,23
ybfn,21
ycdz,23
ychh,23
yeip,23
yeiw,23
yhch,23
yhfa,23
yiak,34
yial,34
yiam,34
yian,34
yiao,34
yjch,23
yjiy,35
ynfk,23
zras,4
ssua,38
ssub,38
ssuc,38
ssud,38
ssue,38
taua,38
taub,38
tauc,38
taud,38
cdar,1
gard,1
gark,1
garl,1
garp,1
garr,1
gudd,1
gudp,1
gudx,1
rnpb,1
arog,53
baca,36
chea,36
chew,36
cpxa,36
cpxp,36
csga,36
csgb,36
csgc,36
degp,36
dsba,36
dsbc,36
fabz,36
lpxa,36
lpxd,36
mota,36
motb,36
ompc,36
ppid,36
psd,36
rpoe,36
rpra,15
rsea,36
rseb,36
rsec,36
sbma,36
slt,36
tsr,36
ung,36
yaiw,36
ycca,36
yebe,36
ygau,36
yidq,36
yqae,36
yqja,36
cred,21
tala,21
flgm,36
flgn,36
flia,36
flie,36
flif,36
flig,36
flih,36
flii,36
flij,36
flik,36
nlpa,36
pepd,36
wrba,36
yccj,36
ycct,36
yhbs,36
yhbt,36
csir,12
cuer,25
copa,25
cueo,25
moaa,25
moab,25
moac,25
moad,25
moae,25
cusa,8
cusb,8
cusc,8
cusf,8
cuss,8
yedx,8
cynr,37
cyns,37
cynt,37
cynx,37
cysa,38
cysc,38
cysd,38
cysh,38
cysi,38
cysj,38
cysk,38
cysm,38
cysn,38
cysp,38
cysu,38
cysw,38
hslj,38
yciw,38
yfbr,38
ygeh,38
yoac,38
frda,5
frdb,5
frdc,5
frdd,5
deor,23
dhar,39
dhak,39
dhal,39
dica,40
dicb,40
dicc,40
intq,40
ydfd,40
ydfe,40
ydfw,40
ydfx,40
pola,16
dsdc,41
ebgr,42
envr,0
envy,36
emrk,32
emry,32
evgs,32
frc,32
oxc,32
ydep,32
yegr,32
yfde,32
yfdv,32
yfdx,32
acre,5
acrf,5
adhe,12
amtb,15
aspc,1
bcsb,5
bcsz,5
ccma,25
ccmb,25
ccmc,25
ccmd,25
ccme,25
ccmf,25
ccmg,25
ccmh,46
cheb,5
cher,5
chey,5
chez,5
dcus,5
dmsa,25
dmsb,25
dmsc,25
dmsd,5
dppa,5
dppb,5
dppc,5
dppd,5
dppf,5
entf,1
fdhf,25
fdng,46
fdnh,46
fdni,46
feoa,21
feob,21
fepe,1
fes,1
glnd,1
glnk,15
gnd,36
hcp,2
hcr,2
hmp,9
hypb,25
hypc,25
hypd,25
hype,25
katg,2
malp,9
malq,9
napa,46
napb,46
napc,46
napd,46
napf,46
napg,46
naph,46
narg,36
narh,36
nari,36
narj,36
nark,5
narx,25
nika,5
nikb,5
nikc,5
nikd,5
nike,5
norv,46
norw,46
nrdd,5
nrdg,5
nrfa,46
nrfb,46
nrfc,46
nrfd,46
nrfe,46
nrff,46
nrfg,46
ompw,5
ompx,5
pept,5
phem,5
phou,8
pita,5
psta,8
pstb,8
pstc,8
psts,8
purm,6
purn,6
rimm,5
rpls,5
rplt,5
rpsp,5
tap,5
tar,5
trmd,5
upp,5
uraa,5
xdha,5
xdhb,5
xdhc,5
ybdz,1
ydej,5
ydht,46
ydhu,46
ydhv,46
ydhw,46
ydhx,46
ydhy,46
yecr,5
ygba,5
yhja,2
ynfe,5
ynff,5
ynfg,5
ynfh,5
ysga,5
ytfe,46
zwf,0
fabr,43
faba,43
fabb,43
acca,43
accd,43
fabd,43
fabg,43
fabh,43
fabi,43
uspa,43
tyna,12
hyca,25
hycb,25
hycc,25
hycd,25
hyce,25
hycf,25
hycg,25
hych,25
hyci,25
hydn,25
hypa,25
hypf,25
alat,12
alau,12
alav,12
alaw,23
alax,23
apag,23
apah,23
argu,23
argw,23
argx,23
aspv,23
cbpa,23
cbpm,23
dps,2
flxa,23
glnq,23
glnu,23
glnv,23
glnw,23
glnx,23
gltt,12
gltu,12
gltv,12
gltw,12
gltx,23
glyt,23
glyu,23
gyrb,23
hisr,23
ilet,12
ileu,12
ilev,12
kate,1
leup,23
leuq,23
leut,23
leuv,23
leuw,23
leux,23
lyst,23
lysv,23
lysw,23
mazg,23
mett,23
metu,23
msra,23
ogt,5
osme,23
pdxa,23
pheu,23
phev,23
prok,23
prol,23
prom,23
pyrd,6
quea,23
rrfa,12
rrfb,12
rrfc,12
rrfd,12
rrfe,12
rrff,12
rrfg,12
rrfh,12
rrla,12
rrlb,12
rrlc,12
rrld,12
rrle,12
rrlg,12
rrlh,12
rrsa,12
rrsb,12
rrsc,12
rrsd,12
rrse,12
rrsg,12
rrsh,12
sert,23
serx,23
sra,36
ssrs,23
thrt,23
thru,23
thrv,12
thrw,23
topa,23
tpr,23
trma,23
tufb,23
tyrt,23
tyru,23
tyrv,23
valt,23
valu,23
valx,23
valy,23
year,46
yoag,46
hdea,15
hdeb,15
yhid,15
crl,1
exbb,1
exbd,1
feci,1
fecr,1
fepb,1
fepc,1
fepd,1
fepg,1
fhua,1
fhub,1
fhuc,1
fhud,1
fhue,1
fhuf,2
gpma,1
gspc,1
gspd,1
gspe,1
gspf,1
gspg,1
gsph,1
gspi,1
gspj,1
gspk,1
gspl,1
gspm,1
gspo,1
meth,9
mnth,2
noha,1
nrde,46
nrdf,46
nrdh,46
nrdi,46
pyrc,6
ryhb,1
sufa,2
sufb,2
sufc,2
sufd,2
sufe,2
sufs,2
tfaq,1
tonb,1
ygac,1
yhhy,1
yjjz,1
yqjh,1
flic,36
hded,15
pura,6
gady,15
slp,15
asnb,15
btub,15
lon,15
muri,15
uspe,15
ybas,15
ybat,15
gcva,6
gcvb,6
eda,24
edd,24
hcar,44
hcab,44
hcac,44
hcad,44
hcae,44
hcaf,44
ilvy,45
ilvc,45
iscr,46
isca,46
iscs,46
iscu,46
ydiu,46
kdgr,24
kdpe,47
kdpa,47
kdpb,47
kdpc,47
kdpf,47
dsra,15
leua,15
leub,15
leuc,15
leud,15
leul,15
ddlb,7
dinb,7
dind,7
dinf,7
ding,7
dini,21
dnag,7
ftsa,7
ftsi,7
ftsk,7
ftsl,7
ftsq,7
ftsw,7
ftsz,7
hoke,7
insk,7
lpxc,7
mray,7
murc,7
murd,7
mure,7
murf,7
murg,7
phr,7
polb,7
reca,7
recb,7
recd,7
recn,7
recx,7
rpod,7
rpsu,7
ruva,7
ruvb,7
sula,7
umuc,7
umud,7
uvrb,7
uvrc,7
uvrd,7
yafn,7
yafo,7
yafp,7
ybfe,7
ydjm,7
yebg,7
fime,36
avta,12
fima,12
fimc,12
fimd,12
fimf,12
fimg,12
fimh,12
fimi,12
ilva,12
ilvd,12
ilve,12
ilvh,12
ilvi,12
ilvl,12
ilvm,12
kbl,12
livf,12
livg,12
livh,12
livj,12
livk,12
livm,12
lysu,12
osmc,15
sdaa,12
tdh,12
yoji,12
lysr,16
malz,9
fpr,0
inaa,0
nfo,0
nfsa,0
poxb,0
pqia,0
pqib,0
rimk,0
tolc,0
ybao,0
ybjc,0
ybjn,0
ygia,0
ygib,0
ygic,0
ynce,0
ahpc,9
ahpf,9
fole,9
meta,9
metb,9
metc,9
mete,9
metf,9
meti,9
metl,9
metn,9
metq,9
yeib,9
glya,9
rplu,36
rpma,36
mngr,48
mnga,48
mngb,48
mntr,2
ryba,2
mpra,0
emra,0
emrb,0
coda,12
codb,12
ydcs,12
ydct,12
ydcu,12
ydcv,12
nadr,49
nada,49
nadb,49
pnuc,49
crea,21
crec,21
glms,21
glmu,21
nanr,23
yjhb,23
yjhc,23
tora,15
torc,15
tord,15
narp,46
nhar,15
nhaa,15
norr,46
ecnb,36
dsbg,2
flu,2
gor,2
grxa,2
hemh,2
isrc,2
oxys,2
trxc,2
ychf,2
paax,29
paay,29
heml,9
pepa,17
adic,8
amn,8
asr,36
mipa,8
phnc,8
phnd,8
phne_1,8
phne_2,8
phnf,8
phng,8
phnh,8
phni,8
phnj,8
phnk,8
phnl,8
phnm,8
phnn,8
phno,8
phnp,8
phoa,8
phoe,8
phoh,8
phoq,9
phor,8
pitb,8
psif,8
sbcc,8
sbcd,8
tktb,8
yegh,8
yhjc,8
bord,9
dcud,9
glgb,9
glgx,9
mgta,9
ompt,9
purd,6
purh,6
rstb,9
slyb,9
ybjg,9
pspf,50
pspa,50
pspb,50
pspc,50
pspd,50
pspe,50
cvpa,6
glnb,6
hfld,6
purb,6
purc,6
pure,6
purf,6
purk,6
purl,6
spea,6
speb,6
ubix,6
add,6
bdm,15
lola,15
osmb,15
rara,15
hokd,10
aslb,0
rtcr,51
rtca,51
rtcb,51
ydiv,7
sgrr,52
seta,52
sgrs,52
tbpa,52
thip,52
thiq,52
slya,23
flda,0
fldb,0
ompn,0
pgi,0
riba,0
ydbk,0
trpr,53
aroh,53
arol,53
arom,53
mtr,53
trpa,53
trpb,53
trpc,53
trpd,53
trpe,53
trpl,53
yaia,53
tyrr,53
arof,53
arop,53
fola,53
tyra,53
tyrb,53
tyrp,53
uhpa,32
uidr,2
ular,33
ulag,33
xapr,54
xapa,54
xapb,54
yiis,46
yeht,35
ybhl,36
yfib,36
yfir,36
ypdb,55
yhjx,55
yqhc,56
dkga,56
yqhd,56
zntr,57
znta,57
zrap,4
zur,58
ykgm,58
ykgo,58
znua,58
znub,58
znuc,58
