regulator-target	rank_importance	Rank	tp	index	Edge	Lag	Lag_list	Sign	parent	child	name_x	parent_cluster	name_y	child_cluster	Source	Target	moduleID	window_size	min_lag	max_lag	total_edges	pr	auroc
('rob', 'soda')	29.0	29	True	2688.0	('rob', 'soda')		[(0, 0.29866650889403179, 0.00055735656942519055), (10, 0.21495441394966452, 0.09907661094979052), (20, 0.1804962964145401, 0.17908040018953633), (30, 0.0075174671734816421, 0.95038777864500901), (60, -0.51438534256577351, 0.0021951416032119269), (90, -0.16382579792255991, 0.54433842431205837)]	['+']	rob	soda	rob	0.0	soda	0.0	rob	soda	0	5	0	0	68	0.427438065822622	0.5463917525773198
('soxs', 'fumc')	30.0	30	True	2723.0	('soxs', 'fumc')	10.0	[(0, 0.38555035280034494, 5.9013827844585728e-06), (10, 0.58291499378750133, 1.0242995148753607e-06), (20, 0.37901669747060268, 0.0036439414064911757), (30, 0.2735467039108011, 0.020985350676625592), (60, -0.24556069656205065, 0.16837489823846469), (90, -0.39152981467853909, 0.13368910459477215)]	['+']	soxs	fumc	soxs	0.0	fumc	0.0	soxs	fumc	0	5	0	0	68	0.427438065822622	0.5463917525773198
('mara', 'puta')	31.0	31	True	148.0	('mara', 'puta')		[(0, 0.035631819227847722, 0.68733867003197524), (10, 0.45291088391470541, 0.00027946731559816673), (20, 0.35668453944456713, 0.0064602008450637301), (30, 0.16966714736266567, 0.15720235586440787), (60, -0.13416074394490965, 0.45666292194666214), (90, -0.46707285790358694, 0.068144683160748107)]	['+']	mara	puta	mara	0.0	puta	0.0	mara	puta	0	5	0	0	68	0.427438065822622	0.5463917525773198
('mara', 'putp')	32.0	32	False												mara	putp	0	5	0	0	68	0.427438065822622	0.5463917525773198
('soxs', 'puta')	33.0	33	False												soxs	puta	0	5	0	0	68	0.427438065822622	0.5463917525773198
('rob', 'micf')	34.0	34	True	2684.0	('rob', 'micf')	0.0	[(0, 0.38066671209321729, 7.9050781184677472e-06), (10, 0.21930306706444305, 0.092270126386100312), (20, 0.072316949699164912, 0.59293631176696049), (30, 0.41282377448083735, 0.00034655847088089169), (60, 0.42120356985275709, 0.014641943718878652), (90, 0.12755308719870062, 0.63781502992441386)]	['+']	rob	micf	rob	0.0	micf	0.0	rob	micf	0	5	0	0	68	0.427438065822622	0.5463917525773198
('soxs', 'fpr')	35.0	35	True	2722.0	('soxs', 'fpr')	0.0	[(0, 0.37706700921249592, 9.7765735605401431e-06), (10, 0.42190693276544544, 0.00078631360813488811), (20, 0.33294417183028152, 0.011385555900634056), (30, 0.1196657558762047, 0.32022220067405177), (60, -0.12941848687501581, 0.47287216847009572), (90, -0.17450170707229726, 0.51803653530041438)]	['+']	soxs	fpr	soxs	0.0	fpr	0.0	soxs	fpr	0	5	0	0	68	0.427438065822622	0.5463917525773198
('soxr', 'fldb')	36.0	36	False												soxr	fldb	0	5	0	0	68	0.427438065822622	0.5463917525773198
('puta', 'putp')	37.0	37	True	2638.0	('puta', 'putp')		[(0, 0.35906588595068401, 2.726053663334233e-05), (10, -0.12652051786659793, 0.3354039368913847), (20, -0.086004360217051393, 0.52470239454761702), (30, 0.084763330301890233, 0.48216959640785972), (60, 0.025752528983747958, 0.88687764666862434), (90, 0.14136823793146758, 0.60150437517895017)]	['-']	puta	putp	puta	0.0	putp	0.0	puta	putp	0	5	0	0	68	0.427438065822622	0.5463917525773198
('rob', 'puta')	38.0	38	False												rob	puta	0	5	0	0	68	0.427438065822622	0.5463917525773198
('rob', 'pgi')	39.0	39	False												rob	pgi	0	5	0	0	68	0.427438065822622	0.5463917525773198
('soxs', 'ptsg')	40.0	40	True	2734.0	('soxs', 'ptsg')		[(0, 0.057724834510285643, 0.51417413646795684), (10, 0.085571799084064426, 0.51563608548848816), (20, -0.0017318884902875623, 0.98979869179971813), (30, -0.058681329457685338, 0.62689606117026586), (60, -0.18197720912525922, 0.31078973144462857), (90, 0.23609427948899822, 0.37869046417500934)]	['+']	soxs	ptsg	soxs	0.0	ptsg	0.0	soxs	ptsg	0	5	0	0	68	0.427438065822622	0.5463917525773198
('soxr', 'soxs')	41.0	41	True	192.0	('soxr', 'soxs')	20.0	[(0, 0.23193650797903395, 0.0079249139540795346), (10, 0.31515851561780472, 0.01417837375469409), (20, 0.62992658344958641, 1.5209471649527966e-07), (30, 0.050152696261435759, 0.67788230515550862), (60, 0.017778758398705873, 0.92177286558190019), (90, -0.17779140881961758, 0.51005146641399013)]	['+']	soxr	soxs	soxr	0.0	soxs	0.0	soxr	soxs	0	5	0	0	68	0.427438065822622	0.5463917525773198
('soxr', 'ynce')	42.0	42	False												soxr	ynce	0	5	0	0	68	0.427438065822622	0.5463917525773198
('rob', 'ynce')	43.0	43	False												rob	ynce	0	5	0	0	68	0.427438065822622	0.5463917525773198
('soxr', 'pgi')	44.0	44	False												soxr	pgi	0	5	0	0	68	0.427438065822622	0.5463917525773198
('soxs', 'ynce')	45.0	45	False												soxs	ynce	0	5	0	0	68	0.427438065822622	0.5463917525773198
('soxs', 'acna')	46.0	46	True	2717.0	('soxs', 'acna')		[(0, 0.36100355238304244, 2.4483053911892578e-05), (10, -0.051332200679384654, 0.69689876696286601), (20, -0.12258349730958788, 0.36365963952873892), (30, 0.2486163164341488, 0.036560198156789132), (60, 0.13919230585780173, 0.43979479826277434), (90, -0.017206717141056649, 0.94956915222549876)]	['+']	soxs	acna	soxs	0.0	acna	0.0	soxs	acna	0	5	0	0	68	0.427438065822622	0.5463917525773198
('rob', 'ygib')	47.0	47	True	2692.0	('rob', 'ygib')	0.0	[(0, 0.39530440671883105, 3.2451743773633263e-06), (10, -0.05113808763975581, 0.69798989010763968), (20, -0.14381719873916618, 0.28583590023836392), (30, 0.13084057621719383, 0.27677317419892783), (60, 0.46864760701917368, 0.0059439921523419372), (90, 0.12560291312539423, 0.64300590298218763)]	['+']	rob	ygib	rob	0.0	ygib	0.0	rob	ygib	0	5	0	0	68	0.427438065822622	0.5463917525773198
('rob', 'riba')	48.0	48	False												rob	riba	0	5	0	0	68	0.427438065822622	0.5463917525773198
('rob', 'soxr')	49.0	49	False												rob	soxr	0	5	0	0	68	0.427438065822622	0.5463917525773198
('puta', 'riba')	50.0	50	False												puta	riba	0	5	0	0	68	0.427438065822622	0.5463917525773198
('rob', 'flda')	51.0	51	False												rob	flda	0	5	0	0	68	0.427438065822622	0.5463917525773198
('soxs', 'aslb')	52.0	52	False												soxs	aslb	0	5	0	0	68	0.427438065822622	0.5463917525773198
('rob', 'nfsa')	53.0	53	True	2686.0	('rob', 'nfsa')		[(0, 0.31623321196864534, 0.00024703625197486508), (10, 0.30759262164192402, 0.016813594095051801), (20, 0.27988624629496128, 0.034977044012208067), (30, 0.38061998319416945, 0.0010588044121359755), (60, -0.12315987742463662, 0.49471660353507252), (90, -0.40732753959572171, 0.11735858543004864)]	['+']	rob	nfsa	rob	0.0	nfsa	0.0	rob	nfsa	0	5	0	0	68	0.427438065822622	0.5463917525773198
('mara', 'rob')	54.0	54	True	149.0	('mara', 'rob')		[(0, 0.090951714452967264, 0.30341941615089851), (10, 0.17023196357691961, 0.1934680990234339), (20, 0.17056255838462764, 0.20461625517227844), (30, 0.09553651482299727, 0.42805093052320398), (60, -0.21648529616541728, 0.22625003658086248), (90, -0.17919406530342757, 0.50666430175391874)]	['-']	mara	rob	mara	0.0	rob	0.0	mara	rob	0	5	0	0	68	0.427438065822622	0.5463917525773198
('soxr', 'puta')	55.0	55	False												soxr	puta	0	5	0	0	68	0.427438065822622	0.5463917525773198
('rob', 'ybjn')	56.0	56	True	2691.0	('rob', 'ybjn')		[(0, 0.0022968843638287305, 0.97930869694208134), (10, 0.204906300691205, 0.11629319621137402), (20, 0.098051784771905154, 0.46806837688847469), (30, 0.43771421828057094, 0.00013493476857570408), (60, -0.45330208970113928, 0.0080659494256120606), (90, -0.20332824384184495, 0.45007971208682018)]	['+']	rob	ybjn	rob	0.0	ybjn	0.0	rob	ybjn	0	5	0	0	68	0.427438065822622	0.5463917525773198
('mara', 'fumc')	57.0	57	True	2071.0	('mara', 'fumc')		[(0, -0.29886958343754583, 0.00055229679780650996), (10, -0.40846003198534614, 0.0011955511855574648), (20, -0.3874735752212411, 0.0029029832979825627), (30, -0.028123148152858681, 0.81590920610249673), (60, -0.3574776212204227, 0.041110329442110585), (90, 0.21807389707357835, 0.41715184659273608)]	['+']	mara	fumc	mara	0.0	fumc	0.0	mara	fumc	0	5	0	0	68	0.427438065822622	0.5463917525773198
('mara', 'ptsg')	58.0	58	False												mara	ptsg	0	5	0	0	68	0.427438065822622	0.5463917525773198
('mara', 'ydbk')	59.0	59	False												mara	ydbk	0	5	0	0	68	0.427438065822622	0.5463917525773198
('soxs', 'pqia')	60.0	60	True	2732.0	('soxs', 'pqia')		[(0, -0.13440691853558812, 0.12735881253777093), (10, -0.061730984998248271, 0.63938793199220778), (20, 0.02488002437310664, 0.85424337924334615), (30, -0.047576832647763655, 0.69358327110421136), (60, -0.23806333499058746, 0.18216678707206216), (90, 0.024426400770360568, 0.92845212067414684)]	['+']	soxs	pqia	soxs	0.0	pqia	0.0	soxs	pqia	0	5	0	0	68	0.427438065822622	0.5463917525773198
('mara', 'micf')	61.0	61	True	2076.0	('mara', 'micf')		[(0, 0.28685401113022346, 0.0009367220785197369), (10, 0.06984118436714061, 0.59593480200168369), (20, -0.01099926765920547, 0.93527869366895122), (30, 0.18696336077355824, 0.11847197330016465), (60, 0.29373827096507765, 0.097082478184571261), (90, 0.17759647783141835, 0.51052302085352319)]	['+']	mara	micf	mara	0.0	micf	0.0	mara	micf	0	5	0	0	68	0.427438065822622	0.5463917525773198
('soxs', 'zwf')	62.0	62	True	2744.0	('soxs', 'zwf')		[(0, 0.053161531994998429, 0.54803610951432025), (10, 0.24674894375870496, 0.057353738119190686), (20, 0.21906335867811083, 0.10158777810965243), (30, 0.16754162247137405, 0.1625440988812076), (60, -0.33523708721981349, 0.056503016230871332), (90, -0.2465623927681585, 0.35727352788129152)]	['+']	soxs	zwf	soxs	0.0	zwf	0.0	soxs	zwf	0	5	0	0	68	0.427438065822622	0.5463917525773198
('soxr', 'fpr')	63.0	63	False												soxr	fpr	0	5	0	0	68	0.427438065822622	0.5463917525773198
('mara', 'ygib')	64.0	64	True	2090.0	('mara', 'ygib')	0.0	[(0, -0.41444937453247754, 9.481633131980112e-07), (10, -0.51259877039632962, 2.8240295950213823e-05), (20, -0.45938605492889745, 0.00032487522184147691), (30, -0.3305945754781287, 0.004865070427915584), (60, -0.38776136182825932, 0.025768591382149656), (90, -0.054525652608190048, 0.84104370324455391)]	['+']	mara	ygib	mara	0.0	ygib	0.0	mara	ygib	0	5	0	0	68	0.427438065822622	0.5463917525773198
('soxr', 'rimk')	65.0	65	False												soxr	rimk	0	5	0	0	68	0.427438065822622	0.5463917525773198
('rob', 'aslb')	66.0	66	True	2680.0	('rob', 'aslb')		[(0, -0.16708231170862115, 0.057431684666300158), (10, 0.2181853387387743, 0.093983624267984678), (20, 0.19793551903557513, 0.1399655488754443), (30, -0.17902608095023639, 0.13522212177865087), (60, -0.28160671475708354, 0.11236485708662354), (90, 0.021452833947702678, 0.93714491859505766)]	['+']	rob	aslb	rob	0.0	aslb	0.0	rob	aslb	0	5	0	0	68	0.427438065822622	0.5463917525773198
('mara', 'acna')	67.0	67	True	2067.0	('mara', 'acna')		[(0, -0.35543869707037795, 3.3272644768283357e-05), (10, -0.29493599546336874, 0.022157756856098366), (20, -0.11344687225247352, 0.40076990099414789), (30, -0.1910368974051086, 0.11051803646869345), (60, -0.29285578486396474, 0.098137807650918951), (90, -0.68175472415433747, 0.0036290169155485459)]	['+']	mara	acna	mara	0.0	acna	0.0	mara	acna	0	5	0	0	68	0.427438065822622	0.5463917525773198
('yqji', 'fur')	0.0	0	False												yqji	fur	2	5	0	0	77	0.31462134945430653	0.4890250594475944
('fur', 'yqji')	1.0	1	False												fur	yqji	2	5	0	0	77	0.31462134945430653	0.4890250594475944
('yqji', 'cdar')	2.0	2	False												yqji	cdar	2	5	0	0	77	0.31462134945430653	0.4890250594475944
('fur', 'cdar')	3.0	3	False												fur	cdar	2	5	0	0	77	0.31462134945430653	0.4890250594475944
('yqji', 'yhhy')	4.0	4	False												yqji	yhhy	2	5	0	0	77	0.31462134945430653	0.4890250594475944
('cdar', 'sdha')	5.0	5	False												cdar	sdha	2	5	0	0	77	0.31462134945430653	0.4890250594475944
('cdar', 'yqji')	6.0	6	False												cdar	yqji	2	5	0	0	77	0.31462134945430653	0.4890250594475944
('yqji', 'gspl')	7.0	7	False												yqji	gspl	2	5	0	0	77	0.31462134945430653	0.4890250594475944
('yqji', 'fepb')	8.0	8	False												yqji	fepb	2	5	0	0	77	0.31462134945430653	0.4890250594475944
('yqji', 'gark')	9.0	9	False												yqji	gark	2	5	0	0	77	0.31462134945430653	0.4890250594475944
('yqji', 'garp')	10.0	10	False												yqji	garp	2	5	0	0	77	0.31462134945430653	0.4890250594475944
('cdar', 'sdhb')	11.0	11	False												cdar	sdhb	2	5	0	0	77	0.31462134945430653	0.4890250594475944
('yqji', 'gard')	12.0	12	False												yqji	gard	2	5	0	0	77	0.31462134945430653	0.4890250594475944
('yqji', 'gspm')	13.0	13	False												yqji	gspm	2	5	0	0	77	0.31462134945430653	0.4890250594475944
('fur', 'crl')	14.0	14	True	1644.0	('fur', 'crl')	0.0	[(0, 0.4292859990467367, 3.4628607138687097e-07), (10, 0.51661554070403382, 2.3823738417987918e-05), (20, 0.36385398761323717, 0.0053985223452042508), (30, 0.47998980999139601, 2.2779442653572441e-05), (60, 0.33922097122290584, 0.053453693027582037), (90, 0.4438623756609828, 0.085023255201108011)]	['-']	fur	crl	fur	2.0	crl	2.0	fur	crl	2	5	0	0	77	0.31462134945430653	0.4890250594475944
('yqji', 'gudp')	15.0	15	False												yqji	gudp	2	5	0	0	77	0.31462134945430653	0.4890250594475944
('fur', 'gpma')	16.0	16	True	1694.0	('fur', 'gpma')		[(0, -0.25376704855316312, 0.0035764161231884757), (10, -0.21798379381978614, 0.094295223548829785), (20, -0.41586710163881391, 0.0012942920042269079), (30, -0.41959116911198885, 0.00027009202044936756), (60, 0.12569507215974229, 0.48580675507136284), (90, 0.42974332329702991, 0.096650567096642215)]	['-']	fur	gpma	fur	2.0	gpma	2.0	fur	gpma	2	5	0	0	77	0.31462134945430653	0.4890250594475944
('fur', 'yqjh')	17.0	17	True	1748.0	('fur', 'yqjh')		[(0, -0.26170685810162614, 0.0026323274926694797), (10, -0.26483860472007037, 0.040859847963109375), (20, -0.3663928526408195, 0.0050611120560240279), (30, -0.37001885471161433, 0.0014930504465605269), (60, 0.22560781984412664, 0.20680602326623121), (90, 0.26079303229333761, 0.32927475373925891)]	['-']	fur	yqjh	fur	2.0	yqjh	2.0	fur	yqjh	2	5	0	0	77	0.31462134945430653	0.4890250594475944
('fur', 'aspc')	18.0	18	True	1642.0	('fur', 'aspc')		[(0, -0.15414569620356117, 0.079939351542279116), (10, 0.064844193828635308, 0.6225542444424591), (20, -0.097173587955365209, 0.47208216602861819), (30, -0.077963009701545849, 0.51811599074597281), (60, 0.17065538980338585, 0.34235086424544281), (90, -0.095906733125852031, 0.72384557490910728)]	['-']	fur	aspc	fur	2.0	aspc	2.0	fur	aspc	2	5	0	0	77	0.31462134945430653	0.4890250594475944
('fur', 'lpd')	19.0	19	True	1710.0	('fur', 'lpd')	0.0	[(0, 0.37700783197802279, 9.8105781007175931e-06), (10, 0.44679950325880052, 0.00034538014842329926), (20, 0.39797482575989807, 0.0021708679769515513), (30, 0.32418153000981076, 0.0058151902965132007), (60, 0.15959976027987299, 0.37497911184489996), (90, -0.16611941079972467, 0.53863844515137216)]	['+-']	fur	lpd	fur	2.0	lpd	2.0	fur	lpd	2	5	0	0	77	0.31462134945430653	0.4890250594475944
('yqji', 'gspe')	20.0	20	False												yqji	gspe	2	5	0	0	77	0.31462134945430653	0.4890250594475944
('cdar', 'sucb')	21.0	21	False												cdar	sucb	2	5	0	0	77	0.31462134945430653	0.4890250594475944
('cdar', 'suca')	22.0	22	False												cdar	suca	2	5	0	0	77	0.31462134945430653	0.4890250594475944
('yqji', 'ybdz')	23.0	23	False												yqji	ybdz	2	5	0	0	77	0.31462134945430653	0.4890250594475944
('yqji', 'feci')	24.0	24	False												yqji	feci	2	5	0	0	77	0.31462134945430653	0.4890250594475944
('yqji', 'ente')	25.0	25	False												yqji	ente	2	5	0	0	77	0.31462134945430653	0.4890250594475944
('yqji', 'fepd')	26.0	26	False												yqji	fepd	2	5	0	0	77	0.31462134945430653	0.4890250594475944
('yqji', 'exbd')	27.0	27	False												yqji	exbd	2	5	0	0	77	0.31462134945430653	0.4890250594475944
('yqji', 'ygac')	28.0	28	False												yqji	ygac	2	5	0	0	77	0.31462134945430653	0.4890250594475944
('cdar', 'fur')	29.0	29	False												cdar	fur	2	5	0	0	77	0.31462134945430653	0.4890250594475944
('yqji', 'gspf')	30.0	30	False												yqji	gspf	2	5	0	0	77	0.31462134945430653	0.4890250594475944
('fur', 'exbb')	31.0	31	True	1656.0	('fur', 'exbb')		[(0, -0.083758176502268952, 0.34341829920207634), (10, -0.061215996535779513, 0.64219038914823101), (20, -0.26544202181194915, 0.045977323175756528), (30, -0.27440794332451107, 0.020568800545867738), (60, 0.38754898317091685, 0.025856849669989787), (90, 0.26629406291705165, 0.31880054167337996)]	['-']	fur	exbb	fur	2.0	exbb	2.0	fur	exbb	2	5	0	0	77	0.31462134945430653	0.4890250594475944
('yqji', 'fecb')	32.0	32	False												yqji	fecb	2	5	0	0	77	0.31462134945430653	0.4890250594475944
('yqji', 'fecd')	33.0	33	False												yqji	fecd	2	5	0	0	77	0.31462134945430653	0.4890250594475944
('yqji', 'yjjz')	34.0	34	False												yqji	yjjz	2	5	0	0	77	0.31462134945430653	0.4890250594475944
('yqji', 'tonb')	35.0	35	False												yqji	tonb	2	5	0	0	77	0.31462134945430653	0.4890250594475944
('cdar', 'fecc')	36.0	36	False												cdar	fecc	2	5	0	0	77	0.31462134945430653	0.4890250594475944
('fur', 'tonb')	37.0	37	True	1743.0	('fur', 'tonb')		[(0, -0.11344221535936271, 0.19875707695614359), (10, -0.011647738477444996, 0.92961596946094516), (20, -0.17981270376313982, 0.18076006873033706), (30, -0.1582474201510034, 0.18747989765621731), (60, 0.37101645774453174, 0.03353017739785271), (90, 0.45536991209177363, 0.076317524549403146)]	['+']	fur	tonb	fur	2.0	tonb	2.0	fur	tonb	2	5	0	0	77	0.31462134945430653	0.4890250594475944
('fur', 'exbd')	38.0	38	True	1657.0	('fur', 'exbd')		[(0, -0.082351472616665436, 0.35161254484381965), (10, -0.028396618417493705, 0.82947450652329968), (20, -0.21751671917214452, 0.10408607058540256), (30, -0.22242737169748558, 0.062270007613230587), (60, 0.37330511592459464, 0.032369034607998774), (90, 0.20864088765919975, 0.43806850441474432)]	['-']	fur	exbd	fur	2.0	exbd	2.0	fur	exbd	2	5	0	0	77	0.31462134945430653	0.4890250594475944
('fur', 'gudx')	39.0	39	False												fur	gudx	2	5	0	0	77	0.31462134945430653	0.4890250594475944
('yqji', 'gspc')	40.0	40	False												yqji	gspc	2	5	0	0	77	0.31462134945430653	0.4890250594475944
('yqji', 'feca')	41.0	41	False												yqji	feca	2	5	0	0	77	0.31462134945430653	0.4890250594475944
('yqji', 'gspd')	42.0	42	False												yqji	gspd	2	5	0	0	77	0.31462134945430653	0.4890250594475944
('yqji', 'gspo')	43.0	43	False												yqji	gspo	2	5	0	0	77	0.31462134945430653	0.4890250594475944
('fur', 'fhua')	44.0	44	True	1674.0	('fur', 'fhua')		[(0, -0.029446905657981724, 0.73945449906631133), (10, 0.069624785434609218, 0.59707705298339331), (20, -0.12867205395801987, 0.34013240910276099), (30, -0.119880245612524, 0.31934928088874154), (60, 0.30802090839074492, 0.081176229668197666), (90, 0.42873937619102814, 0.097518158006993871)]	['-']	fur	fhua	fur	2.0	fhua	2.0	fur	fhua	2	5	0	0	77	0.31462134945430653	0.4890250594475944
('yqji', 'gspj')	45.0	45	False												yqji	gspj	2	5	0	0	77	0.31462134945430653	0.4890250594475944
('yqji', 'gspg')	46.0	46	False												yqji	gspg	2	5	0	0	77	0.31462134945430653	0.4890250594475944
('yqji', 'cira')	47.0	47	False												yqji	cira	2	5	0	0	77	0.31462134945430653	0.4890250594475944
