"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
900	0.0421615	0.0886075	0.7184866	0.7054648	0.7105828	0.3250922	0.4075888	0.6887641	0.1312816	0.6715734
950	0.0473043	0.0400506	0.7095584	0.7763043	0.7869062	0.3615231	0.3774224	0.7917260	0.2037072	0.8267862
1000	0.0304690	0.0857856	0.7506371	0.6609636	0.6713178	0.2798348	0.4292581	0.7950351	0.1534568	0.7570048

0	0.0456100	0.0885300	0.8041866	0.8532800	0.7951416	0.2869044	0.3155783	0.7119554	0.2241985	0.7353103
50	0.0155529	0.0953745	0.7703206	0.7762564	0.6830531	0.3048395	0.3414419	0.7456001	0.2352983	0.8477709
100	0.0615439	0.0802279	0.7136588	0.7149532	0.8532758	0.4001657	0.4393238	0.7301511	0.1874300	0.7317021
150	0.0362399	0.1171943	0.7785732	0.6313770	0.7905875	0.3161155	0.4571587	0.7834572	0.2216034	0.7190855
200	0.0370617	0.0606375	0.7435921	0.7318439	0.7899646	0.3551832	0.4061145	0.6924969	0.1961896	0.7698323
250	0.0185794	0.1433222	0.5773530	0.5783202	0.6916714	0.2585948	0.3630905	0.7109469	0.1641418	0.7397223
300	0.0375622	0.0367169	0.7067108	0.6919678	0.7977873	0.3241911	0.3968437	0.6495989	0.2469681	0.7785953
350	0.0536408	0.0823690	0.8358589	0.8213413	0.6659407	0.3880224	0.4195241	0.6942612	0.1727769	0.7394469
400	0.0481218	0.1405949	0.8085097	0.7352339	0.6738267	0.2801482	0.4048003	0.7285363	0.2333459	0.7401564
450	0.0257219	0.0800391	0.6715465	0.8176750	0.6410761	0.2872275	0.4677063	0.7778511	0.1795782	0.8098163
500	0.0318858	0.0446844	0.5534972	0.7259364	0.7269564	0.3146864	0.4306562	0.7365757	0.2027107	0.6962721
550	0.0278177	0.0660840	0.7212910	0.7001595	0.6419832	0.4049216	0.4292924	0.7040336	0.2108252	0.6191621
600	0.0521539	0.0640389	0.7039621	0.7990447	0.6529732	0.3148890	0.4389993	0.6767930	0.1461895	0.7050676
650	0.0291499	0.0610569	0.6746760	0.7904716	0.7150499	0.2774669	0.5116775	0.8140083	0.1372785	0.6831323
700	0.0326113	0.0684343	0.6900588	0.7244796	0.5811817	0.3631600	0.3644489	0.6665413	0.1431032	0.8374648
750	0.0459628	0.0683471	0.7813204	0.7194046	0.6559780	0.3284843	0.4521245	0.7573609	0.1962957	0.8566789
800	0.0245821	0.0664058	0.6510493	0.7780339	0.8268754	0.3457739	0.3650998	0.7496517	0.2013160	0.8695698
850	0.0529288	0.0543821	0.7087112	0.6960771	0.6404783	0.2691930	0.3802432	0.7037821	0.2294897	0.8775719
900	0.0386264	0.0377725	0.7055042	0.7131536	0.5584981	0.3512411	0.3820036	0.6923091	0.1867145	0.8666450
950	0.0441898	0.0987434	0.7832239	0.6854201	0.7035292	0.3271942	0.3156047	0.6929551	0.2514650	0.9269034
1000	0.0297391	0.0419021	0.6284596	0.6997377	0.6770672	0.3049989	0.3797808	0.7172601	0.1890642	0.7720353

0	0.0348745	0.0894785	0.6794662	0.9081257	0.7070569	0.2679319	0.4483793	0.8290165	0.1811550	0.6340912
50	0.0129237	0.0213991	0.5669584	0.8168137	0.6615357	0.3732925	0.4730075	0.6367350	0.1370612	0.6906453
100	0.0079181	0.0120383	0.7002515	0.6542971	0.9139762	0.2372311	0.3978544	0.7612528	0.1742086	0.7659629
150	0.0122230	0.0192714	0.7171331	0.6366454	0.6877176	0.2382066	0.4863784	0.7352883	0.0785972	0.6574252
200	0.0031048	0.0375002	0.7462756	0.7156854	0.7341293	0.2216082	0.5472797	0.6849796	0.1455286	0.7856031
250	0.0159069	0.0061452	0.5813077	0.8282291	0.7793012	0.2397351	0.3937229	0.6424318	0.1346923	0.8653320
300	0.0245332	0.0101673	0.6713011	0.6568614	0.6606159	0.2801249	0.4629066	0.6051904	0.1190274	0.8596955
