"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
650	0.7244329	0.1046026	0.1712185	0.3951082	0.2077236	0.2939653	0.4184157	0.4749793	0.4734865	0.8970757
700	0.5331058	0.0812074	0.2342886	0.3287123	0.1468178	0.2523809	0.4484383	0.4238683	0.4475388	0.7335517
750	0.6580939	0.0955000	0.2388826	0.2875149	0.2348228	0.2117101	0.5186671	0.4880293	0.3569469	0.6590931
800	0.6457650	0.0525716	0.1613009	0.3537928	0.3156518	0.1234181	0.4476806	0.4376409	0.3638053	0.7639212
850	0.5052040	0.0217593	0.1327828	0.2830107	0.3772814	0.1253203	0.4133617	0.2997634	0.4063765	0.7888623
900	0.4258448	0.0342487	0.1015515	0.1796166	0.4523269	0.1816163	0.4719132	0.2703972	0.3850269	0.6747992
950	0.3981478	0.0533293	0.1558677	0.1053963	0.3674458	0.2408666	0.4809816	0.1659074	0.3622150	0.8983289
1000	0.5203683	0.0507485	0.1810897	0.1447517	0.2815337	0.3214985	0.5406932	0.3133314	0.3790216	0.8133656

0	0.5364963	0.0834284	0.2358745	0.2126471	0.2650190	0.3032167	0.6615245	0.3945513	0.4427296	0.7087711
50	0.5238673	0.2951375	0.3537701	0.3407592	0.1420084	0.2141531	0.4330795	0.5842044	0.3506583	0.6435713
100	0.5464036	0.2876134	0.4155586	0.3630825	0.3352334	0.2268327	0.3850814	0.5096231	0.4723293	0.4570726
150	0.4812290	0.3324804	0.5403430	0.2437864	0.3986269	0.1730589	0.3184254	0.4768380	0.5845886	0.3664961
200	0.4191394	0.4000286	0.6012728	0.1418816	0.4184169	0.1844994	0.3997163	0.4538851	0.6263641	0.4325786
250	0.3946453	0.4081900	0.5361168	0.1374362	0.4676886	0.1354458	0.4305611	0.4034435	0.7797670	0.3215062
300	0.5031177	0.3282290	0.4817180	0.0923439	0.5430223	0.1192846	0.3986324	0.2651395	0.7718504	0.4389728
350	0.5498378	0.5045987	0.4305058	0.1078935	0.4686421	0.1710270	0.4972381	0.2345920	0.7095013	0.3698386
400	0.4704089	0.4511977	0.3573816	0.1225646	0.4006481	0.1989832	0.5458988	0.2337687	0.5805231	0.3824148
450	0.4963919	0.4820479	0.4347030	0.0591627	0.4265014	0.2316530	0.6196901	0.2922336	0.6383505	0.3307627
500	0.5385747	0.4387681	0.4381447	0.0576009	0.4282099	0.2932684	0.5623781	0.2711796	0.6789588	0.2623498
550	0.4717147	0.2619127	0.3648476	0.0946605	0.3373113	0.2394296	0.6756832	0.2988753	0.7736563	0.5449711
600	0.6180826	0.1153592	0.2803969	0.1673401	0.2858030	0.2553064	0.4459242	0.2952668	0.6464996	0.7456062
650	0.5515404	0.0562732	0.2139040	0.1588081	0.2180039	0.3674056	0.5709238	0.3797595	0.5417546	0.7724058
700	0.5397947	0.0646360	0.2543859	0.2836451	0.1966905	0.2298482	0.6494906	0.4583998	0.3736308	0.7101246
750	0.6903200	0.0593029	0.2011534	0.2827502	0.2555057	0.2695545	0.4537446	0.3349798	0.3053798	0.6778900
800	0.5153221	0.0655395	0.1633441	0.2861855	0.2510794	0.1952140	0.3702681	0.3625794	0.3792547	0.8358941
850	0.5004113	0.1069713	0.2626630	0.2829189	0.2122536	0.2305640	0.4501055	0.3475618	0.3789953	0.7275800
900	0.5540369	0.0724363	0.2247087	0.1864280	0.2753822	0.2481566	0.4924648	0.4378044	0.3782371	0.7834550
950	0.6020507	0.0258388	0.1977427	0.2409084	0.4047181	0.2404048	0.4670116	0.3934792	0.3207060	0.8748480
1000	0.4462162	0.0609463	0.1670490	0.2279183	0.4314827	0.1808243	0.6090679	0.3026540	0.3603104	0.7685052

0	0.5282098	0.1071837	0.2549732	0.1718203	0.1897737	0.3088560	0.6088658	0.3157520	0.3680986	0.8507340
50	0.5543526	0.1981129	0.2785200	0.3925408	0.1148924	0.3058238	0.6796979	0.4400124	0.3099399	0.8810475
100	0.5719874	0.5148760	0.2829426	0.5018410	0.1063317	0.4063002	0.7192425	0.5245850	0.3967501	0.8230817
150	0.6832100	0.4691092	0.2225039	0.6525907	0.0736893	0.4478313	0.6269662	0.3897746	0.2871461	0.5843287
200	0.5919329	0.6230545	0.2374935	0.7143657	0.0767097	0.3889237	0.6986175	0.5815764	0.2311381	0.8004989
250	0.5725210	0.4841761	0.2901695	0.7563412	0.0887198	0.3576217	0.6762059	0.4564715	0.3922537	0.7211190
300	0.7677762	0.5157200	0.2830713	0.7613089	0.0309550	0.3376897	0.7586601	0.5499650	0.3217756	0.7293890
350	0.6816632	0.4960538	0.2669190	0.7726273	0.0546098	0.5391690	0.8378197	0.5252176	0.4254335	0.8478620
400	0.7815904	0.5405845	0.2718595	0.8821805	0.0253430	0.5740500	0.7024083	0.5320310	0.3363114	0.7010766
450	0.7017297	0.5515323	0.3690668	0.7346287	0.0226479	0.5476528	0.6937045	0.5239632	0.3240870	0.7664087
500	0.5591182	0.6757052	0.4006378	0.7243294	0.0317623	0.4916715	0.7669053	0.6968963	0.3588057	0.7370790
550	0.6600757	0.4335266	0.4106489	0.8325428	0.1265751	0.3854133	0.5946810	0.4705570	0.2412915	0.8633027
600	0.5667553	0.2605326	0.2725976	0.8100375	0.1188798	0.3241994	0.4766563	0.4867761	0.2637178	0.8414010
650	0.5474458	0.1574670	0.2683843	0.5519955	0.1381762	0.2059591	0.3814483	0.4548856	0.3187067	0.7085853
700	0.4507555	0.1094237	0.2242885	0.4915157	0.1749255	0.2196553	0.4068698	0.4017184	0.3349681	0.8468796
750	0.3607373	0.0619465	0.1721144	0.4232349	0.2395124	0.2042805	0.3878447	0.3709861	0.3853356	0.7172548
800	0.5509728	0.0657635	0.1955377	0.2995188	0.4026681	0.2241108	0.3945386	0.3335584	0.3265811	0.8245015
850	0.5369576	0.0556534	0.1843229	0.1921117	0.5115873	0.1162421	0.4587160	0.1998400	0.4046472	0.7769144
900	0.5853802	0.0261931	0.1103820	0.0824652	0.5030457	0.1825367	0.6631907	0.1637813	0.3692104	0.8259102
950	0.5901770	0.0511844	0.2332252	0.1523348	0.3396723	0.3220752	0.6522088	0.1594669	0.4664930	0.8206338
1000	0.5020275	0.0910855	0.2657186	0.1342020	0.2446565	0.3822668	0.5270774	0.2306183	0.3638322	0.8021238

0	0.4548581	0.1375127	0.1722689	0.2609808	0.1677851	0.3244526	0.6297630	0.4341425	0.4160982	0.8297063
50	0.5028674	0.1384171	0.2342815	0.5072264	0.1623589	0.2038049	0.4186858	0.5634340	0.4904942	0.8443912
100	0.5531015	0.0823928	0.2823265	0.5362202	0.1638231	0.3083688	0.5335515	0.5174499	0.4808297	0.6569312
150	0.4797929	0.0591067	0.1887156	0.4330732	0.1282046	0.2447884	0.4840001	0.4467914	0.2844230	0.7458347
200	0.3869823	0.0554505	0.1937617	0.4715546	0.1481349	0.2032511	0.4015168	0.4768181	0.4032806	0.6307651
250	0.4078547	0.0610756	0.1763939	0.3469726	0.2310654	0.1813476	0.3923492	0.6039080	0.5199685	0.6800256
300	0.5135256	0.0495484	0.1449163	0.2767081	0.2754831	0.1357103	0.3771910	0.5793115	0.4650629	0.7463608
350	0.5092856	0.0701501	0.1077585	0.2601312	0.3115153	0.1831396	0.4581032	0.5065549	0.3415553	0.8202550
400	0.5871342	0.0339028	0.0963690	0.2126421	0.3325995	0.1798643	0.4256231	0.3812794	0.3564612	0.7365300
450	0.6244938	0.0112728	0.1230506	0.1949317	0.3361619	0.2225353	0.5811771	0.2375742	0.3337942	0.6784422
500	0.6592463	0.0415736	0.1459196	0.2346683	0.3681089	0.2110330	0.6417493	0.2201393	0.3088627	0.7582035
550	0.5231673	0.0721240	0.1581947	0.1302530	0.4031700	0.3288638	0.5992271	0.2496291	0.2564131	0.7833436
600	0.5131167	0.0782443	0.1486809	0.2241119	0.3398196	0.2677224	0.5779406	0.2965054	0.2865239	0.7304187
650	0.7192623	0.0771224	0.1646570	0.2160655	0.2138552	0.3687845	0.4715537	0.2829460	0.2873526	0.6092015
700	0.7231395	0.0815816	0.2155792	0.2903935	0.1747889	0.3391691	0.6097495	0.5625918	0.4250173	0.7939376
750	0.5574316	0.0856585	0.2588282	0.3621540	0.2630118	0.3199093	0.5955933	0.5019365	0.3770494	0.7745236
800	0.5366706	0.1129924	0.1783834	0.3449952	0.1943379	0.2814760	0.3659979	0.4658813	0.3421991	0.6985347
850	0.4705051	0.1537129	0.1812457	0.3999890	0.2867712	0.2471012	0.4573158	0.6097569	0.4170945	0.6847425
900	0.5886268	0.1154272	0.1980633	0.3706774	0.2963586	0.2398462	0.5491259	0.4523376	0.3249683	0.7781718
