Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G76A	G94	G95	G96	G97	G98	G99	G100
450	0.0431268	0.8094892	0.8742964	0.3481328	0.9976176	0.0818396	0.0022156	0.3792584	0.2431007	0.9527715	0.0262581	0.9903339	0.6245294	0.5515065	0.0329980	0.8234988	0.4136889	0.7085697	0.7119101	0.9996019	0.1205509	0.6294949	0.9870560	0.2357355	0.3919921	0.4419770	0.3686081	0.0361744	0.1571209	0.0172386	0.8455558	0.5970298	0.9853139	0.4952865	0.3269136	0.0000040	0.8753174	0.1972242	0.2067390	0.2130368	0.6628501	0.7288896	0.3274656	0.5117763	0.8841341	0.9784475	0.9734930	0.8548874	0.8943605	0.4573084	0.6726135	0.4301084	0.1239195	0.9371489	0.6239962	0.1011612	0.1645461	0.0075332	0.0002865	0.0594578	0.8099889	0.2520754	0.0820969	0.1694426	0.2689685	0.8529879	0.2100534	0.6356365	0.0200715	0.1218673	0.8062620	0.2939747	0.2065573	0.5935708	0.5112736	0.1309678	0.5658504	0.9731745	0.4967409	0.0000186	0.9994199	0.6805444	0.0176052	0.8753202	0.4699885	0.0446530	0.5934461	0.9999905	0.4057655	0.6998397	0.7067058	0.5503925	0.5627025	0.9154359	0.0891383	0.2583808	0.9965732	0.8792399	0.5816205	0.9730995
500	0.0424362	0.8109212	0.8741845	0.3463621	0.9976848	0.0811785	0.0020611	0.3776324	0.2430536	0.9518621	0.0262070	0.9910351	0.6281790	0.5514796	0.0329880	0.8257873	0.4136053	0.7117209	0.7122436	0.9995845	0.1203411	0.6298737	0.9872966	0.2352380	0.3920088	0.4426138	0.3686058	0.0361738	0.1601395	0.0173891	0.8461025	0.5971899	0.9855222	0.4993093	0.3261834	0.0000017	0.8753213	0.1972206	0.2067369	0.2138479	0.6627545	0.7288954	0.3314232	0.5101565	0.8842241	0.9785439	0.9735695	0.8553718	0.8935758	0.4575549	0.6676883	0.4304837	0.1277618	0.9372283	0.6220673	0.1014713	0.1615694	0.0074346	0.0002787	0.0594366	0.8129908	0.2527992	0.0822508	0.1690286	0.2670371	0.8523272	0.2104607	0.6384427	0.0193723	0.1199220	0.8137498	0.2920649	0.2091252	0.5859653	0.5124997	0.1308705	0.5663799	0.9716323	0.4919073	0.0000182	0.9994244	0.6806257	0.0170212	0.8740198	0.4700306	0.0441778	0.5860674	0.9999970	0.4050516	0.6998468	0.7067106	0.5504173	0.5636019	0.9144590	0.0917010	0.2609333	0.9968600	0.8797488	0.5885034	0.9731998
550	0.0528999	0.4876428	0.3556701	0.2951061	0.9976002	0.0810974	0.0019835	0.3768333	0.2431175	0.9482708	0.3096304	0.9843719	0.5668069	0.5930726	0.0329841	0.6895802	0.4135761	0.7114918	0.7103445	0.9994426	0.1201878	0.6302433	0.9862941	0.2583751	0.5765531	0.4419685	0.3686040	0.0361734	0.1606834	0.0174691	0.2875772	0.5957919	0.9724716	0.5025708	0.3256561	0.0043506	0.8753245	0.1972177	0.2067351	0.2142804	0.6645342	0.6938151	0.3346599	0.5083077	0.8842534	0.9780473	0.9287035	0.8540950	0.8967792	0.4005204	0.6682808	0.5025968	0.1592034	0.7630610	0.6122852	0.1010791	0.3509208	0.0327315	0.0002720	0.0594337	0.6166273	0.3705310	0.2136137	0.1766102	0.2648541	0.8603683	0.2223609	0.6325564	0.0326729	0.1199788	0.8640955	0.4251558	0.2194962	0.5355636	0.5136019	0.1307054	0.8525025	0.8196195	0.4926109	0.0000301	0.9993290	0.6806647	0.0166853	0.8232171	0.4736350	0.0573009	0.6556642	0.8830865	0.8331104	0.6998520	0.5673907	0.5482541	0.5958287	0.9151232	0.0943045	0.2649025	0.9969726	0.7619572	0.5898822	0.9729825
600	0.1063874	0.4037223	0.1586581	0.2714657	0.9973687	0.0824491	0.0021169	0.3766298	0.2436016	0.9297497	0.4159990	0.9645389	0.4068870	0.6721110	0.0329989	0.6799274	0.4138967	0.7061656	0.6947727	0.9983987	0.1201100	0.6308503	0.9836588	0.2645883	0.6198181	0.4314012	0.3686026	0.0361730	0.1443963	0.0174979	0.1651936	0.5920938	0.9688528	0.5050056	0.3257407	0.0063602	0.8753270	0.1972154	0.2067338	0.2137378	0.6705901	0.6676834	0.3370516	0.5054789	0.8839768	0.9761042	0.9190562	0.8418771	0.9218053	0.2984390	0.6934090	0.5194980	0.2397820	0.7315557	0.5964333	0.0966784	0.4762022	0.0532811	0.0002666	0.0595356	0.3177225	0.3858698	0.2495757	0.2026184	0.2604009	0.8599385	0.2289405	0.6087453	0.1064381	0.1287072	0.8704205	0.6647638	0.2381447	0.4891279	0.5145641	0.1299434	0.8754041	0.7827414	0.5296810	0.0001444	0.9989509	0.6804546	0.0166563	0.8086435	0.4882312	0.1054118	0.6734504	0.8367337	0.9355319	0.6998457	0.5231810	0.5443305	0.6751005	0.9255732	0.1017974	0.2718996	0.9964486	0.7128081	0.5594273	0.9719491
650	0.1681734	0.4554103	0.0835825	0.2613436	0.9971582	0.0851337	0.0027092	0.3774013	0.2452203	0.8994888	0.4560364	0.9431991	0.2910369	0.7249253	0.0330684	0.7003077	0.4146427	0.7010174	0.6693026	0.9945444	0.1202247	0.6315892	0.9813557	0.2689315	0.6299662	0.4050642	0.3686014	0.0361727	0.1083771	0.0174999	0.1392772	0.5890034	0.9679508	0.5056243	0.3278090	0.0072979	0.8753289	0.1972136	0.2067327	0.2105501	0.6780250	0.6529765	0.3351340	0.5020867	0.8830406	0.9718404	0.9151643	0.8228394	0.9515638	0.2387372	0.7426692	0.5164930	0.2821927	0.7338012	0.5987940	0.0886448	0.5579075	0.0625894	0.0002624	0.0598936	0.1448957	0.3711034	0.2494162	0.2310008	0.2500868	0.8563379	0.2088177	0.6003804	0.1694363	0.1479781	0.7994023	0.7780434	0.2516209	0.5004248	0.5154531	0.1251693	0.8748272	0.8344259	0.6242564	0.0003587	0.9985902	0.6797323	0.0167616	0.8147227	0.4950506	0.1393196	0.6708109	0.8025317	0.9634352	0.6998259	0.5091521	0.5420599	0.7103725	0.9412888	0.1170728	0.2753935	0.9943155	0.6924033	0.5046256	0.9707384
700	0.1820738	0.5458656	0.0550847	0.2582417	0.9969410	0.0886505	0.0035706	0.3800658	0.2479537	0.8711301	0.4712078	0.9253973	0.2465562	0.7530515	0.0332024	0.7182740	0.4154764	0.6964775	0.6469775	0.9869161	0.1207264	0.6320642	0.9795661	0.2733889	0.6323505	0.3714833	0.3686005	0.0361724	0.0770656	0.0174876	0.1337866	0.5872065	0.9677226	0.5019622	0.3322952	0.0077266	0.8753305	0.1972122	0.2067318	0.2036730	0.6841127	0.6462029	0.3319807	0.4992253	0.8810346	0.9653763	0.9118071	0.8075243	0.9690766	0.2120435	0.7855589	0.5138136	0.2696106	0.7402929	0.6083408	0.0760129	0.6004803	0.0639275	0.0002603	0.0607283	0.0863710	0.3553517	0.2409988	0.2474227	0.2303412	0.8524592	0.1788442	0.6245847	0.1672384	0.1663835	0.7179482	0.8067970	0.2534860	0.5660806	0.5160307	0.1178800	0.8722332	0.8947610	0.7348233	0.0003492	0.9985682	0.6785463	0.0167106	0.8261231	0.4863443	0.1430261	0.6687360	0.7722408	0.9648488	0.6997945	0.5047000	0.5409203	0.6964997	0.9516752	0.1398636	0.2724293	0.9889748	0.6835063	0.4650760	0.9691944
750	0.1580114	0.6120554	0.0443634	0.2589571	0.9966993	0.0926366	0.0039856	0.3849761	0.2510592	0.8505517	0.4770517	0.9125453	0.2461184	0.7663763	0.0333667	0.7288155	0.4161366	0.6914189	0.6329039	0.9791176	0.1216772	0.6319782	0.9779937	0.2777025	0.6329138	0.3498151	0.3685998	0.0361723	0.0620349	0.0174537	0.1308171	0.5863010	0.9674395	0.4925836	0.3372619	0.0079192	0.8753318	0.1972110	0.2067311	0.1944550	0.6880414	0.6433928	0.3319205	0.4979582	0.8781373	0.9603140	0.9090252	0.7982465	0.9768000	0.2011759	0.8093814	0.5166097	0.2340013	0.7451458	0.6128397	0.0616823	0.6184383	0.0604920	0.0002626	0.0618435	0.0705479	0.3462455	0.2339877	0.2505365	0.2144912	0.8492944	0.1549000	0.6628359	0.1261921	0.1773715	0.6768247	0.7939818	0.2377952	0.6334102	0.5151702	0.1145634	0.8695749	0.9185954	0.8047029	0.0002264	0.9987555	0.6774147	0.0168310	0.8340751	0.4771858	0.1249896	0.6678186	0.7517413	0.9553975	0.6997512	0.5032866	0.5401736	0.6749965	0.9560986	0.1599101	0.2673028	0.9787644	0.6793847	0.4459883	0.9676967
800	0.1281530	0.6389327	0.0404780	0.2617349	0.9964531	0.0964967	0.0040081	0.3914161	0.2538253	0.8373575	0.4793938	0.9048374	0.2600857	0.7719388	0.0335134	0.7336666	0.4165710	0.6857739	0.6256018	0.9744625	0.1227750	0.6312513	0.9765194	0.2812937	0.6330494	0.3464027	0.3685992	0.0361721	0.0577486	0.0173859	0.1259768	0.5857853	0.9668083	0.4801594	0.3397333	0.0080091	0.8753328	0.1972101	0.2067306	0.1863177	0.6902110	0.6423088	0.3316502	0.4988027	0.8756797	0.9594210	0.9071314	0.7932943	0.9797638	0.1969510	0.8191210	0.5219354	0.2032288	0.7478734	0.6141608	0.0556487	0.6235545	0.0555999	0.0002713	0.0625430	0.0748066	0.3420908	0.2298652	0.2465392	0.2133776	0.8473910	0.1424907	0.6954419	0.0895120	0.1823000	0.6608216	0.7753404	0.2124591	0.6708973	0.5122920	0.1130619	0.8669921	0.9266621	0.8331758	0.0001379	0.9989414	0.6768224	0.0173739	0.8374973	0.4726959	0.1048076	0.6672353	0.7428225	0.9448132	0.6997089	0.5028374	0.5396146	0.6666445	0.9572989	0.1661041	0.2626665	0.9663775	0.6775880	0.4385581	0.9667042
850	0.1072513	0.6409011	0.0392718	0.2653822	0.9962373	0.0995032	0.0039076	0.3981486	0.2559200	0.8295933	0.4804096	0.9010299	0.2711834	0.7740670	0.0336166	0.7350614	0.4168427	0.6800994	0.6222694	0.9723631	0.1235197	0.6301587	0.9752156	0.2836823	0.6330840	0.3514090	0.3685988	0.0361720	0.0580282	0.0172738	0.1194891	0.5853195	0.9658544	0.4699177	0.3398334	0.0080600	0.8753335	0.1972094	0.2067302	0.1816162	0.6912852	0.6419197	0.3297705	0.5012623	0.8747375	0.9609063	0.9060148	0.7908179	0.9808118	0.1953560	0.8213811	0.5263094	0.1860220	0.7489600	0.6147572	0.0566919	0.6239296	0.0521677	0.0002857	0.0626682	0.0882981	0.3403707	0.2278800	0.2412207	0.2223378	0.8470992	0.1389673	0.7155177	0.0706205	0.1838814	0.6550339	0.7677824	0.1932510	0.6828259	0.5083864	0.1122746	0.8646156	0.9316405	0.8390972	0.0000936	0.9990534	0.6767157	0.0183078	0.8382606	0.4711773	0.0932582	0.6667449	0.7413528	0.9385224	0.6996877	0.5026946	0.5392246	0.6694193	0.9572920	0.1622230	0.2583338	0.9577389	0.6767208	0.4365142	0.9662128
900	0.0963416	0.6350159	0.0391355	0.2689599	0.9960768	0.1013706	0.0037943	0.4041306	0.2573251	0.8253918	0.4809041	0.8993595	0.2753502	0.7749491	0.0336774	0.7346151	0.4170372	0.6751746	0.6209169	0.9710129	0.1237295	0.6292117	0.9742136	0.2849269	0.6330943	0.3561379	0.3685984	0.0361719	0.0593857	0.0171134	0.1133650	0.5847677	0.9648497	0.4643417	0.3392662	0.0080994	0.8753342	0.1972088	0.2067298	0.1800516	0.6917743	0.6417903	0.3275613	0.5040882	0.8749875	0.9624044	0.9054156	0.7896323	0.9811585	0.1947664	0.8206465	0.5285816	0.1796221	0.7490531	0.6153460	0.0593227	0.6240415	0.0508388	0.0003019	0.0625430	0.0993328	0.3394837	0.2271275	0.2373677	0.2331532	0.8482488	0.1394747	0.7246872	0.0644949	0.1840473	0.6530857	0.7694069	0.1857333	0.6836434	0.5049646	0.1118567	0.8626902	0.9356419	0.8370107	0.0000759	0.9991003	0.6768055	0.0194621	0.8381326	0.4709199	0.0892803	0.6663310	0.7422607	0.9365914	0.6996899	0.5026494	0.5389821	0.6754384	0.9570636	0.1566903	0.2539857	0.9543899	0.6760524	0.4365285	0.9660403
950	0.0921024	0.6301226	0.0394066	0.2718671	0.9959746	0.1023079	0.0036961	0.4088273	0.2581775	0.8232902	0.4811730	0.8986276	0.2750011	0.7754022	0.0337085	0.7333914	0.4172126	0.6715617	0.6204737	0.9694802	0.1236033	0.6287489	0.9735613	0.2854499	0.6330985	0.3582040	0.3685981	0.0361718	0.0603069	0.0169203	0.1090760	0.5841648	0.9640685	0.4624439	0.3388553	0.0081348	0.8753347	0.1972084	0.2067295	0.1800925	0.6919823	0.6417482	0.3259771	0.5062571	0.8755800	0.9631561	0.9051139	0.7890848	0.9812470	0.1945518	0.8194163	0.5292559	0.1788836	0.7487280	0.6160831	0.0609391	0.6250199	0.0508576	0.0003152	0.0624282	0.1033616	0.3387389	0.2269730	0.2354664	0.2411361	0.8501457	0.1406943	0.7272559	0.0645083	0.1838318	0.6525165	0.7737545	0.1859968	0.6824499	0.5028113	0.1116450	0.8613568	0.9383331	0.8345871	0.0000710	0.9991107	0.6769003	0.0206261	0.8379970	0.4710463	0.0890987	0.6660106	0.7427125	0.9368571	0.6997025	0.5026352	0.5388453	0.6799523	0.9569314	0.1534763	0.2499967	0.9540741	0.6754314	0.4369364	0.9660105
1000	0.0910988	0.6281570	0.0397850	0.2739058	0.9959180	0.1026843	0.0036172	0.4121665	0.2586527	0.8222986	0.4813284	0.8982563	0.2732812	0.7756606	0.0337223	0.7320583	0.4173871	0.6693239	0.6204239	0.9678105	0.1234136	0.6287411	0.9731976	0.2856417	0.6331009	0.3583201	0.3685979	0.0361717	0.0605524	0.0167248	0.1067764	0.5836181	0.9636048	0.4622986	0.3387160	0.0081648	0.8753351	0.1972080	0.2067293	0.1805074	0.6920659	0.6417318	0.3251583	0.5074803	0.8760126	0.9633104	0.9049690	0.7888402	0.9812298	0.1944743	0.8186393	0.5292037	0.1800460	0.7483493	0.6169226	0.0613681	0.6264210	0.0513846	0.0003237	0.0624026	0.1028695	0.3380476	0.2270432	0.2349586	0.2454676	0.8520179	0.1413702	0.7270033	0.0662952	0.1836266	0.6523765	0.7770822	0.1887320	0.6822114	0.5018295	0.1115437	0.8605620	0.9397099	0.8339950	0.0000708	0.9991077	0.6769419	0.0216317	0.8380597	0.4711830	0.0899388	0.6657851	0.7421628	0.9375718	0.6997142	0.5026308	0.5387737	0.6819799	0.9569112	0.1526727	0.2469029	0.9545580	0.6749226	0.4371455	0.9660187

0	0.0912196	0.6289059	0.0408069	0.2766497	0.9958714	0.1028982	0.0034446	0.4173410	0.2591385	0.8214127	0.4814781	0.8977893	0.2715880	0.7753368	0.0337171	0.7295981	0.4180134	0.6676838	0.6212837	0.9652796	0.1234195	0.6294963	0.9728485	0.2858493	0.6323384	0.3569702	0.3686851	0.0361948	0.0600739	0.0162084	0.1055346	0.5826924	0.9632968	0.4625560	0.3388817	0.0082159	0.8751843	0.1973459	0.2068121	0.1806504	0.6920154	0.6419056	0.3247406	0.5081611	0.8760907	0.9629553	0.9048998	0.7888445	0.9809168	0.1949820	0.8184836	0.5291436	0.1824410	0.7475933	0.6183471	0.0607362	0.6293737	0.0533320	0.0003302	0.0625870	0.0993277	0.3371669	0.2274782	0.2358043	0.2484039	0.8549328	0.1410289	0.7247843	0.0696575	0.1830375	0.6522759	0.7782689	0.1915580	0.6844752	0.5015696	0.1115020	0.8598046	0.9401804	0.8362082	0.0000721	0.9991014	0.6769366	0.0237005	0.8384555	0.4711885	0.0903706	0.6654491	0.7396131	0.9380632	0.6997704	0.5026292	0.5387208	0.6817273	0.9569576	0.1541202	0.2430041	0.9545049	0.6741747	0.4369342	0.9660232
