"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G73A	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
450	0.8088766	0.8204336	0.3768091	0.4954095	0.1568022	0.1911841	0.2611959	0.0016312	0.8570445	0.4145620	0.8859842	0.6864654	0.4652260	0.5139596	0.4100612	0.9385074	0.1967054	0.9254398	0.8509549	0.1564148	0.4859031	0.2386529	0.2464877	1.0009053	0.8036079	0.8443392	0.6089297	0.9491488	0.4653935	0.5000999	0.1758245	0.8641749	0.8800094	0.4080989	0.1133237	0.9195448	0.7855353	0.9155495	0.6790768	0.9022742	1.0754696	0.8703524	0.1342223	0.7253646	0.0447595	0.4468109	0.5646412	0.9716116	0.6901581	0.4469168	0.9677113	0.5224576	0.8178823	0.6617440	0.0034355	0.1760055	0.0569410	0.2321851	0.7876480	0.4603618	0.4519736	0.7512869	0.1941800	0.0090854	0.0876309	0.4381819	0.0109557	0.8428950	0.8420157	0.5542281	0.1394321	0.0101701	0.4267215	0.1511095	0.0011550	0.0760420	0.5651779	0.2672048	0.7298001	0.0066637	0.4832892	0.9593882	0.3421383	0.7631425	0.9542780	0.2419224	0.2759935	0.6805875	0.8647197	0.6950985	0.6913415	0.0507338	0.9254836	0.1466953	0.0228112	0.7618699	0.0548740	0.7824797	0.2909656	0.1716369
500	0.7109807	0.7961749	0.4778486	0.5041406	0.1885818	0.1860808	0.2917207	0.0021287	0.7858043	0.3781037	0.9229337	0.6760879	0.4443121	0.5517269	0.4060044	0.8522579	0.1557879	0.9638489	0.8553371	0.1821371	0.5239417	0.2038782	0.2612250	0.9455316	0.8411461	0.8894921	0.6814209	0.9307208	0.5101419	0.5257023	0.1847791	0.8047392	1.0027899	0.4203564	0.1345211	0.8716049	0.8843192	0.9835923	0.7286756	1.0047586	0.9708646	0.8709685	0.1313168	0.7673771	0.0497837	0.4535373	0.5242590	0.9162992	0.8069933	0.4534408	0.9242399	0.6549813	0.7839304	0.6429706	0.0014963	0.1646675	0.0807646	0.2042379	0.7942462	0.4680769	0.4201783	0.7179570	0.2526687	0.0159286	0.0751103	0.4504773	0.0190923	0.8597876	0.8708823	0.6181781	0.1557242	0.0113905	0.4506070	0.0882028	0.0035197	0.0957203	0.6413780	0.3751663	0.6710689	0.0132177	0.5644860	1.0119491	0.2468890	0.6551982	0.9982823	0.2953925	0.2015623	0.6833199	0.8304383	0.6839258	0.6634183	0.0585428	0.8180098	0.1798813	0.0349094	0.8337147	0.0556452	0.7789605	0.3005624	0.1697848
550	0.6597241	0.7012082	0.7351835	0.5118033	0.1675087	0.2164951	0.2938618	0.0616234	0.7535803	0.4298726	0.9083325	0.6221479	0.5157915	0.3760070	0.4173294	0.7854142	0.1516361	1.0968702	0.7795226	0.2633532	0.5194504	0.1703067	0.3856003	0.9075970	0.8241749	0.9120364	0.6977379	0.5820967	0.5515140	0.5485304	0.2353909	0.7767701	0.9940190	0.5238992	0.1115158	0.8164364	0.7649007	1.0424104	0.7673460	0.7684730	0.9386645	0.7208538	0.1942545	0.6648064	0.0579459	0.4375148	0.5546686	0.9094700	0.7268980	0.5328431	1.0681823	0.6940416	0.8113565	0.4453602	0.0007824	0.1512073	0.1053161	0.1915409	0.8562075	0.5507150	0.3493480	0.7565411	0.1776225	0.0223067	0.1922578	0.3373030	0.0607625	0.7107600	0.8588818	0.6991560	0.1456645	0.0017610	0.3868486	0.0628647	0.0045119	0.1166538	0.5652583	0.3820170	0.7608632	0.0078842	0.5997878	0.9429889	0.2516111	0.6611276	1.0065853	0.2929067	0.2478898	0.7807215	0.6785553	0.7200588	0.6266578	0.0319695	0.8309077	0.1738942	0.0708238	0.8461352	0.0699835	0.7388232	0.3151806	0.1991869
600	0.6937320	0.3953498	0.7607381	0.5749349	0.2239344	0.2357336	0.2949339	0.1338443	0.7700146	0.3958354	0.9287694	0.6341048	0.5139325	0.3084327	0.4254226	0.6742617	0.1229876	0.9875574	0.6637190	0.2100333	0.5044369	0.2288035	0.4020276	0.9559725	0.7771447	0.8293384	0.5282847	0.3362429	0.6409509	0.5703675	0.2269976	0.6257826	1.0040500	0.4669637	0.1627458	0.8586807	0.7337308	1.0654107	0.7725903	0.5044614	0.9415015	0.5150529	0.2106566	0.6806704	0.0420126	0.4348863	0.6022911	0.7460938	0.7191905	0.5009962	1.0242672	0.6893085	0.8063538	0.3359086	0.0009212	0.1673126	0.1023878	0.1559125	0.8585236	0.4746764	0.2728165	0.4956727	0.1471360	0.0214696	0.2952493	0.2853753	0.1133215	0.7515745	0.8556815	0.6813799	0.0907134	0.0013723	0.4336646	0.0811482	0.0030733	0.1223198	0.5170682	0.4716263	0.7471743	0.0140480	0.5509604	0.9901767	0.2404439	0.7243156	1.0131232	0.2711873	0.3968509	0.6972110	0.6921277	0.7139531	0.7451201	0.0405863	0.8069784	0.1522508	0.0772552	0.8971997	0.1453337	0.7434758	0.3276979	0.2700597
650	0.7666579	0.2086618	0.8060080	0.5760700	0.2095401	0.1689353	0.2481170	0.1771634	0.8344550	0.4601597	0.9212084	0.5384332	0.5628897	0.2651663	0.3758625	0.6047478	0.1420552	0.9610678	0.4753075	0.2566996	0.5054548	0.2070972	0.4072978	0.8944200	0.9419514	0.7013101	0.4289407	0.2098817	0.6163766	0.5518767	0.2121959	0.4843071	0.9667488	0.4135819	0.2169734	0.8764612	0.6844167	1.0620769	0.6571534	0.3961668	0.8000128	0.4234996	0.2351264	0.6797435	0.0397195	0.3714333	0.6171647	0.7129116	0.6622907	0.5544152	0.9442653	0.6063941	0.8318503	0.2547352	0.0044454	0.1368897	0.1118643	0.1876601	0.8116138	0.3196668	0.3684130	0.5265822	0.2137697	0.0352222	0.3049587	0.2696336	0.2295463	0.8201898	0.7824495	0.7144036	0.0777536	0.0045261	0.5259013	0.0845778	0.0041515	0.1276066	0.3181196	0.4231786	0.7579623	0.0028333	0.4760278	0.8563646	0.3757374	0.7464709	0.9309926	0.2477821	0.5765977	0.7071470	0.6094556	0.6043085	0.7381795	0.0716338	0.8440868	0.1196905	0.1008021	0.8132407	0.3968840	0.6611890	0.3638736	0.2303322
700	0.7370835	0.1754840	0.6347197	0.6484114	0.2924021	0.1573410	0.2091790	0.1502052	0.8387862	0.4081379	0.9271834	0.4040826	0.5548619	0.2340693	0.2573397	0.5645528	0.1708310	0.7117063	0.3218768	0.3148459	0.5130751	0.1845432	0.4037823	0.9749177	0.8807750	0.5570984	0.2737581	0.1142863	0.6647420	0.6520048	0.1742660	0.4598708	1.0401690	0.4592573	0.2761797	0.8731241	0.7542660	1.0431376	0.4508214	0.4320848	0.7088408	0.3097652	0.2556128	0.7037424	0.0292749	0.4404827	0.6184013	0.6826481	0.6780794	0.5175213	1.0077870	0.5563270	0.7381017	0.2454345	0.0004028	0.1129968	0.1095705	0.1965052	0.7376366	0.2698304	0.2864466	0.4823078	0.2441203	0.0315797	0.3806001	0.2838279	0.3834544	0.7068102	0.7367713	0.6142686	0.0911607	0.0039591	0.6037166	0.0835493	0.0082845	0.1332738	0.2876316	0.3960313	0.7335338	0.0068701	0.4504001	0.8488449	0.5559178	0.7423058	0.9499788	0.1019653	0.6739422	0.6620929	0.6174765	0.5894686	0.8215893	0.1389418	0.7620738	0.1222493	0.1929210	0.7491664	0.5932937	0.5803286	0.5857156	0.2251643
750	0.8691375	0.2713490	0.6515261	0.6577912	0.4095699	0.2190778	0.1961406	0.1570979	0.8404283	0.5092926	1.0068712	0.2792191	0.6416354	0.1810216	0.1768242	0.4590548	0.1593950	0.4668474	0.2312011	0.3377784	0.6082502	0.1704817	0.3896940	0.9702277	0.7607805	0.2982673	0.1955957	0.1064604	0.7067223	0.5779476	0.0990015	0.4299685	0.9132143	0.6045396	0.2899339	0.7456043	0.7498401	0.8354861	0.4513373	0.3343713	0.7648539	0.2327338	0.2930840	0.8355954	0.0327027	0.3913624	0.6630645	0.6449225	0.7145443	0.4994758	1.0393732	0.5177025	0.7978219	0.2191104	0.0014474	0.1295724	0.0860108	0.2291792	0.7589411	0.2254202	0.2162157	0.4205837	0.2022450	0.0421273	0.4202598	0.2349189	0.5172886	0.6838724	0.7267720	0.5932316	0.0729190	0.0056917	0.5816922	0.1777116	0.0045612	0.1125491	0.4003547	0.5203366	0.7192657	0.0165209	0.4599382	0.7344053	0.6860130	0.8073314	0.9025586	0.0808115	0.6452161	0.6230896	0.5955416	0.5564554	0.7663764	0.1450391	0.7734347	0.1566850	0.2809394	0.7319099	0.7589236	0.6018450	0.6140441	0.2197498
800	0.9167076	0.2300108	0.7916265	0.6441254	0.3811036	0.2277956	0.2129590	0.1694698	0.8403218	0.5298084	0.9710364	0.1751429	0.7483538	0.1379619	0.1189950	0.4409421	0.1644539	0.3021433	0.2000559	0.3076769	0.4834213	0.3856349	0.4730697	1.0165577	0.4507427	0.2144074	0.1940336	0.0955726	0.6847506	0.5507157	0.1024446	0.3806512	0.9302674	0.5468245	0.3800695	0.8449671	0.7807351	0.7935999	0.3905431	0.3370782	0.7597517	0.1346549	0.2781960	0.8464351	0.0380921	0.3768076	0.7231483	0.6039167	0.6073212	0.5435327	1.0837688	0.4617208	0.8574494	0.1804898	0.0005711	0.1010935	0.1027147	0.1557474	0.7017411	0.2243215	0.1490728	0.4630130	0.2152991	0.0834921	0.4782509	0.2105617	0.4640444	0.5960192	0.6927207	0.6403427	0.0670428	0.0070981	0.6407328	0.2244379	0.0053033	0.1361622	0.4933840	0.5793149	0.7003078	0.0247724	0.4958637	0.6677610	0.6469278	0.6924758	0.8718800	0.0920143	0.7222156	0.6408747	0.5900934	0.6483672	0.7630393	0.1610381	0.8294711	0.1160913	0.3731087	0.7199853	0.7907173	0.4319397	0.6995131	0.2032704
850	0.9301208	0.2229232	0.7487658	0.6876476	0.3936174	0.1608072	0.1594410	0.1066168	0.9031418	0.5530081	0.9592988	0.1152534	0.7785622	0.1299775	0.1040099	0.4299336	0.2165654	0.2056674	0.1598610	0.1718641	0.3984894	0.5978957	0.4870719	1.0009548	0.2600740	0.1598784	0.2086495	0.1406322	0.6409622	0.5409557	0.0772709	0.2613965	0.8642272	0.5409550	0.5205756	0.9218608	0.8314106	0.7711216	0.2802753	0.3314706	0.7276704	0.0917111	0.4030524	0.9172306	0.0279535	0.3178327	0.7375240	0.5835438	0.5090291	0.5104066	1.0335102	0.3946365	0.9056681	0.1887458	0.0004272	0.0849927	0.0786867	0.1533057	0.7579208	0.2300968	0.1397829	0.5014612	0.1740755	0.1948803	0.4699526	0.2205024	0.5061453	0.6357990	0.7570890	0.6314808	0.0245098	0.0249796	0.6749316	0.2800755	0.0304853	0.2131399	0.5686802	0.5676238	0.6899669	0.0190886	0.4265049	0.6815020	0.7149916	0.6182516	0.8425854	0.0571718	0.7574304	0.6224023	0.5192993	0.6889465	0.7458072	0.2967966	0.8045859	0.1324017	0.3888111	0.6737544	0.8493585	0.4821027	0.7338547	0.2548204
900	0.8679917	0.1968818	0.7461068	0.6063688	0.5297797	0.2049724	0.1293617	0.1210161	0.8653188	0.5958801	1.1113383	0.1178167	0.8265101	0.1096889	0.1078471	0.4235764	0.2723092	0.2825332	0.1586203	0.1592263	0.3192035	0.7802234	0.4987892	0.8552300	0.2142144	0.1158719	0.2340484	0.1604419	0.6517308	0.4883619	0.0764963	0.1810570	0.9532647	0.5395360	0.5991205	0.8540218	0.8538656	0.5243772	0.2287632	0.3054962	0.7014138	0.0983915	0.4508493	0.9868829	0.0310817	0.2334638	0.7580630	0.5383489	0.4733982	0.4793554	1.1878788	0.3360160	1.0894731	0.1393035	0.0004279	0.0666604	0.0622782	0.1652959	0.7147440	0.2252697	0.1863319	0.4726996	0.1205611	0.2471438	0.4211340	0.2749023	0.4585013	0.5900694	0.7930086	0.5669621	0.0075222	0.0263466	0.7006824	0.3199403	0.0376687	0.3116485	0.6050296	0.5387692	0.6900834	0.0233893	0.4578203	0.7485161	0.6972789	0.6846825	0.8866298	0.0615626	0.6904735	0.7396050	0.5321457	0.6308140	0.7620978	0.3882896	0.7845597	0.1315730	0.3831517	0.6906052	0.7190786	0.4704206	0.7817577	0.2414862
950	0.9164801	0.1846853	0.8908735	0.5435801	0.5593712	0.1531124	0.1680997	0.1207199	0.9418519	0.6083209	1.0688937	0.1219112	0.8654348	0.0831828	0.0984772	0.5164900	0.2070053	0.2992184	0.1345947	0.1033609	0.2287202	1.0292224	0.4860300	0.9191972	0.1271049	0.1045238	0.2738107	0.1426493	0.5666227	0.5007503	0.0627442	0.1446048	0.9687289	0.5258224	0.5952468	0.9655336	0.9042425	0.4676275	0.2016654	0.3339601	0.6839705	0.1379013	0.4764337	0.9369565	0.0265394	0.1910567	0.8431572	0.4682517	0.4375208	0.5468107	1.0163716	0.2400730	0.9852338	0.1756848	0.0004766	0.0602158	0.0449793	0.1267346	0.6673495	0.2419092	0.1851536	0.5148308	0.1164560	0.2053540	0.4191521	0.2253320	0.4192457	0.5771776	0.6823564	0.4273207	0.0071266	0.0671917	0.8056402	0.2958092	0.0432277	0.4551507	0.6542741	0.6441256	0.5769290	0.0094466	0.4853000	0.6998303	0.7243846	0.7061021	0.8447188	0.0544789	0.7732977	0.6241688	0.5945796	0.6929807	0.7647264	0.3333241	0.8543782	0.1033977	0.4247644	0.6417500	0.9014332	0.4769194	0.8453924	0.1981717
1000	0.9253137	0.1228789	0.9036789	0.4418825	0.5236566	0.1371154	0.1290557	0.1201134	0.9953914	0.6449574	1.0083673	0.0905992	0.8482825	0.0678533	0.1246014	0.6163278	0.1940293	0.2893271	0.1166538	0.0520657	0.1973213	0.9345079	0.4537435	0.8337179	0.1343684	0.1335278	0.2507923	0.1149663	0.5876951	0.6007602	0.0657342	0.0767599	0.9031494	0.5736174	0.6250752	0.9925246	0.9508309	0.3962930	0.1505823	0.3749253	0.6631728	0.1676227	0.4096580	1.0333269	0.0119403	0.2067552	0.8184519	0.4439968	0.4384007	0.5420451	1.0411050	0.2047110	0.9159651	0.3248389	0.0016495	0.0783327	0.0242336	0.1286845	0.7491078	0.2590266	0.2029881	0.5386074	0.1326100	0.1815581	0.4341895	0.3121504	0.4121035	0.5390730	0.6476639	0.2379113	0.0048891	0.0768777	0.7626392	0.2400151	0.0975548	0.5719906	0.6698115	0.6391443	0.6002537	0.0227106	0.4277589	0.6873210	0.6552921	0.6405411	0.7964056	0.0414025	0.7809210	0.6933203	0.7129591	0.6623783	0.7373603	0.3513984	0.9140183	0.0893680	0.3686014	0.5922162	1.0605247	0.4538337	0.8996895	0.3097590

0	0.4504984	0.5105983	1.0087692	0.3775308	0.5223548	0.2290704	0.2094727	0.4651150	0.7175717	0.6549941	1.0083597	0.3082482	0.8213174	0.0362803	0.0596284	1.0646099	0.0754296	0.0633423	0.1484667	0.0125289	0.1570169	1.1080664	0.4756865	0.9214755	0.1437656	0.1323785	0.1623676	0.0258815	0.0665022	0.1021834	0.0571528	0.0183250	0.9884542	0.0407338	0.5475313	0.9918551	1.0217315	0.0980720	0.1677212	0.3548798	0.7034544	0.6632860	0.3954841	0.9143467	0.0363293	0.1361098	0.9157393	0.7276699	0.6558442	0.4262722	1.0112715	0.3481465	0.8160794	0.6177655	0.0007870	0.3370587	0.0068986	0.1511764	0.8140203	0.2603691	0.0233860	0.3871862	0.0611859	0.0181265	0.4388927	0.4471186	1.0509120	0.1697489	0.8124756	0.2050062	0.0047595	0.1322862	0.5063590	0.3168428	0.3921551	0.5031988	0.3472859	0.4976706	0.7203629	0.0053980	0.5412704	0.7160621	0.7221293	0.7768509	0.9141983	0.2984563	1.0299486	0.6441137	0.9048418	0.7526006	0.7084041	0.0742135	1.0179880	0.0009248	0.6966946	0.8095229	0.8899548	0.5124583	0.9013276	0.2226676
