"SUID","__glayCluster","name","selected","shared name"
"12169","18","pqib","false","pqib"
"12167","18","pqia","false","pqia"
"12165","18","nfsb","false","nfsb"
"12163","18","nfsa","false","nfsa"
"12161","18","inaa","false","inaa"
"12156","18","acna","false","acna"
"12145","9","sera","false","sera"
"12136","9","osmc","false","osmc"
"12129","25","micf","false","micf"
"12126","9","livj","false","livj"
"12124","9","lhgo","false","lhgo"
"12120","9","gabt","false","gabt"
"12118","9","gabp","false","gabp"
"12116","9","gabd","false","gabd"
"12104","9","csid","false","csid"
"12100","9","argo","false","argo"
"12097","43","uvrb","false","uvrb"
"12095","43","umud","false","umud"
"12093","43","umuc","false","umuc"
"12091","43","ruvb","false","ruvb"
"12089","43","ruva","false","ruva"
"12087","43","recx","false","recx"
"12085","43","recd","false","recd"
"12083","43","recb","false","recb"
"12081","43","reca","false","reca"
"12079","43","ptra","false","ptra"
"12077","43","dinf","false","dinf"
"12076","43","lexa","false","lexa"
"12064","44","kdpf","false","kdpf"
"12062","44","kdpc","false","kdpc"
"12060","44","kdpb","false","kdpb"
"12058","44","kdpa","false","kdpa"
"12057","44","kdpe","false","kdpe"
"12055","32","ydiu","false","ydiu"
"12047","32","rnlb","false","rnlb"
"12045","32","rnla","false","rnla"
"12043","32","nfua","false","nfua"
"12041","32","naph","false","naph"
"12039","32","napg","false","napg"
"12037","32","napf","false","napf"
"12035","32","napd","false","napd"
"12033","32","napc","false","napc"
"12031","32","napb","false","napb"
"12029","32","napa","false","napa"
"12027","32","iscu","false","iscu"
"12025","32","iscs","false","iscs"
"12023","32","isca","false","isca"
"12015","32","erpa","false","erpa"
"12014","32","iscr","false","iscr"
"12009","32","yjbh","false","yjbh"
"12007","32","yjbg","false","yjbg"
"12005","32","yjbf","false","yjbf"
"12003","32","yjbe","false","yjbe"
"11985","18","soda","false","soda"
"11979","32","psts","false","psts"
"11977","32","pstc","false","pstc"
"11975","32","pstb","false","pstb"
"11973","32","psta","false","psta"
"11971","32","prox","false","prox"
"11969","32","prow","false","prow"
"11967","32","prov","false","prov"
"11965","32","phou","false","phou"
"11931","32","norw","false","norw"
"11929","32","norv","false","norv"
"11924","12","nark","false","nark"
"11921","32","ilvx","false","ilvx"
"11919","32","ilvm","false","ilvm"
"11917","32","ilvl","false","ilvl"
"11915","32","ilvg_2","false","ilvg_2"
"11913","32","ilvg_1","false","ilvg_1"
"11911","32","ilve","false","ilve"
"11909","32","ilvd","false","ilvd"
"11907","32","ilva","false","ilva"
"11886","32","glnq","false","glnq"
"11884","32","glnp","false","glnp"
"11882","32","glnh","false","glnh"
"11876","32","dmsc","false","dmsc"
"11874","32","dmsb","false","dmsb"
"11872","32","dmsa","false","dmsa"
"11870","32","cysj","false","cysj"
"11868","32","cysi","false","cysi"
"11866","32","cysh","false","cysh"
"11857","45","metq","false","metq"
"11855","45","metn","false","metn"
"11853","45","meti","false","meti"
"11850","45","hypt","false","hypt"
"11840","9","hu","false","hu"
"11838","9","yjjp","false","yjjp"
"11833","12","ydep","false","ydep"
"11831","9","ycig","false","ycig"
"11829","9","ycif","false","ycif"
"11827","9","ycie","false","ycie"
"11820","9","rcsd","false","rcsd"
"11805","9","hded","false","hded"
"11801","9","hcha","false","hcha"
"11787","9","gspb","false","gspb"
"11785","9","gspa","false","gspa"
"11776","9","fimi","false","fimi"
"11774","9","fimh","false","fimh"
"11772","9","fimg","false","fimg"
"11770","9","fimf","false","fimf"
"11768","9","fime","false","fime"
"11766","9","fimd","false","fimd"
"11764","9","fimc","false","fimc"
"11761","9","fima","false","fima"
"11758","9","evgs","false","evgs"
"11753","45","cydb","false","cydb"
"11751","45","cyda","false","cyda"
"11749","9","chia","false","chia"
"11737","32","glmy","false","glmy"
"11736","32","glrr","false","glrr"
"11734","46","glpx","false","glpx"
"11732","46","glpt","false","glpt"
"11730","46","glpq","false","glpq"
"11728","46","glpk","false","glpk"
"11726","46","glpf","false","glpf"
"11723","46","glpc","false","glpc"
"11721","46","glpb","false","glpb"
"11719","46","glpa","false","glpa"
"11714","9","gals","false","gals"
"11712","9","galt","false","galt"
"11710","9","galm","false","galm"
"11708","9","galk","false","galk"
"11706","9","gale","false","gale"
"11705","9","galr","false","galr"
"11703","9","muri","false","muri"
"11698","9","btub","false","btub"
"11693","9","yhim","false","yhim"
"11691","9","slp","false","slp"
"11688","9","dctr","false","dctr"
"11684","9","aslb","false","aslb"
"11682","9","adic","false","adic"
"11673","9","ydfn","false","ydfn"
"11671","9","tfaq","false","tfaq"
"11669","32","sufs","false","sufs"
"11667","32","sufe","false","sufe"
"11665","32","sufd","false","sufd"
"11663","32","sufc","false","sufc"
"11661","32","sufb","false","sufb"
"11659","32","sufa","false","sufa"
"11656","18","pyrc","false","pyrc"
"11654","9","oppf","false","oppf"
"11652","9","oppd","false","oppd"
"11650","9","oppc","false","oppc"
"11648","9","oppb","false","oppb"
"11646","9","oppa","false","oppa"
"11644","9","noha","false","noha"
"11642","9","gspo","false","gspo"
"11640","9","gspm","false","gspm"
"11638","9","gspl","false","gspl"
"11636","9","gspk","false","gspk"
"11634","9","gspj","false","gspj"
"11632","9","gspi","false","gspi"
"11630","9","gsph","false","gsph"
"11628","9","gspg","false","gspg"
"11626","9","gspf","false","gspf"
"11624","9","gspe","false","gspe"
"11622","9","gspd","false","gspd"
"11620","9","gspc","false","gspc"
"11618","9","garr","false","garr"
"11616","9","garp","false","garp"
"11614","9","garl","false","garl"
"11612","9","gark","false","gark"
"11610","9","ftna","false","ftna"
"11608","9","fhud","false","fhud"
"11606","9","fhuc","false","fhuc"
"11604","9","fhub","false","fhub"
"11602","9","fhua","false","fhua"
"11600","9","fepg","false","fepg"
"11598","9","fepd","false","fepd"
"11596","9","fepc","false","fepc"
"11594","9","ents","false","ents"
"11592","9","crl","false","crl"
"11590","9","yhid","false","yhid"
"11588","9","pder","false","pder"
"11586","9","osmy","false","osmy"
"11582","9","hdeb","false","hdeb"
"11580","9","hdea","false","hdea"
"11573","47","yecr","false","yecr"
"11571","47","tcyj","false","tcyj"
"11569","47","sroc","false","sroc"
"11567","47","gltl","false","gltl"
"11565","47","gltk","false","gltk"
"11563","47","gltj","false","gltj"
"11561","47","glti","false","glti"
"11559","47","flir","false","flir"
"11557","47","fliq","false","fliq"
"11555","47","flip","false","flip"
"11553","47","flio","false","flio"
"11551","47","flin","false","flin"
"11549","47","flim","false","flim"
"11547","47","flil","false","flil"
"11545","47","flia","false","flia"
"11543","47","flhe","false","flhe"
"11541","47","flhb","false","flhb"
"11539","47","flha","false","flha"
"11537","47","flgj","false","flgj"
"11535","47","flgi","false","flgi"
"11533","47","flgh","false","flgh"
"11531","47","flgg","false","flgg"
"11529","47","flgf","false","flgf"
"11527","47","flge","false","flge"
"11525","47","flgd","false","flgd"
"11523","47","flgc","false","flgc"
"11521","47","flgb","false","flgb"
"11519","33","yoag","false","yoag"
"11516","33","year","false","year"
"11514","33","tyru","false","tyru"
"11512","33","tufb","false","tufb"
"11510","33","topa","false","topa"
"11508","33","thrv","false","thrv"
"11506","33","thru","false","thru"
"11504","33","thrt","false","thrt"
"11502","9","ssrs","false","ssrs"
"11500","33","rrsh","false","rrsh"
"11498","33","rrsg","false","rrsg"
"11496","33","rrse","false","rrse"
"11494","33","rrsd","false","rrsd"
"11492","9","rrsc","false","rrsc"
"11490","9","rrsb","false","rrsb"
"11488","33","rrsa","false","rrsa"
"11486","33","rrlh","false","rrlh"
"11484","33","rrlg","false","rrlg"
"11482","33","rrle","false","rrle"
"11480","33","rrld","false","rrld"
"11478","9","rrlc","false","rrlc"
"11476","9","rrlb","false","rrlb"
"11474","33","rrla","false","rrla"
"11472","33","rrfh","false","rrfh"
"11470","33","rrfg","false","rrfg"
"11468","33","rrff","false","rrff"
"11466","33","rrfe","false","rrfe"
"11464","33","rrfd","false","rrfd"
"11462","9","rrfc","false","rrfc"
"11460","9","rrfb","false","rrfb"
"11458","33","rrfa","false","rrfa"
"11456","9","rnpb","false","rnpb"
"11454","33","quea","false","quea"
"11450","33","osme","false","osme"
"11448","12","ogt","false","ogt"
"11446","33","nuon","false","nuon"
"11444","33","nuom","false","nuom"
"11442","33","nuol","false","nuol"
"11440","33","nuok","false","nuok"
"11438","33","nuoj","false","nuoj"
"11436","33","nuoi","false","nuoi"
"11434","33","nuoh","false","nuoh"
"11432","33","nuog","false","nuog"
"11430","33","nuof","false","nuof"
"11428","33","nuoe","false","nuoe"
"11426","33","nuoc","false","nuoc"
"11424","33","nuob","false","nuob"
"11422","33","nuoa","false","nuoa"
"11420","12","nrfg","false","nrfg"
"11418","12","nrff","false","nrff"
"11416","12","nrfe","false","nrfe"
"11414","12","nrfd","false","nrfd"
"11412","12","nrfc","false","nrfc"
"11410","12","nrfb","false","nrfb"
"11408","12","nrfa","false","nrfa"
"11404","30","ndh","false","ndh"
"11402","33","mazg","false","mazg"
"11399","33","ilev","false","ilev"
"11397","33","ileu","false","ileu"
"11395","33","ilet","false","ilet"
"11393","33","gyrb","false","gyrb"
"11391","33","gyra","false","gyra"
"11389","33","glyt","false","glyt"
"11387","33","gltw","false","gltw"
"11385","33","gltv","false","gltv"
"11383","9","gltu","false","gltu"
"11381","9","gltt","false","gltt"
"11379","9","fau","false","fau"
"11376","33","dps","false","dps"
"11374","33","cbpm","false","cbpm"
"11372","33","cbpa","false","cbpa"
"11370","9","bglg","false","bglg"
"11368","9","bglf","false","bglf"
"11366","9","bglb","false","bglb"
"11364","33","alav","false","alav"
"11362","33","alau","false","alau"
"11360","33","alat","false","alat"
"11358","33","adhe","false","adhe"
"11355","32","hype","false","hype"
"11353","32","hypd","false","hypd"
"11351","32","hypc","false","hypc"
"11349","32","hypb","false","hypb"
"11347","32","hypa","false","hypa"
"11345","32","hydn","false","hydn"
"11343","32","hyci","false","hyci"
"11341","32","hych","false","hych"
"11339","32","hycg","false","hycg"
"11337","32","hycf","false","hycf"
"11335","32","hyce","false","hyce"
"11333","32","hycd","false","hycd"
"11331","32","hycc","false","hycc"
"11329","32","hycb","false","hycb"
"11327","32","hyca","false","hyca"
"11325","12","fdhf","false","fdhf"
"11323","8","tyna","false","tyna"
"11321","8","feab","false","feab"
"11319","48","srod","false","srod"
"11317","48","fadj","false","fadj"
"11315","48","fadi","false","fadi"
"11313","33","fadh","false","fadh"
"11311","48","fade","false","fade"
"11309","48","fadd","false","fadd"
"11307","48","fabh","false","fabh"
"11305","48","fabg","false","fabg"
"11303","48","fabd","false","fabd"
"11301","48","fabb","false","fabb"
"11299","12","ydhy","false","ydhy"
"11297","12","ydhx","false","ydhx"
"11295","12","ydhw","false","ydhw"
"11293","12","ydhv","false","ydhv"
"11291","12","ydhu","false","ydhu"
"11289","12","ydht","false","ydht"
"11287","12","prmc","false","prmc"
"11285","12","prfa","false","prfa"
"11283","12","pdef","false","pdef"
"11281","33","nrdg","false","nrdg"
"11279","33","nrdd","false","nrdd"
"11277","12","nird","false","nird"
"11275","12","nirc","false","nirc"
"11273","12","nirb","false","nirb"
"11271","12","narj","false","narj"
"11269","12","nari","false","nari"
"11267","12","narh","false","narh"
"11265","12","narg","false","narg"
"11261","41","hmp","false","hmp"
"11258","12","hema","false","hema"
"11256","12","hcr","false","hcr"
"11254","12","hcp","false","hcp"
"11252","12","grca","false","grca"
"11250","12","fnrs","false","fnrs"
"11248","12","cysg","false","cysg"
"11244","12","mdh","false","mdh"
"11242","12","exut","false","exut"
"11239","12","citx","false","citx"
"11237","12","citg","false","citg"
"11235","12","citf","false","citf"
"11233","12","cite","false","cite"
"11231","12","citd","false","citd"
"11229","12","citc","false","citc"
"11227","33","yjev","false","yjev"
"11223","33","pola","false","pola"
"11216","33","alda","false","alda"
"11213","49","ydfx","false","ydfx"
"11211","49","ydfw","false","ydfw"
"11209","49","dicc","false","dicc"
"11208","49","dica","false","dica"
"11206","12","fumb","false","fumb"
"11204","12","frdd","false","frdd"
"11202","12","frdc","false","frdc"
"11200","12","frdb","false","frdb"
"11198","12","frda","false","frda"
"11196","12","dpib","false","dpib"
"11194","12","dcub","false","dcub"
"11191","50","ttdt","false","ttdt"
"11189","50","ttdb","false","ttdb"
"11187","50","ttda","false","ttda"
"11184","36","tsx","false","tsx"
"11182","36","rpoh","false","rpoh"
"11164","32","cysw","false","cysw"
"11162","32","cysu","false","cysu"
"11160","32","cysp","false","cysp"
"11158","32","cysm","false","cysm"
"11156","32","cysa","false","cysa"
"11154","51","cynx","false","cynx"
"11152","51","cynt","false","cynt"
"11150","51","cyns","false","cyns"
"11149","51","cynr","false","cynr"
"11147","8","cuss","false","cuss"
"11145","8","cusf","false","cusf"
"11143","8","cusc","false","cusc"
"11141","8","cusb","false","cusb"
"11139","8","cusa","false","cusa"
"11137","52","cueo","false","cueo"
"11135","52","copa","false","copa"
"11134","52","cuer","false","cuer"
"11132","25","yhbt","false","yhbt"
"11130","25","yhbs","false","yhbs"
"11128","25","ycct","false","ycct"
"11126","25","yccj","false","yccj"
"11124","25","wrba","false","wrba"
"11122","25","nlpa","false","nlpa"
"11120","25","flik","false","flik"
"11118","25","flij","false","flij"
"11116","25","flii","false","flii"
"11114","25","flih","false","flih"
"11112","25","flig","false","flig"
"11110","25","flif","false","flif"
"11108","25","flie","false","flie"
"11106","25","flgn","false","flgn"
"11104","25","flgm","false","flgm"
"11099","48","pgk","false","pgk"
"11097","48","pfka","false","pfka"
"11091","48","hypf","false","hypf"
"11089","48","fbaa","false","fbaa"
"11087","48","epd","false","epd"
"11085","48","eno","false","eno"
"11083","48","edd","false","edd"
"11081","48","eda","false","eda"
"11079","48","acek","false","acek"
"11077","48","aceb","false","aceb"
"11075","48","acea","false","acea"
"11073","18","yqja","false","yqja"
"11071","18","yebe","false","yebe"
"11069","18","ycca","false","ycca"
"11067","18","tsr","false","tsr"
"11064","18","spy","false","spy"
"11062","18","rpra","false","rpra"
"11060","18","rdoa","false","rdoa"
"11057","18","mzra","false","mzra"
"11055","18","motb","false","motb"
"11053","18","mota","false","mota"
"11051","18","mdtd","false","mdtd"
"11049","18","mdtc","false","mdtc"
"11047","18","mdtb","false","mdtb"
"11045","18","mdta","false","mdta"
"11042","18","ldtc","false","ldtc"
"11039","18","ftnb","false","ftnb"
"11037","18","efeu_2","false","efeu_2"
"11035","18","efeu_1","false","efeu_1"
"11033","18","dsba","false","dsba"
"11031","18","dgcz","false","dgcz"
"11029","18","cyar","false","cyar"
"11024","18","cpxp","false","cpxp"
"11022","18","cpxa","false","cpxa"
"11020","18","chew","false","chew"
"11018","18","chea","false","chea"
"11016","18","baes","false","baes"
"11014","14","arog","false","arog"
"11010","53","chbg","false","chbg"
"11008","53","chbf","false","chbf"
"11006","53","chbc","false","chbc"
"11004","53","chbb","false","chbb"
"11002","53","chba","false","chba"
"11001","53","chbr","false","chbr"
"10999","32","taud","false","taud"
"10997","32","tauc","false","tauc"
"10995","32","taub","false","taub"
"10993","32","taua","false","taua"
"10991","32","ssue","false","ssue"
"10989","32","ssud","false","ssud"
"10987","32","ssuc","false","ssuc"
"10985","32","ssub","false","ssub"
"10983","32","ssua","false","ssua"
"10981","54","fixx","false","fixx"
"10979","54","fixc","false","fixc"
"10977","54","fixb","false","fixb"
"10975","54","fixa","false","fixa"
"10973","54","cait","false","cait"
"10971","54","caie","false","caie"
"10969","54","caid","false","caid"
"10967","54","caic","false","caic"
"10965","54","caib","false","caib"
"10963","54","caia","false","caia"
"10962","54","caif","false","caif"
"10960","9","cadb","false","cadb"
"10958","9","cada","false","cada"
"10956","36","yiao","false","yiao"
"10954","36","yian","false","yian"
"10952","36","yiam","false","yiam"
"10950","36","yial","false","yial"
"10948","36","yiak","false","yiak"
"10946","36","yhfa","false","yhfa"
"10944","36","yhch","false","yhch"
"10942","36","xsea","false","xsea"
"10940","8","ugpq","false","ugpq"
"10938","8","ugpe","false","ugpe"
"10936","8","ugpc","false","ugpc"
"10934","8","ugpb","false","ugpb"
"10932","8","ugpa","false","ugpa"
"10930","36","udp","false","udp"
"10928","36","trxa","false","trxa"
