name,__glayCluster,,
YOR179C,25,,
YOR355W,25,,
YOR275C,25,,
YKL063C,25,,
YBR114W,25,,
YBR162W-A,25,,
YOR030W,25,,
YPL017C,25,,
YER033C,25,,
YBR162C,25,,
YEL039C,25,,
YOR354C,25,,
YMR194C-B,25,,
YBR067C,25,,
YGR279C,25,,
YDR043C,24,,
YBR150C,24,,
YBR066C,24,,
YMR136W,24,,
YOR140W,24,,
YGL013C,24,,
YIR013C,24,,
YPR157W,24,,
YDR044W,24,,
YMR084W,24,,
YER096W,24,,
YDR111C,24,,
YDR435C,24,,
YDR436W,24,,
YIL020C,24,,
YDL089W,24,,
YLR187W,24,,
YGL012W,24,,
YIL019W,24,,
YFR015C,24,,
YNL065W,24,,
YLR012C,24,,
YOR136W,24,,
YOR138C,24,,
YBR018C,24,,
YGR237C,24,,
YPR061C,24,,
YDL090C,24,,
YPL058C,24,,
YPR062W,24,,
YPR156C,24,,
YBR151W,24,,
YIR014W,24,,
YKL032C,23,,
YGL162W,23,,
YIL119C,23,,
YGR067C,23,,
YPL230W,23,,
YGL055W,23,,
YHR080C,23,,
YMR011W,23,,
YDL214C,23,,
YBR069C,23,,
YGL163C,23,,
YPR006C,23,,
YPL024W,23,,
YIL118W,23,,
YNL231C,23,,
YER044C,23,,
YGL056C,23,,
YPL026C,23,,
YJL105W,23,,
YOR107W,23,,
YHR081W,23,,
YBL103C,22,,
YMR070W,22,,
YLR266C,22,,
YIL056W,22,,
YJR109C,22,,
YEL060C,22,,
YKR034W,22,,
YOL043C,22,,
YPR036W-A,22,,
YHR091C,22,,
YOR093C,22,,
YMR251W-A,22,,
YDL067C,22,,
YLR049C,22,,
YLR082C,22,,
YHR162W,22,,
YDR127W,22,,
YLL005C,22,,
YDR042C,22,,
YNL036W,22,,
YPL137C,22,,
YPL135W,22,,
YLR130C,22,,
YLL004W,22,,
YBL043W,22,,
YHR161C,22,,
YNL037C,22,,
YGR142W,22,,
YJR110W,22,,
YDL049C,22,,
YMR257C,22,,
YOR094W,22,,
YDL066W,22,,
YMR106C,22,,
YOL042W,22,,
YJR148W,22,,
YKL020C,21,,
YFL021W,21,,
YJL110C,21,,
