name,__glayCluster,Unnamed: 2
glgs,5,
glpe,5,
glpf,5,
glpg,5,
glpk,5,
glpq,5,
glpt,5,
glpx,5,
gntp,5,
gpsa,5,
grpe,5,
gutq,5,
hflc,5,
hflk,5,
hflx,5,
hfq,5,
hofb,5,
hofc,5,
hpt,5,
ilvb,5,
ilvn,5,
ivbl,5,
laca,5,
lacy,5,
lacz,5,
lamb,5,
lsra,5,
lsrb,5,
lsrc,5,
lsrd,5,
lsrf,5,
lsrg,5,
lsrk,5,
lyxk,5,
male,5,
malf,5,
malg,5,
malk,5,
malm,5,
mals,5,
malx,5,
maly,5,
mana,5,
manx,5,
many,5,
manz,5,
mela,5,
melb,5,
mgla,5,
mglb,5,
mglc,5,
mhpa,5,
mhpb,5,
mhpc,5,
mhpd,5,
mhpe,5,
mhpf,5,
mpl,5,
murp,5,
nadc,5,
nagb,5,
nage,5,
narq,5,
nlpe,5,
ompa,5,
paaa,5,
paab,5,
paac,5,
paad,5,
paae,5,
paaf,5,
paag,5,
paah,5,
paai,5,
paaj,5,
paak,5,
pck,5,
pgk,5,
ppdd,5,
prib,5,
prop,5,
prpb,5,
prpc,5,
prpd,5,
prpe,5,
ptsh,5,
ptsi,5,
rbsa,5,
rbsb,5,
rbsc,5,
rbsd,5,
rbsk,5,
rhaa,5,
rhab,5,
rhad,5,
rmf,5,
rof,5,
rpli,5,
rpsf,5,
rpsr,5,
secb,5,
sfsa,5,
sgbe,5,
sgbh,5,
sgbu,5,
sodb,5,
sohb,5,
spec,5,
spf,5,
srla,5,
srlb,5,
srld,5,
srle,5,
tam,5,
tdcb,5,
tdcc,5,
tdcd,5,
tdce,5,
tdcf,5,
tdcg,5,
trg,5,
trxa,5,
ubig,5,
uida,5,
uidb,5,
uidc,5,
ulaa,5,
ulab,5,
ulac,5,
ulad,5,
ulae,5,
ulaf,5,
uxaa,5,
uxab,5,
uxac,5,
uxua,5,
uxub,5,
xsea,5,
xylf,5,
xylg,5,
xylh,5,
yaep,5,
yaeq,5,
ybfn,5,
ychh,5,
yeip,5,
yeiw,5,
yhfa,5,
yiak,5,
yial,5,
yiam,5,
yian,5,
yiao,5,
yjiy,5,
ynfk,5,
zras,5,
cred,5,
tala,5,
dsdc,5,
ebgr,5,
feoa,5,
feob,5,
malp,5,
malq,5,
dini,5,
malz,5,
crea,5,
crec,5,
glms,5,
glmu,5,
paax,5,
paay,5,
purd,5,
purh,5,
add,5,
uidr,5,
ular,5,
ulag,5,
yeht,5,
zrap,5,
fur,6,
oxyr,6,
yqji,6,
metj,6,
metr,6,
cira,6,
enta,6,
entb,6,
entc,6,
entd,6,
ente,6,
feca,6,
fecb,6,
fecc,6,
fecd,6,
fece,6,
fepa,6,
fiu,6,
metk,6,
cdar,6,
gard,6,
gark,6,
garl,6,
garp,6,
garr,6,
gudd,6,
gudp,6,
gudx,6,
rnpb,6,
aspc,6,
entf,6,
fepe,6,
fes,6,
glnd,6,
hcp,6,
hcr,6,
hmp,6,
katg,6,
ybdz,6,
yhja,6,
dps,6,
kate,6,
crl,6,
exbb,6,
exbd,6,
feci,6,
fecr,6,
fepb,6,
fepc,6,
fepd,6,
fepg,6,
fhua,6,
fhub,6,
fhuc,6,
fhud,6,
fhue,6,
fhuf,6,
gpma,6,
gspc,6,
gspd,6,
gspe,6,
gspf,6,
gspg,6,
gsph,6,
gspi,6,
gspj,6,
gspk,6,
gspl,6,
gspm,6,
gspo,6,
meth,6,
mnth,6,
noha,6,
ryhb,6,
sufa,6,
sufb,6,
sufc,6,
sufd,6,
sufe,6,
sufs,6,
tfaq,6,
tonb,6,
ygac,6,
yhhy,6,
yjjz,6,
yqjh,6,
ahpc,6,
ahpf,6,
fole,6,
meta,6,
metb,6,
metc,6,
mete,6,
metf,6,
meti,6,
metl,6,
metn,6,
metq,6,
yeib,6,
glya,6,
mntr,6,
ryba,6,
dsbg,6,
flu,6,
gor,6,
grxa,6,
hemh,6,
isrc,6,
oxys,6,
trxc,6,
ychf,6,
cysb,7,
cbl,7,
ssua,7,
ssub,7,
ssuc,7,
ssud,7,
ssue,7,
taua,7,
taub,7,
tauc,7,
taud,7,
cysa,7,
cysc,7,
cysd,7,
cysh,7,
cysi,7,
cysj,7,
cysk,7,
cysm,7,
cysn,7,
cysp,7,
cysu,7,
cysw,7,
hslj,7,
yciw,7,
yfbr,7,
ygeh,7,
yoac,7,
cytr,8,
hyfr,8,
fhla,8,
mode,8,
oppa,8,
oppb,8,
oppc,8,
oppd,8,
oppf,8,
cdd,8,
deoa,8,
deob,8,
deoc,8,
deod,8,
focb,8,
hyfa,8,
hyfb,8,
hyfc,8,
hyfd,8,
hyfe,8,
hyff,8,
hyfg,8,
hyfh,8,
hyfi,8,
hyfj,8,
moda,8,
modb,8,
modc,8,
nupc,8,
nupg,8,
ppia,8,
tsx,8,
udp,8,
ycdz,8,
cuer,8,
copa,8,
cueo,8,
moaa,8,
moab,8,
moac,8,
moad,8,
moae,8,
deor,8,
ccma,8,
ccmb,8,
ccmc,8,
ccmf,8,
ccmg,8,
dmsa,8,
dmsb,8,
dmsc,8,
hypb,8,
hypc,8,
hypd,8,
hype,8,
narx,8,
hyca,8,
hycb,8,
hycc,8,
hycd,8,
hyce,8,
hycf,8,
hycg,8,
hych,8,
hyci,8,
hydn,8,
hypa,8,
hypf,8,
fadr,9,
accb,9,
hipb,9,
hipa,9,
accc,9,
fada,9,
fadb,9,
fadd,9,
fade,9,
fadh,9,
fadl,9,
rela,9,
fabr,9,
faba,9,
fabb,9,
acca,9,
accd,9,
fabd,9,
fabg,9,
fabh,9,
fabi,9,
uspa,9,
argp,10,
dnaa,10,
fear,10,
nac,10,
purr,10,
hdfr,10,
asnc,10,
gltb,10,
gltd,10,
gltf,10,
argo,10,
dapb,10,
dapd,10,
dnan,10,
gdha,10,
lysa,10,
lysc,10,
lysp,10,
nrda,10,
nrdb,10,
recf,10,
yfae,10,
argr,10,
arga,10,
argb,10,
argc,10,
arge,10,
argf,10,
argg,10,
argh,10,
argi,10,
arti,10,
artj,10,
artm,10,
artp,10,
artq,10,
asta,10,
astb,10,
astc,10,
astd,10,
aste,10,
cara,10,
carb,10,
hisj,10,
hism,10,
hisp,10,
hisq,10,
mety,10,
nusa,10,
pnp,10,
rbfa,10,
rpso,10,
trub,10,
asna,10,
mioc,10,
feab,10,
gabd,10,
gabp,10,
gabt,10,
gcvh,10,
gcvp,10,
gcvt,10,
guaa,10,
guab,10,
rpoh,10,
sera,10,
csir,10,
pola,10,
purm,10,
purn,10,
tyna,10,
pyrd,10,
pyrc,10,
gcva,10,
gcvb,10,
lysr,10,
coda,10,
codb,10,
ydcs,10,
ydct,10,
ydcu,10,
ydcv,10,
pepa,10,
cvpa,10,
glnb,10,
hfld,10,
purb,10,
purc,10,
pure,10,
purf,10,
purk,10,
purl,10,
spea,10,
speb,10,
ubix,10,
ada,11,
aidb,11,
fis,11,
glng,11,
hupa,11,
hupb,11,
mtlr,11,
cspa,11,
hns,11,
yeil,11,
lrp,11,
leuo,11,
bglj,11,
stpa,11,
alka,11,
alkb,11,
fimb,11,
acs,11,
actp,11,
aldb,11,
ansb,11,
aroa,11,
bglb,11,
bglf,11,
bglg,11,
dada,11,
dadx,11,
dusb,11,
glna,11,
glnl,11,
gyra,11,
hlye,11,
mtla,11,
mtld,11,
nana,11,
nane,11,
nank,11,
nant,11,
osmy,11,
rplm,11,
rpsi,11,
serc,11,
yhch,11,
yjch,11,
alat,11,
alau,11,
alav,11,
alaw,11,
alax,11,
apag,11,
apah,11,
argu,11,
argw,11,
argx,11,
aspv,11,
cbpa,11,
cbpm,11,
flxa,11,
glnq,11,
glnu,11,
glnv,11,
glnw,11,
glnx,11,
gltt,11,
gltu,11,
gltv,11,
gltw,11,
gltx,11,
glyt,11,
glyu,11,
gyrb,11,
hisr,11,
ilet,11,
ileu,11,
ilev,11,
leup,11,
leuq,11,
leut,11,
leuv,11,
leuw,11,
leux,11,
lyst,11,
lysv,11,
lysw,11,
mazg,11,
mett,11,
metu,11,
msra,11,
osme,11,
pdxa,11,
pheu,11,
phev,11,
prok,11,
prol,11,
prom,11,
quea,11,
rrfa,11,
rrfb,11,
rrfc,11,
rrfd,11,
rrfe,11,
rrff,11,
rrfg,11,
rrfh,11,
rrla,11,
rrlb,11,
rrlc,11,
rrld,11,
rrle,11,
rrlg,11,
rrlh,11,
rrsa,11,
rrsb,11,
rrsc,11,
rrsd,11,
rrse,11,
rrsg,11,
rrsh,11,
sert,11,
serx,11,
ssrs,11,
thrt,11,
thru,11,
thrv,11,
thrw,11,
topa,11,
tpr,11,
trma,11,
tufb,11,
tyrt,11,
tyru,11,
tyrv,11,
valt,11,
valu,11,
valx,11,
valy,11,
dsra,11,
leua,11,
leub,11,
leuc,11,
leud,11,
leul,11,
fime,11,
avta,11,
fima,11,
