"Time"	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W
750	0.0194737	0.7476210	0.5032650	0.9996254	0.9946303	0.6292272	0.4924022	0.8791654	0.5920670	0.4376200
800	0.0194648	0.7479165	0.5037307	0.9998079	0.9984194	0.6420403	0.4844438	0.8774257	0.5872755	0.4390808
850	0.0194529	0.7481470	0.5039653	0.9998780	0.9995441	0.6482181	0.4858073	0.8764157	0.5847646	0.4399142
900	0.0194414	0.7482996	0.5040737	0.9999044	0.9998704	0.6487810	0.4895778	0.8758634	0.5834470	0.4404005
950	0.0194321	0.7483901	0.5041210	0.9999142	0.9999636	0.6470790	0.4921975	0.8755674	0.5827431	0.4406802
1000	0.0194256	0.7484397	0.5041408	0.9999178	0.9999899	0.6454624	0.4930660	0.8754082	0.5823602	0.4408375

0	0.0194330	0.7484748	0.5041534	0.9999198	1.0000000	0.6448098	0.4921324	0.8752214	0.5819036	0.4410257
50	0.0144835	0.8190179	0.5041538	0.9999199	1.0000000	0.6424934	0.4911268	0.9053468	0.5819452	0.4396674
100	0.0087403	0.8892877	0.5041540	0.9999199	1.0000000	0.6342219	0.4865088	0.9170899	0.5826742	0.4351886
150	0.0052473	0.9251126	0.5041541	0.9999199	1.0000000	0.6289512	0.4796466	0.9196301	0.5844533	0.4314620
200	0.0034464	0.9409265	0.5041541	0.9999199	1.0000000	0.6288614	0.4736297	0.9203377	0.5864902	0.4294740
250	0.0025836	0.9475639	0.5041541	0.9999199	1.0000000	0.6310529	0.4702532	0.9206843	0.5880918	0.4285776
300	0.0021860	0.9502941	0.5041541	0.9999199	1.0000000	0.6329374	0.4693075	0.9209044	0.5891116	0.4281877
350	0.0020070	0.9514077	0.5041541	0.9999199	1.0000000	0.6336752	0.4696146	0.9210406	0.5896856	0.4280108
400	0.0019275	0.9518603	0.5041541	0.9999199	1.0000000	0.6335861	0.4701410	0.9211186	0.5899876	0.4279247
450	0.0018927	0.9520439	0.5041541	0.9999199	1.0000000	0.6332476	0.4704232	0.9211606	0.5901414	0.4278804
500	0.0018775	0.9521184	0.5041541	0.9999199	1.0000000	0.6330108	0.4704437	0.9211824	0.5902193	0.4278572
550	0.0060162	0.8816141	0.5041541	0.9999199	1.0000000	0.6342795	0.4711590	0.8914988	0.5902130	0.4291384
600	0.0108926	0.8113601	0.5041541	0.9999199	1.0000000	0.6398591	0.4750074	0.8799167	0.5895130	0.4334947
650	0.0143010	0.7755417	0.5041541	0.9999199	1.0000000	0.6451141	0.4806817	0.8773468	0.5877654	0.4371883
700	0.0165144	0.7597304	0.5041541	0.9999199	1.0000000	0.6472117	0.4860620	0.8765227	0.5857589	0.4391920
750	0.0178596	0.7530941	0.5041541	0.9999199	1.0000000	0.6469432	0.4898252	0.8760405	0.5841772	0.4401236
800	0.0186205	0.7503643	0.5041541	0.9999199	1.0000000	0.6459334	0.4917540	0.8757084	0.5831618	0.4405545
850	0.0190248	0.7492509	0.5041541	0.9999199	1.0000000	0.6451589	0.4923756	0.8754954	0.5825793	0.4407689
900	0.0192292	0.7487984	0.5041541	0.9999199	1.0000000	0.6448433	0.4923730	0.8753699	0.5822625	0.4408843
950	0.0193288	0.7486148	0.5041541	0.9999199	1.0000000	0.6448333	0.4922216	0.8752999	0.5820929	0.4409489
1000	0.0193759	0.7485403	0.5041541	0.9999199	1.0000000	0.6449243	0.4921247	0.8752619	0.5820016	0.4409854

0	0.0194330	0.7484748	0.5041534	0.9999198	1.0000000	0.6448098	0.4921324	0.8752214	0.5819036	0.4410257
50	0.0194231	0.7484833	0.5041536	0.9999122	0.8543228	0.3579918	0.4717828	0.8587867	0.5818723	0.4417836
100	0.0194188	0.7484867	0.5041464	0.9998514	0.7251109	0.1939757	0.3933998	0.8523711	0.5814649	0.4443207
150	0.0194170	0.7484856	0.5041146	0.9997263	0.6699414	0.1577214	0.3202250	0.8509417	0.5804824	0.4464625
200	0.0194163	0.7484775	0.5040532	0.9995910	0.6504753	0.1567318	0.2761389	0.8504781	0.5793693	0.4476226
250	0.0194162	0.7484606	0.5039801	0.9994913	0.6441914	0.1604807	0.2539949	0.8502064	0.5785037	0.4481622
300	0.0194167	0.7484378	0.5039164	0.9994330	0.6422640	0.1630696	0.2439760	0.8500213	0.5779564	0.4484120
350	0.0194175	0.7484144	0.5038717	0.9994037	0.6416919	0.1643776	0.2397729	0.8499042	0.5776470	0.4485361
400	0.0194185	0.7483947	0.5038446	0.9993902	0.6415259	0.1649660	0.2381214	0.8498362	0.5774807	0.4486025
450	0.0194195	0.7483802	0.5038300	0.9993844	0.6414785	0.1652138	0.2375149	0.8497988	0.5773923	0.4486394
500	0.0194203	0.7483708	0.5038227	0.9993820	0.6414652	0.1653129	0.2373104	0.8497785	0.5773449	0.4486599
550	0.0194210	0.7483651	0.5038216	0.9994351	0.7871386	0.5191298	0.2467402	0.8662001	0.5773443	0.4479000
600	0.0194214	0.7483635	0.5038551	0.9996130	0.9163495	0.7208659	0.3227658	0.8726083	0.5777247	0.4453524
650	0.0194216	0.7483714	0.5039330	0.9997639	0.9715187	0.7430839	0.4279013	0.8740324	0.5786779	0.4432206
