"Time"	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C
950	0.3525826	0.3177834	0.4731794	0.5372850	0.2699960	0.6662022	0.1327848	0.7069843	0.0894161	0.7421349
1000	0.3736201	0.4973311	0.5521034	0.5756688	0.2565648	0.6937124	0.1487074	0.7191658	0.1588288	0.9183800

0	0.3096176	0.4892662	0.4191388	0.5525625	0.2630066	0.9200821	0.2226763	0.7940426	0.0411485	0.7655829
50	0.4494331	0.5296247	0.3968883	0.5904162	0.2348377	0.6327006	0.1369400	0.7422954	0.1077132	0.6430132
100	0.3951318	0.5945021	0.4828846	0.6042424	0.2398522	0.8143552	0.1276052	0.7105614	0.0996120	0.3904675
150	0.4545105	0.5732483	0.4319126	0.5820856	0.2580553	0.7852054	0.2562840	0.7798984	0.1096226	0.3065319
200	0.3981737	0.5216155	0.4438159	0.6597300	0.2349377	0.8545501	0.1878934	0.6546000	0.0534043	0.2732675
250	0.4934639	0.5403939	0.4903712	0.6265016	0.2475835	0.6862336	0.2037174	0.5910669	0.0697498	0.1900936
300	0.5902850	0.6166525	0.3850511	0.5396637	0.2870304	0.6333737	0.1474286	0.6820759	0.0656891	0.1838740
350	0.5541718	0.4975678	0.5121976	0.4399405	0.3118367	0.7297991	0.1672520	0.7430742	0.0758627	0.2261499
400	0.3989353	0.4233940	0.4173159	0.6118325	0.3132129	0.7848077	0.1916788	0.7836974	0.0522214	0.2595919
450	0.4473894	0.3218231	0.4283892	0.7091805	0.2876819	0.6643533	0.1821245	0.7560031	0.0734007	0.2241787
500	0.5171112	0.2850894	0.4963539	0.6488051	0.3368774	0.7970407	0.1927547	0.6921607	0.0464595	0.2498424
550	0.3677615	0.4513616	0.3590527	0.6188978	0.2496617	0.6437106	0.1444889	0.7946886	0.0712767	0.4848778
600	0.3632203	0.5174905	0.4894902	0.6729338	0.2494191	0.7416022	0.1400262	0.7437034	0.0745993	0.5715455
650	0.3586508	0.4222213	0.4659481	0.5028840	0.3217654	0.8681766	0.1276014	0.7933848	0.0993895	0.6127049
700	0.4132733	0.3812058	0.5353629	0.6384037	0.2361631	0.6737309	0.1608388	0.6761945	0.0520386	0.8680598
750	0.4559034	0.3898185	0.4828772	0.5144183	0.3011524	0.8919868	0.1548238	0.7009620	0.0719125	0.8095383
800	0.3610912	0.4229629	0.4345821	0.5632017	0.3324203	0.7918893	0.1548612	0.7472235	0.0471585	0.7009823
850	0.3256801	0.3206320	0.5866815	0.5794318	0.1819587	0.6812123	0.2093471	0.7767054	0.0543646	0.6540158
900	0.2522835	0.3973082	0.5167789	0.6321105	0.2839256	0.7518930	0.1607704	0.6884105	0.0741187	0.7167656
950	0.2815235	0.4985738	0.4134388	0.6807805	0.2049918	0.8126328	0.1784498	0.7829379	0.1110970	0.6798432
1000	0.3604253	0.3715560	0.4032694	0.6174458	0.2544177	0.6226206	0.2055089	0.8403444	0.1291873	0.7147488

0	0.3335891	0.3852248	0.4257440	0.5580187	0.3183991	0.7491470	0.2190067	0.7669800	0.1030540	0.7351473
50	0.3327752	0.3150707	0.4941175	0.6974122	0.3232436	0.6926737	0.1972666	0.6075772	0.0779152	0.6090887
100	0.3732196	0.5036435	0.5900942	0.4973144	0.2256325	0.7259351	0.3429668	0.3415895	0.0683388	0.4745062
150	0.2959995	0.3786567	0.4325965	0.6183872	0.3677578	0.6381709	0.5174522	0.1210880	0.0578132	0.2410936
200	0.3113065	0.3419374	0.5257961	0.6233261	0.3384522	0.6473884	0.7026408	0.0693016	0.1124821	0.2385654
250	0.2116057	0.4078698	0.4034060	0.4632435	0.3253381	0.5670845	0.6950262	0.0226194	0.0645967	0.2083068
300	0.2783884	0.4108465	0.2900196	0.4729537	0.3555567	0.3576849	0.7436394	0.0241706	0.1303726	0.2105053
350	0.2763525	0.4197745	0.3906053	0.6595923	0.4304539	0.3788740	0.7047289	0.0058673	0.2638688	0.2131806
400	0.2780078	0.4202556	0.4398702	0.5391716	0.3949526	0.4534344	1.0034103	0.0053524	0.3655593	0.2384208
450	0.2715830	0.6225075	0.2178659	0.5252842	0.3704308	0.2792729	0.8590550	0.0062989	0.5899886	0.2716477
500	0.2358372	0.6030601	0.2096530	0.6289792	0.4974025	0.2681371	0.7831318	0.0000000	0.5669570	0.2158264
550	0.1964294	0.6412907	0.1123789	0.5185909	0.4972475	0.2576490	0.7079952	0.0234848	0.6294804	0.3800743
600	0.1851857	0.7955656	0.1419596	0.7074458	0.4304892	0.2894853	0.7312951	0.0778427	0.3438099	0.5517014
650	0.1767967	0.8223257	0.2159941	0.6115699	0.4866558	0.2725599	0.8098932	0.1968768	0.1722240	0.5434566
700	0.2053525	0.7466705	0.2810919	0.5043218	0.5467734	0.3327625	0.7793420	0.2949071	0.1370607	0.6837749
750	0.2438021	0.6756460	0.3268915	0.6168412	0.4155343	0.3465593	0.5892559	0.3556858	0.0745566	0.8236895
800	0.2527087	0.6996085	0.4510347	0.6893462	0.5447011	0.4055888	0.5171437	0.4894023	0.0670431	0.6725526
850	0.3897921	0.5910362	0.4665854	0.6955310	0.3736237	0.4558792	0.3537693	0.6133840	0.0913808	0.6938025
900	0.4954478	0.5805690	0.4713899	0.6912891	0.2905553	0.6383515	0.3145073	0.6880686	0.0756560	0.7678778
950	0.5011560	0.4070367	0.4694224	0.7019856	0.3116718	0.6395932	0.2748622	0.6946204	0.0894736	0.6484340
1000	0.3876561	0.5018427	0.4972003	0.6474091	0.2136235	0.6553089	0.1613463	0.6613651	0.1125389	0.8286631

0	0.3336031	0.5736068	0.3876486	0.6376290	0.2776449	0.7721581	0.1922155	0.7436980	0.1608196	0.7647394
50	0.4905183	0.4383729	0.5928954	0.5504301	0.1956042	0.8315788	0.0991690	0.7253950	0.0460409	0.7544492
100	0.5946865	0.3905920	0.4403781	0.4948885	0.1790948	0.6935517	0.0690762	0.6776640	0.0310110	0.7270920
150	0.5239436	0.2822640	0.5009269	0.5944019	0.2825793	0.6875845	0.0066692	0.7412439	0.0083662	0.9081807
200	0.4632475	0.3327867	0.5358455	0.5550419	0.2979925	0.7526072	0.0075039	0.8245828	0.0041280	0.7051232
250	0.3939126	0.3230329	0.5677644	0.6003519	0.2782542	0.6273910	0.0050873	0.6703108	0.0012081	0.8273916
300	0.3973443	0.3301645	0.5530907	0.7182811	0.2489255	0.9014575	0.0129583	0.7430453	0.0039335	0.7752001
350	0.4029019	0.3836115	0.4456732	0.6792869	0.3528822	0.8009070	0.0010142	0.6994637	0.0025757	0.8362127
400	0.5225948	0.3016609	0.4318115	0.6201550	0.3020030	0.6955650	0.0007570	0.6752801	0.0008911	0.8268359
450	0.4868009	0.3279896	0.5166965	0.5514872	0.2486575	0.8027531	0.0029965	0.8060552	0.0001163	0.6715701
500	0.5211374	0.2803114	0.5161958	0.7511004	0.3555566	0.6827533	0.0005343	0.7647008	0.0024592	0.8120470
550	0.5029048	0.3467930	0.5392028	0.5644146	0.2998025	0.7824014	0.1011914	0.8402459	0.0362742	0.8446203
600	0.4441642	0.4222278	0.4554729	0.5764189	0.3248870	0.7355054	0.1198947	0.9171241	0.0532491	0.7052019
650	0.4318585	0.3018426	0.5248069	0.6127848	0.2356404	0.7642572	0.0975253	0.6769666	0.0356783	0.7779035
700	0.2989675	0.3076682	0.5208847	0.5821493	0.1970752	0.7078115	0.1559239	0.8869373	0.0752732	0.8433156
750	0.2931544	0.4214957	0.5446045	0.6157553	0.3209681	0.6979375	0.1644013	0.5643455	0.0606463	0.7267576
800	0.3402895	0.4068177	0.4357865	0.5667584	0.2730612	0.6618309	0.1650605	0.5851691	0.0953250	0.8122679
