"Time"	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C
550	0.6616386	0.3394238	0.5299542	0.0721951	0.1118463	0.6156769	0.6501519	0.3026574	0.7051695	0.7825326
600	0.7278204	0.6427772	0.6462202	0.1305597	0.1000506	0.7419388	0.7343898	0.3255081	0.6189321	0.6801287
650	0.6802192	0.8140615	0.6909329	0.0871051	0.0983522	0.8321586	0.7765168	0.2641348	0.6045699	0.7472291
700	0.7075156	0.8063026	0.6993492	0.0965888	0.0841016	0.7459682	0.7203255	0.4375805	0.4934919	0.6909445
750	0.6158880	0.9234167	0.7316073	0.1227240	0.1119409	0.6801890	0.7608713	0.5098316	0.4258691	0.7305975
800	0.8152763	0.7852252	0.6421536	0.1032183	0.0994175	0.5960288	0.7747951	0.5318678	0.4396102	0.7008449
850	0.7492194	0.6722789	0.6561498	0.1309782	0.0999405	0.7709247	0.6636060	0.4077299	0.3799356	0.7437054
900	0.7374751	0.7573796	0.5960776	0.0954950	0.1346535	0.8205043	0.6583662	0.4840291	0.3392738	0.8450095
950	0.8008563	0.8533079	0.6411019	0.1010270	0.0918527	0.7944005	0.7097764	0.5809150	0.3619845	0.8100940
1000	0.8868694	0.6609529	0.6176241	0.0951430	0.1233627	0.7734238	0.6699193	0.6388249	0.4645434	0.8139259

0	0.7922856	0.7373949	0.6088167	0.1028613	0.1078694	0.7643544	0.6634223	0.4873775	0.3332789	0.7918685
50	0.7462922	0.6989100	0.5784174	0.1204139	0.0984607	0.8229252	0.7518720	0.6347928	0.4853742	0.7036082
100	0.7077633	0.6345942	0.5908897	0.0948404	0.1091701	0.6364983	0.6836390	0.4440347	0.4569590	0.8026070
150	0.7103132	0.6740642	0.7181674	0.0966610	0.1043710	0.7654937	0.6966943	0.4394547	0.4374127	0.7717227
200	0.7851214	0.6564127	0.5857006	0.1204417	0.1005572	0.6569394	0.7854809	0.3453638	0.5847165	0.7260239
250	0.7779619	0.6707099	0.5800935	0.1304361	0.0835292	0.7332239	0.6306904	0.3927576	0.6201681	0.8113427
300	0.6537078	0.8319464	0.6552513	0.1078096	0.0886788	0.5835116	0.7680275	0.3702472	0.5476129	0.8283518
350	0.7491626	0.6064117	0.5802659	0.1900072	0.1275983	0.9090145	0.6749452	0.3046892	0.5787053	0.7030810
400	0.8852133	0.7087157	0.5800495	0.1240483	0.1100802	0.8970338	0.6032388	0.3970266	0.6512352	0.8431815
450	0.8423781	0.6644520	0.5674329	0.1071192	0.1160795	0.7322484	0.6634338	0.2670284	0.6560633	0.6810266
500	0.7110137	0.6092406	0.5813091	0.0986328	0.1359029	0.6401378	0.6554884	0.4058328	0.4744588	0.8045356
550	0.6544226	0.6751432	0.5615656	0.1944577	0.1643319	0.7633926	0.6595008	0.3285164	0.4755488	0.7554545
600	0.6999113	0.6660030	0.6363811	0.0846990	0.1201748	0.8664727	0.6695692	0.5453862	0.5119320	0.7687021
650	0.7478260	0.8298529	0.8093427	0.0891053	0.1406034	0.7835391	0.6792815	0.4241437	0.3404845	0.7288530
700	0.6097763	0.7150315	0.5385248	0.1151095	0.1369546	0.7969546	0.8169177	0.5547509	0.3980194	0.9267105
750	0.7173651	0.6332025	0.5497530	0.0871896	0.1055837	0.7984978	0.7860731	0.5935513	0.4125449	0.7693368
800	0.6115569	0.8044576	0.5404398	0.1012012	0.1287733	0.8257303	0.6614650	0.5060036	0.4181335	0.7548293
850	0.7680242	0.7152992	0.6458878	0.0708013	0.0881441	0.7019912	0.7876931	0.3834725	0.4321248	0.9088329
900	0.7619228	0.7216734	0.7244209	0.1168282	0.0948841	0.7609847	0.7816227	0.4867788	0.3773750	0.8226809
950	0.7039646	0.7527898	0.6957797	0.0781522	0.1508438	0.9095843	0.7047350	0.6245341	0.3608689	0.8772085
1000	0.5389252	0.6573308	0.6305102	0.1289252	0.1262844	0.9441485	0.6107312	0.3940737	0.3892538	0.6556546

0	0.7623956	0.6877380	0.5986464	0.0905326	0.1034692	0.6824406	0.7375514	0.4772357	0.4080428	0.8319345
50	0.7521687	0.7647562	0.3186091	0.1671987	0.0357098	0.5910058	0.6868640	0.4995822	0.3364347	0.8916255
100	0.7330921	0.7056832	0.1948973	0.1248124	0.0395816	0.6387116	0.6991972	0.5609072	0.3439925	0.8209961
150	0.8265374	0.5598437	0.2035240	0.0850918	0.0296394	0.7350829	0.8080605	0.4929551	0.4279272	0.8450411
200	0.7723834	0.6330918	0.2351341	0.1340051	0.0609514	0.8395738	0.8421574	0.4718273	0.2810805	0.5868844
250	0.7764719	0.5303549	0.2022100	0.0973404	0.0196589	0.8200587	0.8151467	0.5373153	0.3965788	0.6953352
300	0.6602021	0.6605138	0.3011932	0.0821991	0.0098533	0.8330854	0.7758288	0.4830657	0.4487271	0.7784105
350	0.7513976	0.6601463	0.2391521	0.0417456	0.0121116	0.7932044	0.8568659	0.4219956	0.4183187	0.6353933
400	0.6932885	0.5655101	0.1845771	0.0820919	0.0277123	0.7962498	0.7374716	0.4389255	0.3854831	0.7691434
450	0.5815616	0.6636904	0.2345559	0.0680276	0.0108146	0.7797164	0.7105427	0.4121758	0.4352849	0.7227896
500	0.6566146	0.6081465	0.2519651	0.0740118	0.0156993	0.7924201	0.8319160	0.5574707	0.3680442	0.6968025
550	0.8193642	0.4284269	0.5371658	0.0755438	0.0484089	0.6901648	0.6377762	0.4470661	0.4691724	0.7419129
600	0.6655457	0.4761524	0.5995631	0.1106448	0.0651408	0.7265219	0.8167405	0.4222422	0.5929507	0.6641111
650	0.6512584	0.5683608	0.6411181	0.0766750	0.1012272	0.8312794	0.7606434	0.4413943	0.5506692	0.7396414
700	0.8250167	0.6745524	0.6858144	0.0967941	0.1341172	0.7838410	0.6218802	0.4466865	0.4125717	0.7857501
750	0.6951261	0.7872468	0.6542210	0.0589804	0.1048243	0.8048125	0.6521451	0.3781328	0.4024691	0.7680930
800	0.8439137	0.6834248	0.7549871	0.0966764	0.0750322	0.7861651	0.5703101	0.4502841	0.4013261	0.8395962
850	0.7163989	0.8134622	0.8574230	0.0697965	0.0752509	0.8088379	0.6489330	0.5574653	0.4220106	0.6825297
900	0.7448184	0.7892882	0.6794968	0.1317691	0.1111906	0.8153776	0.6527503	0.5967797	0.4623712	0.7533728
950	0.8107588	0.5847591	0.5517547	0.1158955	0.0988477	0.8387070	0.7239223	0.5384846	0.3616812	0.7417971
1000	0.6909396	0.9098099	0.5427752	0.1353535	0.0642400	0.8312746	0.6170428	0.4401447	0.3800435	0.7806187

0	0.8327157	0.8565961	0.6207737	0.0736486	0.0730768	0.7342221	0.7065242	0.5479686	0.3935932	0.7415125
50	0.9800570	0.6113432	0.4810172	0.2206708	0.0537558	0.6670934	0.7439413	0.5459146	0.3583122	0.5206494
100	0.9225615	0.6361508	0.3330624	0.3504785	0.0561852	0.8655541	0.6123503	0.4791947	0.3743556	0.3945356
150	0.7976496	0.6213018	0.2589596	0.2364792	0.0908669	0.6605453	0.5588434	0.5058746	0.3898374	0.4677597
200	0.7709453	0.6107323	0.1842320	0.2818567	0.0497383	0.6944039	0.6027111	0.6041739	0.3299382	0.4682406
250	0.9272427	0.3174419	0.2173847	0.2548484	0.0633249	0.8145775	0.5874569	0.5551036	0.3076988	0.5437652
300	0.7603683	0.3074563	0.1764701	0.2581445	0.0495608	0.9702348	0.6198612	0.5765306	0.4308791	0.4478512
350	0.6757409	0.1195674	0.2286199	0.2453611	0.0198181	0.7667544	0.4385336	0.4892018	0.4963625	0.4478571
400	0.5964474	0.0741085	0.1605349	0.2785609	0.0421380	0.8232923	0.4634731	0.4761198	0.5921763	0.4118809
450	0.4719518	0.0479123	0.1743575	0.2724077	0.0289673	0.8684944	0.4236651	0.4376924	0.6801348	0.4864548
500	0.2008467	0.0877194	0.2140374	0.3184050	0.0375803	0.8210308	0.4247733	0.3872337	0.5782984	0.4433172
550	0.1757090	0.0667292	0.2436470	0.0997729	0.0819518	0.6978408	0.4654950	0.3844725	0.5766375	0.6990821
600	0.1409339	0.0574688	0.3589819	0.0843045	0.1068026	0.8056398	0.5923745	0.2984193	0.6838838	0.7443773
650	0.2506668	0.2215254	0.5373357	0.1380601	0.1216659	0.7740104	0.6090744	0.3453291	0.5680704	0.7805599
700	0.4252065	0.5278403	0.5160215	0.1018606	0.0919306	0.7622736	0.7434470	0.2616353	0.5865472	0.8010463
750	0.5521571	0.5633516	0.5819045	0.0981998	0.1779728	0.8256058	0.6353872	0.2070373	0.6355873	0.7792210
800	0.8656064	0.8284515	0.4884518	0.0799003	0.1060667	0.6732073	0.8023670	0.3185717	0.5497238	0.7447172
850	0.7736924	0.6618898	0.5292941	0.1103668	0.1716044	0.6838791	0.5963478	0.4411295	0.4745266	0.7363814
900	0.8067705	0.6548495	0.4910113	0.1204954	0.0741537	0.6463277	0.6002633	0.5550179	0.4449837	0.8689817
950	0.8223347	0.6442828	0.6001920	0.1105150	0.1094837	0.6291213	0.5626946	0.4298880	0.4115628	0.8864005
1000	0.6927401	0.6750777	0.6018251	0.0752600	0.1550110	0.6706522	0.6616291	0.4411678	0.4206160	0.7688351

0	0.8132236	0.8283223	0.5704304	0.0902995	0.0987307	0.8042171	0.7073918	0.5028831	0.4408023	0.7155575
50	0.7071464	0.6486662	0.5222781	0.1064365	0.1123165	0.8563649	0.8089346	0.4698836	0.4234428	0.5529005
100	0.8696971	0.7080521	0.4783953	0.1188550	0.1024527	0.7653789	0.6218681	0.4782687	0.3144185	0.5663131
150	0.8473343	0.7406321	0.6812976	0.1193068	0.1285707	0.6605128	0.6154572	0.5961453	0.3132229	0.5918185
200	0.7630934	0.8282274	0.5712328	0.1497233	0.1241782	0.9742399	0.8554725	0.6012428	0.2229689	0.6163159
250	0.7524033	0.6069899	0.6631972	0.1054350	0.0844382	0.7470050	0.6425817	0.7660928	0.3632344	0.5884696
300	0.8628011	0.6880665	0.6860652	0.0972232	0.0860876	0.8757576	0.6247557	0.5237347	0.4312047	0.5770875
350	0.7885381	0.7785419	0.5769708	0.1200694	0.1176423	0.6381023	0.7694197	0.5835872	0.2902338	0.4723123
400	0.8657467	0.6610443	0.5329931	0.0843398	0.1133637	0.7466417	0.6791026	0.6016801	0.3663002	0.5286688
450	0.7958436	0.7756387	0.6467274	0.1818031	0.1031915	0.7360566	0.5474909	0.6111228	0.2588562	0.5930596
500	0.8031492	0.7684735	0.5428863	0.1275673	0.1041259	0.6708051	0.6712881	0.5777594	0.3270187	0.4741118
550	0.8746317	0.7963549	0.5823296	0.0941715	0.1463217	0.8324924	0.5940161	0.6685017	0.3060420	0.6554450
600	0.7612106	0.7380990	0.5930741	0.0909664	0.1428999	0.7500669	0.7094723	0.5576366	0.4462782	0.6940680
650	0.7532803	0.7406156	0.5668810	0.0800326	0.0836923	0.8530086	0.6575655	0.6066209	0.3438443	0.7139108
700	0.8893469	0.6439941	0.5021289	0.1118563	0.1186628	0.8090726	0.7140188	0.5317043	0.3443626	0.8040325
750	0.8231856	0.5725627	0.4583209	0.1241860	0.0836319	0.7917077	0.6018652	0.6590784	0.4325454	0.7733648
800	0.7648104	0.6759006	0.6258958	0.1359343	0.0994191	0.7989244	0.7103781	0.6084215	0.2985204	0.6993496
850	0.9622654	0.6975724	0.4905456	0.0943544	0.0544120	0.8639881	0.7437634	0.6750481	0.3456478	0.6830743
900	0.8156045	0.6299028	0.5004023	0.0653795	0.1055321	0.7512252	0.7400547	0.5879791	0.3841345	0.8020830
950	0.6328166	0.7964075	0.5605370	0.0961967	0.1044154	0.7217694	0.6944994	0.4974879	0.4189218	0.7724917
1000	0.9003105	0.6755257	0.7379090	0.0823997	0.1124352	0.8876712	0.5815771	0.6796654	0.3422811	0.7743607

0	0.7448069	0.7268947	0.5283813	0.0724237	0.0933610	0.7651160	0.7181037	0.4904014	0.4120206	0.8963074
50	0.6625154	0.8305158	0.7590304	0.0787582	0.1147895	0.7591929	0.7251311	0.1390621	0.2413646	0.7641149
100	0.7250008	0.7160356	0.7524684	0.1765088	0.0741132	0.6430897	0.6459344	0.0574415	0.2049481	0.6897114
150	0.7843834	0.6854619	0.6374335	0.1142996	0.0931754	0.7163649	0.8254822	0.0257255	0.1856623	0.7694512
200	0.7274781	0.6906411	0.6193886	0.0929003	0.1247942	0.7353819	0.6417327	0.0445523	0.1484734	0.9116732
250	0.8585415	0.6404786	0.6458844	0.0843950	0.1230600	0.7999851	0.7510503	0.0738845	0.1221987	0.6309727
300	0.7824660	0.7012372	0.5208522	0.0923488	0.0979762	0.8700447	0.7985917	0.0526577	0.2002775	0.9408560
350	0.8852050	0.7747410	0.5403247	0.1135738	0.0969015	0.7305741	0.7100183	0.0566860	0.1096332	0.8344872
400	0.9144192	0.7648923	0.6232323	0.0836362	0.1463070	0.8556245	0.7581090	0.0315536	0.1487202	0.6971522
450	0.7662501	0.6405750	0.6084355	0.0872101	0.1116499	0.8731355	0.6410324	0.0384093	0.0982975	0.8901930
500	0.8296834	0.6921102	0.6368694	0.1275765	0.1040125	0.7632688	0.7231444	0.0523542	0.1533322	0.7117752
550	0.6412437	0.6965919	0.6330577	0.1430606	0.0721243	0.8478516	0.7981708	0.6007964	0.2561922	0.6586270
600	0.6563657	0.7605642	0.4208748	0.0921010	0.0568437	0.7402324	0.6775934	0.6022426	0.3638986	0.6794033
650	0.6823753	0.7181136	0.6027469	0.1235107	0.0928692	0.8512163	0.6523008	0.5715693	0.3151336	0.7968183
700	0.7137162	0.6400957	0.5631136	0.0926927	0.1347979	0.6307013	0.7724049	0.5691315	0.3529023	0.8503576
750	0.7218756	0.6227214	0.6259401	0.0592640	0.0994501	0.7821910	0.8015731	0.7180423	0.3468980	0.7592732
800	0.8917597	0.5852226	0.4985610	0.1023140	0.0779315	0.5625753	0.8032130	0.6089495	0.4129516	0.7560554
850	0.7711571	0.8723746	0.6548954	0.1520659	0.0951978	0.8134951	0.7626469	0.6033742	0.4212081	0.6823533
900	0.8332461	0.7025814	0.7363587	0.0783097	0.1507464	0.8208235	0.6421621	0.4336264	0.4606516	0.7374158
950	0.6772550	0.7631386	0.6667003	0.0823585	0.1274010	0.7216415	0.6330470	0.5076743	0.4856355	0.8965311
1000	0.6402759	0.6873716	0.6466170	0.1206817	0.1636264	0.7450449	0.7292002	0.5585653	0.3627640	0.7622060
