"Time"	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C
900	0.4792670	0.0544415	0.0007194	0.8300378	0.6186197	0.2211388	0.6407252	0.7655485	0.5899302	0.8086122
950	0.6342125	0.1129854	0.0064161	0.8429314	0.6679084	0.2228131	0.6792035	0.7763212	0.6460786	0.6269607
1000	0.7220713	0.0676660	0.0026949	0.9048329	0.5825564	0.2848172	0.6575148	0.7673331	0.7558015	0.7869325

0	0.6756975	0.0245378	0.0034255	0.6617567	0.6150204	0.3270218	0.6435385	0.6106251	0.6893863	0.7861984
50	0.6945953	0.1106775	0.0085546	0.6372674	0.6481104	0.3053643	0.6323298	0.6666097	0.7892969	0.6543284
100	0.5730821	0.1659282	0.0011846	0.7569892	0.6412332	0.2959436	0.6440068	0.6296280	0.6016560	0.6528643
150	0.4665225	0.1903293	0.0023318	0.7034212	0.7825510	0.3444107	0.7306347	0.7824686	0.7583376	0.7760450
200	0.5162649	0.1871788	0.0086126	0.7229407	0.6816787	0.3091894	0.6710123	0.7204933	0.6831671	0.8732978
250	0.3996768	0.1711805	0.0034422	0.6726800	0.6309034	0.2696146	0.6457403	0.7564133	0.6364269	0.8698355
300	0.4382103	0.1473487	0.0030202	0.6746831	0.5219634	0.2708433	0.7015565	0.7187503	0.6912108	0.7185783
350	0.4979624	0.2178623	0.0049668	0.8324245	0.5825065	0.2348931	0.6951512	0.7988553	0.6690042	0.6803628
400	0.3276697	0.1997679	0.0018003	0.6864576	0.5547237	0.2404088	0.7101868	0.6572098	0.6101164	0.6239506
450	0.3862368	0.1488145	0.0098134	0.6617044	0.7618457	0.1905195	0.8770362	0.7929767	0.7292727	0.6243269
500	0.3751920	0.2022774	0.0083474	0.7172394	0.6120707	0.2400611	0.8551857	0.7019910	0.6677551	0.6531400
550	0.3799652	0.1918001	0.0043041	0.8324823	0.7014532	0.2557915	0.7114961	0.7134305	0.6638730	0.5363650
600	0.4103575	0.0918735	0.0225857	0.7560545	0.6158490	0.3366002	0.6608557	0.7633062	0.8639782	0.5731623
650	0.3862643	0.0889989	0.0140979	0.8342068	0.7871382	0.3046474	0.6152736	0.6619685	0.6755978	0.6680059
700	0.5427179	0.0738224	0.0013271	0.7777669	0.7471132	0.2923000	0.6553274	0.7313115	0.6703010	0.6628207
750	0.5697359	0.0604070	0.0002183	0.8234683	0.7246891	0.3183714	0.6835907	0.7651872	0.6258534	0.8284853
800	0.5479101	0.0824457	0.0130899	0.8747799	0.6529361	0.3067261	0.6726892	0.7055790	0.7998506	0.7851932
850	0.6482421	0.0649534	0.0020117	0.7967544	0.6678162	0.2477498	0.5883620	0.8042250	0.7908602	0.7555019
900	0.6645690	0.0702964	0.0067987	0.7066266	0.7183103	0.2879680	0.7241445	0.7326887	0.7415641	0.5998840
950	0.6748038	0.0953835	0.0021640	0.6569521	0.7525717	0.2280955	0.6854476	0.7065196	0.6916523	0.8245796
1000	0.5642990	0.0714140	0.0096080	0.8662511	0.8320225	0.3220724	0.6886970	0.7205681	0.6223749	0.7204490

0	0.6424427	0.0465045	0.0005274	0.6890751	0.6176650	0.2239716	0.6809290	0.6275789	0.7182648	0.7116239
50	0.6511672	0.1924069	0.0010430	0.7107876	0.5065491	0.2584311	0.6549858	0.8480498	0.7425339	0.5711385
100	0.4952339	0.3108058	0.0073267	0.7650429	0.5555782	0.1816855	0.6066249	0.7610594	0.5695221	0.2617908
150	0.3760752	0.3884162	0.0014405	0.7118569	0.3605062	0.2142259	0.5818886	0.7265032	0.5658819	0.1027572
200	0.2538579	0.3946577	0.0026536	0.8178874	0.4131710	0.1127297	0.5991286	0.6559028	0.4938774	0.0816750
