"Time"	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C
900	0.1058373	0.2735747	0.2475358	0.7060885	0.4518242	0.7765738	0.7791934	0.3048399	0.1758350	0.6095075
950	0.1884834	0.2967651	0.3616668	0.6723288	0.3844059	0.7234752	0.6836293	0.3108402	0.1617638	0.6971871
1000	0.1765000	0.3122145	0.2948530	0.7087124	0.4447533	0.6565939	0.8958376	0.2473496	0.2123091	0.7470172

0	0.1809771	0.2975879	0.3570150	0.7843404	0.4173809	0.8127147	0.7274283	0.3987074	0.1486067	0.8009248
50	0.1345880	0.3311206	0.1603500	0.7209280	0.3701290	0.7014393	0.8385496	0.4116955	0.2082841	0.2938956
100	0.1556488	0.5536670	0.1463088	0.7538283	0.4211609	0.6817417	0.8206259	0.5561422	0.2817236	0.1659703
150	0.2001381	0.4335400	0.2027713	0.6747960	0.3783709	0.7404481	0.7307870	0.6738213	0.3773020	0.1081592
200	0.2174127	0.6048094	0.1066320	0.6265701	0.3591593	0.8536991	0.6318504	0.8262102	0.4057144	0.1176062
250	0.1908920	0.4346544	0.1392015	0.6953530	0.3734856	0.6209325	0.6015237	0.8083232	0.3501415	0.1194461
300	0.1882251	0.4203839	0.1589114	0.6505114	0.3068762	0.6971927	0.7008263	0.8530914	0.3955746	0.0815487
350	0.1112124	0.5559541	0.1182442	0.7508513	0.3758438	0.8395452	0.7394344	0.7664573	0.3984835	0.0839566
400	0.1418452	0.5037636	0.1808732	0.6942589	0.3313957	0.7772567	0.7714982	0.8422851	0.3706088	0.1255888
450	0.1731132	0.4963731	0.1345183	0.7772638	0.3914481	0.7264002	0.8818766	0.7444482	0.4869478	0.0496694
500	0.1514282	0.4934694	0.0920048	0.7329975	0.3763078	0.8110763	0.7223956	0.8743694	0.3449144	0.1351473
550	0.2439810	0.5006223	0.2494750	0.6545116	0.4297164	0.7132696	0.8735672	0.6837575	0.4188615	0.4399056
600	0.1511425	0.4320534	0.3786647	0.7417591	0.3814440	0.8683983	0.7644982	0.7507014	0.2634780	0.7063319
650	0.1653815	0.3659315	0.3923083	0.6816538	0.4553134	0.6479695	0.7005595	0.7168887	0.2281374	0.7588812
700	0.1627435	0.3132428	0.3426200	0.7447397	0.5001099	0.6987598	0.6413654	0.6748678	0.1279372	0.8113564
750	0.1240352	0.3938249	0.3818977	0.8173726	0.3664492	0.6521131	0.8411892	0.6559377	0.1970921	0.9041228
800	0.1447868	0.3469675	0.2928746	0.7423029	0.3675502	0.6947013	0.7385958	0.5065192	0.1007983	0.7199325
850	0.1876926	0.2911226	0.3550814	0.7278931	0.3471701	0.7586689	0.8654419	0.3921070	0.1156964	0.8145933
900	0.1219889	0.3020110	0.4088622	0.7453327	0.3973828	0.8096767	0.7703274	0.2402660	0.1321314	0.8821449
950	0.1434571	0.3245255	0.3799538	0.7469823	0.3450878	0.8572733	0.7872447	0.2621831	0.1581073	0.9283930
1000	0.1650676	0.3567522	0.2923486	0.8355175	0.4159539	0.7114053	0.6711327	0.1922565	0.1136183	0.8913374

0	0.1670900	0.2961838	0.3155011	0.7915619	0.3936619	0.8451601	0.7663901	0.2973363	0.1323009	0.7846498
50	0.1564832	0.3647133	0.1420636	0.8226366	0.3587179	0.7419692	0.5695617	0.2157254	0.0326252	0.5445583
100	0.1983778	0.5030458	0.0688410	0.8310975	0.4251778	0.6951312	0.5947587	0.0690073	0.0253490	0.5157287
150	0.1723168	0.6375545	0.0594886	0.7396104	0.4095293	0.7043639	0.3810103	0.0293834	0.0024101	0.6220217
200	0.1242697	0.6871728	0.0176138	0.6761318	0.3622003	0.4276051	0.0827749	0.0051342	0.0162680	0.4291331
250	0.1234973	0.6379257	0.0342813	0.7174952	0.2678341	0.0661984	0.0654727	0.0040248	0.0205070	0.4221607
300	0.1746076	0.6455418	0.0348196	0.7465105	0.1535392	0.0091998	0.0177673	0.0049995	0.0036764	0.4615890
350	0.0966467	0.6565162	0.0281197	0.7681397	0.0192069	0.0102456	0.0120597	0.0084078	0.0034803	0.4960968
400	0.1228369	0.6508669	0.0257478	0.6682046	0.0371629	0.0016284	0.0256452	0.0055910	0.0022181	0.5515703
450	0.2129966	0.8300939	0.0199933	0.8165081	0.0237075	0.0098603	0.0292229	0.0017899	0.0073649	0.5157753
500	0.1595662	0.6680330	0.0146612	0.8537193	0.0168112	0.0055124	0.0261148	0.0025425	0.0036448	0.5561644
