"Time"	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W
950	0.3300839	0.6728667	0.0650515	0.8287448	0.1249116	0.2737572	0.9470584	0.9203031	0.8021636	0.2067847
1000	0.3144818	0.6146945	0.0406257	0.8703324	0.1107237	0.3181514	0.9938708	0.8760783	0.8199486	0.2136783

0	0.3486938	0.7801917	0.0439468	0.8728386	0.0947149	0.2661226	0.9781740	0.8723024	0.7939770	0.2677599
50	0.4013777	0.7706346	0.0528608	0.8568018	0.1083054	0.3587070	1.0029288	0.8842886	0.6405795	0.2368859
100	0.4049351	0.8072467	0.0771921	0.8859838	0.1184627	0.3475426	0.9623982	0.7256608	0.5337967	0.3892283
150	0.4284448	0.8381547	0.0710148	0.8020816	0.0945449	0.3869539	0.8981100	0.6694018	0.4632709	0.4864974
200	0.5067887	0.8209457	0.0722165	0.8627675	0.1071618	0.4521282	0.9033976	0.5075909	0.4131128	0.7013845
250	0.4992193	0.9099926	0.0593068	0.8125427	0.1380069	0.3717848	1.0632925	0.4510793	0.3315954	0.7938955
300	0.5546978	0.9020264	0.0742844	0.8577473	0.1019796	0.3713681	1.0678818	0.2872291	0.2622473	0.9291839
350	0.5345560	0.9591943	0.0521464	0.9161536	0.1217519	0.3659714	0.9367651	0.2389596	0.2758418	0.8944894
400	0.5718149	0.9178525	0.0690011	0.8829221	0.1028099	0.3003096	0.9626143	0.2057068	0.2205931	0.8507916
450	0.5473198	1.0204147	0.0631732	0.9331198	0.1311974	0.3375092	0.9679718	0.1781151	0.2683255	0.8409661
500	0.5479776	1.0056271	0.0325226	0.8646522	0.0858102	0.3077542	0.9756160	0.1621048	0.2629994	0.9424667
550	0.5379086	1.0676459	0.0300518	0.9425441	0.0948870	0.2916080	0.9107640	0.1882742	0.3469921	0.9974952
600	0.5420392	0.9734181	0.0269136	0.8913944	0.0808263	0.3177642	0.9533199	0.2514652	0.3895528	0.7919320
650	0.5808689	1.0032524	0.0291768	0.9937242	0.1393773	0.3678494	0.8932594	0.3670878	0.4154112	0.8021659
700	0.6292972	0.8649420	0.0272915	0.8876434	0.1063332	0.3525302	0.8476076	0.4237345	0.4211818	0.8193045
750	0.5575509	0.8110474	0.0397935	0.8997886	0.1136030	0.3514492	0.9508535	0.4062162	0.4188765	0.7079610
800	0.5576099	0.9135079	0.0659627	0.8270729	0.1269849	0.3256823	0.9749111	0.5370832	0.4442997	0.7346778
850	0.5961132	0.9653543	0.0568717	0.8319933	0.1238385	0.3512254	0.8628545	0.5582659	0.4939452	0.7560036
900	0.6136274	0.9543231	0.0596718	0.8667425	0.1255564	0.3070217	0.9464177	0.5933829	0.4916934	0.6684005
950	0.5646021	0.9537754	0.0475370	0.8774903	0.1040376	0.3171577	0.9957225	0.5765571	0.5101885	0.6441144
1000	0.5747154	0.8373835	0.0415131	0.9380649	0.0898864	0.3238755	0.9714934	0.6317091	0.5246591	0.5363352

0	0.3486938	0.7801917	0.0439468	0.8728386	0.0947149	0.2661226	0.9781740	0.8723024	0.7939770	0.2677599
50	0.5466566	0.3634207	0.0269969	0.7607194	0.0702877	0.2120256	0.9117700	0.8929688	0.8394989	0.1270745
100	0.7220154	0.1432563	0.0342412	0.5555905	0.0472432	0.1698543	0.9579313	0.9722924	0.9032766	0.1474771
150	0.7930548	0.0785911	0.0295986	0.5534468	0.0486593	0.1849476	0.9926075	0.9413908	0.9312735	0.1339685
200	0.8021239	0.0485792	0.0469809	0.4463985	0.0844544	0.2007052	1.0022143	0.8806152	0.9065906	0.1000951
250	0.7095741	0.0302599	0.0550284	0.4831894	0.0691965	0.1714547	1.0721022	0.9400794	0.9356994	0.1215860
300	0.7260914	0.0134177	0.0709575	0.4736090	0.0620153	0.1951027	1.0081206	0.9669472	0.9921863	0.1163541
350	0.7793668	0.0165738	0.0347648	0.5262335	0.0764206	0.1833882	0.9242251	0.9748909	0.9831411	0.1137042
400	0.7824014	0.0091158	0.0343636	0.4578476	0.0487871	0.1830509	0.9019933	0.8983474	0.9870425	0.1134045
450	0.7231843	0.0125378	0.0694769	0.4835199	0.0848483	0.2054462	0.8213450	0.9538903	0.9501075	0.0979748
500	0.6921387	0.0148025	0.0413207	0.4359562	0.0652140	0.1696957	0.9286221	0.8324185	0.9409006	0.0761120
550	0.6379405	0.2124516	0.0400416	0.5647654	0.0870883	0.2205791	0.9254320	0.8682720	1.0796783	0.1122233
600	0.3851195	0.4341117	0.0509337	0.7773348	0.0838928	0.2718795	0.8942332	0.8802942	0.9401657	0.1714428
650	0.3288628	0.5104655	0.0581360	0.9365843	0.1042731	0.3960981	0.8436016	0.9234591	0.8762807	0.1730179
700	0.3611515	0.5941641	0.0416600	0.8421677	0.0789449	0.3466553	0.9423527	1.0684671	0.8672781	0.1462809
750	0.3368740	0.5867139	0.0471205	0.9028310	0.1111728	0.2876105	1.0186229	0.9769907	0.7746912	0.2051368
800	0.3474505	0.6072848	0.0360361	0.8971544	0.1019420	0.3419568	0.9803773	0.9776706	0.8429712	0.2121745
850	0.3381446	0.5911800	0.0554347	0.9086733	0.1031488	0.3599349	1.0314066	1.0057786	0.8220739	0.2228360
900	0.4314358	0.6106207	0.0430578	0.9183646	0.1216503	0.3253585	0.9710571	0.8542558	0.8219380	0.2075004
950	0.3673722	0.6828483	0.0365054	0.8677164	0.1230002	0.3435891	1.0068653	0.8235145	0.8045602	0.2053431
1000	0.3617931	0.7106583	0.0342265	0.8912507	0.1108556	0.3852943	0.9737354	0.8532486	0.8086885	0.2291174

0	0.3486938	0.7801917	0.0439468	0.8728386	0.0947149	0.2661226	0.9781740	0.8723024	0.7939770	0.2677599
50	0.5079821	0.5765983	0.0504592	0.8785199	0.0800457	0.1572379	1.0140904	0.9628426	0.8845642	0.2130575
100	0.4972952	0.5782924	0.0491846	1.0004402	0.0701627	0.1144445	1.0288856	1.0066842	0.8347413	0.1740147
150	0.4316997	0.5140175	0.0351711	0.9342404	0.0661969	0.0907812	0.9979183	0.8817223	0.8695285	0.1509862
200	0.5004575	0.5372725	0.0306947	0.9715719	0.0454723	0.0644635	1.0427028	0.9310516	0.8533808	0.1500113
250	0.4158493	0.6483139	0.0644223	0.8931988	0.0563232	0.0845810	1.0073943	0.9721168	0.8570115	0.1547022
300	0.4915026	0.6110449	0.0494912	0.9262610	0.0950061	0.0792090	1.0247395	0.8932454	0.9101326	0.1691446
350	0.4759994	0.5369329	0.0631070	1.0123400	0.0854631	0.0984787	1.0137064	0.8714205	0.8727225	0.1689284
400	0.4241365	0.4609587	0.0516391	0.9979051	0.0477685	0.0818761	0.9719776	0.8321192	0.8504139	0.1680770
450	0.4467850	0.4620880	0.0815775	0.8893677	0.0825768	0.0770722	0.9368643	0.7921874	0.9253152	0.1256170
500	0.4007701	0.5185806	0.0412320	0.9041764	0.0670519	0.0940784	0.9138465	0.9560863	0.8667724	0.1777124
