"Time"	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W
650	0.2240415	0.5336126	0.7589430	0.8032844	0.5795846	0.2169188	0.1253984	0.2154676	0.5201802	0.5932139
700	0.1507777	0.5625208	0.7775473	0.8639119	0.7531634	0.1560313	0.1492535	0.3214193	0.3818016	0.5121334
750	0.2447002	0.5965790	0.7241204	0.7944780	0.8524075	0.1558287	0.1336644	0.3352291	0.4082987	0.7364499
800	0.2613119	0.6025025	0.6977875	0.7031730	0.9911081	0.1642187	0.1860591	0.3264060	0.4725514	0.6390935
850	0.2011535	0.6879579	0.6416796	0.6142390	0.9723328	0.1863113	0.1961407	0.3811315	0.4707964	0.5090934
900	0.2983254	0.6542507	0.5623574	0.5409941	0.9923020	0.1822966	0.1823063	0.3091931	0.3157111	0.2891702
950	0.2957410	0.4788711	0.5707493	0.5375962	0.9910248	0.1422913	0.1598815	0.2615913	0.2443228	0.2678127
1000	0.2057024	0.4391053	0.6216831	0.5846794	0.8777931	0.1599620	0.1744131	0.2154116	0.1374812	0.3078617

0	0.1606006	0.5480732	0.5856244	0.5438848	0.9479327	0.1552716	0.0982958	0.0832143	0.0701912	0.2208027
50	0.3532468	0.4156355	0.5264360	0.1323067	1.0113626	0.2264006	0.0976511	0.1074037	0.4502557	0.1475049
100	0.4117821	0.2954876	0.3579163	0.0377212	0.9143334	0.2344157	0.0965625	0.2085455	0.6467453	0.0826104
150	0.4232710	0.1499747	0.1885882	0.0223749	0.8188633	0.2748192	0.1068013	0.3610631	0.6205304	0.0786719
200	0.3615818	0.0529404	0.1189228	0.0105566	0.8742839	0.2640845	0.1787254	0.4486460	0.7030320	0.0850780
250	0.3925207	0.0398635	0.1010193	0.0156461	0.7945315	0.3270019	0.1819901	0.5219963	0.7377531	0.0837225
300	0.4145494	0.0508272	0.0946905	0.0233563	0.8132361	0.3269525	0.2869840	0.6257576	0.7029995	0.0814749
350	0.3864400	0.0250241	0.0778703	0.0225439	0.7392500	0.3744284	0.3007607	0.5962191	0.7377846	0.0658215
