"Time"	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W
900	0.0382452	0.9755511	0.2502642	0.3244215	0.6494133	0.3739903	1.0246698	0.2315028	0.4292675	0.9539357
950	0.0371585	0.9589560	0.2499818	0.3909812	0.6529773	0.3269003	1.0386734	0.2733143	0.4303185	0.9774219
1000	0.0239476	1.0290075	0.3060806	0.5333427	0.6523502	0.3857458	0.9650851	0.2402306	0.4706620	1.0163656

0	0.0245978	1.0039284	0.3197986	0.4197638	0.7453205	0.4071740	1.0500757	0.2979913	0.5893363	0.9724763
50	0.0027677	1.0156028	0.3256338	0.2603303	0.8156276	0.4053736	0.9590233	0.3037653	0.4940194	0.9307094
100	0.0038059	0.9317217	0.1884175	0.1247177	0.7605600	0.3728233	1.0486031	0.2721699	0.5350957	0.8489945
150	0.0116569	1.0271011	0.1686776	0.0873033	0.7056783	0.3479093	0.9994625	0.2393341	0.5423607	0.8528567
200	0.0149757	1.0439981	0.1610966	0.0918698	0.6441752	0.3434112	0.9293257	0.2878345	0.5926597	0.9275154
250	0.0274905	1.0709424	0.1307223	0.1812222	0.6303951	0.4189676	1.0148450	0.3048958	0.5804602	0.9155620
300	0.0294778	1.1154093	0.1500658	0.2984458	0.7012505	0.3544503	0.9896318	0.2741498	0.5147706	0.9884126
350	0.0123102	1.0591402	0.2194849	0.3988348	0.7236889	0.3786026	1.0958103	0.2538438	0.4670487	0.9316046
400	0.0116355	0.9634953	0.2669515	0.2854870	0.6602354	0.3576050	1.0535495	0.2532153	0.5043560	1.0327924
450	0.0096928	0.9815295	0.2427698	0.2480295	0.5976079	0.3059603	1.0514803	0.2826143	0.5150642	0.9972733
500	0.0206563	1.0520961	0.2410868	0.1952606	0.5741999	0.2920425	1.0957156	0.2801379	0.5169945	0.9604771
550	0.0225313	0.9717430	0.2215156	0.2618113	0.6273924	0.3239052	1.0274426	0.2742270	0.4758717	0.9209450
600	0.0212781	1.0300451	0.2205793	0.3607563	0.6015949	0.3171344	0.9738646	0.2525215	0.4730124	0.9147472
650	0.0360703	0.9906786	0.2148548	0.4045289	0.5818962	0.3682716	0.9102012	0.2822316	0.5811844	0.9839551
700	0.0178081	1.0413121	0.2981848	0.3840806	0.5974313	0.3886001	1.0050616	0.2536127	0.5671664	0.9398244
750	0.0128111	1.0099129	0.3498199	0.4269984	0.5771667	0.3549098	0.9551526	0.2871238	0.4713635	1.0874539
800	0.0100821	1.0415325	0.3217942	0.3315639	0.5692228	0.3493214	0.9630912	0.3439192	0.5567929	1.1149502
850	0.0147754	1.0326810	0.2720217	0.2247020	0.6491677	0.3642100	0.9818015	0.3033303	0.5492019	0.9637948
900	0.0211855	1.0278365	0.2390408	0.2631795	0.6324344	0.3365916	0.9430186	0.2485059	0.5563320	0.9460638
950	0.0141710	0.9795430	0.2611536	0.3324525	0.6436956	0.3538555	0.9093840	0.2865838	0.5286317	0.8560382
1000	0.0273242	1.0240648	0.2865984	0.3905489	0.7095663	0.4564418	0.9777736	0.2776732	0.4943250	0.9307550

0	0.0245978	1.0039284	0.3197986	0.4197638	0.7453205	0.4071740	1.0500757	0.2979913	0.5893363	0.9724763
50	0.0278229	0.9856962	0.6093462	0.4377335	0.6604130	0.3665449	1.0072370	0.2619857	0.4305578	1.0718781
100	0.0468122	0.8045165	0.7612234	0.4403025	0.7780106	0.3421385	0.9748086	0.1730115	0.4879096	1.0145829
150	0.0288033	0.9379075	0.9046827	0.4365863	0.7132403	0.3824699	0.9497034	0.1685988	0.5668663	0.9920548
200	0.0271290	0.9051549	0.9716233	0.4394655	0.7234103	0.4049310	1.1163612	0.1594104	0.4773227	1.0708748
250	0.0356926	0.9659463	1.0383800	0.4925240	0.7379052	0.3995824	0.9315814	0.1346801	0.4867960	1.0327631
300	0.0433747	0.9931024	0.9169175	0.5013188	0.7924413	0.3863970	0.9622662	0.1420968	0.5426099	0.9959361
350	0.0293785	1.0106928	0.9378038	0.4873835	0.7304131	0.4104059	0.9509609	0.1172372	0.5348167	0.9005000
400	0.0283299	0.9797176	1.1396780	0.4936769	0.7456984	0.4793870	1.0764388	0.1360594	0.5467709	0.9999218
450	0.0217405	1.0336686	0.9243800	0.5917685	0.7823039	0.4089027	0.9879248	0.1448397	0.5267147	1.0279694
500	0.0228133	1.1275490	0.9847453	0.5902943	0.7161972	0.4117940	0.9796088	0.1456603	0.5688535	1.0809313
550	0.0247018	1.1004578	0.8112747	0.5429352	0.7821410	0.4725836	1.0552244	0.1557767	0.5728510	0.9985589
600	0.0116106	1.0667771	0.5132604	0.4511223	0.8029592	0.3641439	0.9785048	0.2199101	0.4472108	1.1325532
650	0.0187272	1.0389043	0.4562532	0.3686767	0.7256147	0.3424405	0.8949365	0.1973643	0.4318069	1.0122255
700	0.0342828	0.9205336	0.3917894	0.4293495	0.7077236	0.3627141	0.9041674	0.2226617	0.4418753	1.0458499
750	0.0149746	0.9924296	0.3951051	0.4810959	0.7247928	0.4227998	1.0144389	0.2325467	0.5491111	1.0046178
800	0.0335999	1.0205377	0.4328165	0.4043670	0.6721452	0.3573596	0.9499875	0.2492249	0.4986586	1.0647689
850	0.0252441	0.8897109	0.3908797	0.4979751	0.6952813	0.4136451	0.8766401	0.2808490	0.4884505	1.0191717
