"Time"	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C
350	0.7288748	0.2913956	0.6118886	0.3093471	0.6689400	0.7443762	0.2812462	0.4414830	0.7300216	0.8690105
400	0.6652069	0.3321053	0.5484238	0.3267282	0.7097191	0.7942196	0.3353776	0.5925909	0.6738050	0.8921192
450	0.7123768	0.2697883	0.6022765	0.3584969	0.7461951	0.6905568	0.2799501	0.4878689	0.6464202	0.5909272
500	0.6653640	0.3012380	0.5210141	0.3369711	0.6576092	0.8818527	0.2428883	0.6358067	0.6132039	0.7447090
550	0.7520479	0.4805419	0.5482824	0.3494951	0.6906841	0.3492914	0.2352395	0.6211929	0.6772815	0.7001623
600	0.6994651	0.3632604	0.5427703	0.3196548	0.7788307	0.3209740	0.1822122	0.6850486	0.7477785	0.6115989
650	0.7806602	0.2852651	0.6463461	0.3489885	0.6225745	0.1411562	0.3638658	0.6233926	0.6641331	0.7558363
700	0.6154754	0.4728091	0.6379829	0.4052661	0.4214574	0.2029942	0.3651487	0.5157964	0.5726589	0.8507429
750	0.7559360	0.4123305	0.5557100	0.3446342	0.4271415	0.2340811	0.3614841	0.7021726	0.6680258	0.8595789
800	0.7443941	0.3808690	0.6138066	0.4808487	0.4434808	0.1847382	0.1830282	0.6433501	0.7274332	0.8222603
850	0.7117749	0.3940921	0.5983363	0.4072020	0.4720676	0.0704998	0.3387680	0.7266566	0.6875834	0.6305440
900	0.7255848	0.3802666	0.5923352	0.4029475	0.2928956	0.0883417	0.2483938	0.6014562	0.7112009	0.6478036
950	0.7849410	0.4040932	0.5944993	0.3963902	0.3742267	0.1200677	0.2137264	0.5708278	0.6444506	0.6260452
1000	0.7761833	0.3559391	0.5212538	0.5168494	0.3215219	0.0881053	0.1407921	0.6055380	0.7118617	0.7608096

0	0.7712586	0.3605950	0.4957365	0.4966386	0.2998292	0.1707840	0.2482994	0.6691263	0.5518379	0.6633196
50	0.7500952	0.5139849	0.5791086	0.5201925	0.3588875	0.0490238	0.2246910	0.7091174	0.5191263	0.7242525
100	0.7617547	0.3257934	0.5669684	0.5342594	0.3912924	0.0876113	0.2498704	0.6926762	0.5828219	0.9127140
150	0.6864987	0.3558617	0.6280791	0.5946578	0.4778703	0.1135554	0.2919540	0.5733003	0.7500578	0.6215265
200	0.8893727	0.4354873	0.6098977	0.4980111	0.5464521	0.1375156	0.3026309	0.6684557	0.7742446	0.8188224
250	0.7188816	0.3608288	0.5719690	0.4419218	0.5144327	0.1548689	0.2728138	0.8244790	0.7437257	0.7556825
300	0.8290019	0.4078844	0.5978983	0.4904621	0.5026716	0.2443436	0.1861615	0.6584246	0.6709779	0.8010445
