"Time"	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W
550	0.5326622	0.7183700	0.6792800	0.3271591	0.9773797	0.3375364	0.9421570	0.9659528	1.0000000	0.0295535
600	0.5325859	0.5563903	0.4087361	0.3809744	0.9773900	0.3374243	0.9360274	0.9659528	1.0000000	0.0391054
650	0.5322997	0.3264590	0.2974349	0.3911900	0.9774137	0.3373212	0.9341225	0.9659528	1.0000000	0.0421972
700	0.5316116	0.1857103	0.2547924	0.3931237	0.9774412	0.3372516	0.9335306	0.9659528	1.0000000	0.0431980
750	0.5305458	0.1128198	0.2387960	0.3934843	0.9774644	0.3372093	0.9333466	0.9659528	1.0000000	0.0435219
800	0.5295313	0.0760288	0.2328619	0.3935471	0.9774811	0.3371843	0.9332895	0.9659528	1.0000000	0.0436267
850	0.5289993	0.0575581	0.2306753	0.3935549	0.9774921	0.3371695	0.9332717	0.9659528	1.0000000	0.0436607
900	0.5289838	0.0483006	0.2298730	0.3935536	0.9774989	0.3371608	0.9332662	0.9659528	1.0000000	0.0436716
950	0.5292345	0.0436642	0.2295794	0.3935516	0.9775031	0.3371557	0.9332645	0.9659528	1.0000000	0.0436752
1000	0.5295173	0.0413432	0.2294722	0.3935502	0.9775056	0.3371527	0.9332639	0.9659528	1.0000000	0.0436763

0	0.5300328	0.0390278	0.2294178	0.3935327	0.9775330	0.3371208	0.9332637	0.9659528	1.0000000	0.0436768
50	0.5300340	0.0390235	0.2294074	0.3949788	0.9307142	0.6971719	0.9526079	0.9659528	1.0000000	0.0436791
100	0.5300340	0.0390212	0.2289743	0.4184830	0.7334751	0.8060613	0.9586193	0.9659528	1.0000000	0.0437247
150	0.5300274	0.0390189	0.2265505	0.4836855	0.5462052	0.8582869	0.9604874	0.9659528	1.0000000	0.0439360
200	0.5300011	0.0390131	0.2222317	0.5678168	0.4283288	0.8985623	0.9610679	0.9659528	1.0000000	0.0445092
250	0.5299515	0.0390026	0.2180847	0.6429388	0.3565168	0.9289374	0.9612483	0.9659528	1.0000000	0.0456370
300	0.5298917	0.0389897	0.2151398	0.6993279	0.3117646	0.9490851	0.9613044	0.9659528	1.0000000	0.0473710
350	0.5298369	0.0389773	0.2133109	0.7383065	0.2840467	0.9614492	0.9613218	0.9659528	1.0000000	0.0495454
400	0.5297945	0.0389672	0.2122348	0.7639145	0.2672485	0.9687532	0.9613272	0.9659528	1.0000000	0.0518236
450	0.5297652	0.0389597	0.2116129	0.7800779	0.2572805	0.9729891	0.9613289	0.9659528	1.0000000	0.0538653
500	0.5297462	0.0389544	0.2112548	0.7899572	0.2514572	0.9754235	0.9613294	0.9659528	1.0000000	0.0554758
550	0.5297346	0.0389509	0.2110489	0.7949149	0.2570017	0.9260783	0.9419853	0.9659528	1.0000000	0.0564944
600	0.5297277	0.0389487	0.2109456	0.7898333	0.2771374	0.9078438	0.9359740	0.9659528	1.0000000	0.0560034
650	0.5297240	0.0389472	0.2109471	0.7762034	0.2970641	0.8930312	0.9341059	0.9659528	1.0000000	0.0542955
700	0.5297225	0.0389465	0.2110426	0.7607479	0.3147756	0.8783002	0.9335254	0.9659528	1.0000000	0.0524939
750	0.5297228	0.0389461	0.2111960	0.7461377	0.3315996	0.8639544	0.9333450	0.9659528	1.0000000	0.0510121
800	0.5297245	0.0389461	0.2113764	0.7324153	0.3482772	0.8498163	0.9332890	0.9659528	1.0000000	0.0498469
850	0.5297270	0.0389464	0.2115693	0.7191639	0.3652362	0.8355104	0.9332715	0.9659528	1.0000000	0.0489170
900	0.5297300	0.0389468	0.2117714	0.7060224	0.3828946	0.8206818	0.9332661	0.9659528	1.0000000	0.0481539
950	0.5297334	0.0389473	0.2119851	0.6926774	0.4017111	0.8049745	0.9332644	0.9659528	1.0000000	0.0475096
1000	0.5297369	0.0389479	0.2122157	0.6788278	0.4222051	0.7879954	0.9332639	0.9659528	1.0000000	0.0469522

0	0.5300328	0.0390278	0.2294178	0.3935327	0.9775330	0.3371208	0.9332637	0.9659528	1.0000000	0.0436768
50	0.5298456	0.0629271	0.2353614	0.2584193	0.9775233	0.3371303	0.9312550	0.9311592	0.8996614	0.0436769
100	0.5294966	0.0748860	0.2557827	0.2327646	0.9775185	0.3371174	0.9267679	0.9205286	0.8592317	0.0436769
150	0.5294997	0.0809129	0.2764042	0.2278938	0.9775198	0.3370792	0.9225629	0.9126561	0.8429413	0.0436769
200	0.5297642	0.0840106	0.2886800	0.2269686	0.9775277	0.3370282	0.9192323	0.9078183	0.8363774	0.0436769
250	0.5300411	0.0856520	0.2943992	0.2267916	0.9775402	0.3369764	0.9168680	0.9053154	0.8337326	0.0436769
300	0.5302335	0.0865448	0.2967711	0.2267560	0.9775545	0.3369308	0.9153656	0.9041456	0.8326669	0.0436769
350	0.5303448	0.0870356	0.2976996	0.2267470	0.9775684	0.3368948	0.9144996	0.9036295	0.8322375	0.0436769
400	0.5304027	0.0873045	0.2980530	0.2267432	0.9775803	0.3368685	0.9140380	0.9034093	0.8320645	0.0436768
450	0.5304308	0.0874503	0.2981863	0.2267407	0.9775896	0.3368505	0.9138066	0.9033171	0.8319948	0.0436768
500	0.5304438	0.0875283	0.2982369	0.2267388	0.9775965	0.3368386	0.9136958	0.9032790	0.8319667	0.0436768
550	0.5304421	0.0636690	0.2786564	0.3618507	0.9776012	0.3368339	0.9162719	0.9410462	0.9322940	0.0436768
600	0.5303093	0.0516110	0.2524811	0.3875054	0.9776030	0.3368563	0.9218953	0.9540173	0.9727191	0.0436768
650	0.5301004	0.0454438	0.2389589	0.3923767	0.9775987	0.3369089	0.9266443	0.9605983	0.9890077	0.0436768
700	0.5299670	0.0422880	0.2331526	0.3933031	0.9775872	0.3369707	0.9297302	0.9636240	0.9955708	0.0436768
750	0.5299314	0.0406781	0.2308354	0.3934820	0.9775715	0.3370255	0.9314870	0.9649571	0.9982153	0.0436768
800	0.5299465	0.0398593	0.2299453	0.3935200	0.9775555	0.3370674	0.9324085	0.9655327	0.9992809	0.0436768
850	0.5299737	0.0394438	0.2296105	0.3935311	0.9775417	0.3370968	0.9328654	0.9657775	0.9997103	0.0436769
900	0.5299969	0.0392334	0.2294858	0.3935366	0.9775311	0.3371163	0.9330830	0.9658803	0.9998833	0.0436769
950	0.5300129	0.0391271	0.2294395	0.3935403	0.9775234	0.3371287	0.9331834	0.9659230	0.9999530	0.0436769
1000	0.5300227	0.0390734	0.2294222	0.3935429	0.9775182	0.3371365	0.9332286	0.9659406	0.9999810	0.0436769

0	0.5300328	0.0390278	0.2294178	0.3935327	0.9775330	0.3371208	0.9332637	0.9659528	1.0000000	0.0436768
50	0.5300340	0.0390235	0.2293894	0.3956460	0.9547784	0.3399386	0.9629699	0.9322893	0.4033903	0.0436803
100	0.5300338	0.0390212	0.2291546	0.3998959	0.9464608	0.3462565	0.9676751	0.6641208	0.1629973	0.0436884
150	0.5300315	0.0390196	0.2287387	0.4028683	0.9424906	0.3511409	0.9196311	0.2330813	0.0661353	0.0436952
200	0.5300279	0.0390180	0.2283391	0.4045528	0.9401352	0.3535647	0.7730186	0.1044156	0.0271065	0.0436996
250	0.5300260	0.0390163	0.2280443	0.4055116	0.9388006	0.3535732	0.6915398	0.0886369	0.0113806	0.0437023
300	0.5300267	0.0390147	0.2278515	0.4060370	0.9383198	0.3521972	0.6640707	0.0872459	0.0050441	0.0437039
350	0.5300280	0.0390133	0.2277352	0.4062558	0.9384269	0.3506636	0.6553340	0.0871398	0.0024909	0.0437046
400	0.5300287	0.0390123	0.2276733	0.4062707	0.9387858	0.3495186	0.6525819	0.0871323	0.0014622	0.0437048
450	0.5300288	0.0390115	0.2276481	0.4061843	0.9391616	0.3487816	0.6517177	0.0871318	0.0010477	0.0437047
500	0.5300287	0.0390110	0.2276450	0.4060730	0.9394588	0.3483289	0.6514468	0.0871317	0.0008806	0.0437045
550	0.5300674	0.0390107	0.2276764	0.4037855	0.9625705	0.3375235	0.2057163	0.1573959	0.5974230	0.0437004
600	0.5313708	0.0390107	0.2279099	0.3992344	0.9741672	0.2673231	0.1151108	0.6996096	0.8377889	0.0436914
650	0.5336023	0.0390111	0.2283545	0.3950840	0.9864987	0.2080755	0.4758419	0.9033042	0.9346400	0.0436826
700	0.5311473	0.0390121	0.2288880	0.3914778	0.9927984	0.2702968	0.7522753	0.9474042	0.9736644	0.0436749
750	0.5303321	0.0390138	0.2294004	0.3894948	0.9920597	0.3080571	0.8664155	0.9592770	0.9893885	0.0436700
800	0.5301137	0.0390158	0.2297653	0.3893302	0.9880097	0.3226390	0.9090178	0.9633289	0.9957243	0.0436688
850	0.5300590	0.0390178	0.2299205	0.3902066	0.9841288	0.3289773	0.9244955	0.9648892	0.9982772	0.0436698
900	0.5300467	0.0390194	0.2299059	0.3912697	0.9814840	0.3323455	0.9300797	0.9655182	0.9993058	0.0436717
950	0.5300439	0.0390203	0.2298075	0.3921117	0.9798689	0.3343145	0.9320980	0.9657751	0.9997203	0.0436734
1000	0.5300425	0.0390207	0.2296944	0.3926752	0.9789075	0.3354818	0.9328324	0.9658803	0.9998873	0.0436747

0	0.5300328	0.0390278	0.2294178	0.3935327	0.9775330	0.3371208	0.9332637	0.9659528	1.0000000	0.0436768
50	0.5296623	0.0389828	0.0955725	0.3935390	0.9775232	0.3371334	0.9343181	0.9770861	0.5098272	0.0436769
100	0.5286478	0.0389202	0.0466758	0.3935427	0.9775170	0.3371474	0.9339827	0.9224345	0.3123210	0.0436769
150	0.5279192	0.0388859	0.0288126	0.3935450	0.9775126	0.3371398	0.9230530	0.8110036	0.2327395	0.0436769
200	0.5276163	0.0388687	0.0222866	0.3935463	0.9775155	0.3370295	0.8928202	0.7308833	0.2006735	0.0436769
250	0.5275164	0.0388601	0.0199025	0.3935447	0.9775436	0.3367089	0.8505012	0.6990636	0.1877531	0.0436769
300	0.5274874	0.0388558	0.0190317	0.3935349	0.9776208	0.3361471	0.8136812	0.6880660	0.1825471	0.0436769
350	0.5274803	0.0388537	0.0187145	0.3935108	0.9777577	0.3354465	0.7899997	0.6840886	0.1804494	0.0436768
400	0.5274795	0.0388526	0.0186007	0.3934699	0.9779381	0.3347667	0.7772399	0.6825573	0.1796042	0.0436767
450	0.5274801	0.0388521	0.0185624	0.3934162	0.9781287	0.3342167	0.7710357	0.6819462	0.1792636	0.0436766
500	0.5274808	0.0388518	0.0185526	0.3933586	0.9782991	0.3338236	0.7681976	0.6816986	0.1791264	0.0436765
550	0.5275308	0.0388517	0.1523985	0.3933055	0.9784379	0.3331989	0.6041641	0.4012364	0.6692439	0.0436764
600	0.5280077	0.0388527	0.2012998	0.3932538	0.9787302	0.3288352	0.5375373	0.7998775	0.8667278	0.0436763
650	0.5287855	0.0388639	0.2191703	0.3931363	0.9795575	0.3260311	0.7277984	0.9222086	0.9463004	0.0436761
700	0.5293786	0.0388923	0.2257110	0.3929243	0.9801190	0.3292082	0.8479597	0.9517519	0.9783627	0.0436757
750	0.5297206	0.0389288	0.2281181	0.3927884	0.9798812	0.3324188	0.8999281	0.9606186	0.9912817	0.0436754
800	0.5298938	0.0389611	0.2290077	0.3928284	0.9792721	0.3343720	0.9204935	0.9638206	0.9964871	0.0436754
850	0.5299751	0.0389846	0.2293290	0.3929786	0.9786889	0.3355003	0.9283959	0.9650828	0.9985845	0.0436756
900	0.5300113	0.0389996	0.2294335	0.3931462	0.9782580	0.3361671	0.9314042	0.9655963	0.9994297	0.0436760
950	0.5300266	0.0390085	0.2294570	0.3932834	0.9779714	0.3365658	0.9325493	0.9658069	0.9997702	0.0436763
1000	0.5300327	0.0390136	0.2294530	0.3933808	0.9777899	0.3368037	0.9329872	0.9658933	0.9999074	0.0436765

0	0.5300328	0.0390278	0.2294178	0.3935327	0.9775330	0.3371208	0.9332637	0.9659528	1.0000000	0.0436768
50	0.5300341	0.0390235	0.2294150	0.3935390	0.9775232	0.3371322	0.9332637	0.9659528	1.0000000	0.0142420
100	0.5300347	0.0390213	0.2294134	0.3935427	0.9775175	0.3371389	0.9332637	0.9659528	1.0000000	0.0047144
150	0.5300350	0.0390202	0.2294124	0.3935448	0.9775141	0.3371428	0.9332637	0.9659528	1.0000000	0.0016305
200	0.5300352	0.0390196	0.2294118	0.3935461	0.9775121	0.3371451	0.9332637	0.9659528	1.0000000	0.0006323
250	0.5300353	0.0390194	0.2294115	0.3935469	0.9775110	0.3371465	0.9332637	0.9659528	1.0000000	0.0003091
300	0.5300353	0.0390192	0.2294113	0.3935473	0.9775103	0.3371473	0.9332637	0.9659528	1.0000000	0.0002046
350	0.5300353	0.0390191	0.2294112	0.3935476	0.9775099	0.3371478	0.9332637	0.9659528	1.0000000	0.0001707
400	0.5300353	0.0390191	0.2294111	0.3935477	0.9775096	0.3371481	0.9332637	0.9659528	1.0000000	0.0001597
450	0.5300353	0.0390191	0.2294111	0.3935478	0.9775095	0.3371482	0.9332637	0.9659528	1.0000000	0.0001562
500	0.5300353	0.0390191	0.2294111	0.3935479	0.9775094	0.3371483	0.9332637	0.9659528	1.0000000	0.0001551
550	0.5300353	0.0390191	0.2294111	0.3935479	0.9775094	0.3371484	0.9332637	0.9659528	1.0000000	0.0295895
600	0.5300353	0.0390191	0.2294110	0.3935479	0.9775093	0.3371484	0.9332637	0.9659528	1.0000000	0.0391170
650	0.5300353	0.0390191	0.2294110	0.3935479	0.9775093	0.3371484	0.9332637	0.9659528	1.0000000	0.0422009
700	0.5300353	0.0390191	0.2294110	0.3935479	0.9775093	0.3371484	0.9332637	0.9659528	1.0000000	0.0431991
750	0.5300353	0.0390191	0.2294110	0.3935479	0.9775093	0.3371484	0.9332637	0.9659528	1.0000000	0.0435222
800	0.5300353	0.0390191	0.2294110	0.3935479	0.9775093	0.3371484	0.9332637	0.9659528	1.0000000	0.0436268
850	0.5300353	0.0390191	0.2294110	0.3935479	0.9775093	0.3371484	0.9332637	0.9659528	1.0000000	0.0436607
900	0.5300353	0.0390191	0.2294110	0.3935479	0.9775093	0.3371484	0.9332637	0.9659528	1.0000000	0.0436716
950	0.5300353	0.0390191	0.2294110	0.3935479	0.9775093	0.3371484	0.9332637	0.9659528	1.0000000	0.0436752
1000	0.5300353	0.0390191	0.2294110	0.3935479	0.9775093	0.3371484	0.9332637	0.9659528	1.0000000	0.0436763

0	0.5300328	0.0390278	0.2294178	0.3935327	0.9775330	0.3371208	0.9332637	0.9659528	1.0000000	0.0436768
50	0.5296349	0.0389812	0.0860612	0.3935390	0.9775232	0.3371341	0.9350828	0.9972001	1.0000000	0.0141595
100	0.5285658	0.0389187	0.0336902	0.3935427	0.9775166	0.3371571	0.9382569	0.9990720	1.0000000	0.0046051
150	0.5278465	0.0388851	0.0145581	0.3935453	0.9775095	0.3371900	0.9401548	0.9991842	1.0000000	0.0015125
200	0.5275751	0.0388683	0.0075687	0.3935477	0.9775008	0.3372204	0.9410008	0.9991909	1.0000000	0.0005115
250	0.5274954	0.0388599	0.0050153	0.3935504	0.9774920	0.3372425	0.9413336	0.9991913	1.0000000	0.0001875
300	0.5274749	0.0388557	0.0040825	0.3935530	0.9774847	0.3372569	0.9414559	0.9991913	1.0000000	0.0000826
350	0.5274704	0.0388536	0.0037416	0.3935554	0.9774792	0.3372657	0.9414991	0.9991913	1.0000000	0.0000487
400	0.5274698	0.0388526	0.0036171	0.3935571	0.9774755	0.3372710	0.9415139	0.9991913	1.0000000	0.0000377
450	0.5274699	0.0388521	0.0035716	0.3935584	0.9774731	0.3372742	0.9415189	0.9991913	1.0000000	0.0000341
