"Time"	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W
300	0.1629411	0.3720829	0.5817051	0.6753128	0.4384225	0.1992625	0.2894023	0.1034555	0.0455328	0.8766521
350	0.1397272	0.3576625	0.5048941	0.8066929	0.3847494	0.1916687	0.3101460	0.0641602	0.0260820	0.9481754
400	0.1886411	0.3961449	0.5632080	0.7803058	0.3116976	0.1248656	0.2686362	0.0695222	0.0264565	0.7413168
450	0.1310476	0.2701152	0.4124404	0.7556686	0.3164720	0.1095857	0.2237772	0.1136920	0.0340872	0.7819826
500	0.1157941	0.2541722	0.4822059	0.7398264	0.2741214	0.1555444	0.2535946	0.0859996	0.0375961	0.8252570
550	0.1522192	0.3343724	0.5598883	0.7486362	0.1124594	0.1364975	0.0753469	0.0633756	0.0397486	0.8715064
600	0.1387524	0.3218185	0.4669714	0.6356347	0.1079459	0.3240841	0.0496116	0.0639798	0.0391439	0.6195491
650	0.1829596	0.3277042	0.5524181	0.7512862	0.1670688	0.5553778	0.0691051	0.0684460	0.0449125	0.5962918
700	0.2088355	0.3213532	0.5067744	0.6263999	0.3158841	0.6803726	0.0250459	0.0733725	0.0159815	0.7963200
750	0.1399699	0.2542124	0.5696501	0.6865659	0.5057424	0.6250451	0.0199561	0.0574229	0.0490717	0.6824266
800	0.2323400	0.3901944	0.4508892	0.9322046	0.4648267	0.6117217	0.0444126	0.1339980	0.0399314	0.6658328
850	0.1993058	0.4364801	0.5038822	0.8015835	0.3959083	0.7299327	0.0265939	0.0571811	0.0479219	0.8227414
900	0.1639908	0.2858893	0.6046862	0.5905465	0.4492871	0.8607373	0.0622797	0.0437599	0.0379592	0.7378340
950	0.1623402	0.3127969	0.5206272	0.6619321	0.5346607	0.7925455	0.0490715	0.0808136	0.0343532	0.6226685
1000	0.2063979	0.3285296	0.5636747	0.7356426	0.4635141	0.8170741	0.0233798	0.0693732	0.0448570	0.6685295

0	0.1695534	0.3562244	0.7065730	0.6970564	0.5165463	0.8072252	0.0459212	0.0846280	0.0227659	0.8162348
50	0.1488808	0.3624507	0.5026158	0.6375918	0.4696519	0.7503793	0.0413564	0.1109023	0.0835684	0.3912364
100	0.1741868	0.3458305	0.4562509	0.8202225	0.5753105	0.6815586	0.0399519	0.1021242	0.0817962	0.2332898
150	0.1536932	0.2232195	0.5974208	0.6853523	0.4889982	0.6042040	0.0370344	0.1512412	0.2761809	0.2978103
200	0.1540832	0.3014363	0.5773950	0.8407264	0.4644412	0.7061837	0.0711641	0.1992896	0.4106155	0.1738372
250	0.2880069	0.3713417	0.5032225	0.8473224	0.3937121	0.6805676	0.1268353	0.2046933	0.3649375	0.1625085
300	0.1838133	0.2948528	0.4387614	0.6499887	0.4417128	0.4726333	0.2289929	0.3591293	0.4374114	0.2096679
350	0.2101081	0.2657872	0.4118141	0.8077472	0.2872081	0.2935899	0.2610894	0.3762656	0.4514381	0.2513114
400	0.2098467	0.4026876	0.4186739	0.8345681	0.2467666	0.1586170	0.3120426	0.3097474	0.4249283	0.1495318
450	0.2165199	0.4129553	0.5932778	0.8906676	0.1321509	0.1449738	0.3491611	0.4136889	0.5089942	0.1993056
500	0.1592695	0.3479757	0.5885239	0.8047196	0.1058183	0.0779648	0.4029684	0.3258043	0.3892842	0.2581819
550	0.1879191	0.4238771	0.5898938	0.7664967	0.0276501	0.0853690	0.3223005	0.3730337	0.2756218	0.5611950
600	0.1339982	0.3389444	0.5681587	0.7502700	0.0309824	0.0546899	0.3530169	0.3275145	0.1729275	0.6367195
650	0.1256739	0.2912586	0.5830263	0.6766204	0.0287434	0.0750474	0.2953848	0.2698659	0.0535457	0.7023297
700	0.2585053	0.2892265	0.3997886	0.8139139	0.0353154	0.0403343	0.2107534	0.1613625	0.0234658	0.7762117
750	0.1706893	0.3038261	0.4744598	0.7778243	0.0195977	0.0630342	0.1806518	0.1208276	0.0292813	0.6485478
800	0.2415981	0.3049149	0.4583155	0.7621077	0.0392297	0.1671777	0.0923837	0.0994576	0.0356386	0.8253283
850	0.1970590	0.3856514	0.4320957	0.5660758	0.0986011	0.3660844	0.0521044	0.0980740	0.0824999	0.6698648
900	0.2077648	0.3530441	0.4798389	0.7458191	0.2048650	0.5696034	0.0718652	0.0883237	0.0190653	0.7691440
950	0.1170761	0.3582124	0.6039003	0.7080017	0.3589604	0.5576279	0.0408387	0.0612953	0.0215989	0.7110107
1000	0.1449028	0.4064500	0.5204270	0.7787273	0.4421702	0.6535576	0.0386636	0.0686088	0.0167550	0.6826968

