"Time"	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C
650	0.7046822	0.7229688	0.5345982	0.6000674	0.6509203	0.3233604	0.2397736	0.2349809	0.3696297	0.6913167
700	0.5866321	0.6650603	0.4950018	0.6438274	0.7929520	0.1799849	0.3772362	0.3504223	0.3154691	0.6757335
750	0.6365683	0.7433219	0.5566237	0.6364002	0.5055562	0.1292526	0.4082164	0.5089594	0.2161458	0.6923802
800	0.7656855	0.7074572	0.6217027	0.5624518	0.4594598	0.1444301	0.3412227	0.5452832	0.2807704	0.5795601
850	0.8410469	0.5835012	0.5638822	0.5185061	0.3324647	0.1528862	0.5042684	0.5916603	0.2767108	0.7367568
900	0.7094825	0.6880704	0.5689544	0.4252094	0.2848634	0.1463329	0.3663644	0.6889582	0.2186635	0.6344677
950	0.7910286	0.6585753	0.5275012	0.4549362	0.3184085	0.1365977	0.5123290	0.6284848	0.3063792	0.6367089
1000	0.6041421	0.6610330	0.6155400	0.5320207	0.3313561	0.0877479	0.4110975	0.7381190	0.3036922	0.8652989

0	0.7802310	0.6198900	0.2063315	0.1626401	0.0761000	0.0637173	0.5330048	0.6615001	0.3104403	0.7720941
50	0.8024146	0.6453607	0.2795088	0.2411499	0.1166006	0.0778579	0.5441040	0.6145850	0.1646913	0.6608991
100	0.7370805	0.5695420	0.3623561	0.3486209	0.0595789	0.0479007	0.5002474	0.7925285	0.0944725	0.5327235
150	0.7077039	0.6043373	0.3852455	0.3271339	0.0710943	0.0589682	0.5931493	0.6318867	0.0539294	0.5046237
200	0.7132990	0.5428110	0.5001086	0.2652047	0.1281359	0.1201721	0.4650460	0.6999357	0.0559987	0.6255855
250	0.7163182	0.6292208	0.4449884	0.2626623	0.1628367	0.1132937	0.5143199	0.9091324	0.1199835	0.6118526
300	0.7935888	0.6903498	0.3909870	0.1844451	0.1884268	0.0670604	0.5537437	0.7516916	0.0926192	0.6062556
350	0.7440936	0.6211147	0.4156741	0.3383769	0.1538626	0.0869520	0.4787425	0.7491247	0.0510687	0.5276851
400	0.5502584	0.6735628	0.4020845	0.3919812	0.1899611	0.1054410	0.4596950	0.7342477	0.0534255	0.5378911
450	0.6518442	0.7690029	0.4273855	0.2713558	0.1709695	0.1141230	0.4572488	0.7140642	0.0713197	0.5467719
500	0.7356263	0.6938645	0.5343980	0.5186775	0.1486148	0.0629891	0.4798245	0.6403550	0.0481222	0.5232664
550	0.6208352	0.6129466	0.3742818	0.2805745	0.1717013	0.0872368	0.5478792	0.6001344	0.1615333	0.5827340
600	0.6218376	0.5781548	0.4743251	0.2598901	0.2182044	0.0861778	0.3842271	0.7367088	0.2150703	0.6632653
650	0.8126553	0.6498608	0.4510989	0.2546038	0.1810255	0.0675412	0.4454990	0.6146707	0.2462900	0.8147812
700	0.6824861	0.6625449	0.3662585	0.3139546	0.1944334	0.0742537	0.4575282	0.7728452	0.2860300	0.6831467
750	0.7754939	0.6400884	0.4552717	0.3446755	0.1132332	0.0662481	0.5115048	0.6430889	0.2626006	0.6775925
800	0.7617109	0.6567822	0.4141272	0.2013464	0.1578838	0.0764416	0.4338797	0.5450235	0.2218353	0.8291854
