"Time"	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C	YPL248C
600	0.6929295	0.2984424	0.4643231	0.7206424	0.8239959	0.6151931	0.6505801	0.7770508	0.7889837	0.7433954
650	0.7007280	0.2911995	0.3650633	0.9226999	0.7146273	0.8228080	0.7231135	0.7367258	0.7250308	0.7440732
700	0.7318701	0.4589171	0.4137638	0.6543874	0.6492863	0.7087222	0.6692409	0.7236560	0.9483585	0.6453570
750	0.5344481	0.4733577	0.3715124	0.7656512	0.8047958	0.7003780	0.7545227	0.6423303	0.7860893	0.7831784
800	0.5353650	0.3960679	0.4808432	0.8603756	0.8260375	0.7850549	0.6926898	0.6491979	0.6767875	0.7539032
850	0.4484395	0.5002138	0.5764087	0.6153098	0.7424150	0.6726064	0.8405217	0.6600222	0.8059513	0.6945523
900	0.5722258	0.5236412	0.4359844	0.7887247	0.6464878	0.8586365	0.6203767	0.6531475	0.8246660	0.7604741
950	0.4657878	0.4955153	0.3582024	0.7221130	0.7038387	0.7507472	0.8445432	0.7663631	0.6420849	0.7346218
1000	0.5281232	0.3845385	0.4151636	0.6177771	0.6761161	0.7293635	0.6992653	0.8966240	0.7426068	0.6992493

0	0.4714478	0.3936411	0.4512800	0.7875264	0.6323070	0.7539560	0.6808069	0.6711918	0.7344186	0.7578128
50	0.4288120	0.6331342	0.6956108	0.6958874	0.7847477	0.8100519	0.6417110	0.7661159	0.7385768	0.7468324
100	0.4839257	0.6502494	0.6110429	0.8388060	0.7046814	0.7250743	0.6024001	0.7282143	0.6509845	0.8640568
150	0.2679368	0.6626149	0.7463857	0.7387963	0.6763548	0.6767842	0.8032719	0.7068958	0.6608799	0.6961174
200	0.2922049	0.6449082	0.6853099	0.8986877	0.7781352	0.6303291	0.6395606	0.7201963	0.7164524	0.6599319
250	0.3623850	0.6013756	0.7707362	0.6874319	0.8186412	0.7312410	0.6685072	0.7078969	0.6242639	0.7890019
300	0.2932146	0.7117772	0.7218519	0.7746313	0.8936745	0.8934632	0.7632487	0.7312359	0.7146785	0.8221885
350	0.2823072	0.6538212	0.6186066	0.6678859	0.6065119	0.7738029	0.6967160	0.7520041	0.7018002	0.7532019
400	0.2147202	0.5557523	0.7458747	0.7974263	0.8151393	0.8659522	0.6798586	0.6865236	0.7963882	0.7378896
450	0.2606818	0.5163195	0.7713454	0.8374486	0.5931160	0.7164340	0.8179143	0.6949046	0.7556051	0.6927377
500	0.3223745	0.5959139	0.8733288	0.6654554	0.7338199	0.6965363	0.7103738	0.8212685	0.7955534	0.8269267
550	0.2713600	0.4966305	0.4461414	0.8631734	0.7703243	0.8788797	0.6165951	0.7073818	0.7874695	0.7960238
600	0.2962357	0.6678409	0.4401786	0.6685617	0.7941335	0.8011355	0.6761415	0.8782099	0.8669306	0.8128078
650	0.2614076	0.4782452	0.4487636	0.7631814	0.7120673	0.7407254	0.7793238	0.7705116	0.7736155	0.8101935
700	0.3826245	0.4520403	0.3511437	0.6324891	0.7002767	0.6473144	0.6195259	0.6858273	0.7378662	0.7078951
750	0.4972575	0.4601281	0.3746471	0.6183273	0.6838529	0.6552986	0.6663385	0.7588013	0.6591606	0.8243613
800	0.5411010	0.4235595	0.3715947	0.6372948	0.6521490	0.6864997	0.5847082	0.7735312	0.5908052	0.6971695
850	0.4242346	0.3724602	0.4634556	0.6564848	0.8435695	0.9071199	0.8024344	0.6696111	0.8138945	0.6361314
900	0.6944658	0.3995100	0.3639162	0.7049612	0.7776043	0.7019027	0.7179966	0.7145277	0.7559326	0.6743369
950	0.4798899	0.4598900	0.4530456	0.6924891	0.5992769	0.7681539	0.7333875	0.7010515	0.7080521	0.6134929
1000	0.5904468	0.4210906	0.4104475	0.8194246	0.7187835	0.8013685	0.7061998	0.6840830	0.7856401	0.7481342

0	0.4725669	0.3661235	0.3849673	0.6600835	0.7295186	0.7225005	0.6984428	0.6638047	0.6737082	0.6258429
50	0.3505368	0.4749989	0.3188996	0.3796807	0.7251266	0.6643134	0.7404752	0.4605014	0.7849073	0.8133298
100	0.3147653	0.4120400	0.3571149	0.3795631	0.6805549	0.7099144	0.6541797	0.4185479	0.7422889	0.7155316
150	0.3551993	0.4481585	0.2839369	0.3598833	0.7953867	0.6375399	0.8756685	0.4160852	0.7182353	0.6385831
200	0.5739073	0.4215919	0.3287549	0.3309627	0.7708327	0.7054904	0.7120944	0.3760370	0.7724179	0.6830708
250	0.4837960	0.4322041	0.3537335	0.4573767	0.6258057	0.7155269	0.8010838	0.3576548	0.7786711	0.7397014
300	0.4312844	0.4086991	0.2746042	0.4271448	0.7113003	0.7573497	0.6420698	0.3478243	0.7559556	0.5563513
350	0.5197613	0.3406145	0.2264298	0.3442313	0.7225833	0.6896037	0.8488589	0.3646187	0.7296775	0.7733861
400	0.4963584	0.3313418	0.2512725	0.3490656	0.7608282	0.7406103	0.6111798	0.4070870	0.6916650	0.5562557
450	0.5817329	0.5072939	0.2569938	0.3283903	0.7302778	0.6465672	0.6491591	0.3417588	0.7217026	0.6721499
500	0.5553844	0.3485924	0.2987250	0.4109408	0.8273018	0.8243227	0.8457710	0.3039545	0.7988654	0.6932747
550	0.5647291	0.2584436	0.2922694	0.6325696	0.6770121	0.7137092	0.7715334	0.5418637	0.7948825	0.7180572
600	0.6962979	0.3077118	0.4511120	0.7120681	0.7483149	0.6023434	0.8104050	0.6155543	0.6238754	0.7522828
650	0.6351874	0.3813169	0.4621746	0.8888458	0.7161207	0.7892285	0.7751739	0.7085120	0.7085300	0.7391961
700	0.4677755	0.4826845	0.4324839	0.8446075	0.7611826	0.7430585	0.7425378	0.5913443	0.7962395	0.6229815
750	0.4266761	0.5496088	0.4063620	0.7304393	0.7472651	0.7952616	0.7877385	0.7050923	0.8666816	0.6613524
800	0.4705165	0.5197525	0.4566535	0.8190667	0.6898651	0.7373956	0.6683470	0.7323575	0.7388646	0.7056274
850	0.4278691	0.4473616	0.4366233	0.7199175	0.6855188	0.8145055	0.7291472	0.8447828	0.9388453	0.6093095
900	0.3564372	0.4947548	0.4282794	0.7124400	0.6292814	0.8341948	0.8608813	0.7087849	0.7594605	0.8001852
950	0.3877950	0.4443161	0.3537259	0.5622644	0.7329944	0.8319965	0.7556712	0.8266774	0.8192464	0.7702183
1000	0.3433110	0.4259171	0.3621451	0.6698268	0.7104196	0.7434808	0.6699084	0.6865755	0.8693837	0.7940016
