"Time"	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W
300	0.9979693	0.0340159	0.3405663	0.8325789	0.7782294	0.3766125	0.5216633	0.3224211	0.9994246	0.0736827
350	0.9980210	0.0336299	0.3326673	0.8543663	0.8145576	0.3529302	0.5735671	0.3142510	0.9996263	0.0731766
400	0.9980902	0.0331653	0.3239159	0.8715894	0.8357034	0.3340404	0.6000601	0.3113899	0.9996709	0.0730229
450	0.9981747	0.0326969	0.3158289	0.8833516	0.8468335	0.3210410	0.6120710	0.3104124	0.9996818	0.0729762
500	0.9982661	0.0322941	0.3093159	0.8906631	0.8522983	0.3129712	0.6170993	0.3100832	0.9996847	0.0729620
550	0.9983536	0.0319865	0.3045857	0.8945008	0.8451919	0.3083228	0.6190601	0.3107851	0.9647582	0.7184891
600	0.9984291	0.0317711	0.3014958	0.8957770	0.8440985	0.3058365	0.6153275	0.3428939	0.7134107	0.9145144
650	0.9984889	0.0316316	0.2997160	0.8960420	0.8422012	0.3056533	0.5724497	0.4715311	0.5026406	0.9740409
700	0.9985332	0.0315483	0.2988151	0.8956428	0.8313815	0.3116312	0.4665079	0.6423390	0.4130999	0.9921171
750	0.9985639	0.0315033	0.2985161	0.8935286	0.8029270	0.3278486	0.3542214	0.7638894	0.3813041	0.9976062
800	0.9985839	0.0314856	0.2988862	0.8877250	0.7570553	0.3515921	0.2789738	0.8277550	0.3706585	0.9992731
850	0.9985957	0.0314956	0.3003452	0.8764628	0.7047762	0.3757614	0.2382132	0.8568295	0.3671915	0.9997793
900	0.9986008	0.0315458	0.3034697	0.8594962	0.6595151	0.3952602	0.2182506	0.8690613	0.3660825	0.9999330
950	0.9985988	0.0316572	0.3086531	0.8388916	0.6279216	0.4087811	0.2090198	0.8739520	0.3657325	0.9999796
1000	0.9985877	0.0318516	0.3157625	0.8182804	0.6091186	0.4172537	0.2049256	0.8758378	0.3656232	0.9999938

0	0.9979138	0.0347385	0.3564597	0.7691668	0.5902783	0.4278940	0.2019648	0.8769502	0.3655743	1.0000000
50	0.9979136	0.0343318	0.3309858	0.8970836	0.5902781	0.4278947	0.2019648	0.8769502	0.3655743	1.0000000
100	0.9979669	0.0330861	0.3007789	0.9420143	0.5902781	0.4278949	0.2019648	0.8769502	0.3655743	1.0000000
150	0.9981141	0.0318252	0.2764767	0.9577962	0.5902780	0.4278948	0.2019648	0.8769502	0.3655743	1.0000000
200	0.9983093	0.0310123	0.2611725	0.9633395	0.5902780	0.4278944	0.2019648	0.8769502	0.3655743	1.0000000
250	0.9984886	0.0305828	0.2527137	0.9652866	0.5902780	0.4278940	0.2019648	0.8769502	0.3655743	1.0000000
300	0.9986225	0.0303710	0.2483973	0.9659705	0.5902780	0.4278937	0.2019648	0.8769502	0.3655743	1.0000000
350	0.9987111	0.0302682	0.2463110	0.9662108	0.5902780	0.4278935	0.2019648	0.8769502	0.3655743	1.0000000
400	0.9987653	0.0302186	0.2453418	0.9662951	0.5902780	0.4278934	0.2019648	0.8769502	0.3655743	1.0000000
450	0.9987968	0.0301949	0.2449048	0.9663248	0.5902780	0.4278933	0.2019648	0.8769502	0.3655743	1.0000000
500	0.9988144	0.0301838	0.2447123	0.9663352	0.5902780	0.4278932	0.2019648	0.8769502	0.3655743	1.0000000
550	0.9988234	0.0302576	0.2676779	0.8384132	0.5902780	0.4278932	0.2019648	0.8769502	0.3655743	1.0000000
600	0.9988207	0.0305736	0.2942499	0.7934806	0.5902780	0.4278932	0.2019648	0.8769502	0.3655743	1.0000000
650	0.9987946	0.0311892	0.3185653	0.7776981	0.5902780	0.4278933	0.2019648	0.8769502	0.3655743	1.0000000
700	0.9987321	0.0320476	0.3357010	0.7721545	0.5902780	0.4278934	0.2019648	0.8769502	0.3655743	1.0000000
750	0.9986273	0.0329413	0.3459347	0.7702073	0.5902780	0.4278936	0.2019648	0.8769502	0.3655743	1.0000000
800	0.9984893	0.0336705	0.3514307	0.7695233	0.5902780	0.4278939	0.2019648	0.8769502	0.3655743	1.0000000
850	0.9983402	0.0341641	0.3541791	0.7692831	0.5902780	0.4278943	0.2019648	0.8769502	0.3655743	1.0000000
900	0.9982040	0.0344562	0.3554861	0.7691987	0.5902780	0.4278946	0.2019648	0.8769502	0.3655743	1.0000000
950	0.9980953	0.0346132	0.3560852	0.7691691	0.5902780	0.4278948	0.2019648	0.8769502	0.3655743	1.0000000
1000	0.9980175	0.0346923	0.3563523	0.7691586	0.5902780	0.4278950	0.2019648	0.8769502	0.3655743	1.0000000

0	0.9979138	0.0347385	0.3564597	0.7691668	0.5902783	0.4278940	0.2019648	0.8769502	0.3655743	1.0000000
50	0.6997474	0.5669562	0.3519295	0.8424070	0.8201542	0.5521956	0.2019648	0.8769502	0.3655743	1.0000000
100	0.3200499	0.6096560	0.3364534	0.8922875	0.8721543	0.6188117	0.2019648	0.8769502	0.3655743	1.0000000
150	0.1592749	0.6127570	0.3180330	0.9200861	0.8839172	0.6620076	0.2019648	0.8769502	0.3655743	1.0000000
200	0.0933687	0.6126690	0.3029648	0.9335768	0.8865780	0.6884072	0.2019648	0.8769502	0.3655743	1.0000000
250	0.0664798	0.6124208	0.2927749	0.9396756	0.8871799	0.7031343	0.2019648	0.8769502	0.3655743	1.0000000
300	0.0555289	0.6122538	0.2866293	0.9423141	0.8873161	0.7108481	0.2019648	0.8769502	0.3655743	1.0000000
350	0.0510739	0.6121568	0.2831983	0.9434204	0.8873469	0.7147226	0.2019648	0.8769502	0.3655743	1.0000000
400	0.0492631	0.6121034	0.2813877	0.9438734	0.8873539	0.7166127	0.2019648	0.8769502	0.3655743	1.0000000
450	0.0485278	0.6120749	0.2804730	0.9440554	0.8873554	0.7175152	0.2019648	0.8769502	0.3655743	1.0000000
500	0.0482295	0.6120600	0.2800266	0.9441274	0.8873558	0.7179390	0.2019648	0.8769502	0.3655743	1.0000000
550	0.0523346	0.0777102	0.2811830	0.9107750	0.6574798	0.5909988	0.2019648	0.8769502	0.3655743	1.0000000
600	0.1568192	0.0347143	0.2871505	0.8694029	0.6054797	0.5052072	0.2019648	0.8769502	0.3655743	1.0000000
650	0.5345886	0.0314071	0.2982926	0.8289439	0.5937168	0.4632869	0.2019648	0.8769502	0.3655743	1.0000000
700	0.7982148	0.0314558	0.3125463	0.8003817	0.5910559	0.4440253	0.2019648	0.8769502	0.3655743	1.0000000
750	0.9154945	0.0319397	0.3265576	0.7840401	0.5904540	0.4352407	0.2019648	0.8769502	0.3655743	1.0000000
800	0.9643963	0.0325654	0.3378684	0.7758222	0.5903178	0.4312393	0.2019648	0.8769502	0.3655743	1.0000000
850	0.9844800	0.0332041	0.3457513	0.7720138	0.5902870	0.4294172	0.2019648	0.8769502	0.3655743	1.0000000
900	0.9926499	0.0337505	0.3506748	0.7703422	0.5902801	0.4285877	0.2019648	0.8769502	0.3655743	1.0000000
950	0.9959272	0.0341544	0.3535065	0.7696359	0.5902785	0.4282102	0.2019648	0.8769502	0.3655743	1.0000000
1000	0.9972092	0.0344199	0.3550356	0.7693456	0.5902781	0.4280384	0.2019648	0.8769502	0.3655743	1.0000000

0	0.9979138	0.0347385	0.3564597	0.7691668	0.5902783	0.4278940	0.2019648	0.8769502	0.3655743	1.0000000
50	0.6268775	0.0347498	0.3565087	0.7691588	0.5902782	0.3662723	0.2019656	0.8768912	0.3663620	0.9957038
100	0.4767976	0.0347557	0.3565329	0.7691556	0.5902825	0.3382219	0.2019948	0.8763535	0.3679497	0.9943992
150	0.4160919	0.0347588	0.3565444	0.7691578	0.5903266	0.3254484	0.2021222	0.8754053	0.3689896	0.9940030
200	0.3915369	0.0347603	0.3565483	0.7691808	0.5904704	0.3196175	0.2023469	0.8745371	0.3694674	0.9938827
250	0.3816047	0.0347609	0.3565427	0.7692514	0.5907215	0.3169356	0.2025912	0.8739651	0.3696538	0.9938462
300	0.3775871	0.0347605	0.3565200	0.7693850	0.5910195	0.3156838	0.2027893	0.8736545	0.3697202	0.9938351
350	0.3759621	0.0347588	0.3564734	0.7695679	0.5912922	0.3150871	0.2029214	0.8735054	0.3697427	0.9938317
400	0.3753048	0.0347553	0.3564024	0.7697668	0.5914992	0.3147963	0.2029980	0.8734397	0.3697500	0.9938307
450	0.3750392	0.0347500	0.3563152	0.7699488	0.5916361	0.3146520	0.2030382	0.8734125	0.3697523	0.9938304
500	0.3749320	0.0347435	0.3562240	0.7700944	0.5917172	0.3145796	0.2030577	0.8734017	0.3697531	0.9938303
550	0.7459184	0.0347364	0.3561401	0.7701992	0.5917615	0.3761121	0.2030658	0.8734579	0.3689578	0.9981265
600	0.8959781	0.0347297	0.3560707	0.7702682	0.5917795	0.4041198	0.2030397	0.8740030	0.3673661	0.9994311
650	0.9566760	0.0347240	0.3560182	0.7703069	0.5917452	0.4168748	0.2029111	0.8749568	0.3663307	0.9998272
700	0.9812283	0.0347194	0.3559826	0.7703077	0.5916045	0.4227032	0.2026847	0.8758225	0.3658570	0.9999475
750	0.9911601	0.0347163	0.3559663	0.7702498	0.5913537	0.4253940	0.2024403	0.8763891	0.3656727	0.9999841
800	0.9951779	0.0347147	0.3559746	0.7701226	0.5910559	0.4266611	0.2022437	0.8766955	0.3656070	0.9999952
850	0.9968034	0.0347151	0.3560127	0.7699429	0.5907842	0.4272741	0.2021135	0.8768420	0.3655849	0.9999985
900	0.9974609	0.0347177	0.3560786	0.7697457	0.5905786	0.4275789	0.2020382	0.8769065	0.3655776	0.9999996
