"Time"	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W
0	0.8406537	0.6325040	0.6031963	0.2765831	0.3430060	0.6741269	0.4879634	0.1183707	0.7965666	0.0291428
50	0.5189737	0.5732458	0.6655177	0.2806253	0.4694192	0.6188265	0.5597934	0.1317952	0.6860267	0.0608461
100	0.4344699	0.4973771	0.5008618	0.1824653	0.6737210	0.5102364	0.4116261	0.2996409	0.7294133	0.0339885
150	0.2845821	0.4636998	0.4387428	0.0840591	0.9016181	0.4712973	0.2824846	0.4010166	0.5512239	0.0222582
200	0.2881200	0.3432361	0.5424966	0.0743705	0.6508545	0.4409124	0.2612039	0.3723024	0.6651596	0.0396800
250	0.2458024	0.2599687	0.6191964	0.0262050	0.7105269	0.5321862	0.1988819	0.4564121	0.5557960	0.0562325
300	0.3007850	0.2543429	0.5364619	0.0227774	0.6373414	0.5451843	0.1619950	0.2921378	0.6017874	0.0476802
350	0.3098689	0.2233023	0.4341750	0.0122758	0.7664592	0.5571005	0.1747667	0.4648223	0.5924466	0.0270775
400	0.2888245	0.2924005	0.4819015	0.0078272	0.6215078	0.7444347	0.2663917	0.4105001	0.5939521	0.0350348
450	0.3547013	0.2968849	0.5591393	0.0048941	0.6346208	0.8171460	0.2569712	0.4416344	0.6814130	0.0336520
500	0.2599285	0.3116944	0.4966666	0.0098741	0.7945205	0.6654156	0.1850709	0.5290430	0.5420800	0.0408510
550	0.4530464	0.2808171	0.6674366	0.0077484	0.6612666	0.5912319	0.1242591	0.3739702	0.6540743	0.0487376
600	0.5726011	0.3875439	0.7537121	0.0098719	0.5380364	0.6683588	0.1600887	0.2430991	0.7454216	0.0401133
650	0.7036097	0.5592487	0.6162948	0.0261824	0.3177569	0.6277156	0.2097245	0.2197000	0.6384713	0.0262325
700	0.6280974	0.5526577	0.7907236	0.0392774	0.4558034	0.5656692	0.2324340	0.1962551	0.7521825	0.0292995
750	0.9404419	0.5665545	0.7153484	0.0630903	0.5328531	0.5719693	0.2336569	0.2326411	0.6662652	0.0091120
800	0.6365722	0.7000496	0.7135897	0.0612511	0.5128800	0.6715535	0.2300965	0.1639602	0.7789397	0.0462806
850	0.7050216	0.7087501	0.7339630	0.0735719	0.4442758	0.5831036	0.2789627	0.1676620	0.8746207	0.0160196
900	0.5871418	0.6703821	0.7482219	0.1434484	0.3460628	0.5103083	0.3276333	0.1449756	0.6902787	0.0063568
950	0.8403093	0.6881371	0.7005182	0.0828604	0.3595171	0.6358711	0.2769755	0.1393227	0.7877132	0.0214217
1000	0.7358105	0.7353713	0.8038701	0.1462235	0.4467027	0.5920689	0.3715466	0.1365585	0.7347291	0.0076865

0	0.7837425	0.7198526	0.5381533	0.3232878	0.3426870	0.5313886	0.4285135	0.1255293	0.7842710	0.0387516
50	0.6202429	0.6529918	0.4137272	0.1852799	0.2524387	0.4795179	0.3628132	0.1034581	0.7213054	0.0276649
100	0.5411805	0.7341909	0.2302125	0.1414173	0.2885461	0.3707468	0.4224250	0.0579410	0.6499747	0.0568047
