"Time"	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C
800	0.7855885	0.5485300	0.7381014	0.5297453	0.8299197	0.3009411	0.0631100	0.1213815	1.0000000	0.9786095
850	0.7665299	0.5539366	0.7299271	0.5427931	0.8389353	0.3046257	0.0631100	0.1213815	1.0000000	0.9825968
900	0.7446305	0.5547250	0.7206742	0.5527135	0.8439200	0.3050624	0.0631100	0.1213815	1.0000000	0.9846887
950	0.7256819	0.5531324	0.7128064	0.5591535	0.8460678	0.3038517	0.0631100	0.1213815	1.0000000	0.9856336
1000	0.7119832	0.5507073	0.7071797	0.5627006	0.8464696	0.3020863	0.0631100	0.1213815	1.0000000	0.9859200

0	0.7038835	0.5447464	0.7036422	0.5612501	0.8426085	0.2978781	0.0631100	0.1213815	1.0000000	0.9848532
50	0.7030834	0.5182277	0.2934575	0.5643885	0.8776034	0.7256514	0.0631107	0.1224387	0.9771516	0.9908183
100	0.6916663	0.4310540	0.1645018	0.5857764	0.9257730	0.8384117	0.0631173	0.1246813	0.9689944	0.9963245
150	0.6543329	0.3338646	0.1217595	0.6152853	0.9493131	0.8583628	0.0631305	0.1262689	0.9660823	0.9985279
200	0.6032978	0.2623697	0.1055909	0.6375417	0.9585641	0.8575526	0.0631441	0.1270711	0.9650426	0.9993418
250	0.5590831	0.2197798	0.0985122	0.6502733	0.9618220	0.8545093	0.0631542	0.1274204	0.9646714	0.9996352
300	0.5296193	0.1970259	0.0951568	0.6564884	0.9628399	0.8524336	0.0631603	0.1275610	0.9645389	0.9997389
350	0.5129776	0.1855256	0.0935517	0.6592016	0.9630978	0.8513038	0.0631635	0.1276153	0.9644916	0.9997746
400	0.5046080	0.1798809	0.0928066	0.6602777	0.9631298	0.8507354	0.0631651	0.1276356	0.9644747	0.9997865
450	0.5007662	0.1771610	0.0924767	0.6606634	0.9631106	0.8504597	0.0631658	0.1276431	0.9644687	0.9997902
500	0.4991401	0.1758714	0.0923386	0.6607838	0.9630889	0.8503290	0.0631661	0.1276458	0.9644665	0.9997912
550	0.4985536	0.2187701	0.4608727	0.6604032	0.9550097	0.3336671	0.0631654	0.1265234	0.9873142	0.9996345
600	0.5006077	0.3271970	0.5767569	0.6540958	0.9176572	0.2285427	0.0631577	0.1242410	0.9954710	0.9975998
650	0.5154230	0.4156172	0.6178761	0.6325512	0.8617232	0.2333613	0.0631434	0.1226869	0.9983831	0.9888995
700	0.5560402	0.4684915	0.6433011	0.5975901	0.8244536	0.2526045	0.0631299	0.1219210	0.9994228	0.9782064
750	0.6180901	0.4984263	0.6689777	0.5653155	0.8143033	0.2679982	0.0631205	0.1215925	0.9997939	0.9743135
800	0.6775440	0.5170989	0.6923040	0.5471307	0.8178080	0.2793708	0.0631151	0.1214614	0.9999264	0.9754859
850	0.7161226	0.5300931	0.7078717	0.5420454	0.8249085	0.2879883	0.0631123	0.1214112	0.9999737	0.9781543
900	0.7324746	0.5390836	0.7147882	0.5442353	0.8316552	0.2941518	0.0631110	0.1213924	0.9999906	0.9806840
950	0.7338514	0.5446124	0.7155909	0.5489836	0.8369136	0.2979664	0.0631104	0.1213855	0.9999967	0.9826153
1000	0.7279336	0.5473372	0.7133308	0.5537723	0.8405248	0.2998251	0.0631102	0.1213830	0.9999988	0.9839215

0	0.7038835	0.5447464	0.7036422	0.5612501	0.8426085	0.2978781	0.0631100	0.1213815	1.0000000	0.9848532
50	0.6460650	0.5448084	0.7019626	0.5785278	0.9349578	0.3124178	0.4528205	0.1059632	1.0000000	0.8821212
100	0.5972878	0.5441368	0.6887794	0.6158393	0.9621142	0.4457307	0.5580664	0.1022063	1.0000000	0.8489629
150	0.5370115	0.5410318	0.6669985	0.6439274	0.9753415	0.5667721	0.5864857	0.1012908	1.0000000	0.8412656
200	0.4852324	0.5351981	0.6473029	0.6606169	0.9826886	0.6219282	0.5941589	0.1010677	1.0000000	0.8398704
250	0.4499500	0.5282010	0.6335301	0.6698791	0.9862902	0.6408886	0.5962305	0.1010134	1.0000000	0.8397107
300	0.4286515	0.5217328	0.6250437	0.6747683	0.9878978	0.6452813	0.5967897	0.1010002	1.0000000	0.8397533
350	0.4167112	0.5166707	0.6202038	0.6772162	0.9885571	0.6449540	0.5969406	0.1009969	1.0000000	0.8397993
400	0.4103846	0.5131400	0.6176017	0.6783745	0.9887964	0.6436295	0.5969813	0.1009961	1.0000000	0.8398236
450	0.4071996	0.5108788	0.6162743	0.6788883	0.9888639	0.6424615	0.5969923	0.1009959	1.0000000	0.8398326
500	0.4056775	0.5095248	0.6156319	0.6790980	0.9888694	0.6416698	0.5969953	0.1009959	1.0000000	0.8398342
550	0.4467687	0.5087631	0.6157151	0.6743819	0.9555547	0.5466549	0.2072366	0.1164142	1.0000000	0.9441541
600	0.4683387	0.5085448	0.6190978	0.6621373	0.9363843	0.3727376	0.1019973	0.1201712	1.0000000	0.9798182
650	0.4921869	0.5092947	0.6262977	0.6470033	0.9083097	0.3042708	0.0735965	0.1210866	1.0000000	0.9904366
700	0.5224274	0.5113279	0.6366365	0.6271646	0.8768315	0.2838010	0.0659363	0.1213097	1.0000000	0.9906693
750	0.5615265	0.5147141	0.6503793	0.6040480	0.8528254	0.2794287	0.0638714	0.1213640	1.0000000	0.9872066
800	0.6063312	0.5194329	0.6664150	0.5828878	0.8395157	0.2807375	0.0633150	0.1213773	1.0000000	0.9839985
850	0.6483281	0.5251530	0.6818617	0.5676931	0.8343065	0.2842256	0.0631652	0.1213805	1.0000000	0.9823457
900	0.6803572	0.5311243	0.6940476	0.5590995	0.8337233	0.2883291	0.0631248	0.1213813	1.0000000	0.9820188
950	0.7003988	0.5364854	0.7019380	0.5555997	0.8352766	0.2921095	0.0631140	0.1213815	1.0000000	0.9824320
1000	0.7103386	0.5406486	0.7059892	0.5552203	0.8374887	0.2950533	0.0631111	0.1213815	1.0000000	0.9831140

0	0.7038835	0.5447464	0.7036422	0.5612501	0.8426085	0.2978781	0.0631100	0.1213815	1.0000000	0.9848532
50	0.4280116	0.5448263	0.7034845	0.5614830	0.8429729	0.3086774	0.4165487	0.1349289	0.7459099	0.9849580
