"Time"	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W
200	0.1193664	0.2599014	0.6472813	0.6405544	0.1470055	0.2218744	0.0744967	0.2443933	0.0569380	0.6436889
250	0.0887022	0.1510009	0.6046188	0.6774494	0.0984874	0.1465326	0.0670180	0.2635265	0.0532787	0.7754839
300	0.0852347	0.1678039	0.6738864	0.5722824	0.0779783	0.1168507	0.0961745	0.3506798	0.0510108	0.6681389
350	0.0866191	0.2185452	0.7155632	0.6290115	0.0573875	0.1345547	0.1152544	0.3118024	0.0239268	0.6621752
400	0.0754153	0.3183290	0.4988479	0.6737482	0.0656497	0.1474565	0.0542621	0.3046818	0.0279006	0.6262939
450	0.0853120	0.2852705	0.6730210	0.6640533	0.0239091	0.1308220	0.1290513	0.2882177	0.0445821	0.6958980
500	0.1333906	0.3350369	0.5923106	0.6929082	0.0681095	0.1282500	0.1034622	0.2871763	0.0172330	0.7433709
550	0.1014393	0.2462487	0.6555847	0.7083016	0.0668611	0.1318175	0.0572798	0.5260849	0.0496678	0.7467161
600	0.0848151	0.3589905	0.6251712	0.7441861	0.0413713	0.1884505	0.0377255	0.6284671	0.0482652	0.8077989
650	0.0921638	0.4382602	0.7055575	0.6275396	0.0623131	0.2398093	0.0353327	0.4740421	0.0753402	0.6627389
700	0.1067967	0.4328555	0.7253192	0.7162358	0.0884357	0.3056754	0.0282506	0.5986433	0.0294903	0.7254557
750	0.0660183	0.4539251	0.6512162	0.6802130	0.1217900	0.3615390	0.0206009	0.6120262	0.0620311	0.7414345
800	0.0854388	0.4278718	0.6671849	0.7806034	0.1241708	0.3339329	0.0179766	0.6516509	0.0346049	0.8437349
850	0.0922935	0.4120750	0.5849540	0.7423408	0.1324741	0.2547399	0.0208558	0.6232804	0.0544860	0.7313873
900	0.1514345	0.4333359	0.5507302	0.7550707	0.1340656	0.3084669	0.0515957	0.8058302	0.0486478	0.6898813
950	0.1118223	0.4096530	0.6460495	0.7191448	0.1116362	0.3576566	0.0175182	0.6136242	0.0621354	0.7084571
1000	0.1110524	0.4538700	0.6635667	0.6896854	0.2031374	0.3390903	0.0101537	0.6636493	0.0749748	0.6998335

0	0.0759426	0.3859149	0.6806253	0.7211296	0.1865334	0.3324846	0.0282298	0.5932746	0.0740471	0.6618321
50	0.0962187	0.3623792	0.2559810	0.6514339	0.1037243	0.3315863	0.0315273	0.1578591	0.0536405	0.6336647
100	0.0495451	0.1545040	0.1414298	0.7189254	0.1130522	0.3175891	0.0921868	0.0614289	0.0781085	0.6875177
150	0.0467686	0.0763155	0.1745064	0.6192320	0.1326944	0.2032416	0.2576192	0.0449926	0.0624043	0.7286637
200	0.0420503	0.0393696	0.0627712	0.3382539	0.0623324	0.0846644	0.3831273	0.0190742	0.0372396	0.6330514
250	0.0674549	0.0379016	0.0087263	0.1582084	0.0414767	0.0464776	0.3793153	0.0067876	0.0430141	0.7025566
300	0.0988874	0.0596416	0.0281885	0.0856116	0.0322450	0.0893681	0.3937334	0.0011136	0.0496645	0.6937539
350	0.0238003	0.0629980	0.0011814	0.1199002	0.0197687	0.0842564	0.4076860	0.0024928	0.0504254	0.6623883
400	0.0784845	0.0417132	0.0232837	0.1514416	0.0324380	0.0770500	0.4418064	0.0064721	0.0266375	0.6282828
450	0.0273565	0.0467744	0.0177045	0.0774008	0.0144607	0.1236305	0.4682739	0.0009701	0.0227204	0.7985600
500	0.0418287	0.0741707	0.0088270	0.1134982	0.0369420	0.1125227	0.3765228	0.0034229	0.0305924	0.6666206
550	0.0557091	0.1686937	0.0536427	0.0698079	0.0415623	0.0939455	0.3392272	0.3689852	0.0278324	0.7426412
600	0.0741474	0.3534467	0.1484295	0.2282421	0.0321540	0.0742880	0.1198813	0.6981309	0.0260555	0.6423140
650	0.0664739	0.4611447	0.6312560	0.5671763	0.0306873	0.1477251	0.0279471	0.7230194	0.0228182	0.7147476
700	0.0976466	0.4183211	0.6291370	0.6834086	0.0594033	0.2151427	0.0266533	0.6985030	0.0274444	0.6889635
750	0.1112767	0.3797368	0.7530368	0.6995004	0.0806341	0.2746528	0.0208270	0.6516200	0.0290896	0.8088315
800	0.1184490	0.3923961	0.7018495	0.6514352	0.0973169	0.3905173	0.0295732	0.7151402	0.0371390	0.6865906
850	0.1405116	0.5126817	0.6418783	0.6443240	0.1720037	0.3073644	0.0156139	0.7076951	0.0726724	0.6919508
900	0.1097751	0.4028978	0.6342377	0.6832884	0.1309780	0.4204681	0.0266837	0.6379024	0.0487188	0.7136764
950	0.1236619	0.5058034	0.7120847	0.6671638	0.1864591	0.3853008	0.0133497	0.6806786	0.0346993	0.7713154
1000	0.1094609	0.3845107	0.7771185	0.7369626	0.1516852	0.3971643	0.0104748	0.5919244	0.0999718	0.7553024

0	0.0930530	0.4604436	0.6422676	0.6893151	0.2385306	0.3446057	0.0139943	0.6722266	0.0980539	0.6446539
50	0.1480942	0.3610362	0.6408570	0.6134792	0.1875383	0.3466716	0.0081626	0.6761583	0.0368369	0.3551737
100	0.2834875	0.4748552	0.7252726	0.8035612	0.1753209	0.4302308	0.0010101	0.6726221	0.0645737	0.3320678
150	0.3038163	0.3746640	0.5938922	0.7922766	0.1803154	0.4912581	0.0001084	0.5867263	0.0853334	0.2523901
200	0.4778544	0.5116086	0.6415375	0.6641001	0.1926993	0.6282265	0.0000000	0.7802517	0.0867169	0.3056386
250	0.5346529	0.4666127	0.8139155	0.7436768	0.2989260	0.6407659	0.0191932	0.5707956	0.2338814	0.3205824
300	0.5579050	0.4392273	0.6855248	0.8238181	0.3515636	0.7273326	0.0001960	0.6023812	0.2928307	0.3492908
350	0.5014010	0.4314010	0.5960129	0.7691392	0.3962550	0.6667361	0.0020444	0.6566862	0.2504239	0.2015272
400	0.5806631	0.3640975	0.7845940	0.7593249	0.3306000	0.6443882	0.0011841	0.6606946	0.2541812	0.3132537
450	0.5056185	0.4398226	0.7647211	0.8228242	0.4425563	0.7000101	0.0008527	0.4945972	0.2452122	0.2551309
500	0.4537897	0.3841718	0.7301523	0.6114697	0.3262588	0.5689443	0.0111690	0.5209663	0.3287815	0.2549287
550	0.4361876	0.3738432	0.6920369	0.6919239	0.2873825	0.4516882	0.0388702	0.4896690	0.2025539	0.6998514
600	0.2918891	0.4185318	0.7600909	0.6908470	0.2538077	0.4024523	0.0230460	0.5301878	0.1624646	0.7558854
650	0.1395653	0.5256730	0.5706371	0.6669260	0.2342258	0.3590295	0.0241521	0.6814603	0.1161423	0.6425255
700	0.1261002	0.4227839	0.5688118	0.6416476	0.2066846	0.4288320	0.0222657	0.5661463	0.0572032	0.6941936
750	0.0901005	0.4738968	0.7127443	0.6731771	0.1727704	0.5155688	0.0043408	0.5994806	0.1176797	0.6502760
800	0.0608556	0.3679325	0.8548686	0.5929918	0.1649381	0.4511726	0.0422121	0.7162312	0.0798970	0.7080390
850	0.0741362	0.3074858	0.6720954	0.7141001	0.1691991	0.3686978	0.0186856	0.6865238	0.0874230	0.7220694
900	0.0928513	0.4086538	0.8031665	0.8090847	0.1705004	0.3139322	0.0355894	0.6890408	0.0637353	0.7059723
950	0.1005007	0.4083606	0.6476598	0.6197381	0.1664088	0.3916975	0.0422380	0.7338877	0.0837324	0.6637043
1000	0.1162777	0.4578598	0.6946056	0.6805497	0.1804911	0.3465599	0.0220916	0.6532768	0.1055557	0.6288687

0	0.1025122	0.4634236	0.7953992	0.7836650	0.2342415	0.3465990	0.0244616	0.6328482	0.0715324	0.7518757
50	0.1239666	0.4064634	0.7278655	0.7787523	0.1283879	0.3024401	0.0565723	0.5645323	0.2201623	0.4041918
100	0.1964211	0.4050515	0.6400897	0.6205871	0.1784491	0.3582365	0.0307038	0.6784966	0.2420273	0.4883369
150	0.2515335	0.5466487	0.6936767	0.6414904	0.1566108	0.2738400	0.0049389	0.7568559	0.2779746	0.4126055
200	0.2598820	0.3838162	0.6693376	0.5723522	0.1509663	0.2820514	0.0107695	0.6996058	0.2951922	0.4427867
250	0.2556421	0.5292314	0.6201820	0.7216608	0.2054023	0.3828053	0.0273841	0.6718565	0.3534252	0.3733287
300	0.2762452	0.3676510	0.7352852	0.7001518	0.1408876	0.3347156	0.0362471	0.6733410	0.3216779	0.3959435
350	0.3415076	0.3181321	0.8042327	0.6295079	0.1043764	0.3541275	0.0161243	0.6827826	0.3244127	0.4459028
400	0.3878190	0.4158002	0.5866250	0.6538923	0.1784767	0.3986452	0.0073810	0.5818101	0.3053453	0.4703638
450	0.3915912	0.4405039	0.6311791	0.5759619	0.1205081	0.3474057	0.0098930	0.6715810	0.3997748	0.3899760
500	0.4611558	0.4497403	0.7777620	0.5873895	0.1812724	0.4137243	0.0121946	0.6658269	0.3759456	0.4856931
550	0.3034470	0.4126878	0.6371886	0.7415403	0.1936000	0.3993381	0.0082932	0.6367906	0.2832841	0.6898259
600	0.1609761	0.5274787	0.6469436	0.5854820	0.1641905	0.3600542	0.0107241	0.6614462	0.1070015	0.6404223
650	0.1053807	0.3247846	0.7278863	0.8088414	0.1510345	0.4396820	0.0390482	0.5782269	0.0796472	0.6230311
700	0.0842264	0.3706014	0.6887956	0.7480237	0.1845504	0.3486416	0.0432288	0.6551225	0.0643077	0.7303400
750	0.0528937	0.4997751	0.6255119	0.7020750	0.2126982	0.3081735	0.0323089	0.6555261	0.0774323	0.5799529
800	0.1568927	0.3668846	0.6111552	0.6651622	0.1993523	0.2985352	0.0217734	0.6662586	0.0685778	0.7258160
850	0.0972350	0.5797407	0.7085000	0.6946486	0.1791725	0.3574812	0.0097386	0.5348122	0.0627823	0.7405220
900	0.1009674	0.5891233	0.6591507	0.6833701	0.1053586	0.3534558	0.0157560	0.7092639	0.0693198	0.7706682
950	0.0653200	0.3547236	0.6405826	0.7430125	0.1658130	0.4037813	0.0224866	0.6813283	0.0912151	0.7652589
1000	0.1065915	0.4475659	0.6753212	0.7019433	0.1925009	0.4035702	0.0132036	0.7692145	0.0897157	0.6224978

0	0.0979537	0.4821168	0.7757679	0.7882786	0.1661974	0.2742606	0.0141978	0.6864179	0.0691823	0.6882305
50	0.0622081	0.6386082	0.1005822	0.6371512	0.1696905	0.4973533	0.0494874	0.5391779	0.0882817	0.3235685
100	0.0748756	0.6050724	0.0436094	0.7479761	0.1840219	0.4280711	0.0575945	0.5643780	0.0680698	0.5302758
150	0.0603654	0.5524648	0.0388957	0.6784492	0.1695079	0.5068545	0.0259606	0.6042444	0.0978181	0.4036383
200	0.1031220	0.7018837	0.0429580	0.7180037	0.1667317	0.3392052	0.0518878	0.5668037	0.1366571	0.3206894
250	0.1334649	0.5203694	0.0231301	0.7281149	0.2256972	0.3247099	0.0349002	0.5453396	0.1578228	0.3041970
300	0.1153689	0.6027596	0.0537423	0.7367540	0.2430880	0.2384018	0.0468903	0.5643517	0.0941893	0.3565912
350	0.0626684	0.6045296	0.0346351	0.9099457	0.1244582	0.1842373	0.0442336	0.5157093	0.0965999	0.4048540
400	0.1435608	0.6044837	0.0529467	0.6322789	0.1374645	0.1739807	0.0129965	0.6009974	0.0439323	0.3569642
450	0.1376205	0.7263766	0.0258955	0.5935802	0.0710402	0.2774112	0.0153750	0.4618081	0.0918626	0.4178116
500	0.1062453	0.6591870	0.0184344	0.7747706	0.1482171	0.3703532	0.0140029	0.5376180	0.0461597	0.3419033
550	0.1773751	0.4233555	0.7045779	0.6439322	0.2259685	0.4034977	0.0151629	0.5834340	0.0517379	0.6337107
600	0.1628342	0.4474267	0.6778228	0.6559146	0.1429145	0.2741691	0.0079783	0.5668964	0.0721414	0.6683254
650	0.1375952	0.5259235	0.6499149	0.6661358	0.2071134	0.3798754	0.0379994	0.5351128	0.0553638	0.6750314
700	0.0736579	0.3700749	0.6796916	0.6066673	0.1315430	0.3358447	0.0292187	0.6472363	0.0750357	0.7594949
750	0.0932397	0.5053633	0.6903761	0.6662068	0.1170063	0.3019048	0.0093002	0.5340942	0.0590748	0.7381249
800	0.1043088	0.4228973	0.5963622	0.7362766	0.2150291	0.3604274	0.0109456	0.5892449	0.0486867	0.7532260
850	0.1063480	0.5165666	0.6436379	0.7347773	0.1489111	0.3677077	0.0171938	0.5562467	0.0338032	0.7392637
900	0.0546745	0.4105514	0.6371369	0.5806418	0.1532430	0.3651282	0.0586070	0.7283148	0.0440397	0.8200672
950	0.0917747	0.3499110	0.9996521	0.6626820	0.1627217	0.3257526	0.0126671	0.6597819	0.0867210	0.6890742
1000	0.0706229	0.4417496	0.8262640	0.7663570	0.1823524	0.4261050	0.0368188	0.6119235	0.0569604	0.6966190
