"Time"	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C
600	0.2140170	0.9916943	0.6731922	0.4306834	0.6493316	0.9956813	0.1892108	0.4689557	0.9996786	1.0000000
650	0.2139990	0.9917176	0.6718707	0.4272002	0.6548351	0.9982419	0.2188303	0.4689732	0.9996786	1.0000000
700	0.2139888	0.9917046	0.6680512	0.4232497	0.6584807	0.9991625	0.2299222	0.4689860	0.9996786	1.0000000
750	0.2139887	0.9916396	0.6623032	0.4201557	0.6604575	0.9994864	0.2337697	0.4689937	0.9996786	1.0000000
800	0.2140017	0.9915220	0.6560930	0.4182013	0.6614114	0.9995917	0.2350516	0.4689952	0.9996786	1.0000000
850	0.2140286	0.9913706	0.6506627	0.4171274	0.6618349	0.9996174	0.2354699	0.4689889	0.9996786	1.0000000
900	0.2140660	0.9912129	0.6465651	0.4165936	0.6620088	0.9996159	0.2356078	0.4689746	0.9996786	1.0000000
950	0.2141081	0.9910720	0.6437908	0.4163491	0.6620731	0.9996072	0.2356585	0.4689536	0.9996786	1.0000000
1000	0.2141489	0.9909599	0.6420626	0.4162460	0.6620923	0.9995985	0.2356842	0.4689290	0.9996786	1.0000000

0	0.2141864	0.9908376	0.6403148	0.4161737	0.6620993	0.9995876	0.2358100	0.4689056	0.9996786	1.0000000
50	0.1373562	0.9907821	0.6324879	0.3704726	0.7028180	0.9995815	0.2354487	0.4762353	0.9997295	1.0000000
100	0.0743499	0.9904943	0.5827940	0.3188705	0.7441744	0.9995123	0.2307090	0.5014579	0.9997633	1.0000000
150	0.0463530	0.9891747	0.4950623	0.2851484	0.7647093	0.9991387	0.2201650	0.5216213	0.9997738	1.0000000
200	0.0349824	0.9856577	0.4018276	0.2669707	0.7729973	0.9975968	0.2094708	0.5315500	0.9997764	1.0000000
250	0.0305443	0.9786195	0.3261496	0.2584886	0.7754774	0.9918697	0.2020559	0.5355967	0.9997771	1.0000000
300	0.0289977	0.9672075	0.2741215	0.2552491	0.7741170	0.9749096	0.1978894	0.5371193	0.9997772	1.0000000
350	0.0287342	0.9521360	0.2424992	0.2552871	0.7674222	0.9399253	0.1958301	0.5376661	0.9997773	1.0000000
400	0.0290881	0.9360417	0.2262075	0.2587733	0.7526715	0.8924724	0.1948966	0.5378449	0.9997773	1.0000000
450	0.0297154	0.9224882	0.2221439	0.2668347	0.7303171	0.8518900	0.1945025	0.5378815	0.9997773	1.0000000
500	0.0303677	0.9147013	0.2297737	0.2794311	0.7070654	0.8380487	0.1943511	0.5378620	0.9997773	1.0000000
550	0.1163083	0.9147897	0.2582865	0.3409047	0.6352845	0.8594784	0.1943576	0.5356846	0.9997263	1.0000000
600	0.1859638	0.9258152	0.3451390	0.4145742	0.5849998	0.9158468	0.1959532	0.5193416	0.9996926	1.0000000
650	0.2143062	0.9457895	0.4719629	0.4618002	0.5879286	0.9633399	0.2024464	0.4950883	0.9996821	1.0000000
700	0.2220436	0.9648585	0.5872954	0.4721429	0.6123436	0.9856478	0.2131734	0.4771120	0.9996794	1.0000000
750	0.2217672	0.9780045	0.6622003	0.4604335	0.6344848	0.9944703	0.2238932	0.4682974	0.9996788	1.0000000
800	0.2193993	0.9855928	0.6954281	0.4442348	0.6484475	0.9978093	0.2314995	0.4655991	0.9996787	1.0000000
850	0.2171703	0.9894721	0.6995491	0.4316896	0.6558728	0.9990491	0.2355331	0.4657129	0.9996786	1.0000000
900	0.2156306	0.9912049	0.6892173	0.4239783	0.6594447	0.9994940	0.2370223	0.4666630	0.9996786	1.0000000
