"Time"	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W
650	1.0230418	0.1561208	0.1117463	1.0608702	0.4342383	0.5932640	0.3697921	0.0323320	0.5918310	0.3782660
700	0.8984327	0.2705539	0.0780400	1.0704140	0.4265670	0.6209373	0.4560285	0.0171670	0.5919083	0.3598769
750	0.8871555	0.1621379	0.0805609	0.9898073	0.4137523	0.5406252	0.4144217	0.0277838	0.5864814	0.3810991
800	0.8368196	0.1474974	0.0954547	1.0343079	0.4059060	0.5285469	0.5056600	0.0273394	0.5028027	0.3208066
850	0.8984476	0.1837133	0.0844811	1.1505390	0.4311548	0.5232115	0.4936913	0.0194494	0.5235923	0.2745740
900	0.8297267	0.1662625	0.0617139	1.0214222	0.4372002	0.5297030	0.5477991	0.0366361	0.6704800	0.2978095
950	0.8182364	0.1375197	0.0526702	0.9282992	0.4357475	0.4922485	0.4733758	0.0165066	0.6069895	0.3613136
1000	0.9510177	0.0694854	0.0991334	0.9296651	0.5160437	0.5131761	0.4636625	0.0299002	0.6229038	0.2908536

0	0.8594041	0.1813422	0.1161993	1.0103852	0.4592104	0.5681983	0.3985488	0.0320270	0.5600813	0.3742496
50	0.7928244	0.6697808	0.1070904	1.0154010	0.5546988	0.5620914	0.3705184	0.0143677	0.2259289	0.4253012
100	0.5779962	0.8198041	0.0891480	1.1252080	0.4546063	0.5977497	0.3830487	0.0259887	0.2384539	0.3714094
150	0.3987186	0.8703191	0.0586808	1.0468641	0.4609581	0.5417103	0.4002323	0.0472269	0.2042848	0.2987619
200	0.3286580	0.8714384	0.0601720	0.9501074	0.4088819	0.6223342	0.4149931	0.0541204	0.2403746	0.3344419
250	0.2789997	0.9137668	0.0959957	1.0452600	0.5261745	0.6222938	0.4361706	0.0431070	0.2759613	0.3630625
300	0.3308237	0.8627379	0.1129620	0.9863485	0.5191195	0.5558788	0.3248768	0.0379738	0.2988110	0.3443005
350	0.3052803	0.9048978	0.1234854	1.0550685	0.4404645	0.5730903	0.2873849	0.0310689	0.3121207	0.2853946
400	0.3444419	0.8393222	0.1174725	0.9770817	0.3819087	0.6197264	0.3758236	0.0372518	0.3408969	0.2855100
450	0.3242778	0.8665342	0.1216400	1.0102656	0.3532757	0.6979964	0.5101251	0.0465116	0.3032613	0.2921134
500	0.3428425	0.8944566	0.1741068	0.9409120	0.4563758	0.6017845	0.5127322	0.0371377	0.2436352	0.3708941
550	0.3542884	0.4544138	0.1449288	0.9243060	0.5090206	0.5278091	0.4181210	0.0413154	0.4748967	0.3209053
600	0.3676549	0.4082611	0.0981652	0.8924903	0.4703136	0.5722944	0.3129076	0.0421896	0.5909316	0.2934284
650	0.5680062	0.2091791	0.1140923	0.8972652	0.4031145	0.6547241	0.3215324	0.0483248	0.6294074	0.3221088
700	0.6782304	0.2796442	0.1641248	0.9608089	0.3901909	0.6617956	0.3468711	0.0350851	0.5400953	0.3696013
750	0.6037812	0.3057597	0.1595216	0.9148100	0.4297116	0.5864094	0.4434221	0.0383505	0.5488911	0.3246835
800	0.7123402	0.3575295	0.1249757	0.9956485	0.4496481	0.5752349	0.4715018	0.0299433	0.5155937	0.3612952
850	0.6562000	0.2594502	0.1077414	1.0270241	0.4772914	0.5594190	0.4562685	0.0265017	0.5424098	0.3383217
900	0.8413428	0.2011095	0.1292245	1.0300086	0.4857519	0.5798635	0.4792635	0.0303268	0.5753924	0.3082385
950	0.7949086	0.2567887	0.1472004	0.9896523	0.4637203	0.5395983	0.4556223	0.0347177	0.5995680	0.3107274
1000	0.8706870	0.2866268	0.1071214	1.0160128	0.5014183	0.5701687	0.4294824	0.0213226	0.6240743	0.2223788

0	0.8594041	0.1813422	0.1161993	1.0103852	0.4592104	0.5681983	0.3985488	0.0320270	0.5600813	0.3742496
50	0.9168765	0.1721614	0.0974360	1.0018188	0.4393775	0.3391577	0.4923730	0.0215501	0.4901192	0.2882563
100	0.8968668	0.2644011	0.1131771	1.0106017	0.4667556	0.2440536	0.4289159	0.0244956	0.5702121	0.2002956
150	0.7677919	0.2929906	0.0991212	1.0655149	0.5370612	0.2514595	0.3458965	0.0176915	0.7866435	0.1507879
200	0.8136613	0.3202290	0.1454793	1.0265594	0.5060348	0.3176038	0.3212010	0.0196323	0.9080791	0.1164318
250	0.7167364	0.2623589	0.1278012	0.9686937	0.4307663	0.3041484	0.3260307	0.0159364	0.9564807	0.1119819
300	0.7673857	0.2027468	0.1670151	0.9927694	0.4188740	0.2641973	0.3325079	0.0202883	0.8042235	0.1361119
350	0.8820560	0.2556641	0.1523862	1.0313853	0.3562070	0.2858352	0.4312000	0.0184736	0.9992425	0.1663308
400	0.8084211	0.2916862	0.1532181	1.0169039	0.3918931	0.2560602	0.5578524	0.0167279	0.9408849	0.1754500
450	0.6911598	0.3159235	0.1714408	1.0103013	0.4946713	0.2458491	0.5194675	0.0265689	0.8988938	0.1024204
500	0.6386336	0.5022474	0.2608147	0.9762955	0.4995353	0.2317346	0.5261404	0.0224933	0.9620431	0.1216352
550	0.5650184	0.6428220	0.2750329	1.0461644	0.5400959	0.3835683	0.5162526	0.0161200	0.9883570	0.1414288
600	0.4527583	0.5938971	0.2278336	1.0295850	0.5081357	0.4927310	0.4313272	0.0225403	1.0382027	0.1569101
650	0.5326091	0.5508970	0.1556623	1.0412982	0.4706872	0.6172218	0.3355186	0.0232394	0.8642659	0.2968404
700	0.4830991	0.4825557	0.1349353	1.0691839	0.4407330	0.5586136	0.3604603	0.0218720	0.6405012	0.2893653
750	0.5434555	0.3294712	0.0997330	1.0412421	0.4004153	0.6376443	0.3989932	0.0296445	0.6038822	0.3594492
800	0.7136163	0.1989589	0.1009288	0.9586151	0.4558018	0.6217768	0.5406170	0.0295332	0.5782959	0.3490049
850	0.7741314	0.2222216	0.0929229	0.9942954	0.4894191	0.5691424	0.4755414	0.0235806	0.6098005	0.4087100
900	0.8115402	0.2596753	0.1083412	1.0079850	0.4515552	0.5797888	0.3819859	0.0225272	0.5634785	0.3746526
950	0.8542746	0.2452719	0.1339456	0.9030946	0.4200576	0.6343312	0.3699350	0.0272772	0.5537834	0.3780589
1000	0.7708651	0.2897909	0.1308658	1.0366988	0.4109932	0.5884052	0.3786524	0.0133546	0.5602140	0.3464809

0	0.8594041	0.1813422	0.1161993	1.0103852	0.4592104	0.5681983	0.3985488	0.0320270	0.5600813	0.3742496
50	0.4266961	0.0936024	0.0124515	1.0918809	0.4477927	0.1987489	0.4057583	0.0003180	0.5365815	0.3336903
100	0.3797266	0.0273549	0.0001021	0.9941923	0.4876611	0.0834185	0.3436110	0.0012077	0.6959797	0.1866351
150	0.3125482	0.0112528	0.0007180	0.9091694	0.3868818	0.0445998	0.3551834	0.0006493	0.8764258	0.1183674
200	0.3157491	0.0135076	0.0015734	1.0493521	0.4781138	0.0169506	0.4600827	0.0000626	0.8776533	0.0982789
250	0.3853270	0.0041792	0.0010207	1.0751444	0.4980588	0.0166847	0.4914962	0.0047578	0.9573217	0.0747549
300	0.3006125	0.0061897	0.0032436	0.9620098	0.5214237	0.0203609	0.4212684	0.0095437	0.9432634	0.0814518
350	0.2967710	0.0077545	0.0057470	1.0471734	0.4781700	0.0248966	0.4908059	0.0039178	1.0092300	0.0655744
