"Time"	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W
850	0.4094502	0.7520586	0.4656406	0.9609580	0.3114359	0.5402995	0.9838278	0.7440269	0.5596126	1.0000000
900	0.4713658	0.7908526	0.4560627	0.9561387	0.3172812	0.5400646	0.9779462	0.7479802	0.5595412	1.0000000
950	0.5145516	0.8114513	0.4532105	0.9523028	0.3195599	0.5379432	0.9730466	0.7507617	0.5595167	1.0000000
1000	0.5413147	0.8211897	0.4531003	0.9499451	0.3200044	0.5354285	0.9697126	0.7523239	0.5595084	1.0000000

0	0.5711492	0.8267111	0.4548453	0.9491968	0.3171691	0.5293988	0.9652567	0.7533460	0.5595036	1.0000000
50	0.5729318	0.8664947	0.1732884	0.9492095	0.3171356	0.5293703	0.9654510	0.7865741	0.5205965	0.3653327
100	0.5925787	0.9427738	0.0798687	0.9492247	0.3171056	0.5295842	0.9686792	0.9187696	0.3910823	0.1707917
150	0.6250868	0.9820048	0.0488721	0.9492390	0.3171028	0.5309146	0.9748896	0.9804496	0.2512691	0.1111601
200	0.6516565	0.9948939	0.0385872	0.9492378	0.3173296	0.5333562	0.9794593	0.9955511	0.1570062	0.0928815
250	0.6672861	0.9984813	0.0351748	0.9491715	0.3178998	0.5358159	0.9818127	0.9989937	0.1070276	0.0872787
300	0.6749962	0.9994407	0.0340441	0.9489997	0.3186495	0.5376099	0.9828498	0.9997720	0.0836551	0.0855613
350	0.6784258	0.9997052	0.0336724	0.9487399	0.3193494	0.5386881	0.9832678	0.9999478	0.0734833	0.0850349
400	0.6798574	0.9997834	0.0335547	0.9484507	0.3198763	0.5392582	0.9834262	0.9999875	0.0692588	0.0848735
450	0.6804317	0.9998086	0.0335221	0.9481891	0.3202185	0.5395334	0.9834836	0.9999965	0.0675622	0.0848241
500	0.6806564	0.9998172	0.0335176	0.9479857	0.3204180	0.5396575	0.9835036	0.9999985	0.0668981	0.0848089
550	0.6806666	0.9965527	0.3154798	0.9478446	0.3205249	0.5397105	0.9835096	0.9988085	0.1362539	0.7194716
