"Time"	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W
950	0.1670551	0.3820288	0.4382910	0.6069746	0.0299367	0.0147957	0.0349495	0.7158732	0.8966723	0.8053221
1000	0.1819290	0.3013763	0.5134620	0.5448586	0.0486039	0.0076808	0.0356060	0.6902608	0.8107684	0.8237596

0	0.1460031	0.4889399	0.4542753	0.6961492	0.0683246	0.0154151	0.0351220	0.8210217	0.8258225	0.7554679
50	0.2147100	0.2740505	0.4723872	0.6299076	0.1833970	0.0324136	0.0173357	0.6096473	0.7086728	0.6199282
100	0.1119368	0.2622221	0.4300415	0.5428571	0.4016715	0.0173773	0.0087398	0.7873474	0.7520962	0.5140363
150	0.0660201	0.1200743	0.2962697	0.5439055	0.4966108	0.0309595	0.0057696	0.6715545	0.6022595	0.5136541
200	0.0754342	0.1193574	0.3173657	0.5438502	0.7148161	0.0242802	0.0125953	0.7141801	0.7623474	0.4267374
250	0.0582825	0.1136708	0.3498026	0.5686271	0.5911043	0.0420774	0.0047052	0.8012391	0.7353085	0.3802399
300	0.0361281	0.1752457	0.2903190	0.4135323	0.6135624	0.0212443	0.0080719	0.6955657	0.7811797	0.3847803
350	0.0287743	0.0916486	0.3601816	0.4063684	0.5869013	0.0339350	0.0033954	0.7092845	0.6632025	0.4625258
400	0.0288310	0.1134021	0.3314662	0.4679789	0.6816296	0.0180798	0.0029027	0.9495049	0.8736753	0.4484659
450	0.0262149	0.1655503	0.3638713	0.4320764	0.5485518	0.0358628	0.0038896	0.8759393	0.8297945	0.4830853
500	0.0317542	0.1397847	0.2984192	0.3923557	0.6251402	0.0395890	0.0022959	0.6724182	0.7848663	0.3890182
550	0.0334158	0.2454726	0.3996943	0.3868301	0.5777304	0.0204176	0.0076909	0.5783279	0.7624584	0.5689125
600	0.0430110	0.3785968	0.3279438	0.5036702	0.1815298	0.0609237	0.0482363	0.7520312	0.6970860	0.5679546
650	0.0753367	0.4906673	0.4325945	0.4695797	0.1280636	0.0676360	0.0455149	0.7582092	0.7657256	0.8915864
700	0.1246459	0.5072129	0.4867865	0.4740293	0.0655329	0.0593456	0.0666087	0.8468391	0.7410923	0.8184694
750	0.2552594	0.5265805	0.5172590	0.6243930	0.0290671	0.0238197	0.0280485	0.8128154	0.7279467	0.7679409
800	0.2015209	0.4295075	0.4835609	0.6421562	0.0650073	0.0116014	0.0224719	0.7907523	0.8391514	0.7767685
850	0.2165513	0.5757654	0.4574073	0.7483136	0.0418464	0.0198995	0.0073565	0.8080355	0.8883166	0.7710827
900	0.2385122	0.4361819	0.4519137	0.6787750	0.0317405	0.0178018	0.0174588	0.7919631	0.8630639	0.6830493
950	0.1859002	0.4435482	0.5495666	0.6456704	0.0239635	0.0115365	0.0507957	0.8454447	0.7440793	0.6475507
1000	0.1369076	0.4134981	0.4216092	0.8916375	0.0351361	0.0153575	0.0244021	0.8514594	0.7870762	0.6936109

0	0.1996723	0.3908188	0.4147037	0.7140291	0.0565222	0.0314215	0.0339320	0.7149043	0.7481164	0.7665739
50	0.1353465	0.3823872	0.5617814	0.6562922	0.0048084	0.0177707	0.0238095	0.9077737	0.6009406	0.6944551
100	0.2428735	0.4274272	0.6427325	0.6986338	0.0455946	0.0041404	0.0320102	0.9091408	0.4077156	0.6175902
150	0.1649661	0.4155604	0.7538786	0.6569075	0.0466746	0.0038178	0.0187035	0.8614966	0.3603272	0.6494650
200	0.1458562	0.3114496	0.5776590	0.6472642	0.0223560	0.0094497	0.0115306	0.7331674	0.3160310	0.7075769
250	0.0944878	0.2670785	0.5900617	0.6344858	0.0124565	0.0137719	0.0234282	0.7250354	0.3438929	0.9132619
300	0.1836247	0.2772395	0.5812269	0.5574991	0.0173339	0.0125189	0.0097806	0.6627121	0.2573727	0.6762746
350	0.0938935	0.3095573	0.6875346	0.5827334	0.0394404	0.0160338	0.0021754	0.6865787	0.4075014	0.8745119
400	0.0936777	0.2594606	0.5558117	0.7296523	0.0242601	0.0111600	0.0093985	0.7513561	0.3730400	0.7694942
450	0.0856527	0.2782600	0.6033164	0.5498838	0.0379150	0.0215567	0.0018407	0.7480778	0.3967468	0.8948037
500	0.0641380	0.3125355	0.6120892	0.6958994	0.0134033	0.0120063	0.0163273	0.7095728	0.3428780	0.6694081
550	0.0882047	0.2603051	0.4819313	0.4793652	0.0499062	0.0227700	0.0094943	0.6296389	0.5309402	0.7529756
600	0.1106642	0.3540002	0.3614567	0.7084934	0.0236349	0.0140991	0.0445453	0.7336747	0.6744667	0.7685365
650	0.0826981	0.3583508	0.3676255	0.6360157	0.0173786	0.0231020	0.0347295	0.6530890	0.7173683	0.8292614
700	0.1081188	0.4575746	0.5416799	0.6361014	0.0478207	0.0118248	0.0341037	0.7281967	0.6392750	0.8459933
750	0.1717549	0.3980190	0.3648899	0.7753583	0.0152467	0.0169099	0.0391623	0.5889527	0.6882674	0.7435921
800	0.1476966	0.4148091	0.4188479	0.6694775	0.0408533	0.0011836	0.0134633	0.7005111	0.5161304	0.6488051
850	0.1489045	0.3832962	0.5210654	0.5840731	0.0194436	0.0141422	0.0332613	0.7140398	0.6323960	0.7687413
900	0.1540813	0.4155685	0.4359524	0.6655489	0.0109872	0.0253800	0.0428670	0.6890440	0.7776084	0.6601850
950	0.0814685	0.4434597	0.4798309	0.6765245	0.0379446	0.0263815	0.0259309	0.6927967	0.7000404	0.8815970
