"Time"	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C
500	0.0065992	0.4481553	0.7758316	0.9997337	0.0810857	0.2719564	0.3647959	0.4451698	0.1086740	0.3657542
550	0.1547892	0.4458308	0.7785295	0.9996479	0.0871161	0.3106743	0.5572839	0.4448336	0.2321552	0.5860258
600	0.2980377	0.4443754	0.7789441	0.9995313	0.0967741	0.2862450	0.7569848	0.4253575	0.3037140	0.8116200
650	0.3655974	0.4440064	0.7719919	0.9993921	0.0943851	0.2483300	0.8651416	0.3758617	0.3194110	0.9249725
700	0.3917331	0.4458436	0.7555446	0.9993695	0.0827282	0.2266154	0.9223764	0.3198165	0.3132059	0.9721235
750	0.3999018	0.4504911	0.7361021	0.9994783	0.0710566	0.2185651	0.9549583	0.2747906	0.2954633	0.9900720
800	0.4002903	0.4568636	0.7201012	0.9996222	0.0633965	0.2175782	0.9736752	0.2447129	0.2740754	0.9965629
850	0.3972886	0.4631837	0.7093843	0.9997358	0.0596648	0.2191391	0.9840202	0.2271615	0.2558382	0.9988337
900	0.3932195	0.4682686	0.7030395	0.9998058	0.0584639	0.2210455	0.9894723	0.2183460	0.2439053	0.9996101
950	0.3893864	0.4718093	0.6995755	0.9998421	0.0585002	0.2225372	0.9922089	0.2149532	0.2379183	0.9998711
1000	0.3863638	0.4740296	0.6978035	0.9998578	0.0589611	0.2235142	0.9934949	0.2145506	0.2359258	0.9999578

0	0.3813870	0.4764500	0.6967198	0.9998559	0.0603500	0.2246295	0.9937601	0.2209559	0.2391829	1.0000000
50	0.2558072	0.4208964	0.7768168	0.9998538	0.0603482	0.2234226	0.8318181	0.2273455	0.2393078	1.0000000
100	0.1410042	0.3561664	0.8767466	0.9998437	0.0597940	0.2175007	0.6645736	0.2663473	0.2392011	1.0000000
150	0.0963519	0.3127426	0.9394542	0.9998316	0.0581197	0.2125191	0.5777590	0.3225538	0.2378881	1.0000000
200	0.0876334	0.2870461	0.9720972	0.9998271	0.0562514	0.2122831	0.5373441	0.3693353	0.2346564	1.0000000
250	0.0909377	0.2729888	0.9876464	0.9998301	0.0553397	0.2150027	0.5170220	0.3998642	0.2307305	1.0000000
300	0.0961439	0.2657485	0.9946787	0.9998337	0.0556062	0.2186178	0.5053645	0.4171786	0.2281240	1.0000000
350	0.1001978	0.2621928	0.9977531	0.9998325	0.0566808	0.2221446	0.4982372	0.4259768	0.2278395	1.0000000
400	0.1027476	0.2605121	0.9990654	0.9998253	0.0581140	0.2251368	0.4939610	0.4299744	0.2296236	1.0000000
450	0.1041815	0.2597418	0.9996157	0.9998131	0.0595671	0.2274038	0.4915519	0.4315444	0.2326371	1.0000000
500	0.1049321	0.2593977	0.9998435	0.9997984	0.0608327	0.2289491	0.4903018	0.4320162	0.2360330	1.0000000
550	0.2976298	0.3053419	0.9394828	0.9997852	0.0616587	0.2235828	0.6422887	0.4252657	0.2391889	1.0000000
600	0.4459498	0.3577216	0.8601390	0.9997855	0.0599882	0.2065866	0.8031076	0.3746465	0.2408977	1.0000000
