"Time"	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C
50	0.3856149	0.3971923	0.5448673	0.3635366	0.5884708	0.4516591	0.8089505	0.2435516	0.5915241	0.4320452
100	0.4903573	0.3376614	0.2095093	0.7506955	0.8039978	0.4555826	0.9175141	0.1558844	0.4962408	0.4484238
150	0.5737046	0.4975033	0.0652312	0.8786871	0.8431561	0.4881405	1.0063068	0.1049568	0.4394112	0.4243594
200	0.5564045	0.6052592	0.0358142	0.9434575	0.9209128	0.4309833	0.9777439	0.0912699	0.5063043	0.4055433
250	0.4570134	0.7015701	0.0124039	1.0042250	0.8510327	0.4029304	0.9223754	0.0903405	0.5019912	0.2750886
300	0.3335845	0.6956056	0.0067962	0.9753118	0.8964635	0.4107300	1.0109149	0.0925345	0.5231881	0.1645784
350	0.2858416	0.6522889	0.0038374	1.0213656	0.8813639	0.4785948	0.8364442	0.0959523	0.5665880	0.0853584
400	0.2654113	0.6934534	0.0046182	1.0095957	0.9026063	0.4352894	0.9719550	0.0928056	0.6580390	0.0847383
450	0.2553333	0.7245382	0.0014158	0.9799927	0.9538687	0.4732256	0.9364208	0.0849582	0.5973984	0.0557754
500	0.2227461	0.7183335	0.0051695	1.0393223	0.9398176	0.4464581	0.9917641	0.0766448	0.6221783	0.0928668
550	0.2454593	0.9679232	0.0161246	0.9984387	0.4823626	0.4452342	0.9661025	0.0628443	0.8161312	0.0735783
600	0.2472277	1.0201178	0.0205433	0.7213573	0.3007413	0.4073373	0.8996762	0.0978476	0.9845176	0.0457555
650	0.1989238	1.0321957	0.0119692	0.4137034	0.2016041	0.3801333	0.9504629	0.1278178	0.9759882	0.0759852
700	0.1864925	1.0105175	0.0570813	0.2260661	0.1890125	0.3928570	1.0006083	0.1844676	0.9812846	0.1316382
750	0.1859004	1.0028379	0.1516348	0.1545624	0.1888852	0.3708670	1.0911358	0.1838440	1.0092937	0.3050716
800	0.1894717	0.9322284	0.2943469	0.1103878	0.2370360	0.3975403	1.0237008	0.2159811	0.8691872	0.4945518
850	0.1663085	0.7661023	0.3913302	0.1444617	0.2306269	0.4095371	1.0061646	0.1850870	0.6763171	0.6572531
900	0.2140141	0.7365773	0.3578082	0.1589038	0.2027104	0.4041486	0.9454011	0.1843787	0.5375019	0.7887226
950	0.2481780	0.6777026	0.2993247	0.1172555	0.1690853	0.4455466	1.0011487	0.2366288	0.3335245	0.7256080
1000	0.2438451	0.6877395	0.4308331	0.0820532	0.1800727	0.4519199	0.8861671	0.3411582	0.3450370	0.6974196

0	0.6591946	0.4809636	0.4495238	0.1336238	0.2294961	0.4177404	1.0892630	0.2647102	0.7321969	0.3759237
50	0.4125611	0.7849849	0.2804287	0.1074849	0.1499042	0.2524320	0.9092790	0.2781156	0.8487164	0.6159670
100	0.3142083	0.8012409	0.3275814	0.0803963	0.1133472	0.1878343	0.8991438	0.3905256	0.6510688	0.7704109
150	0.2864325	0.7695255	0.3944119	0.0421649	0.1130443	0.1959726	0.9137549	0.5407505	0.3944127	0.8898251
200	0.2884396	0.7437511	0.4867349	0.0394840	0.1502678	0.1754448	0.6946992	0.5996784	0.2301870	0.8922385
250	0.3361954	0.6806123	0.5641873	0.0246266	0.1311947	0.1700540	0.5604495	0.7219830	0.1673855	0.9623918
300	0.3731408	0.6328902	0.5469267	0.0397370	0.1152405	0.1997542	0.4584024	0.5949169	0.1747889	0.9366598
350	0.3700583	0.6273082	0.5424369	0.0230244	0.1440426	0.2501704	0.4148672	0.5043329	0.1450139	0.8870064
400	0.3947506	0.5646831	0.5459020	0.0590739	0.1471711	0.2619736	0.6291668	0.4060592	0.1809029	0.8261048
450	0.4986573	0.4412386	0.5576116	0.0519043	0.1411169	0.2551144	0.7603567	0.4596524	0.2097521	0.8078601
500	0.5312923	0.4267669	0.5365037	0.0530980	0.1244130	0.2308293	0.7178854	0.4487087	0.1737556	0.8185902
550	0.5733034	0.4701716	0.8179497	0.0462460	0.1512905	0.4532387	0.7984580	0.5664871	0.1751955	0.5403806
600	0.6047659	0.4641763	0.8356748	0.0415143	0.1802825	0.4889580	0.6823923	0.4778425	0.2969222	0.3641168
650	0.6550057	0.3979420	0.9385332	0.0689792	0.2279955	0.4064168	0.6698712	0.3934468	0.6415780	0.2916532
700	0.6809148	0.3437988	0.9039456	0.0804232	0.2328871	0.4428532	0.6759875	0.3502839	0.7790037	0.3271284
750	0.6462697	0.3240936	0.6896930	0.1786479	0.2189176	0.5580378	0.8314353	0.2419377	0.7897497	0.3576814
800	0.6268776	0.3750024	0.5856494	0.1657675	0.2460105	0.4970889	0.8499746	0.2323025	0.8174719	0.3349237
850	0.6491784	0.4098993	0.4406607	0.2915170	0.2767598	0.4880819	0.8985454	0.1967029	0.8270641	0.3610992
900	0.6519596	0.5527467	0.2210923	0.2902889	0.2603822	0.5183282	1.0263336	0.1774473	0.8094693	0.3621151
950	0.5410696	0.6589144	0.2265745	0.1712224	0.2437522	0.4739690	1.0342381	0.1845214	0.7778770	0.3170940
1000	0.4688756	0.7034385	0.4040286	0.2176860	0.2751430	0.4096189	0.9660789	0.1626121	0.7613042	0.3090389

0	0.6591946	0.4809636	0.4495238	0.1336238	0.2294961	0.4177404	1.0892630	0.2647102	0.7321969	0.3759237
50	0.5071561	0.4809852	0.2588724	0.5387027	0.1688769	0.4100702	0.9671315	0.2694761	0.7896104	0.3891081
100	0.5552229	0.5814358	0.0800604	0.6128095	0.1949089	0.4008896	1.0001584	0.2993860	0.7419956	0.4162549
150	0.4735397	0.6290649	0.0400840	0.6598293	0.1739968	0.4108887	0.9643581	0.2200052	0.7169536	0.3358694
200	0.4086779	0.7337188	0.0171010	0.6654250	0.1459186	0.4050338	0.9613757	0.2099001	0.8084067	0.2146345
250	0.3134079	0.7255714	0.0157118	0.6656023	0.1461799	0.4220037	0.9920934	0.3223952	0.9118804	0.2028171
300	0.2978274	0.7200455	0.0069504	0.5980989	0.1477743	0.4222140	0.9622877	0.2994893	0.8948049	0.0963081
350	0.2990575	0.7323685	0.0138694	0.5647216	0.1934809	0.3820085	0.8825198	0.3341673	1.0154533	0.0656023
400	0.2872028	0.7144275	0.0079692	0.6185097	0.2050634	0.4571466	0.9234178	0.2926269	0.9906986	0.0632010
450	0.2841025	0.7453974	0.0120646	0.6621154	0.2011121	0.4364571	0.9383985	0.2165962	1.0472351	0.0603730
500	0.2640231	0.7721494	0.0074320	0.6241956	0.2000291	0.4399318	0.9439312	0.1954798	0.8833401	0.0669091
550	0.2701695	0.9345230	0.0404749	0.2622077	0.2171450	0.4506950	1.0114269	0.2525154	0.9252904	0.0607593
600	0.2232438	0.9641405	0.1021980	0.2306643	0.1978332	0.3816726	0.9501957	0.2071185	0.9108410	0.1405899
