"Time"	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W
200	0.9728932	0.0014236	0.0621206	0.8908528	0.8892936	1.0099691	0.0519757	1.0536280	0.0675993	0.7896415
250	1.0313590	0.0113829	0.0537903	0.8550780	0.9768167	0.9558371	0.0306446	1.0087150	0.0470150	0.7592662
300	0.9977937	0.0144603	0.0479944	0.8578276	0.9670396	0.9891953	0.0619969	1.0136212	0.0437382	0.8225711
350	0.9495146	0.1897991	0.0460668	0.8308886	0.9009915	1.0122934	0.0415588	0.9795197	0.0662484	0.7873827
400	1.0544324	0.0910301	0.0481727	0.8903613	0.9569354	1.0117726	0.0534976	0.9320143	0.0670800	0.7368431
450	1.0020784	0.0430368	0.0372381	0.8572768	0.9730994	0.9577726	0.0497584	0.9177782	0.0602979	0.7621516
500	1.0176897	0.0214219	0.0479646	0.8087578	0.9356608	0.9464128	0.0419629	0.9970679	0.0639417	0.7860998
550	0.9456848	0.0694053	0.0321222	0.8602842	0.9356867	1.0015222	0.0505789	0.9841791	0.0916357	0.9563888
600	0.9729239	0.4926424	0.0385342	0.9528434	1.0388473	0.9674258	0.0417690	1.0250596	0.0670231	0.9258668
650	0.8542477	0.4769826	0.0652125	0.9424030	0.9022141	1.0257662	0.1140200	1.0195188	0.0490449	0.9737797
700	0.7452808	0.1879842	0.0660444	0.8598567	0.9068335	1.0130140	0.1416993	0.9870682	0.0340742	0.8935324
750	0.9273646	0.0634202	0.0637106	0.7860434	1.0143773	0.9500375	0.0895481	0.9759264	0.0479878	0.8373838
800	0.9366478	0.0226698	0.0505440	0.7957132	0.9441290	0.9870940	0.0467274	0.9161898	0.0535355	0.9675477
850	0.9885324	0.0056226	0.0670206	0.8278419	0.8839969	0.9941295	0.0397101	0.9131374	0.0414146	0.9697268
900	1.0285566	0.0054084	0.0563063	0.7894718	0.8263849	1.0346753	0.0489102	0.9566994	0.0227949	0.9946864
950	0.9415337	0.0197253	0.0448430	0.7911120	0.9137123	1.0132405	0.0381361	0.9651489	0.0308418	0.9642254
1000	0.9728004	0.2332622	0.0496554	0.7973758	0.8372088	0.9137248	0.0312293	0.9754624	0.0303732	0.9555692

0	1.0415469	0.0131275	0.0682592	0.8853157	0.8700556	1.0162479	0.0406547	0.9986145	0.0428991	0.9892715
50	0.9266209	0.1108343	0.0726972	0.9141674	0.9735842	0.6708280	0.0266009	0.6788424	0.0457714	0.7978291
100	0.9526463	0.0648342	0.0869374	1.0107255	0.9865117	0.5347292	0.0239894	0.5770204	0.0323176	0.7109348
150	0.9228432	0.0235539	0.0673042	0.8726435	0.9311905	0.5676045	0.0263141	0.5507706	0.0465510	0.6851284
200	0.8601269	0.0192567	0.0483392	1.0131206	0.9040557	0.5048059	0.0460402	0.5590441	0.0669754	0.7459389
250	0.9722283	0.0467405	0.0404817	0.9745853	0.8582668	0.5650154	0.0491218	0.5013713	0.0833672	0.6413732
300	0.8780475	0.0339336	0.0436191	0.9346241	0.8613143	0.5038498	0.0595369	0.5098656	0.1176289	0.6697177
350	0.9015661	0.1255367	0.0301013	0.9016391	0.8335433	0.5436262	0.0630534	0.5042052	0.0963435	0.6627723
400	0.8903954	0.3320983	0.0453835	1.0432199	0.8405640	0.4790909	0.0779756	0.4801148	0.1134810	0.6584970
450	0.8490797	0.3022000	0.0681560	0.9350710	0.8921628	0.4888907	0.0774268	0.4273800	0.0908059	0.6892690
500	0.7228191	0.0939157	0.0736871	0.9827102	0.8184800	0.4552841	0.0677125	0.4783013	0.0796275	0.6624796
550	0.8461146	0.0453192	0.0705732	0.7543130	0.8700295	0.8246490	0.0683541	0.7832022	0.0805195	0.8501701
600	0.8656798	0.0154558	0.0745115	0.7472851	0.8871957	1.0036829	0.0570589	0.9407479	0.0749607	1.0652612
650	0.9240755	0.0112828	0.0669136	0.7930605	0.8680139	0.9731336	0.0518780	0.9212044	0.0611809	0.9951842
700	0.9901128	0.0088743	0.0574359	0.8358716	0.9727525	1.0049755	0.0623180	1.0591661	0.0481916	0.9644734
750	1.0469100	0.0151159	0.0310322	0.8733752	1.0622704	0.9346458	0.0321036	0.9822772	0.0637238	1.0911474
800	1.0631761	0.0150992	0.0419355	0.9338540	0.8869126	0.9560907	0.0308871	0.9201093	0.0326225	0.9461120
850	1.0690966	0.0196029	0.0316150	0.8659740	0.9185587	0.9628044	0.0185457	1.0390681	0.0277130	0.9953397
900	1.0848699	0.1260924	0.0407575	0.8057927	0.8906303	0.9909295	0.0267499	1.0629957	0.0303098	0.9731613
950	0.9620958	0.2028758	0.0414198	0.7882310	0.7985959	0.9241222	0.0206660	1.0842368	0.0563313	0.9703433
1000	0.9589072	0.3498136	0.0503060	0.7955556	0.8588677	0.9030541	0.0412576	1.0196733	0.0477381	0.9922770

0	1.0415469	0.0131275	0.0682592	0.8853157	0.8700556	1.0162479	0.0406547	0.9986145	0.0428991	0.9892715
50	0.5480149	0.0375057	0.0170562	0.9054505	0.9030793	0.8226393	0.0681833	0.9732890	0.0445754	0.4355577
100	0.3907437	0.5898866	0.0157477	0.8902402	0.9308090	0.7429370	0.0577028	1.0673115	0.1201544	0.2033095
150	0.2647924	0.7514994	0.0124703	0.8240821	0.9598995	0.6870990	0.1339533	1.0642009	0.3700956	0.0931370
200	0.1922653	0.9110197	0.0081313	0.8235480	0.8604239	0.6798519	0.3931996	0.8571643	0.6766718	0.0571304
250	0.1589058	0.9494857	0.0106766	0.7991975	0.9055937	0.6526198	0.6541596	0.6665697	0.9925111	0.0633781
300	0.1260239	0.9454824	0.0046164	0.7762954	0.8618147	0.5708374	0.6760415	0.4635868	1.0057648	0.0554414
350	0.1014791	0.9686181	0.0044566	0.7163546	0.9023886	0.5252361	0.7055880	0.3345047	1.0582923	0.0510337
400	0.0879562	0.9992104	0.0005743	0.6708870	0.8726212	0.4635864	0.7259647	0.2947750	1.0875096	0.0515876
450	0.0988101	0.9369083	0.0026725	0.6779171	0.8198909	0.4996462	0.7164640	0.2529109	1.1021757	0.0390491
500	0.0857185	0.9190339	0.0037909	0.7092250	0.9114515	0.5305056	0.6732617	0.2336531	1.0451501	0.0479176
550	0.2838341	0.8788526	0.0381976	0.7198083	0.8948806	0.7619970	0.7035535	0.2354641	0.8767571	0.6040602
600	0.3857686	0.6380546	0.0669732	0.7807300	0.8511940	0.7906091	0.6339258	0.3621941	0.4161762	0.8375420
650	0.4270437	0.2623588	0.0613682	0.7733744	0.9118276	0.8319012	0.5302255	0.6407719	0.1641725	0.8444057
700	0.6138054	0.1241407	0.0587654	0.8181164	0.8555520	0.9009851	0.3245134	0.8260672	0.0959076	0.9561103
750	0.8431286	0.0614343	0.0612377	0.8680633	0.8377129	0.9390892	0.2058558	0.8913328	0.0571997	0.9986947
800	0.9755092	0.0378450	0.0726354	0.8752971	0.8696930	0.9953175	0.1293757	0.9775707	0.0426673	1.0119805
850	1.0042684	0.0147829	0.0612340	0.8712090	0.8836119	1.0028448	0.0923504	0.9774630	0.0353372	1.0286378
900	1.0323307	0.0016450	0.0627640	0.8297667	0.9093620	1.1003889	0.0729260	0.9585040	0.0317488	0.9732460
950	0.9975055	0.0000000	0.0519890	0.8851526	0.8879727	1.0096194	0.0555850	0.9862132	0.0320919	0.9674641
1000	1.0140089	0.0007513	0.0559700	0.8549335	0.9188284	1.1054444	0.0446886	1.0137995	0.0398336	0.9835534

0	1.0415469	0.0131275	0.0682592	0.8853157	0.8700556	1.0162479	0.0406547	0.9986145	0.0428991	0.9892715
50	1.0049705	0.1092603	0.0203833	0.8929128	0.9304790	1.0441517	0.2840471	1.0348827	0.0512199	1.0471033
100	0.9651474	0.5208669	0.0088029	0.8636062	0.9657310	1.0404070	0.3549650	1.0015773	0.0392225	1.0715649
150	0.8000761	0.8242735	0.0049334	0.9401864	0.9340662	1.0247484	0.4395269	0.9473334	0.0354415	1.0325184
200	0.5714894	0.9085601	0.0028781	0.9431466	1.0223144	1.0073865	0.5397382	0.9578511	0.0482191	0.9969010
250	0.4953983	0.9440389	0.0022784	1.0416986	0.9118772	0.9522182	0.7058144	1.0022364	0.0487252	1.0453466
300	0.3812530	1.0400292	0.0038131	1.0008549	1.0167111	0.8825657	0.8454645	0.9996566	0.0664606	0.9728623
350	0.3558654	1.0794848	0.0010877	0.9764418	0.9561906	0.7139447	0.8869311	0.9277859	0.0745959	0.9687916
400	0.2902454	0.9784828	0.0014645	0.9185404	0.9828463	0.5988480	0.8982863	0.9168013	0.0614570	0.9008869
450	0.3381108	0.9978371	0.0019949	0.9358355	0.9439685	0.4520238	0.8898213	1.0147093	0.0466298	0.9672295
500	0.3242706	0.9307399	0.0029224	0.9659410	0.8801827	0.3725274	0.9414891	0.9614513	0.0564487	0.9016240
550	0.3077933	0.9442705	0.0338506	0.7068547	0.7419194	0.3935127	0.7343970	0.9954501	0.0445800	0.9534435
600	0.3542009	0.5195235	0.0456387	0.6975002	0.8114214	0.5877849	0.6731693	1.0028290	0.0548263	0.9024502
650	0.4370308	0.2277063	0.0362579	0.7379455	0.8871199	0.7573433	0.4962159	0.9941201	0.0587503	0.9533410
700	0.6312815	0.0897376	0.0649882	0.8499625	0.9065460	0.9017630	0.2831571	1.0291284	0.0372725	0.9923201
750	0.7862579	0.0361488	0.0421219	0.8801097	0.8680116	0.9648087	0.1517389	1.0690179	0.0497957	0.9762695
800	0.8440382	0.0223241	0.0495084	0.8833262	0.8623471	0.9686974	0.0842095	1.0633835	0.0522300	1.0054580
850	0.8658465	0.0442727	0.0427450	0.9425273	0.8605652	1.0552049	0.0707858	1.0655631	0.0351427	0.9050638
900	0.8793132	0.0501482	0.0535956	0.8589825	0.8905030	1.0022130	0.0570464	0.9923468	0.0418623	0.9807910
950	1.0140100	0.0248774	0.0580271	0.8530950	0.8916687	0.8321643	0.0337393	0.9635160	0.0444375	0.9547743
1000	1.0542841	0.0122263	0.0608956	0.8614614	0.8938043	0.9166946	0.0252345	1.0512279	0.0639568	0.9917742

