"Time"	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C
150	1.0139598	0.0999790	0.6607292	0.1265604	0.9855270	0.8910682	0.2474330	0.5146668	0.0799621	0.6831077
200	0.9610968	0.1244816	0.6329957	0.1275310	1.0802764	0.9309044	0.2088448	0.5310685	0.0690499	0.6933438
250	0.8724465	0.1134629	0.7087746	0.1374613	0.9401458	0.9745689	0.1882952	0.5656505	0.0623853	0.5842327
300	0.9569197	0.1200699	0.6397857	0.1256195	0.9262205	0.9854755	0.1234133	0.5168910	0.0996107	0.5506547
350	0.8701490	0.0996236	0.6673742	0.0923254	0.9637813	0.9340037	0.1930715	0.4758933	0.1377943	0.5808800
400	0.8606350	0.1001639	0.7192566	0.0933055	0.8769647	0.8879592	0.2019647	0.4168260	0.1344560	0.5735233
450	0.8526081	0.1115456	0.6348742	0.0754160	0.9307078	0.8078631	0.2868168	0.3785057	0.1043336	0.5403892
500	0.9117249	0.1298263	0.7175543	0.0988568	0.9467900	0.9168971	0.3674425	0.4770870	0.1008834	0.6799979
550	0.9828267	0.1373321	0.6665353	0.1269295	0.9725953	0.8963082	0.3358247	0.5428520	0.1041100	0.7818154
600	0.9456822	0.1546578	0.5676089	0.2350456	1.0333118	0.8924048	0.2626180	0.5399244	0.0849785	0.9027262
650	1.0311794	0.1436897	0.5022489	0.2298937	0.9917565	0.9231877	0.2357565	0.5857491	0.1122409	0.9085182
700	0.9436436	0.1346972	0.5147390	0.2308909	0.9092863	0.8608164	0.1455340	0.5900405	0.0814390	0.9808070
750	0.9511671	0.1854241	0.5113783	0.2380703	0.9966614	0.8311923	0.1795617	0.5723512	0.0737458	1.0657758
800	1.0036743	0.1471762	0.4852603	0.2765075	0.9036051	0.8256357	0.1868263	0.6339101	0.0717224	1.1689544
850	1.0010615	0.1482203	0.4790934	0.2619813	0.9652721	0.8435528	0.1563980	0.4945202	0.0668450	1.0517364
900	1.0452255	0.1659940	0.5110678	0.2168912	0.9885267	0.8343102	0.1743104	0.6572181	0.0567103	0.9765288
950	0.9912352	0.1196379	0.5561801	0.2300327	1.0527147	0.8354167	0.1191144	0.6030841	0.0762833	1.0069743
1000	1.0156856	0.1065289	0.4392867	0.2341691	0.9339474	0.7449214	0.1483939	0.6255855	0.0659652	1.0043334

0	1.0147608	0.1514382	0.4962963	0.2937110	0.9169354	0.8619126	0.1448633	0.5543385	0.0562505	1.0073582
50	0.9719558	0.0467110	0.6976662	0.2172026	0.8806542	0.9329868	0.2139948	0.4691183	0.0417983	1.0141642
100	0.9806497	0.0663629	0.8334492	0.1963478	0.9692391	0.9631778	0.2307008	0.6250601	0.0399234	0.9881076
150	1.0462860	0.0510694	0.9328813	0.1431981	0.9586679	0.9532892	0.1752527	0.6411861	0.0365366	0.9382011
200	0.9654794	0.0342408	0.9952147	0.1111788	1.0015091	0.8687567	0.1386738	0.6202350	0.0359752	1.0265233
250	0.9375366	0.0337174	1.0108365	0.0844652	0.9444201	0.8325479	0.1295355	0.6595680	0.0244088	1.0232944
300	0.9414744	0.0362978	1.1024764	0.1159716	0.9340558	0.7833257	0.1059738	0.6989234	0.0311026	1.0110895
350	0.9613609	0.0337435	0.9845360	0.1221789	0.9781730	0.7716499	0.1361918	0.6793474	0.0393043	1.0185458
400	0.9438495	0.0435121	0.9688998	0.1068639	0.9660776	0.7617678	0.1409966	0.6001728	0.0193677	1.1364303
450	0.9511832	0.0513251	0.9384488	0.0779211	0.9918657	0.8251482	0.1537943	0.6326809	0.0088522	1.0445053
500	1.0558650	0.0537773	0.9517437	0.0725658	1.0391870	0.8708438	0.1412690	0.5817009	0.0242655	0.9681872
550	0.9929322	0.0851308	0.8339767	0.1299317	1.0416400	0.9219132	0.1272708	0.6239381	0.0617422	0.9735683
600	0.9682751	0.1180031	0.6788260	0.1688821	0.9766790	0.8400289	0.1469508	0.6468220	0.0698463	1.0869396
650	1.0174169	0.1291171	0.4830565	0.2423788	0.9614283	0.7738756	0.1543496	0.6309587	0.0661713	1.0802940
700	1.0283319	0.1893512	0.4889542	0.2180490	1.0011774	0.7789317	0.1878025	0.6009483	0.0543132	1.0846161
750	1.0385851	0.1639733	0.5310988	0.2191870	0.9843811	0.7812092	0.2013176	0.5161377	0.0406167	1.0350920
800	1.0259203	0.1731447	0.5411698	0.2570934	0.9971269	0.8948569	0.2052285	0.5145500	0.0474410	0.9323176
850	0.9555241	0.1570881	0.5886748	0.2442821	0.9265902	0.9015889	0.2401903	0.5363076	0.0691374	1.0966428
900	0.8193051	0.1378728	0.5746993	0.2460320	0.9543403	0.9121007	0.2106215	0.6245735	0.0573890	1.0500675
950	1.0390152	0.1490519	0.5459585	0.2369174	0.9834885	0.8959964	0.1989945	0.6130049	0.0894709	0.9886973
1000	0.9963393	0.1355046	0.4860777	0.2529553	0.9797952	0.8656586	0.1415872	0.5415306	0.0786440	0.9212128

0	1.0147608	0.1514382	0.4962963	0.2937110	0.9169354	0.8619126	0.1448633	0.5543385	0.0562505	1.0073582
50	1.0052010	0.1258822	0.6738242	0.2732521	0.9319780	0.8800405	0.2079408	0.4974305	0.0529949	1.1213552
100	0.9673410	0.1692177	0.8187373	0.3113159	0.9650737	1.0038467	0.2630967	0.6234084	0.0501435	1.1525509
150	0.9814488	0.1699360	0.8803427	0.2446561	0.9377129	0.9796169	0.2212328	0.5580410	0.0642718	1.0970296
200	0.9962541	0.1663245	0.9100303	0.2557029	0.9560410	1.0110268	0.1717759	0.6104777	0.1076760	1.0653157
250	0.9800821	0.1163676	0.9510101	0.2707024	0.9884694	0.9675618	0.1829020	0.5320128	0.0930969	0.9548412
300	0.9474272	0.1415337	0.8595081	0.2504915	1.0310152	0.9189527	0.1797325	0.5385888	0.1180315	0.8895433
350	0.9799713	0.0896473	0.8897713	0.2232211	0.9417126	0.8571654	0.1660530	0.4812143	0.1105602	0.9973053
400	1.0434733	0.0983020	0.9275633	0.2444355	0.8866050	0.9111448	0.2366643	0.4282023	0.0871105	1.0839911
450	0.9765953	0.1137894	0.8069124	0.3361755	1.0049392	0.8272271	0.3195789	0.4187671	0.0685925	0.9970095
500	0.8656985	0.1097518	0.7842384	0.2993551	1.0066078	0.8578697	0.2978525	0.4725216	0.0702422	1.0509574
550	0.7723090	0.1507818	0.6557318	0.2954719	0.9353855	0.9717941	0.2501949	0.6154056	0.0922564	0.9988223
600	0.9406076	0.1532978	0.5978174	0.3153956	0.9196044	0.9845019	0.2100004	0.6312335	0.1016291	0.9682201
650	0.9678682	0.1249994	0.6839387	0.2726790	0.9510954	0.9485982	0.1958525	0.4896470	0.1130626	0.9449338
700	0.9054801	0.1268149	0.5503286	0.2944081	1.0363684	0.9472127	0.2323457	0.4456234	0.0890159	1.0187746
750	0.9426416	0.1102396	0.5469554	0.2450303	0.8823938	0.8778316	0.2977905	0.5016162	0.0851701	0.9733556
800	1.0029263	0.1169228	0.4985168	0.2645072	0.8668737	0.9947816	0.2386914	0.5241621	0.0627740	0.8977137
850	0.8885107	0.1206692	0.5310500	0.2751164	0.9777021	0.9300578	0.2366041	0.4830122	0.0885725	0.9868285
900	0.9219607	0.1553243	0.5439399	0.2755988	1.0392486	0.8787168	0.2046932	0.5044990	0.0643245	1.0355192
950	1.0084858	0.1426372	0.5330557	0.2679838	0.9901911	0.9022114	0.2049552	0.5082162	0.0652784	1.0278747
1000	0.9992997	0.1237657	0.5921343	0.2808622	0.8748581	0.9062992	0.2320851	0.6271878	0.0733796	0.9754785

0	1.0147608	0.1514382	0.4962963	0.2937110	0.9169354	0.8619126	0.1448633	0.5543385	0.0562505	1.0073582
50	0.5794524	0.1029129	0.4761712	0.2284313	0.9206648	0.7755588	0.1203620	0.6118850	0.0617530	1.0728687
100	0.3366074	0.1315205	0.4507296	0.2581066	1.0271919	0.7664519	0.0820633	0.5724308	0.1029003	1.0213401
150	0.2803159	0.1275049	0.4096118	0.2489923	0.9082623	0.6963247	0.0489465	0.4926929	0.0986408	1.0327434
200	0.2414949	0.1269989	0.3888800	0.2536261	0.9482516	0.6062311	0.0637340	0.5670771	0.0841191	1.0124145
250	0.2790917	0.1901506	0.3613377	0.2490743	0.8298894	0.4908510	0.0512897	0.5259436	0.0785399	1.0129335
300	0.2914427	0.1451217	0.2929460	0.2683741	0.8221740	0.4641844	0.0246574	0.5251790	0.0976223	0.9370553
350	0.3032899	0.1575823	0.2332896	0.3302764	0.6814491	0.3621178	0.0402717	0.4641093	0.0723419	1.0138483
400	0.2791174	0.2119315	0.2284168	0.3981147	0.7007279	0.3085506	0.0429604	0.4940523	0.0652274	0.9842440
450	0.2542367	0.2735662	0.2187485	0.4487404	0.5353177	0.3603642	0.0420979	0.4555153	0.0883360	1.0234954
500	0.2727399	0.2135656	0.1610414	0.4775704	0.5275400	0.3462583	0.0416704	0.4035051	0.0996631	0.9878293
550	0.6034263	0.1977308	0.1633643	0.6208598	0.4985231	0.3621888	0.0565253	0.3823984	0.0774299	0.9658647
600	0.8928877	0.2030634	0.2033969	0.7559557	0.4558752	0.4921232	0.0953451	0.3890657	0.0774983	0.9968964
650	0.9584905	0.2131123	0.2335890	0.7154899	0.6208596	0.6113301	0.2579281	0.3693436	0.1010980	1.0850972
700	0.9637250	0.1803185	0.2582542	0.5939663	0.7539307	0.7365665	0.3150303	0.4152265	0.0623682	1.0513377
750	0.9288006	0.1320746	0.2937138	0.5216314	0.9039966	0.8790207	0.3561707	0.4577359	0.0724354	0.9917859
800	0.9732683	0.1291195	0.4262046	0.4450469	0.9345756	0.8060581	0.3176606	0.4846246	0.1033241	0.9467601
850	0.8776328	0.1398746	0.5051077	0.3871431	0.8990950	0.8490894	0.2789825	0.5086408	0.0880088	0.9616640
900	0.9512032	0.1413654	0.5150980	0.2976582	0.9001883	0.7928562	0.2886066	0.3979729	0.1137228	0.9387162
950	1.0204551	0.1346274	0.5348603	0.3098279	1.0098942	0.8175540	0.3216970	0.5194792	0.0716401	1.0468078
1000	0.9758836	0.1359350	0.5707989	0.2624717	1.0360432	0.8824293	0.2488596	0.5135986	0.0746892	1.0717300

0	1.0147608	0.1514382	0.4962963	0.2937110	0.9169354	0.8619126	0.1448633	0.5543385	0.0562505	1.0073582
50	0.9228060	0.0632347	0.4665519	0.2158359	0.9639613	0.9920515	0.2259359	0.6747108	0.1214170	0.8875547
100	0.9970632	0.0340378	0.5631868	0.0996761	0.9064906	0.9207833	0.1071144	0.7760731	0.0763007	0.8700868
150	0.9267962	0.0249496	0.5655591	0.0796763	0.9123677	0.8272023	0.0627565	0.7806744	0.1094170	0.8343615
200	1.0245390	0.0368384	0.4651389	0.0482926	0.9018275	0.6781478	0.0745210	0.8514888	0.0759897	1.0290228
250	0.9967682	0.0395999	0.4011937	0.0344055	0.7279571	0.6017106	0.0775481	0.9439258	0.0837663	1.0359171
300	0.9828939	0.0480015	0.2838932	0.0438354	0.8123408	0.5248729	0.0627362	0.9463332	0.0873947	1.0287194
350	1.0785847	0.0439513	0.2763332	0.0425518	0.7587704	0.5084201	0.0466261	0.9779853	0.0831878	1.0004884
400	0.9949444	0.0580202	0.2687845	0.0630773	0.7670764	0.4448253	0.0517176	0.9326518	0.0867683	0.9458009
450	1.0317190	0.0559282	0.2287867	0.0555706	0.6672053	0.4322453	0.0432141	0.9080566	0.0726651	0.9512220
500	1.1658887	0.0667555	0.2100344	0.0564151	0.6309502	0.4168101	0.0262564	0.9696556	0.0834111	0.9466983
550	0.9712903	0.1133261	0.1818520	0.2197715	0.6012371	0.4117187	0.0317993	0.8158376	0.0822530	0.9390268
600	1.0498583	0.1705108	0.1882475	0.3925745	0.5154374	0.3716550	0.0665848	0.5485155	0.0627166	0.9492363
650	1.0069931	0.1757250	0.1801979	0.6022981	0.5725361	0.4612828	0.1309079	0.4171451	0.0479538	0.9332063
700	0.9505628	0.1966534	0.2206575	0.5660109	0.7288060	0.6598789	0.2927866	0.4404048	0.0713332	1.0356067
750	0.9546056	0.1769914	0.3044883	0.5043616	0.7462334	0.8241671	0.3376996	0.3935412	0.0801439	0.9658985
800	0.8649170	0.1639398	0.3340806	0.4228750	0.8557532	0.7831765	0.4320163	0.3948377	0.0785905	0.9987826
850	0.9570915	0.1544964	0.4100366	0.3792126	0.9058061	0.8658839	0.4322760	0.4950956	0.0525097	1.0012126
900	0.7981331	0.1287727	0.5011856	0.3428210	0.8727790	0.9677219	0.2545436	0.4821216	0.0766736	1.0509013
950	0.8333784	0.1305084	0.6098446	0.3370852	0.8909058	0.9987970	0.2659537	0.5082511	0.0824885	1.1079045
1000	0.9715775	0.1254321	0.6129366	0.3178856	0.8891662	1.0029652	0.2397277	0.5459989	0.0919211	1.0764555

0	1.0147608	0.1514382	0.4962963	0.2937110	0.9169354	0.8619126	0.1448633	0.5543385	0.0562505	1.0073582
50	0.9976471	0.1334167	0.4560098	0.2425138	0.9017880	0.8770299	0.2096880	0.6969512	0.0576397	1.0155669
100	1.0255697	0.1044866	0.4772854	0.2491685	0.9819447	0.8832408	0.2252029	0.8474941	0.0937176	1.0492157
150	0.9296345	0.1250432	0.5074743	0.2349725	0.9504280	0.8129368	0.2332586	0.9068401	0.0890428	1.0277660
200	1.0450515	0.0925432	0.5562231	0.2432985	0.9857224	0.9085664	0.2246466	1.0026836	0.0809310	0.9886613
250	1.0639733	0.1371552	0.5940745	0.2134304	1.0513023	0.9447596	0.1883699	0.9710690	0.0775747	1.0085198
300	0.9740261	0.1202656	0.5450297	0.1521426	1.1557648	0.9927379	0.2233212	1.0121888	0.0580553	1.0119538
350	1.1189685	0.0747406	0.5657810	0.2342560	1.1151992	0.9194986	0.2509173	0.9725952	0.0864702	0.9355723
400	1.0525553	0.1388486	0.6128231	0.1957879	1.0623078	0.8885804	0.2907657	0.9590646	0.0660291	1.0223943
450	0.9649556	0.1204235	0.6005686	0.1977418	1.0661877	0.9048080	0.2437544	0.9712490	0.0970398	0.9825016
500	1.0394996	0.1366219	0.6153995	0.2006439	1.0262224	0.9188895	0.2445608	1.0760918	0.0537442	1.0952163
550	0.9113222	0.1169994	0.6147344	0.1878722	0.9860075	0.9195177	0.1784737	0.8674132	0.0489541	1.0957209
600	0.8873846	0.1164825	0.5393869	0.2172860	1.0459628	0.8981962	0.1051333	0.7437788	0.0687136	1.0631320
650	0.8370925	0.1099518	0.6033344	0.2315428	0.9878191	0.8021502	0.0817108	0.6821740	0.0421635	1.0129359
700	0.9408040	0.1234458	0.5095844	0.2484780	0.9773589	0.7261580	0.0800192	0.5865890	0.0580062	0.9763584
750	0.9675966	0.1406561	0.4205536	0.2678843	0.9539223	0.7151815	0.0972360	0.6887552	0.0756551	1.0716597
800	1.0761537	0.1217220	0.4072448	0.2823659	0.8932936	0.6517599	0.1249342	0.6334494	0.0750201	0.9700338
850	0.9794648	0.1400186	0.3502191	0.3275825	0.9835238	0.7046131	0.1494859	0.5860782	0.1146175	1.0409578
900	0.9585955	0.1366227	0.4106895	0.2441082	1.1617540	0.8018809	0.2027578	0.4761853	0.0804605	1.0229780
950	0.9965824	0.1466593	0.4199880	0.1999940	1.0533408	0.7660325	0.2441183	0.6438354	0.0576341	0.9048041
1000	0.9701144	0.1273540	0.4201764	0.2178993	0.9027452	0.8390092	0.1584734	0.5336842	0.0622096	0.9055218

0	1.0147608	0.1514382	0.4962963	0.2937110	0.9169354	0.8619126	0.1448633	0.5543385	0.0562505	1.0073582
50	0.9672432	0.1523947	0.4942333	0.2751917	0.8073977	0.8340072	0.1462795	0.5654833	0.0664238	0.9919899
100	0.9568208	0.1199875	0.5770081	0.3032128	0.9299178	0.8995930	0.1398779	0.5490992	0.0204897	1.0027381
150	1.0558488	0.1145451	0.5538081	0.2807176	0.9656647	0.9182898	0.1461737	0.5751746	0.0034299	1.0203562
200	0.9272245	0.1344916	0.5729267	0.2681384	0.9927924	0.8593781	0.1528318	0.5293582	0.0039646	1.0340024
250	1.0178893	0.1039600	0.5220337	0.3038169	1.0337797	0.9170744	0.1491740	0.6546330	0.0000229	1.0543183
300	1.0645878	0.1253574	0.5415325	0.2766471	1.0198798	0.9680191	0.1105634	0.6445195	0.0030486	1.0693710
350	0.9490018	0.1234127	0.5521811	0.2667020	0.9341248	0.9357809	0.1174833	0.6330378	0.0011593	1.1142294
400	0.9510137	0.1090128	0.4893726	0.2601391	0.9796874	0.9650509	0.1503767	0.6265454	0.0015169	1.1502777
450	0.9784777	0.1162645	0.5827623	0.2482229	1.0136307	0.9931612	0.1313864	0.6173524	0.0012460	1.0139259
500	1.0107616	0.1338986	0.5992739	0.2441914	0.9787969	1.0247874	0.1109578	0.6169128	0.0025361	1.0807134
550	0.9699612	0.1349930	0.5969953	0.2215188	0.9977692	0.9686885	0.1555717	0.6121231	0.0071374	1.0678642
600	0.9378396	0.1294556	0.6290704	0.2329229	0.9671717	0.8588975	0.1422271	0.6514450	0.0515974	1.0303237
650	0.9592381	0.1442997	0.5578041	0.2361355	0.8824735	0.7998233	0.1364528	0.6630283	0.0598916	0.9721433
700	1.0688918	0.1690413	0.6050558	0.2991482	0.9634642	0.7914337	0.1048516	0.5494472	0.0666997	0.9997037
750	1.0534928	0.1139556	0.4856429	0.2326774	0.9606947	0.7822220	0.1305257	0.5391935	0.0641925	1.0612972
800	1.0561348	0.1391933	0.4564420	0.2655912	0.7818906	0.7348636	0.1589375	0.5682754	0.0810275	0.9296603
850	1.0401958	0.1451288	0.4817037	0.3634111	0.8423364	0.8474877	0.1651318	0.4981857	0.0932879	1.0213683
900	0.9981149	0.1424425	0.5294397	0.2898031	0.9163187	0.9112559	0.2685728	0.4134684	0.1364632	0.8946367
950	1.0019554	0.1447135	0.5795362	0.2656582	0.9258842	0.8935563	0.3552992	0.4080106	0.0974874	0.9635439
1000	0.9160377	0.1201052	0.5509330	0.2888438	0.8812627	0.9563862	0.3712345	0.4359075	0.1367889	0.9920715

0	1.0147608	0.1514382	0.4962963	0.2937110	0.9169354	0.8619126	0.1448633	0.5543385	0.0562505	1.0073582
50	0.6442431	0.1180640	0.5448313	0.3149195	0.9972460	0.8924688	0.1713368	0.6940229	0.0688072	0.9954904
100	0.4294295	0.1418790	0.5688881	0.2858800	0.9675521	0.8465174	0.1083771	0.5845369	0.0741470	0.9834015
150	0.2908186	0.1365413	0.4819984	0.2678717	0.9901077	0.8404485	0.0805278	0.5942526	0.0862153	1.0754415
200	0.2180745	0.1348441	0.4148701	0.2140997	0.9969180	0.7894448	0.0452944	0.5813061	0.0887022	1.0082921
250	0.2221215	0.1696430	0.4025891	0.2574720	0.9659565	0.6809484	0.0284697	0.5730832	0.0779629	1.0579164
300	0.2449827	0.1546449	0.3723580	0.2554423	0.9674488	0.5747898	0.0290899	0.5613972	0.0775124	0.9848301
350	0.2373865	0.1379915	0.3594215	0.2888714	0.8372329	0.5212341	0.0216482	0.4882011	0.0694230	0.9945382
400	0.2831254	0.1537041	0.2709392	0.3045996	0.7938361	0.4612286	0.0230664	0.5262299	0.0680150	1.0427730
450	0.2597506	0.1365649	0.2483672	0.3430258	0.8221887	0.4340082	0.0330792	0.5429307	0.0833975	0.9602672
500	0.2575453	0.2032655	0.2399618	0.3408933	0.7965497	0.4807865	0.0390976	0.5703534	0.0570626	1.0288605
550	0.5687964	0.1639059	0.2141774	0.3616501	0.7125248	0.4397381	0.0298963	0.5837331	0.0707070	1.0700482
600	0.7727036	0.1880359	0.1776453	0.4233290	0.6217165	0.3758111	0.0997756	0.5254042	0.0792649	1.1661213
650	0.9525296	0.1993211	0.1719602	0.5409029	0.5591019	0.5514644	0.1377855	0.4303116	0.0698074	1.0395424
700	0.9945639	0.1578797	0.2176838	0.6104440	0.6740803	0.6704832	0.2388282	0.4988750	0.0455373	0.9704386
750	1.1320204	0.1377581	0.3197364	0.5348525	0.8016450	0.8239653	0.2142763	0.4687126	0.0611353	0.9369986
800	1.0642496	0.1656633	0.3906866	0.4703194	0.9171426	0.9216804	0.2230087	0.5054286	0.0920350	1.0040731
850	0.9959858	0.1238288	0.4916072	0.4026736	0.8522457	0.9368038	0.2232310	0.5601328	0.0704819	0.9122770
900	1.0224225	0.1156866	0.5016034	0.3963526	0.9395851	0.8232304	0.2063569	0.4693051	0.0839217	0.9746952
950	1.0567508	0.1181271	0.5287014	0.3787449	0.9930892	0.8531272	0.2267538	0.5645758	0.0376315	1.0300289
1000	0.9362040	0.1047575	0.4706498	0.3161007	0.9527413	0.9227863	0.1682160	0.6220633	0.0626667	1.0265231

0	1.0147608	0.1514382	0.4962963	0.2937110	0.9169354	0.8619126	0.1448633	0.5543385	0.0562505	1.0073582
50	0.7154553	0.0713624	0.5936341	0.1733006	0.9627445	0.9503764	0.1681786	0.5544418	0.0958461	1.0434841
100	0.4957130	0.0740368	0.6035797	0.0922351	0.9873960	0.9543882	0.1350115	0.6234286	0.0755680	0.9875708
150	0.4760908	0.0533145	0.5643026	0.0661339	0.9026609	0.9037587	0.0940610	0.5571337	0.0667891	1.0055366
200	0.4303361	0.0539517	0.5253264	0.0694917	0.9361810	0.7851292	0.0940371	0.5801522	0.0769870	0.9550653
250	0.4028571	0.0680640	0.4422540	0.0685973	0.9554131	0.6360492	0.0665231	0.6250637	0.0622416	1.0883685
300	0.5124070	0.0457231	0.3338950	0.0757928	0.8802255	0.5522355	0.0712078	0.6175510	0.0412026	0.9933675
350	0.4310906	0.0675569	0.2667017	0.0362953	0.8870206	0.5645178	0.0476629	0.6475070	0.0468702	0.9365939
400	0.4107863	0.0998817	0.2652215	0.0386443	0.7769273	0.4784742	0.0562851	0.6079485	0.0880585	0.9684905
450	0.3686708	0.0882999	0.2584188	0.0613557	0.7859838	0.4028738	0.0347422	0.5641111	0.0613977	1.0061468
500	0.3936271	0.1130845	0.2429542	0.0817465	0.7283746	0.3535589	0.0194306	0.5209004	0.0649637	0.9808802
550	0.6131077	0.1807888	0.1714057	0.2190678	0.5216519	0.2708219	0.0402192	0.5119372	0.0549950	1.0629356
600	0.8386006	0.2002004	0.1584978	0.4008095	0.3436825	0.3243123	0.1080555	0.3858949	0.0814691	1.0270120
650	0.8989047	0.2784849	0.1565727	0.6079729	0.4159139	0.5076768	0.2174629	0.3066938	0.1042709	0.9153587
700	1.0093944	0.2384787	0.1676713	0.7214047	0.5880028	0.7084172	0.2917586	0.2907346	0.0929380	0.9894634
750	0.9300032	0.1848674	0.3276028	0.6294385	0.7747254	0.8752752	0.3890261	0.3623612	0.0971205	1.0234976
800	0.8224308	0.1713948	0.4394381	0.5371526	0.8131340	1.0253777	0.3741919	0.4518573	0.0730760	0.9972758
850	0.9519630	0.1618083	0.5231889	0.4753043	0.8681862	1.0162146	0.3592720	0.4504127	0.0615022	1.0115925
900	0.9419703	0.1274228	0.6227204	0.3769282	0.9304367	0.9566811	0.2809178	0.5094357	0.0816727	1.0029191
950	0.9338966	0.1400981	0.5147466	0.3855850	0.9464244	0.9222397	0.2199593	0.5447207	0.0749841	1.0211596
1000	0.9684246	0.1472828	0.5145247	0.2862971	0.9597298	0.9368436	0.1563186	0.5287018	0.0676259	1.0891543
