"Time"	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C
650	1.0000000	0.9367578	0.9996738	0.9585460	0.0488368	0.0565370	0.0619039	0.3040388	0.8321588	0.9999414
700	1.0000000	0.9367578	0.9996738	0.9585460	0.0488368	0.0565370	0.0619039	0.3040388	0.8321588	0.9999414
750	1.0000000	0.9367578	0.9996738	0.9585460	0.0488368	0.0565370	0.0619039	0.3040388	0.8321588	0.9999414
800	1.0000000	0.9367578	0.9996738	0.9585460	0.0488368	0.0565370	0.0619039	0.3040388	0.8321588	0.9999414
850	1.0000000	0.9367578	0.9996738	0.9585460	0.0488368	0.0565370	0.0619039	0.3040388	0.8321588	0.9999414
900	1.0000000	0.9367578	0.9996738	0.9585460	0.0488368	0.0565370	0.0619039	0.3040388	0.8321588	0.9999414
950	1.0000000	0.9367578	0.9996738	0.9585460	0.0488368	0.0565370	0.0619039	0.3040388	0.8321588	0.9999414
1000	1.0000000	0.9367578	0.9996738	0.9585460	0.0488368	0.0565370	0.0619039	0.3040388	0.8321588	0.9999414

0	1.0000000	0.9367569	0.9996737	0.9585813	0.0488232	0.0564978	0.0618798	0.3040223	0.8321645	0.9999417
50	1.0000000	0.9702634	0.9997137	0.6913313	0.4325797	0.7002401	0.0871266	0.3040457	0.8316643	0.9998987
100	1.0000000	0.9787979	0.9997251	0.6102493	0.4997531	0.8692743	0.0882239	0.3042176	0.8303862	0.9998182
150	1.0000000	0.9809707	0.9997276	0.5856248	0.5115265	0.9136631	0.0883605	0.3045901	0.8292739	0.9997763
200	1.0000000	0.9815232	0.9997277	0.5781030	0.5136173	0.9253145	0.0885271	0.3050202	0.8285878	0.9997611
250	1.0000000	0.9816635	0.9997272	0.5757593	0.5140188	0.9283762	0.0887188	0.3053796	0.8282279	0.9997553
300	1.0000000	0.9816990	0.9997268	0.5749926	0.5141209	0.9291860	0.0888885	0.3056273	0.8280557	0.9997522
350	1.0000000	0.9817079	0.9997265	0.5747184	0.5141623	0.9294046	0.0890140	0.3057778	0.8279781	0.9997500
400	1.0000000	0.9817101	0.9997264	0.5746079	0.5141850	0.9294668	0.0890959	0.3058617	0.8279443	0.9997485
450	1.0000000	0.9817106	0.9997263	0.5745580	0.5141982	0.9294863	0.0891446	0.3059055	0.8279300	0.9997474
