"Time"	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W
0	0.2616494	0.9513382	0.1303574	0.4019882	0.8255641	0.1435621	0.1422657	0.0658019	0.0976590	1.0059961
50	0.2450292	0.8312922	0.1252076	0.0959077	0.7930296	0.0717136	0.1367187	0.0713941	0.0834698	0.6967551
100	0.2214766	0.8285249	0.0619378	0.0089001	0.9020455	0.0890913	0.1033908	0.0579207	0.1268333	0.5630416
150	0.2721771	0.8987470	0.0501697	0.0059001	0.9732712	0.1209247	0.0664247	0.0824083	0.1320755	0.5636696
200	0.2499681	0.9991826	0.0269887	0.0036371	0.7945816	0.1563290	0.0625138	0.0546368	0.1228943	0.5308159
250	0.2357496	0.9925466	0.0307136	0.0000000	0.8075688	0.1372964	0.0314822	0.0540536	0.1622459	0.5339936
300	0.2496894	0.9464842	0.0573195	0.0015461	0.7774747	0.1054886	0.0447843	0.0704315	0.1768835	0.4944355
350	0.2496789	0.8837156	0.0404886	0.0076555	0.7968670	0.1232369	0.0536054	0.0911080	0.2315383	0.5383142
400	0.2344278	1.1143375	0.0366090	0.0043791	0.8826240	0.1008205	0.0407911	0.0748301	0.2309195	0.5039137
450	0.2510879	0.9561399	0.0414113	0.0072004	0.8243151	0.0952443	0.0595698	0.0950220	0.2729980	0.4970979
500	0.2008573	0.9928039	0.0381659	0.0049340	0.8570549	0.1535291	0.0584839	0.1501826	0.2330421	0.5706527
550	0.2309752	1.0676815	0.0372944	0.3217080	0.7434649	0.2006398	0.0534398	0.1103715	0.2302740	0.8430574
600	0.2836482	1.0576122	0.0570133	0.3935328	0.7972148	0.2199840	0.0446181	0.0833744	0.1584651	0.8966211
650	0.3210806	0.9786077	0.1279515	0.3857030	0.7572313	0.2176949	0.0479897	0.0605215	0.1276117	0.9567982
700	0.2578118	0.9052111	0.1425698	0.3309555	0.7877097	0.1367295	0.0747651	0.0697319	0.0985518	1.0685197
750	0.2586382	0.8907748	0.1164595	0.3534251	0.7387008	0.1317130	0.0900944	0.0614443	0.0852915	1.0367432
800	0.2496077	0.9075087	0.1027170	0.3607671	0.7815040	0.1523034	0.0863123	0.0549638	0.0600536	0.9406137
850	0.3024906	0.9343359	0.1118633	0.3815912	0.8174045	0.1344757	0.0762030	0.0625017	0.0543047	0.9957754
900	0.2922124	0.9282850	0.1026680	0.3149569	0.8479168	0.1495554	0.0887571	0.0538854	0.0439865	1.0236880
950	0.3026078	0.9096369	0.1025129	0.2755835	0.7415045	0.1327917	0.0961811	0.0604219	0.0581601	1.0625810
1000	0.2609624	0.9317024	0.0743709	0.3182314	0.7953257	0.0981805	0.1182780	0.0732106	0.0585436	1.0088509

0	0.2616494	0.9513382	0.1303574	0.4019882	0.8255641	0.1435621	0.1422657	0.0658019	0.0976590	1.0059961
50	0.2864230	0.7045298	0.1765645	0.2741507	0.8784165	0.0869651	0.2107249	0.0532452	0.0736146	0.7965857
100	0.2585700	0.8393307	0.1153471	0.2998499	0.8433551	0.0898530	0.1458975	0.0602794	0.0946675	0.7560978
150	0.2656049	0.9721797	0.0932047	0.2987073	0.8587931	0.1187938	0.1121134	0.0486466	0.0862205	0.7258464
200	0.2530683	0.9156361	0.0917196	0.3842824	0.8349438	0.0926253	0.0909499	0.0603603	0.0964850	0.6786744
250	0.2404515	0.8895738	0.1315473	0.3759244	0.8509184	0.1123013	0.1039793	0.0669411	0.1535052	0.6806121
300	0.2507401	0.8491598	0.1058719	0.3667692	0.8526429	0.1232151	0.1067819	0.0586193	0.1320858	0.6807267
350	0.2377169	0.8468247	0.1355269	0.3890450	0.9328456	0.1207305	0.1164987	0.0674921	0.1739201	0.6765889
400	0.2685323	0.8842383	0.1081169	0.4045157	0.8830606	0.1325495	0.1212125	0.0862675	0.1831191	0.6922408
450	0.2345947	0.8759329	0.1547534	0.3679955	0.8597049	0.1305409	0.1235683	0.0507055	0.2129755	0.7056557
500	0.2442630	0.8769642	0.1186493	0.4045869	0.8815254	0.1529010	0.1059228	0.0626711	0.1489530	0.6838012
550	0.2137651	0.9364770	0.1010829	0.3195732	0.8217439	0.1587040	0.0785485	0.0764699	0.1060252	0.9244908
600	0.2729785	0.9190501	0.1201655	0.3880095	0.7854911	0.1516166	0.0779125	0.0826125	0.1070089	1.0160813
650	0.2813259	0.8813150	0.1243724	0.3995803	0.7477188	0.1548976	0.0901113	0.0665405	0.0888258	0.9314949
700	0.2529151	0.9044371	0.1264642	0.3776001	0.8451833	0.1625092	0.1051708	0.0572526	0.0627108	0.9744361
750	0.2847309	0.8602646	0.1135279	0.3836252	0.7861780	0.1197009	0.0815034	0.0562064	0.0709753	1.0156631
800	0.2752274	0.9078975	0.1646773	0.3542492	0.8205262	0.0913339	0.1469315	0.0587351	0.0496786	0.9943438
850	0.2976217	0.8016376	0.0994838	0.2699158	0.8743668	0.0934252	0.1188670	0.1020645	0.0427490	0.9280867
900	0.2447103	0.9536413	0.0866294	0.3828798	0.9168858	0.0911791	0.1167486	0.0870500	0.0369976	0.9912500
950	0.2509374	0.8231795	0.1098326	0.3857169	0.8117825	0.1349890	0.1055208	0.0745422	0.0532721	0.9970834
1000	0.2918377	0.7800222	0.1087034	0.3895126	0.8725491	0.1606728	0.0997459	0.0920984	0.0573054	1.0758656

0	0.2616494	0.9513382	0.1303574	0.4019882	0.8255641	0.1435621	0.1422657	0.0658019	0.0976590	1.0059961
50	0.2847020	0.7619726	0.1966842	0.1779246	0.7852355	0.6119530	0.1362274	0.1687719	0.0259313	0.7606739
