"Time"	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W
850	0.6108921	0.2546047	0.5810398	0.1402677	0.1786231	0.4717721	0.1608643	0.3248050	0.1323390	0.7627549
900	0.5816080	0.2537829	0.5531125	0.1412949	0.1863789	0.6260705	0.1567663	0.2580567	0.1432929	0.7094636
950	0.5444244	0.3370581	0.4695996	0.1063974	0.1737421	0.6429853	0.1558308	0.2309753	0.1688340	0.8147154
1000	0.6496832	0.4436095	0.4437686	0.0997134	0.2467295	0.6800460	0.2415874	0.2456035	0.1380556	0.8337493

0	0.6665371	0.3070235	0.4974607	0.0664734	0.1993323	0.6437706	0.1655136	0.2857791	0.1357396	0.6289093
50	0.6990714	0.3105905	0.5200868	0.0772140	0.1567055	0.5141300	0.1584673	0.3006739	0.1350558	0.6819135
100	0.5923432	0.2697639	0.5758780	0.0838490	0.1961399	0.6576712	0.2475945	0.2526807	0.1285755	0.8330221
150	0.6449998	0.3886043	0.5287108	0.0698224	0.2327408	0.6583885	0.1357604	0.1930146	0.1387240	0.7968590
200	0.7424301	0.4642838	0.3371542	0.0835017	0.1556082	0.6427562	0.1790813	0.2697081	0.1356909	0.7639871
250	0.6697525	0.5391477	0.6625320	0.0960168	0.2044560	0.6755725	0.1230296	0.2242763	0.2110543	0.7831980
300	0.6439800	0.4976082	0.4728632	0.1306507	0.2708685	0.6258868	0.1222055	0.2390310	0.1626186	0.7134315
350	0.5635070	0.3942231	0.4352151	0.1427441	0.1701558	0.5948589	0.1590030	0.3070803	0.1391155	0.6875660
400	0.4387739	0.3291583	0.3870702	0.1356096	0.2251412	0.6853525	0.1725073	0.2681219	0.1356630	0.7545625
450	0.6815762	0.4293433	0.4070129	0.1582032	0.2875668	0.5791941	0.1105618	0.2027533	0.1059675	0.6926130
500	0.7215085	0.3553450	0.5235298	0.1278360	0.1695221	0.5884915	0.1427489	0.2865026	0.1541616	0.7300232
550	0.7046827	0.4319193	0.4978851	0.1175503	0.1804510	0.5561254	0.1920265	0.2960036	0.1905931	0.8019566
600	0.5891061	0.2825863	0.4919030	0.1102659	0.2398456	0.5751781	0.1285237	0.3056304	0.1631550	0.6433963
650	0.6567733	0.3720204	0.5487481	0.1006614	0.2290591	0.5219820	0.0936806	0.2839818	0.2196865	0.7927707
700	0.8181582	0.1991111	0.5865648	0.0960304	0.2352435	0.6163187	0.1411215	0.2992872	0.1901242	0.6127865
750	0.6082601	0.3121038	0.5952962	0.1278561	0.2006881	0.7018821	0.1831002	0.2595455	0.1012061	0.7016455
800	0.5531635	0.3223609	0.5953309	0.1359974	0.2097614	0.6036306	0.2557033	0.2972776	0.1584279	0.7520056
850	0.6283196	0.3389103	0.4385189	0.0543265	0.2271600	0.6773895	0.1149184	0.2775844	0.2034682	0.8063234
900	0.5463103	0.3659363	0.5763568	0.0972206	0.1788452	0.5070353	0.1666038	0.2279871	0.1407445	0.8492834
950	0.5429778	0.2769337	0.6155350	0.1053421	0.1799413	0.6716470	0.1863938	0.2456682	0.1102164	0.7706118
1000	0.5877773	0.3891211	0.5163121	0.1176423	0.1916838	0.7845964	0.2059220	0.2710369	0.1446087	0.6625195

0	0.7018114	0.2983877	0.4811842	0.0898816	0.1829165	0.6925736	0.1693997	0.3604378	0.1281740	0.7006365
50	0.5314185	0.4181306	0.5294873	0.1281813	0.2621007	0.6249014	0.1869895	0.1756689	0.0749076	0.8396254
100	0.7945008	0.3065482	0.4690822	0.0934453	0.1802488	0.6590802	0.2509817	0.2225922	0.1224100	0.7519906
