"Time"	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W
100	0.5007305	0.1605422	0.3141324	0.2129437	0.1521476	0.6875660	0.9016180	0.3794473	0.7405639	0.5249088
150	0.3879358	0.1678492	0.3426034	0.2346071	0.1156405	0.6167654	0.6355996	0.4223601	0.8120638	0.5555911
200	0.5860901	0.1814682	0.3662729	0.2110165	0.0982505	0.5353170	0.8907175	0.2215258	0.8054563	0.5567485
250	0.5596448	0.1350208	0.5035775	0.1403255	0.1025554	0.6361609	0.6769405	0.4604613	0.7642319	0.5975798
300	0.4004349	0.1928016	0.4294074	0.2709171	0.1477621	0.5806122	0.6912721	0.4416438	0.7163222	0.4400396
350	0.5173415	0.1675404	0.3837352	0.3309299	0.1160284	0.6820168	0.5963741	0.4211093	0.7617001	0.4505787
400	0.4793039	0.1906729	0.3098294	0.3343046	0.0822501	0.5992583	0.7599695	0.3686236	0.8646758	0.5221084
450	0.5165260	0.1565981	0.3923505	0.1836821	0.1021893	0.6019150	0.6864433	0.4117392	0.6711131	0.4898470
500	0.6680215	0.1892336	0.4576609	0.2184008	0.1187417	0.4920675	0.6900279	0.2568093	0.7003468	0.5385104
550	0.5214585	0.1521859	0.5501099	0.2816627	0.4376581	0.7274325	0.7647430	0.2401957	0.6964212	0.5684569
600	0.6028049	0.1671450	0.5577435	0.3822069	0.2985689	0.7009007	0.6888942	0.4068379	0.7607049	0.7243542
650	0.5712167	0.2223746	0.4521985	0.4886431	0.3943487	0.6832046	0.7411789	0.3472199	0.6010959	0.6075680
700	0.5557034	0.1292601	0.1753398	0.3965289	0.3496889	0.6632948	0.5946179	0.4129173	0.7602129	0.7431455
750	0.5210034	0.1326948	0.2082205	0.3710973	0.3985552	0.5585283	0.6491261	0.2593379	0.6436538	0.7410624
800	0.6324455	0.1612552	0.2301995	0.3485813	0.3953911	0.6776621	0.5766296	0.3719918	0.6451951	0.6682567
850	0.4933067	0.1423474	0.2243925	0.2894612	0.3502026	0.6620010	0.8327956	0.3747985	0.7433008	0.8187068
900	0.6095962	0.2050921	0.3197679	0.2422369	0.2983499	0.6646916	0.7459800	0.4517164	0.8355278	0.8764067
950	0.4671369	0.1704976	0.2879539	0.3367567	0.3359978	0.8112766	0.7165185	0.4108160	0.8082289	0.8296730
1000	0.5304028	0.1516419	0.2975119	0.3931896	0.3084013	0.5908333	0.7005268	0.4078352	0.6363615	0.7135820

0	0.5214056	0.1363873	0.2017006	0.3867219	0.2696167	0.6478724	0.7520081	0.4192849	0.6861559	0.8466282
50	0.4604453	0.0524820	0.3743835	0.4922969	0.3207030	0.8058709	0.6178744	0.3674240	0.7138713	0.3287894
100	0.4629705	0.0372133	0.2315590	0.6124122	0.2499476	0.8203680	0.7695554	0.3593546	0.8254926	0.1929702
150	0.5109519	0.0207921	0.1288032	0.4863365	0.3009337	0.5914437	0.6590506	0.3671871	0.6275117	0.1611697
200	0.4249845	0.0281472	0.1579899	0.5472541	0.4447809	0.7750887	0.5891581	0.3178693	0.8471936	0.1559113
250	0.5085285	0.0131593	0.0786992	0.5634955	0.4112171	0.6798878	0.6679762	0.3608038	0.6211270	0.1714735
300	0.4423357	0.0134403	0.0821676	0.5783375	0.2961876	0.6058600	0.8774036	0.3823609	0.7001237	0.1300788
350	0.4523660	0.0023779	0.1125189	0.5858080	0.3258962	0.8247294	0.6703407	0.3214579	0.7190160	0.1054573
400	0.4715340	0.0006910	0.1287107	0.5585225	0.4662313	0.7074795	0.7494213	0.2392060	0.5993956	0.1395464
450	0.3802906	0.0082651	0.0658175	0.6114159	0.3209005	0.7298487	0.8326711	0.3635418	0.7843213	0.0848762
500	0.4281394	0.0090730	0.0973510	0.6013609	0.3026661	0.6650675	0.6867286	0.4319057	0.6569680	0.0865760
550	0.3742518	0.0402538	0.0899853	0.4415501	0.3865357	0.7409742	0.6913995	0.4310499	0.7488845	0.6012787
600	0.4039452	0.0218581	0.1613517	0.3008064	0.3755131	0.6787044	0.6112208	0.3315656	0.6970239	0.6062793
650	0.5818686	0.0714009	0.1969207	0.3599323	0.3785893	0.6549012	0.5471227	0.3252670	0.6226742	0.8449908
700	0.4485147	0.1243854	0.2764049	0.2488231	0.4350167	0.6392929	0.7450701	0.3688616	0.8680911	0.7154695
750	0.5435422	0.1823104	0.3127602	0.3652550	0.2584048	0.7720892	0.7620119	0.3455666	0.9806364	0.6452654
800	0.5284228	0.2380177	0.4011278	0.2828267	0.3782914	0.8436487	0.6305718	0.4021511	0.7032934	0.7363274
850	0.5127936	0.1535635	0.2810657	0.4334090	0.3515275	0.7220273	0.7692209	0.3389129	0.6295232	0.6733720
900	0.5020452	0.1152069	0.2474231	0.4231429	0.3131305	0.8362598	0.7004296	0.4689971	0.5884753	0.6990112
950	0.5332185	0.1945499	0.3243707	0.2561357	0.3415500	0.7083251	0.7678315	0.3294934	0.8478678	0.7432899
1000	0.5460895	0.1630440	0.2720576	0.3478966	0.3517938	0.7231899	0.6957025	0.3042876	0.7830518	0.7887666

0	0.4660409	0.1444197	0.2600667	0.3111356	0.3399787	0.7318844	0.7275334	0.3302314	0.6511091	0.7972698
50	0.5853031	0.1407145	0.2974468	0.3829642	0.2536418	0.6681388	0.6465653	0.2007269	0.8073168	0.4796173
100	0.4638332	0.1537317	0.2865936	0.5199914	0.3712245	0.6709018	0.6533689	0.1798969	0.6906493	0.5710450
150	0.5970493	0.2282367	0.2212695	0.6117102	0.4042918	0.7407356	0.7937029	0.1558193	0.8339055	0.4472555
200	0.5089160	0.2080727	0.1544273	0.5269056	0.4324613	0.6625491	0.6785714	0.1319610	0.7692603	0.3904303
250	0.7323582	0.0969848	0.1474178	0.5352154	0.4028596	0.6470197	0.6428994	0.1479034	0.7746802	0.4248277
300	0.5938798	0.0991278	0.0952647	0.4726060	0.3317291	0.7517759	0.6586685	0.1909480	0.7218873	0.4739350
350	0.7005829	0.0936238	0.0911086	0.5791047	0.4405166	0.7454413	0.8217072	0.2296278	0.7154164	0.4122678
400	0.5918315	0.0572660	0.1047113	0.5745647	0.3625421	0.7521735	0.8115332	0.2236654	0.6664944	0.4899036
450	0.4687142	0.0737703	0.0907954	0.4876806	0.3387588	0.6914728	0.7417010	0.2440028	0.6650208	0.4319314
