"Time"	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C
400	0.8993109	0.6031388	0.3640525	0.9082663	0.2325669	0.3863371	0.2630739	0.4823528	0.9254572	1.0000000
450	0.8990963	0.6024143	0.3652433	0.9101433	0.2322293	0.3862429	0.2630745	0.4823541	0.9254572	1.0000000
500	0.8987923	0.6018810	0.3658667	0.9109204	0.2321231	0.3862151	0.2630730	0.4823544	0.9254572	1.0000000
550	0.8985126	0.6015391	0.3662637	0.9099256	0.2600303	0.5852039	0.2630708	0.4823539	0.9254572	1.0000000
600	0.8982983	0.6012578	0.3680271	0.8910161	0.3560349	0.7699114	0.2630687	0.4823531	0.9254572	1.0000000
650	0.8981066	0.6006168	0.3726146	0.8493325	0.4347948	0.8528284	0.2630672	0.4823522	0.9254572	1.0000000
700	0.8977980	0.5993580	0.3775196	0.8075595	0.4748743	0.8835576	0.2630659	0.4823515	0.9254572	1.0000000
750	0.8972789	0.5979323	0.3798857	0.7789624	0.4915061	0.8939614	0.2630640	0.4823509	0.9254572	1.0000000
800	0.8966522	0.5969565	0.3798359	0.7630597	0.4976990	0.8973035	0.2630609	0.4823500	0.9254572	1.0000000
850	0.8961241	0.5966032	0.3787853	0.7552620	0.4998539	0.8983417	0.2630570	0.4823487	0.9254572	1.0000000
900	0.8958197	0.5966771	0.3777229	0.7517423	0.5005695	0.8986575	0.2630535	0.4823471	0.9254572	1.0000000
950	0.8957300	0.5969192	0.3769815	0.7502430	0.5007994	0.8987528	0.2630514	0.4823457	0.9254572	1.0000000
1000	0.8957738	0.5971645	0.3765503	0.7496306	0.5008716	0.8987816	0.2630508	0.4823448	0.9254572	1.0000000

0	0.8962182	0.5974345	0.3762691	0.7493402	0.5008430	0.8986794	0.2630191	0.4824047	0.9254545	1.0000000
50	0.8822604	0.4261974	0.5946664	0.7492944	0.5008865	0.8995703	0.2408119	0.7539541	0.9214313	0.8346367
100	0.7372032	0.2165525	0.7798360	0.7491878	0.5020797	0.9106629	0.1753997	0.9111779	0.8939026	0.7065835
150	0.4522293	0.1030980	0.8563408	0.7483107	0.5072498	0.9334202	0.1242826	0.9492572	0.8488566	0.6587270
200	0.2450355	0.0532095	0.8830335	0.7457108	0.5154988	0.9556031	0.0919932	0.9537920	0.8082793	0.6436428
250	0.1489771	0.0327514	0.8917862	0.7416835	0.5234746	0.9720149	0.0615157	0.9515384	0.7815849	0.6392053
300	0.1123228	0.0246784	0.8945849	0.7373898	0.5296722	0.9836771	0.0380866	0.9486294	0.7669622	0.6379423
350	0.0996353	0.0216138	0.8954581	0.7336617	0.5340746	0.9911888	0.0256085	0.9465349	0.7598220	0.6375889
400	0.0954804	0.0205057	0.8957116	0.7307982	0.5369039	0.9953341	0.0201287	0.9453756	0.7565927	0.6374910
450	0.0941654	0.0201279	0.8957623	0.7288098	0.5385174	0.9973491	0.0179527	0.9448260	0.7552085	0.6374640
500	0.0937584	0.0200084	0.8957463	0.7275556	0.5393432	0.9982466	0.0171378	0.9445880	0.7546378	0.6374565
550	0.0945075	0.1092225	0.6782178	0.7268308	0.5397313	0.9986223	0.0169933	0.5952230	0.7663587	0.8028178
600	0.1472989	0.3129079	0.4942324	0.7264423	0.5399005	0.9987469	0.0189301	0.3965780	0.8146634	0.9308705
650	0.3978252	0.5123678	0.4190725	0.7262489	0.5399329	0.9980046	0.0719498	0.3579938	0.8634055	0.9787268
700	0.6632388	0.6234520	0.3936271	0.7262335	0.5388302	0.9842714	0.2149086	0.3873930	0.8948944	0.9938109
750	0.8172190	0.6568961	0.3854025	0.7271552	0.5318645	0.9454015	0.2923908	0.4441615	0.9115789	0.9982485
800	0.8843766	0.6415592	0.3815753	0.7307946	0.5182760	0.9077701	0.2971174	0.4803705	0.9194941	0.9995114
850	0.9048934	0.6151624	0.3784114	0.7371604	0.5056041	0.8908038	0.2795975	0.4904660	0.9229945	0.9998648
900	0.9051923	0.5991278	0.3760616	0.7436512	0.4991602	0.8897325	0.2663521	0.4882785	0.9244695	0.9999627
950	0.9003749	0.5945485	0.3750450	0.7479536	0.4980267	0.8939003	0.2614507	0.4843271	0.9250698	0.9999898
1000	0.8969156	0.5953681	0.3750725	0.7497600	0.4990734	0.8973559	0.2612642	0.4822179	0.9253078	0.9999972

0	0.8962182	0.5974345	0.3762691	0.7493402	0.5008430	0.8986794	0.2630191	0.4824047	0.9254545	1.0000000
50	0.8716544	0.3630204	0.6100601	0.7502653	0.4805739	0.6995026	0.2424528	0.7272558	0.9254562	1.0000000
100	0.6627588	0.1607912	0.8074473	0.7655722	0.3984933	0.5188051	0.1802684	0.8673045	0.9254568	1.0000000
150	0.3720546	0.0679284	0.8879472	0.8027822	0.3189207	0.4451480	0.1299521	0.8986415	0.9254570	1.0000000
200	0.2020508	0.0296486	0.9160822	0.8432969	0.2756357	0.4239167	0.0927226	0.9005139	0.9254571	1.0000000
250	0.1312867	0.0143416	0.9260412	0.8720314	0.2590814	0.4210822	0.0579659	0.8968684	0.9254571	1.0000000
300	0.1058625	0.0083092	0.9299526	0.8876219	0.2549838	0.4232227	0.0352608	0.8930428	0.9254572	1.0000000
350	0.0973993	0.0059639	0.9316556	0.8944549	0.2551807	0.4255567	0.0242274	0.8905551	0.9254572	1.0000000
400	0.0947063	0.0050648	0.9324246	0.8967948	0.2562074	0.4270047	0.0196114	0.8893126	0.9254572	1.0000000
450	0.0938739	0.0047239	0.9327597	0.8972804	0.2570092	0.4277310	0.0178311	0.8887792	0.9254572	1.0000000
500	0.0936216	0.0045956	0.9328927	0.8971856	0.2574661	0.4280565	0.0171775	0.8885686	0.9254572	1.0000000
550	0.0941074	0.1030011	0.6942422	0.8955317	0.2880543	0.6496981	0.0170831	0.5997759	0.9254572	1.0000000
600	0.1418836	0.3000962	0.4941394	0.8744359	0.3903778	0.8553366	0.0186346	0.4307906	0.9254572	1.0000000
650	0.3796087	0.4908353	0.4170472	0.8296012	0.4724582	0.9470702	0.0607841	0.3878134	0.9254572	1.0000000
700	0.6443545	0.6030209	0.3951066	0.7858175	0.5127237	0.9706086	0.1898577	0.4008308	0.9254572	1.0000000
750	0.8038050	0.6426085	0.3892823	0.7570798	0.5239239	0.9487159	0.2722479	0.4447597	0.9254572	1.0000000
800	0.8760190	0.6349395	0.3857429	0.7439244	0.5182036	0.9160622	0.2877697	0.4773552	0.9254572	1.0000000
850	0.9002225	0.6135500	0.3817882	0.7416952	0.5081025	0.8974266	0.2771629	0.4883274	0.9254572	1.0000000
900	0.9030137	0.5991478	0.3783600	0.7443503	0.5015196	0.8932316	0.2664766	0.4875939	0.9254572	1.0000000
950	0.8995578	0.5945299	0.3763743	0.7473900	0.4994375	0.8952210	0.2619195	0.4843992	0.9254572	1.0000000
1000	0.8966096	0.5950539	0.3757124	0.7490844	0.4996971	0.8976827	0.2614653	0.4824366	0.9254572	1.0000000

0	0.8962182	0.5974345	0.3762691	0.7493402	0.5008430	0.8986794	0.2630191	0.4824047	0.9254545	1.0000000
