"Time"	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C
700	0.3745877	0.1452182	0.9049686	0.3775597	0.3354638	0.4051751	0.5435229	0.9725206	0.0930308	0.9802915
750	0.3171372	0.1168239	0.8893962	0.4508170	0.3028617	0.4498897	0.6054266	0.9775368	0.0872563	0.9930379
800	0.2681968	0.0964344	0.8587215	0.5238159	0.2932682	0.5358919	0.6773776	0.9809284	0.0844767	0.9976073
850	0.2408361	0.0869099	0.8234827	0.5721954	0.3086237	0.6391874	0.7405646	0.9829376	0.0832262	0.9991934
900	0.2415467	0.0889358	0.7958230	0.5795833	0.3429315	0.7327313	0.7832625	0.9840266	0.0826895	0.9997319
950	0.2690672	0.1023106	0.7850433	0.5459628	0.3857201	0.8026378	0.8027676	0.9845802	0.0824671	0.9999118
1000	0.3150107	0.1252500	0.7938631	0.4862496	0.4275103	0.8473876	0.7991934	0.9848482	0.0823774	0.9999712

0	0.3291040	0.1330021	0.7959986	0.4695409	0.4396498	0.8602464	0.7979608	0.9850724	0.0823199	1.0000000
50	0.3831073	0.1629660	0.8245721	0.4017763	0.4725946	0.8784777	0.8072582	0.9211371	0.0823199	1.0000000
100	0.4311177	0.1919639	0.8574921	0.3443718	0.4963994	0.8883409	0.7986120	0.8560242	0.0823199	1.0000000
150	0.4689477	0.2164535	0.8875011	0.3010667	0.5124037	0.8897993	0.7602263	0.8231844	0.0823199	1.0000000
200	0.4962353	0.2350443	0.9110902	0.2708591	0.5219754	0.8777217	0.7127460	0.8093248	0.0823199	1.0000000
250	0.5141708	0.2475333	0.9278634	0.2512380	0.5254782	0.8501234	0.6707230	0.8039163	0.0823199	1.0000000
300	0.5238326	0.2538714	0.9389037	0.2400442	0.5227012	0.8102848	0.6395067	0.8018916	0.0823199	1.0000000
350	0.5257247	0.2539289	0.9455199	0.2360082	0.5137238	0.7654651	0.6192189	0.8011518	0.0823199	1.0000000
400	0.5201246	0.2478773	0.9486897	0.2385439	0.4995486	0.7235686	0.6083703	0.8008854	0.0823199	1.0000000
450	0.5076870	0.2366499	0.9489741	0.2472575	0.4821871	0.6905512	0.6056249	0.8007904	0.0823199	1.0000000
500	0.4898978	0.2220500	0.9466482	0.2614177	0.4642570	0.6698075	0.6102109	0.8007567	0.0823199	1.0000000
550	0.4691569	0.2064125	0.9419187	0.2795387	0.4482892	0.6534521	0.5578593	0.8646801	0.0823199	1.0000000
600	0.4481169	0.1917615	0.9351575	0.2995296	0.4335901	0.6044819	0.5212305	0.9297888	0.0823199	1.0000000
650	0.4269352	0.1778502	0.9269059	0.3210385	0.4144242	0.5426372	0.5242584	0.9626271	0.0823199	1.0000000
700	0.4021814	0.1623616	0.9172040	0.3474569	0.3893023	0.5064724	0.5473919	0.9764863	0.0823199	1.0000000
750	0.3718794	0.1448864	0.9049932	0.3821144	0.3645405	0.5090722	0.5813702	0.9818946	0.0823199	1.0000000
800	0.3399049	0.1283786	0.8890436	0.4223504	0.3486794	0.5458530	0.6232066	0.9839192	0.0823199	1.0000000
850	0.3143469	0.1167209	0.8700381	0.4583542	0.3470472	0.6052999	0.6677368	0.9846590	0.0823199	1.0000000
900	0.3027108	0.1125112	0.8516638	0.4783590	0.3599491	0.6727723	0.7065829	0.9849254	0.0823199	1.0000000
950	0.3084239	0.1166801	0.8391874	0.4755929	0.3835002	0.7346608	0.7323728	0.9850204	0.0823199	1.0000000
1000	0.3298953	0.1286937	0.8365635	0.4516469	0.4118966	0.7824260	0.7410318	0.9850540	0.0823199	1.0000000

0	0.3291040	0.1330021	0.7959986	0.4695409	0.4396498	0.8602464	0.7979608	0.9850724	0.0823199	1.0000000
50	0.3919326	0.1711748	0.5479739	0.3953409	0.5477797	0.8835308	0.7628109	0.9850724	0.0823199	1.0000000
100	0.4909079	0.2549841	0.3281806	0.3047977	0.6821998	0.8907477	0.6984761	0.9850724	0.0823199	1.0000000
150	0.6008238	0.3683051	0.2416025	0.2198720	0.7816986	0.8704625	0.6018897	0.9850724	0.0823199	1.0000000
200	0.6885045	0.4698965	0.2170029	0.1581737	0.8437540	0.8058723	0.5012484	0.9850724	0.0823199	1.0000000
250	0.7464183	0.5420817	0.2128011	0.1195392	0.8780071	0.6986527	0.4271694	0.9850724	0.0823199	1.0000000
300	0.7805030	0.5864651	0.2135263	0.0974206	0.8936098	0.5843413	0.3837358	0.9850724	0.0823199	1.0000000
350	0.7987031	0.6104484	0.2147463	0.0855872	0.8975810	0.4931610	0.3613467	0.9850724	0.0823199	1.0000000
400	0.8071745	0.6211060	0.2155844	0.0797353	0.8952579	0.4319886	0.3505783	0.9850724	0.0823199	1.0000000
450	0.8100477	0.6238438	0.2160496	0.0772159	0.8904112	0.3950396	0.3455925	0.9850724	0.0823199	1.0000000
500	0.8099773	0.6224642	0.2162786	0.0764626	0.8852981	0.3741800	0.3433466	0.9850724	0.0823199	1.0000000
550	0.8031159	0.6070948	0.5349733	0.0781592	0.7568345	0.3088316	0.3423808	0.9850724	0.0823199	1.0000000
600	0.7545438	0.5177707	0.8138691	0.0955791	0.5567956	0.2312744	0.3423208	0.9850724	0.0823199	1.0000000
650	0.6370363	0.3639062	0.9293803	0.1567014	0.3869611	0.1803746	0.3455331	0.9850724	0.0823199	1.0000000
700	0.4692144	0.2191080	0.9574652	0.2924195	0.2645652	0.1545046	0.3722157	0.9850724	0.0823199	1.0000000
750	0.3050304	0.1244465	0.9285679	0.4869539	0.1842435	0.1616652	0.4794227	0.9850724	0.0823199	1.0000000
800	0.1840584	0.0748500	0.8551384	0.6743956	0.1403342	0.2573995	0.6375710	0.9850724	0.0823199	1.0000000
850	0.1127911	0.0524298	0.7678307	0.8078464	0.1396238	0.4439384	0.7608847	0.9850724	0.0823199	1.0000000
900	0.0837313	0.0446162	0.6962031	0.8756183	0.1863944	0.6286858	0.8325246	0.9850724	0.0823199	1.0000000
950	0.0944974	0.0474910	0.6528047	0.8704419	0.2623347	0.7622780	0.8682662	0.9850724	0.0823199	1.0000000
1000	0.1463059	0.0635569	0.6417150	0.7873259	0.3422956	0.8447161	0.8823380	0.9850724	0.0823199	1.0000000

0	0.3291040	0.1330021	0.7959986	0.4695409	0.4396498	0.8602464	0.7979608	0.9850724	0.0823199	1.0000000
50	0.3831067	0.3151774	0.8245721	0.4017767	0.4725748	0.8763861	0.7631709	0.9856233	0.0679294	0.6873921
100	0.4310553	0.4678482	0.8574905	0.3444162	0.4958201	0.8720326	0.7080398	0.9875831	0.0740830	0.3706412
150	0.4682708	0.5397461	0.8874674	0.3015395	0.5091189	0.8433747	0.6427942	0.9857293	0.1322428	0.2132624
200	0.4931465	0.5707931	0.9108676	0.2730085	0.5118752	0.7849981	0.5802843	0.9679002	0.2381678	0.1484795
250	0.5050278	0.5824807	0.9270221	0.2576734	0.5025214	0.6983430	0.5285756	0.9210135	0.3508930	0.1240549
300	0.5026896	0.5829105	0.9365663	0.2553949	0.4793383	0.5963504	0.4897101	0.8515849	0.4356510	0.1152989
350	0.4840832	0.5748986	0.9400591	0.2680180	0.4423734	0.4970227	0.4647567	0.7817330	0.4866635	0.1122597
400	0.4475829	0.5603659	0.9371299	0.2994051	0.3949610	0.4158771	0.4584909	0.7271985	0.5132717	0.1112279
450	0.3944279	0.5422401	0.9260333	0.3538350	0.3437659	0.3657111	0.4796858	0.6912066	0.5258906	0.1108831
500	0.3310321	0.5242990	0.9039923	0.4313766	0.2977996	0.3613044	0.5343674	0.6700537	0.5314937	0.1107692
550	0.2688532	0.3359877	0.8695208	0.5215460	0.2675411	0.4167512	0.6131446	0.6598298	0.4868659	0.4233398
600	0.2210437	0.1771022	0.8263486	0.6023547	0.2627184	0.5222413	0.6927833	0.6891269	0.3213417	0.7400787
650	0.1983450	0.1090073	0.7844425	0.6489285	0.2858870	0.6407567	0.7563353	0.7714385	0.1962139	0.8974535
700	0.2063290	0.0902379	0.7556980	0.6455969	0.3289409	0.7412384	0.7987366	0.8585549	0.1315264	0.9622352
750	0.2430571	0.0977997	0.7484711	0.5951954	0.3790215	0.8130638	0.8195093	0.9193947	0.1025149	0.9866594
800	0.2985535	0.1207790	0.7641847	0.5178072	0.4257922	0.8581373	0.8179205	0.9536859	0.0903589	0.9954153
850	0.3593212	0.1513913	0.7967863	0.4369101	0.4638404	0.8813461	0.7918046	0.9708462	0.0854553	0.9984545
900	0.4144779	0.1828544	0.8360032	0.3676458	0.4915408	0.8851173	0.7411143	0.9788495	0.0835245	0.9994863
950	0.4582959	0.2101367	0.8726095	0.3153928	0.5089713	0.8668372	0.6738180	0.9824187	0.0827772	0.9998310
1000	0.4890344	0.2301949	0.9016226	0.2797632	0.5160908	0.8196833	0.6046773	0.9839625	0.0824918	0.9999449

0	0.3291040	0.1330021	0.7959986	0.4695409	0.4396498	0.8602464	0.7979608	0.9850724	0.0823199	1.0000000
50	0.3831321	0.2354471	0.8245724	0.4017576	0.4730481	0.8992724	0.8111440	0.9850724	0.0823199	1.0000000
100	0.4317841	0.3238101	0.8575202	0.3438845	0.5000192	0.9355313	0.8110132	0.9850724	0.0823199	1.0000000
150	0.4722131	0.3729599	0.8877542	0.2987195	0.5219348	0.9578514	0.7834669	0.9850724	0.0823199	1.0000000
200	0.5044894	0.4018392	0.9120082	0.2649875	0.5388229	0.9684416	0.7457040	0.9850724	0.0823199	1.0000000
250	0.5292979	0.4206548	0.9299533	0.2405464	0.5508007	0.9711344	0.7100460	0.9850724	0.0823199	1.0000000
300	0.5474466	0.4334464	0.9425846	0.2234093	0.5584570	0.9690795	0.6815912	0.9850724	0.0823199	1.0000000
350	0.5599004	0.4419270	0.9511730	0.2118932	0.5626723	0.9646308	0.6609835	0.9850724	0.0823199	1.0000000
400	0.5677478	0.4471197	0.9568355	0.2045971	0.5643913	0.9594556	0.6469863	0.9850724	0.0823199	1.0000000
450	0.5720928	0.4498578	0.9604349	0.2003710	0.5644763	0.9545957	0.6379492	0.9850724	0.0823199	1.0000000
500	0.5739534	0.4508780	0.9626041	0.1982874	0.5636319	0.9505665	0.6324127	0.9850724	0.0823199	1.0000000
550	0.5741412	0.3878871	0.9637996	0.1976451	0.5610898	0.8773287	0.5494276	0.9850724	0.0823199	1.0000000
