"Time"	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C
600	0.1320805	0.0382016	0.0440571	0.3092867	0.8403746	0.0322389	0.0496198	0.4116427	0.6797150	0.9360313
650	0.1278477	0.0881503	0.0508825	0.2335566	0.6596674	0.0393118	0.0437337	0.3590813	0.7175752	0.8573283
700	0.1495845	0.0621436	0.0893364	0.2290464	0.6928668	0.0706718	0.0298694	0.3626456	0.7339354	0.7612549
750	0.1980817	0.0893623	0.1010311	0.3475615	0.9190745	0.0197913	0.0425958	0.4425875	0.6864122	0.8753550
800	0.2072152	0.1801402	0.0810828	0.3474684	0.8374598	0.0313608	0.0239202	0.5382732	0.8633620	0.8070476
850	0.1725214	0.1682547	0.0828345	0.3179017	0.8065594	0.0278015	0.0459824	0.5153608	0.7759879	0.7386173
900	0.2974459	0.1226662	0.1117249	0.2431588	0.9292207	0.0390351	0.0366188	0.5309270	0.8464209	0.7920113
950	0.2556016	0.1443608	0.0771768	0.1814917	0.7201589	0.0474012	0.0498863	0.5829437	0.8604837	0.8475788
1000	0.2574011	0.0893885	0.0502409	0.3180873	0.6793228	0.0506125	0.0549073	0.4405671	0.6812857	0.8375925

0	0.3283055	0.3315216	0.0945928	0.3497600	0.7676074	0.0707454	0.1058591	0.4154339	0.6254978	0.7269751
50	0.4701142	0.2066372	0.0528111	0.1794596	0.8628585	0.1446456	0.0566187	0.4312114	0.7824503	0.7428872
100	0.5892741	0.1734029	0.1245821	0.2601617	0.7211569	0.1030042	0.0425468	0.6310349	0.8461952	0.7385986
150	0.7378314	0.1146479	0.0826199	0.1870343	0.6118469	0.1028822	0.0433582	0.5177037	0.6679255	0.6447897
200	0.7933561	0.1280371	0.0398824	0.2198134	0.7660064	0.2406828	0.0346969	0.4292026	0.7663964	0.6955188
250	0.6919681	0.0929086	0.0261256	0.2746724	0.6531109	0.1906635	0.0130175	0.5842100	0.7531481	0.7735535
300	0.7378833	0.0836822	0.0417611	0.3121973	0.7730244	0.1330865	0.0273689	0.4636774	0.7273162	0.8374329
350	0.7072646	0.1477047	0.0523716	0.3348683	0.7602020	0.1649151	0.0281896	0.5359439	0.7502831	0.6552325
400	0.8379427	0.1751453	0.0777007	0.2387717	0.6465593	0.2175533	0.0365139	0.4946399	0.6141095	0.7056415
450	0.7764859	0.1056492	0.0317711	0.2945250	0.5877450	0.2249333	0.0479217	0.5154133	0.6821495	0.6242767
500	0.7879932	0.1011643	0.0414110	0.2839198	0.6720568	0.1525885	0.0657033	0.4527355	0.6658912	0.7203407
550	0.6808840	0.0676507	0.0713032	0.3232937	0.7596015	0.1127575	0.0599532	0.5074351	0.8705627	0.6530260
600	0.5641125	0.1971932	0.0712094	0.2843344	0.7260363	0.1127602	0.0375680	0.4227702	0.6715250	0.6893705
650	0.4049006	0.2155260	0.1385979	0.3161522	0.6735918	0.0587138	0.0232443	0.4623425	0.8405846	0.6860447
700	0.3998807	0.1811096	0.1034520	0.3260873	0.7179345	0.0582975	0.0262465	0.4912266	0.8228540	0.7813126
750	0.3581297	0.2237489	0.1200392	0.3052390	0.8155744	0.0301406	0.0184362	0.4206663	0.7641182	0.6838062
800	0.3610197	0.2473493	0.1150641	0.3522309	0.6774996	0.0444131	0.0148509	0.4463567	0.8130022	0.6670689
850	0.3342071	0.2161281	0.1511168	0.4112125	0.7113119	0.0484900	0.1232889	0.6101375	0.7450259	0.5647796
900	0.2575389	0.1581594	0.1421242	0.3506697	0.5158875	0.0466554	0.0258614	0.5455956	0.8257310	0.5987304
950	0.2853917	0.2868948	0.2321327	0.5407096	0.7467600	0.0238999	0.0489284	0.4942036	0.7170896	0.6933019
1000	0.4464072	0.3141544	0.1738532	0.4711162	0.7509821	0.0429569	0.0417582	0.4056100	0.6980781	0.5023301

0	0.2398770	0.3526373	0.1352308	0.2433364	0.7165075	0.0571268	0.0389274	0.6039841	0.6453415	0.6552245
50	0.3206565	0.2962653	0.2435585	0.3994075	0.7633598	0.1766817	0.0131201	0.4653940	0.7089629	0.7112178
