"Time"	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C
450	0.4706941	0.9922851	0.4059026	0.7783846	0.2016554	0.4618536	0.6916050	0.2156350	1.0282221	0.9619140
500	0.4722949	1.0620806	0.4086659	0.8540133	0.2283506	0.4170209	0.6992747	0.2134214	1.1126652	0.9548262
550	0.4473082	0.9689068	0.3687907	0.9225649	0.2768584	0.4677954	0.7383809	0.2100645	0.8474319	0.9554391
600	0.5025331	0.9133650	0.3253023	0.8562124	0.2821274	0.4725048	0.7045576	0.2883506	0.6798418	0.9739670
650	0.5604544	0.9571356	0.3106245	0.8870928	0.2665202	0.4925875	0.6767357	0.3335058	0.6220484	0.9682971
700	0.4564645	1.0081721	0.3067701	0.9272483	0.2691759	0.4558134	0.7023010	0.2959712	0.5519600	1.0063234
750	0.5808538	0.9473802	0.3326477	0.7752727	0.2763794	0.4683650	0.6517415	0.3236481	0.5713026	1.0690263
800	0.5206820	0.9495397	0.4015363	0.7807475	0.2315457	0.4302404	0.6800762	0.3314454	0.6148610	1.0349965
850	0.5240551	0.9738128	0.4406276	0.7136978	0.2877627	0.4368004	0.6782244	0.3060513	0.5943082	1.0040136
900	0.5800944	0.9613742	0.4266207	0.7349370	0.2301031	0.4292295	0.5874557	0.3342941	0.5615161	0.8954537
950	0.4875753	1.0088309	0.3986632	0.7777654	0.2618359	0.5306049	0.6005794	0.3765373	0.5816828	0.9180056
1000	0.5356478	0.9875023	0.3706251	0.9285569	0.3458930	0.4990898	0.7198825	0.3528603	0.5517586	0.9228682
