"Time"	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W
150	0.9433732	0.4180998	0.3240684	0.5750396	0.0772097	0.6727081	0.6362585	0.5164443	0.4452302	0.1130878
200	0.9911290	0.4106000	0.4753135	0.5273429	0.0425616	0.6204803	0.6190158	0.5208470	0.4287072	0.1559381
250	0.9104943	0.3417624	0.4277155	0.4961261	0.0312886	0.6673464	0.6624245	0.5062086	0.4179978	0.1406953
300	0.8998748	0.3940125	0.4619283	0.5090807	0.0286361	0.6198442	0.6925894	0.5696897	0.4151492	0.1405521
350	0.8814211	0.3991410	0.5176690	0.4954411	0.0273750	0.7276903	0.6524935	0.5433848	0.4587564	0.1283931
400	0.8602373	0.4350982	0.6186239	0.4403294	0.0090598	0.6858526	0.6279260	0.5585977	0.5367842	0.1052063
450	0.9712782	0.4085109	0.7075389	0.4627443	0.0136965	0.6825820	0.7150091	0.5078929	0.4688794	0.1179545
500	0.8955815	0.3545044	0.7090575	0.4624975	0.0164151	0.6499964	0.7039533	0.5434768	0.4019965	0.1034989
550	0.9370536	0.3591351	0.6819075	0.6124697	0.2086154	0.6716166	0.6991418	0.2235898	0.3511051	0.5087136
600	0.8707620	0.3097297	0.5896821	0.6766443	0.2661391	0.6477987	0.8381210	0.0692103	0.2721529	0.5496573
650	0.8414717	0.3501675	0.4114717	0.7010333	0.3082694	0.6731518	0.8047313	0.0427497	0.2469511	0.5395628
700	0.8773159	0.3778699	0.3916425	0.8624098	0.3742696	0.6577652	0.8154325	0.0152394	0.2621078	0.5119105
750	0.8585603	0.3677542	0.3445965	0.8269055	0.4155302	0.5462310	0.8126259	0.0100072	0.2931245	0.5399865
800	0.8473078	0.4659320	0.2573647	0.8085157	0.4825947	0.5609409	0.7247442	0.0118133	0.3265384	0.5954337
850	0.8979858	0.5133892	0.2809097	0.8450991	0.6033244	0.5842401	0.7446846	0.0074305	0.3843284	0.6550965
900	1.0086693	0.4729367	0.3075828	0.8658534	0.5332878	0.7196272	0.7134788	0.0302827	0.3820230	0.6227345
950	0.9370073	0.4734832	0.2630473	0.8279912	0.4514127	0.6818477	0.7095147	0.0179772	0.4079938	0.5043735
1000	0.9953479	0.5198693	0.2897025	0.7772799	0.4086459	0.6333329	0.6786212	0.0224184	0.4155870	0.5163743
