"Time"	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C
450	0.7103870	0.4026463	1.0000000	0.3153140	0.2937816	0.7446764	0.3479594	0.8400268	0.9938210	0.0101114
500	0.7103870	0.4026463	1.0000000	0.3153721	0.2937701	0.7450438	0.3479510	0.8422866	0.9938935	0.0101239
550	0.7103870	0.4026463	1.0000000	0.3203426	0.2142547	0.7051188	0.5603847	0.8445292	0.5916954	0.0469076
600	0.7103870	0.4026463	1.0000000	0.3656680	0.1320872	0.5611665	0.7258233	0.8696830	0.2452084	0.0725539
650	0.7103870	0.4026463	1.0000000	0.4620034	0.0968474	0.4379622	0.7870807	0.9335800	0.0974099	0.0801816
700	0.7103870	0.4026463	1.0000000	0.5387975	0.1003980	0.3714992	0.8058981	0.9748337	0.0435933	0.0816928
750	0.7103870	0.4026463	1.0000000	0.5539740	0.1205797	0.3418620	0.8112131	0.9915430	0.0251280	0.0817731
800	0.7103870	0.4026463	1.0000000	0.5289696	0.1312332	0.3298884	0.8126467	0.9972937	0.0189508	0.0816610
850	0.7103870	0.4026463	1.0000000	0.5079438	0.1264849	0.3253300	0.8130227	0.9991478	0.0169071	0.0815834
900	0.7103870	0.4026463	1.0000000	0.5094258	0.1174274	0.3236608	0.8131195	0.9997291	0.0162340	0.0815469
950	0.7103870	0.4026463	1.0000000	0.5230963	0.1134575	0.3230657	0.8131441	0.9999091	0.0160127	0.0815322
1000	0.7103870	0.4026463	1.0000000	0.5324446	0.1155989	0.3228575	0.8131503	0.9999645	0.0159399	0.0815268

0	0.7103870	0.4026463	1.0000000	0.5255966	0.1186237	0.3227484	0.8131523	0.9999891	0.0159043	0.0815240
50	0.7103870	0.4026463	1.0000000	0.6060645	0.1248608	0.3227484	0.8131523	0.9999132	0.0733874	0.0815240
100	0.7103870	0.4026463	1.0000000	0.6521884	0.1576955	0.3227484	0.8131524	0.9987909	0.1229163	0.0815240
150	0.7103870	0.4026463	1.0000000	0.6334032	0.1911122	0.3227484	0.8131525	0.9962814	0.1440634	0.0815240
200	0.7103870	0.4026463	1.0000000	0.6032055	0.1981568	0.3227483	0.8131529	0.9938431	0.1517761	0.0815240
250	0.7103870	0.4026463	1.0000000	0.5898325	0.1874808	0.3227482	0.8131532	0.9922689	0.1544267	0.0815240
300	0.7103870	0.4026463	1.0000000	0.5926171	0.1762110	0.3227480	0.8131535	0.9914549	0.1553141	0.0815240
350	0.7103870	0.4026463	1.0000000	0.6012429	0.1720871	0.3227478	0.8131537	0.9910856	0.1556076	0.0815240
400	0.7103870	0.4026463	1.0000000	0.6067102	0.1739996	0.3227477	0.8131538	0.9909314	0.1557041	0.0815240
450	0.7103870	0.4026463	1.0000000	0.6067802	0.1773779	0.3227476	0.8131539	0.9908704	0.1557358	0.0815240
500	0.7103870	0.4026463	1.0000000	0.6043092	0.1790252	0.3227476	0.8131539	0.9908472	0.1557461	0.0815240
550	0.7103870	0.4026463	1.0000000	0.5113034	0.1706637	0.3227476	0.8131539	0.9920553	0.0982664	0.0815240
600	0.7103870	0.4026463	1.0000000	0.4565847	0.1377265	0.3227476	0.8131537	0.9957552	0.0487387	0.0815240
650	0.7103870	0.4026463	1.0000000	0.4801129	0.1091005	0.3227477	0.8131532	0.9983029	0.0275919	0.0815240
700	0.7103870	0.4026463	1.0000000	0.5278559	0.1017338	0.3227479	0.8131528	0.9993984	0.0198793	0.0815240
750	0.7103870	0.4026463	1.0000000	0.5510828	0.1118484	0.3227481	0.8131525	0.9997935	0.0172288	0.0815240
800	0.7103870	0.4026463	1.0000000	0.5416222	0.1237469	0.3227482	0.8131524	0.9999259	0.0163414	0.0815240
850	0.7103870	0.4026463	1.0000000	0.5219102	0.1260758	0.3227483	0.8131524	0.9999689	0.0160479	0.0815240
900	0.7103870	0.4026463	1.0000000	0.5136110	0.1210374	0.3227484	0.8131524	0.9999827	0.0159514	0.0815240
950	0.7103870	0.4026463	1.0000000	0.5188431	0.1162294	0.3227484	0.8131523	0.9999870	0.0159197	0.0815240
1000	0.7103870	0.4026463	1.0000000	0.5272662	0.1155499	0.3227484	0.8131523	0.9999884	0.0159094	0.0815240

0	0.7103870	0.4026463	1.0000000	0.5255966	0.1186237	0.3227484	0.8131523	0.9999891	0.0159043	0.0815240
50	0.6999863	0.4026463	1.0000000	0.4424620	0.3099782	0.2456451	0.8131524	0.9910889	0.4132761	0.0815240
100	0.6890252	0.4026463	1.0000000	0.3085345	0.5025222	0.1891803	0.8131576	0.8472766	0.7556614	0.0815240
150	0.6833431	0.4026463	1.0000000	0.2411965	0.5970784	0.1676375	0.8132123	0.6200203	0.9018482	0.0815238
200	0.6809072	0.4026463	1.0000000	0.2163803	0.6359143	0.1602006	0.8135094	0.4637396	0.9551651	0.0815227
250	0.6799528	0.4026463	1.0000000	0.2081533	0.6506143	0.1576182	0.8144356	0.3851605	0.9734879	0.0815173
300	0.6795980	0.4026463	1.0000000	0.2055215	0.6559188	0.1565474	0.8160190	0.3508984	0.9796225	0.0815028
350	0.6794707	0.4026463	1.0000000	0.2046839	0.6577733	0.1558833	0.8176585	0.3370582	0.9816515	0.0814783
400	0.6794260	0.4026463	1.0000000	0.2044152	0.6584068	0.1553652	0.8188506	0.3317167	0.9823186	0.0814499
450	0.6794107	0.4026463	1.0000000	0.2043280	0.6586193	0.1549809	0.8195372	0.3297124	0.9825374	0.0814252
500	0.6794054	0.4026463	1.0000000	0.2042994	0.6586895	0.1547304	0.8198770	0.3289726	0.9826090	0.0814078
550	0.6898043	0.4026463	1.0000000	0.2394598	0.4483737	0.2308807	0.8197641	0.3759475	0.5852594	0.0813973
600	0.7007649	0.4026463	1.0000000	0.2773559	0.2297328	0.2869656	0.8172595	0.6168181	0.2428807	0.0814004
650	0.7064468	0.4026463	1.0000000	0.3490389	0.1194079	0.3092411	0.8147946	0.8397163	0.0966960	0.0814298
700	0.7088826	0.4026463	1.0000000	0.4769943	0.0800902	0.3176644	0.8136957	0.9439567	0.0433803	0.0814679
750	0.7098370	0.4026463	1.0000000	0.5681201	0.0882900	0.3208569	0.8133173	0.9818288	0.0250584	0.0814960
800	0.7101918	0.4026463	1.0000000	0.5796572	0.1193890	0.3220565	0.8132003	0.9942936	0.0189246	0.0815116
850	0.7103192	0.4026463	1.0000000	0.5373161	0.1371816	0.3224996	0.8131660	0.9982288	0.0168961	0.0815190
900	0.7103638	0.4026463	1.0000000	0.5020062	0.1311330	0.3226603	0.8131562	0.9994486	0.0162292	0.0815221
950	0.7103792	0.4026463	1.0000000	0.5012821	0.1177022	0.3227176	0.8131534	0.9998236	0.0160106	0.0815233
1000	0.7103844	0.4026463	1.0000000	0.5206189	0.1112012	0.3227377	0.8131527	0.9999385	0.0159391	0.0815237

0	0.7103870	0.4026463	1.0000000	0.5255966	0.1186237	0.3227484	0.8131523	0.9999891	0.0159043	0.0815240
50	0.7151431	0.3549908	1.0000000	0.4139816	0.2623899	0.1949975	0.8102046	0.9972419	0.2699985	0.0815271
100	0.7438881	0.2956679	1.0000000	0.2700973	0.4020174	0.1018205	0.7925590	0.9435358	0.4889323	0.0815996
150	0.7880504	0.2584492	1.0000000	0.2036296	0.4692157	0.0674797	0.7644277	0.8314752	0.5824102	0.0818739
200	0.8283807	0.2390305	1.0000000	0.1849955	0.4966608	0.0574222	0.7374731	0.7353778	0.6165051	0.0823674
250	0.8568214	0.2297363	1.0000000	0.1838805	0.5070517	0.0557709	0.7178833	0.6792554	0.6282251	0.0829618
300	0.8740850	0.2255023	1.0000000	0.1869829	0.5108152	0.0565249	0.7059416	0.6521868	0.6321528	0.0835119
350	0.8836051	0.2236335	1.0000000	0.1900033	0.5121412	0.0576003	0.6994710	0.6404714	0.6334553	0.0839328
400	0.8885197	0.2228262	1.0000000	0.1920525	0.5126012	0.0584170	0.6962357	0.6357307	0.6338864	0.0842122
450	0.8909381	0.2224827	1.0000000	0.1932531	0.5127600	0.0589226	0.6947055	0.6338956	0.6340296	0.0843787
500	0.8920859	0.2223382	1.0000000	0.1938997	0.5128152	0.0592028	0.6940096	0.6332065	0.6340777	0.0844700
550	0.8884325	0.2699334	1.0000000	0.2584704	0.3520129	0.2164038	0.7001894	0.6731641	0.3800201	0.0845055
600	0.8622438	0.3292314	1.0000000	0.3239416	0.1858764	0.3257911	0.7297297	0.8196638	0.1611089	0.0843143
650	0.8197673	0.3664398	1.0000000	0.4174203	0.1057154	0.3543838	0.7633100	0.9286488	0.0676363	0.0837404
700	0.7792891	0.3858543	1.0000000	0.5299290	0.0877923	0.3513135	0.7868780	0.9755893	0.0335351	0.0830244
750	0.7497460	0.3951468	1.0000000	0.5793627	0.1103012	0.3416377	0.8002867	0.9921467	0.0218042	0.0824242
800	0.7313178	0.3993800	1.0000000	0.5545670	0.1359736	0.3335981	0.8071378	0.9975364	0.0178667	0.0820194
850	0.7209382	0.4012486	1.0000000	0.5105402	0.1375784	0.3284877	0.8104278	0.9992313	0.0165576	0.0817802
900	0.7154925	0.4020558	1.0000000	0.4958386	0.1237778	0.3256229	0.8119462	0.9997562	0.0161230	0.0816504
950	0.7127796	0.4023992	1.0000000	0.5109041	0.1127738	0.3241326	0.8126277	0.9999177	0.0159782	0.0815842
1000	0.7114800	0.4025437	1.0000000	0.5306932	0.1118068	0.3233954	0.8129273	0.9999672	0.0159296	0.0815519

0	0.7103870	0.4026463	1.0000000	0.5255966	0.1186237	0.3227484	0.8131523	0.9999891	0.0159043	0.0815240
50	0.6029969	0.4026463	1.0000000	0.4313654	0.1457584	0.3600970	0.4817381	0.6622669	0.0159060	0.0827920
100	0.4898193	0.4026463	1.0000000	0.3190253	0.1606006	0.5588844	0.2236856	0.3959639	0.0159696	0.0979576
150	0.4311506	0.4026463	1.0000000	0.2509836	0.1583978	0.7763477	0.1284347	0.2923480	0.0167377	0.1565221
200	0.4059988	0.4026463	1.0000000	0.2224402	0.1525960	0.8986858	0.0998418	0.2576978	0.0239842	0.2590367
250	0.3961442	0.4026463	1.0000000	0.2153433	0.1483858	0.9512728	0.0923849	0.2467094	0.0577869	0.3537876
300	0.3924812	0.4026463	1.0000000	0.2160823	0.1462418	0.9714260	0.0907139	0.2431278	0.1260180	0.4118073
350	0.3911659	0.4026463	1.0000000	0.2181368	0.1454205	0.9787030	0.0904286	0.2411548	0.2005245	0.4394157
400	0.3907050	0.4026463	1.0000000	0.2195118	0.1452255	0.9812281	0.0904475	0.2390261	0.2559527	0.4505146
450	0.3905464	0.4026463	1.0000000	0.2200952	0.1452466	0.9820680	0.0905391	0.2370757	0.2884088	0.4543462
500	0.3904926	0.4026463	1.0000000	0.2202295	0.1453029	0.9823235	0.0906402	0.2357275	0.3045158	0.4553405
550	0.4978646	0.4026463	1.0000000	0.3086910	0.1125302	0.9377842	0.4253506	0.5625406	0.2995591	0.3729615
600	0.6110362	0.4026463	1.0000000	0.4394760	0.0913888	0.7170530	0.6800200	0.8203368	0.2090004	0.2213523
650	0.6697029	0.4026463	1.0000000	0.5223739	0.1090138	0.5126320	0.7735197	0.9302144	0.1071587	0.1364276
700	0.6948541	0.4026463	1.0000000	0.5272967	0.1331487	0.4023110	0.8021387	0.9751801	0.0519403	0.1010857
750	0.7047085	0.4026463	1.0000000	0.5010020	0.1350057	0.3536783	0.8102091	0.9917666	0.0290188	0.0881081
800	0.7083714	0.4026463	1.0000000	0.4943135	0.1224135	0.3342313	0.8123847	0.9973667	0.0204958	0.0836583
850	0.7096866	0.4026463	1.0000000	0.5114360	0.1126003	0.3268825	0.8129553	0.9991683	0.0174810	0.0821975
900	0.7101475	0.4026463	1.0000000	0.5306395	0.1121910	0.3242052	0.8131023	0.9997344	0.0164401	0.0817322
950	0.7103061	0.4026463	1.0000000	0.5361369	0.1174736	0.3232540	0.8131397	0.9999103	0.0160853	0.0815873
1000	0.7103600	0.4026463	1.0000000	0.5296943	0.1214770	0.3229220	0.8131492	0.9999648	0.0159652	0.0815430

0	0.7103870	0.4026463	1.0000000	0.5255966	0.1186237	0.3227484	0.8131523	0.9999891	0.0159043	0.0815240
50	0.6461218	0.3701452	0.9338467	0.3324873	0.3333181	0.3228288	0.8111300	0.9999891	0.0158271	0.0501666
100	0.5904668	0.3372452	0.8560231	0.1550079	0.5516341	0.3244173	0.8003723	0.9999893	0.0156101	0.0210225
150	0.5737934	0.3269070	0.8102775	0.0806800	0.6615998	0.3291711	0.7872052	0.9999895	0.0154715	0.0079329
200	0.5718855	0.3297989	0.7879684	0.0550502	0.7078116	0.3352601	0.7796753	0.9999898	0.0154136	0.0030898
250	0.5708482	0.3364338	0.7780057	0.0468082	0.7256300	0.3397428	0.7784306	0.9999900	0.0153926	0.0014572
300	0.5678225	0.3423557	0.7737777	0.0441148	0.7321613	0.3415441	0.7804895	0.9999900	0.0153854	0.0009349
350	0.5638669	0.3464356	0.7720417	0.0430659	0.7344769	0.3413367	0.7832788	0.9999901	0.0153830	0.0007712
400	0.5602410	0.3488959	0.7713450	0.0425017	0.7352788	0.3402311	0.7856002	0.9999901	0.0153822	0.0007187
450	0.5575052	0.3502606	0.7710701	0.0421199	0.7355517	0.3390099	0.7871845	0.9999901	0.0153819	0.0007004
500	0.5556824	0.3509749	0.7709630	0.0418495	0.7356434	0.3380226	0.7881490	0.9999901	0.0153818	0.0006930
550	0.6217456	0.3858128	0.8370749	0.1294710	0.4988789	0.3372313	0.7912040	0.9999901	0.0153823	0.0322293
600	0.6758900	0.4186592	0.9148827	0.2180477	0.2521906	0.3349069	0.8027392	0.9999901	0.0154100	0.0614856
650	0.6888196	0.4272866	0.9606223	0.3105391	0.1269319	0.3298503	0.8142242	0.9999900	0.0155219	0.0744991
700	0.6885868	0.4233640	0.9829290	0.4513650	0.0796594	0.3244487	0.8198877	0.9999899	0.0156699	0.0791942
750	0.6894423	0.4166025	0.9928909	0.5577632	0.0825907	0.3209049	0.8206916	0.9999896	0.0157832	0.0807114
800	0.6932283	0.4109698	0.9971186	0.5821934	0.1132104	0.3195293	0.8192191	0.9999894	0.0158477	0.0811808
850	0.6980778	0.4072355	0.9988545	0.5444554	0.1348937	0.3195935	0.8172815	0.9999893	0.0158787	0.0813392
900	0.7023972	0.4050403	0.9995511	0.5053234	0.1319632	0.3202787	0.8156782	0.9999892	0.0158924	0.0814100
950	0.7055798	0.4038447	0.9998260	0.4999145	0.1188153	0.3210550	0.8145851	0.9999891	0.0158984	0.0814521
1000	0.7076601	0.4032273	0.9999331	0.5180044	0.1111848	0.3216885	0.8139206	0.9999891	0.0159011	0.0814802
