"Time"	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W
50	0.0682672	0.3118055	0.9568770	0.2909691	0.5115180	0.6456381	0.9994995	0.0304686	0.4237332	0.5505756
100	0.0703873	0.3414965	0.9523752	0.2910027	0.5115230	0.6452490	0.9905958	0.1117473	0.4746068	0.5504836
150	0.0773066	0.3696627	0.9502253	0.2909953	0.5120068	0.6314143	0.8796207	0.2019273	0.4783972	0.5469505
200	0.0863894	0.3853307	0.9493709	0.2904931	0.5181902	0.5565523	0.6617645	0.2567588	0.4757700	0.5257059
250	0.0942117	0.3950532	0.9492531	0.2867791	0.5441849	0.4177151	0.4676261	0.2798575	0.4677284	0.4774193
300	0.1002186	0.4048257	0.9502426	0.2747011	0.5998905	0.2857083	0.3436954	0.2811441	0.4578340	0.4122298
350	0.1055364	0.4166860	0.9532521	0.2526417	0.6746758	0.2023387	0.2803513	0.2708288	0.4510268	0.3487250
400	0.1111967	0.4296121	0.9583828	0.2260951	0.7459532	0.1605541	0.2574117	0.2582451	0.4478600	0.3001987
450	0.1173625	0.4412929	0.9643925	0.2021850	0.7989440	0.1426993	0.2574628	0.2484521	0.4466773	0.2705749
500	0.1234334	0.4500131	0.9698039	0.1844765	0.8316674	0.1367856	0.2676191	0.2423625	0.4462764	0.2571105
550	0.1279513	0.4385070	0.9784474	0.1730326	0.8488035	0.1365105	0.2844444	0.1997107	0.1860964	0.2544617
600	0.1250372	0.4089150	0.9855554	0.1663945	0.8557618	0.1426186	0.3716002	0.1173398	0.1319982	0.2618444
650	0.1160320	0.3902656	0.9893086	0.1630367	0.8526299	0.1807468	0.5686927	0.0636372	0.1279417	0.2945986
700	0.1069911	0.3775330	0.9910769	0.1624759	0.8258558	0.2834957	0.7597056	0.0368504	0.1291913	0.3558668
750	0.0996396	0.3640493	0.9917655	0.1662521	0.7655217	0.4127502	0.8815218	0.0249368	0.1338865	0.4220746
800	0.0931657	0.3490899	0.9916408	0.1767855	0.6899278	0.5150800	0.9455556	0.0200076	0.1428929	0.4743865
850	0.0870252	0.3351260	0.9905570	0.1944878	0.6233973	0.5785764	0.9759940	0.0181494	0.1540311	0.5088042
900	0.0814692	0.3241693	0.9882440	0.2165736	0.5760093	0.6131325	0.9896254	0.0176235	0.1638710	0.5289774
950	0.0769348	0.3166639	0.9846282	0.2386265	0.5464350	0.6305309	0.9954929	0.0176633	0.1707432	0.5399059
1000	0.0736012	0.3120208	0.9800638	0.2571091	0.5295320	0.6388493	0.9979432	0.0179024	0.1748454	0.5454967

0	0.0682230	0.3064955	0.9616642	0.2908818	0.5115237	0.6456429	0.9995389	0.0186849	0.1791184	0.5505758
