"Time"	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C
750	0.0421615	0.0703953	0.0624567	0.9039371	0.0260035	0.0803260	0.1736519	0.5360388	0.2253181	0.9872996
800	0.0271861	0.0585030	0.0633002	0.8524663	0.0276478	0.0606288	0.1791187	0.5307502	0.2631173	1.0846380
850	0.0148894	0.0475244	0.0565805	0.8793827	0.0295908	0.0621835	0.1783919	0.5788254	0.2152153	0.9895860
900	0.0335435	0.0319657	0.0576836	0.9377549	0.0256024	0.0793355	0.1803521	0.6347958	0.2190120	0.9759673
950	0.0427204	0.0603763	0.0412821	0.9072888	0.0299019	0.0583715	0.2284587	0.5969195	0.2303462	0.9769413
1000	0.0266503	0.0378430	0.0606187	1.0052438	0.0374924	0.0572038	0.2085610	0.5378940	0.2354400	1.0006186

0	0.0541411	0.0750268	0.0584811	0.9170316	0.0394795	0.0804815	0.1949582	0.5010249	0.2443697	1.0790095
50	0.0401840	0.0606164	0.4487670	0.3196145	0.0167606	0.0653447	0.1867522	0.4404751	0.2469499	0.9470919
100	0.0236116	0.0452164	0.6295993	0.1985105	0.0265697	0.0678691	0.1749587	0.3141258	0.2144933	0.9989669
150	0.0284785	0.0593535	0.6700024	0.1538689	0.0243621	0.0505715	0.2001636	0.1661462	0.2137947	0.9244181
200	0.0346654	0.0771678	0.6629570	0.1589061	0.0398654	0.0826791	0.1942467	0.1441353	0.2658107	1.0134102
250	0.0359435	0.0663516	0.6150371	0.1332766	0.0348826	0.0505936	0.1629195	0.1713585	0.2142031	1.0145434
300	0.0449445	0.0754931	0.6296733	0.1446931	0.0236334	0.0651033	0.1645146	0.0836965	0.2241174	1.0088163
350	0.0475325	0.0571554	0.6643471	0.1232548	0.0396683	0.0774249	0.1711912	0.1083543	0.2425538	1.0847575
400	0.0445960	0.0828428	0.6789249	0.1107495	0.0397695	0.0690820	0.1862242	0.1433422	0.2137091	1.0264701
450	0.0582180	0.0709927	0.6634604	0.1573731	0.0343028	0.0832531	0.2070761	0.1386548	0.2038893	1.0269533
500	0.0613102	0.0756942	0.5792060	0.1375604	0.0304541	0.0533232	0.2270812	0.1144976	0.2121722	0.9690710
550	0.0386971	0.0599993	0.1913637	0.6919023	0.0262792	0.0638996	0.2099804	0.1418485	0.1933300	0.9648458
600	0.0409294	0.0840985	0.1141354	0.8721553	0.0415631	0.0723556	0.2302451	0.1914366	0.2083545	1.0166290
650	0.0706748	0.0413904	0.0637281	0.9384629	0.0354072	0.0867092	0.1769500	0.3461544	0.2295620	1.0529598
700	0.0443088	0.0693377	0.0474667	0.8593153	0.0370372	0.0608256	0.1770122	0.4921814	0.2236828	1.0524543
750	0.0451399	0.0575894	0.0598381	0.8932134	0.0275489	0.0782035	0.1673380	0.4838036	0.2493730	1.0891466
800	0.0487756	0.0589622	0.0499687	0.9378432	0.0339286	0.0848102	0.1733660	0.5187994	0.2088283	1.0247356
850	0.0254675	0.0588820	0.0577546	0.9192561	0.0311538	0.0763569	0.1576970	0.6235199	0.2267562	0.9573934
900	0.0321115	0.0526103	0.0478255	0.8632282	0.0299902	0.0922763	0.2159220	0.4260913	0.2240936	0.9351467
950	0.0248017	0.0427744	0.0377523	0.9147638	0.0265104	0.0758063	0.2157528	0.4746605	0.1936758	0.9693242
1000	0.0350283	0.0633587	0.0365409	0.9852745	0.0390212	0.0569569	0.1999993	0.4925557	0.1927335	1.0004292

0	0.0541411	0.0750268	0.0584811	0.9170316	0.0394795	0.0804815	0.1949582	0.5010249	0.2443697	1.0790095
50	0.3422179	0.0805803	0.0472364	0.7090897	0.0568841	0.0601358	0.1857927	0.4436778	0.2105314	0.9497742
100	0.4651238	0.0646808	0.0805311	0.7357251	0.0320065	0.0396902	0.1643598	0.4449924	0.2339137	0.9805554
150	0.4606473	0.0481287	0.1243720	0.7633278	0.0413899	0.0556622	0.1922464	0.4120349	0.1845793	1.0354408
200	0.5110136	0.0655608	0.1501866	0.7945493	0.0231058	0.0399955	0.1952664	0.3648215	0.1870429	1.0868416
250	0.4657461	0.0520031	0.1468167	0.8062661	0.0253977	0.0651712	0.1793084	0.3923380	0.2232725	1.0581363
300	0.4479795	0.0644601	0.1946536	0.8574464	0.0268923	0.0673664	0.2218698	0.3945413	0.2655102	1.0292753
350	0.4490270	0.0743176	0.2118312	0.8625472	0.0275430	0.0720139	0.1784150	0.5104658	0.2432109	1.0307559
400	0.4763086	0.0570085	0.2038581	0.7711843	0.0361299	0.0449919	0.1672498	0.5133463	0.2303950	0.9948658
450	0.4906342	0.0580661	0.2148059	0.7670895	0.0539170	0.0577083	0.1682236	0.5048444	0.2694465	1.0316232
500	0.4864638	0.0619610	0.1940632	0.7920581	0.0534606	0.0645430	0.1457536	0.4764534	0.2355803	1.0901218
550	0.2023463	0.0514774	0.1853103	0.7274544	0.0447301	0.0535401	0.1881124	0.3989493	0.2471216	0.9594919
600	0.0943719	0.0607425	0.1354791	0.7061733	0.0600379	0.0450916	0.1831892	0.4444670	0.2320788	1.0244203
650	0.0652567	0.0547716	0.0754715	0.8038560	0.0434942	0.0509219	0.1605896	0.3936427	0.2237568	1.0064858
700	0.0388918	0.0428533	0.0501701	0.8295320	0.0419500	0.0754623	0.1600281	0.4566318	0.2617710	1.0012981
750	0.0486521	0.0460292	0.0502766	0.8972463	0.0325941	0.0656865	0.1578774	0.4676639	0.2601485	1.0601149
800	0.0310212	0.0670724	0.0352520	0.8971240	0.0388323	0.0672404	0.1471407	0.4922717	0.2372254	1.0375631
850	0.0296220	0.0528185	0.0456425	0.9072680	0.0446832	0.0380337	0.1453187	0.5493848	0.2165452	1.0353168
900	0.0239789	0.0664529	0.0706957	0.8415350	0.0231618	0.0712470	0.2157950	0.5301609	0.2078375	0.9471670
950	0.0257694	0.0457877	0.0474062	0.8465963	0.0225159	0.0598354	0.2157623	0.5621891	0.2356384	0.9315957
1000	0.0233861	0.0513074	0.0452917	0.9397901	0.0403691	0.0771357	0.1967428	0.5514134	0.2248545	0.9789535

0	0.0541411	0.0750268	0.0584811	0.9170316	0.0394795	0.0804815	0.1949582	0.5010249	0.2443697	1.0790095
50	0.0976536	0.3147247	0.0624907	0.4165350	0.0252813	0.0642964	0.1931399	0.4037676	0.1979705	1.0303523
100	0.1778480	0.3781844	0.0365637	0.3203366	0.1125056	0.0570843	0.2071556	0.2325662	0.2587551	0.9775188
150	0.2202947	0.3151180	0.0447627	0.1629701	0.1682493	0.0611087	0.1899352	0.1692053	0.2076535	0.9220620
200	0.2446556	0.3203428	0.0369535	0.0658937	0.1772553	0.0713605	0.1806225	0.1473981	0.2405833	0.9240112
250	0.1870190	0.3608446	0.0291347	0.0840075	0.1293978	0.0776327	0.1504600	0.1588521	0.2555565	0.9360981
300	0.1966322	0.2743564	0.0442439	0.0745163	0.1424969	0.0692395	0.1642232	0.1235982	0.2206264	0.9929063
350	0.1912687	0.3102335	0.0488689	0.0858750	0.1628305	0.0573790	0.2307586	0.1441603	0.1572565	1.0084167
400	0.2085377	0.3237419	0.0595635	0.0786704	0.1608532	0.0619813	0.2176387	0.0970634	0.2355654	1.0486936
450	0.2005041	0.3046467	0.0392535	0.0898004	0.1846224	0.0462804	0.2044273	0.1589254	0.2179613	0.9825783
500	0.2058608	0.3454457	0.0382175	0.0746649	0.1813454	0.0410712	0.1948284	0.1309760	0.2350670	0.9963002
550	0.1594981	0.0671696	0.0391767	0.2011245	0.1175484	0.0360496	0.1833599	0.0963931	0.2080326	0.9223294
600	0.1085441	0.0493923	0.0278301	0.2725573	0.0821543	0.0340129	0.1597156	0.1366682	0.2397579	0.9555356
650	0.0583916	0.0581460	0.0431705	0.4125616	0.0553426	0.0432044	0.1992568	0.1530941	0.2602587	1.0292461
700	0.0450199	0.0611902	0.0371379	0.5521100	0.0326868	0.0554712	0.1819062	0.1991126	0.2212641	0.9830997
750	0.0514764	0.0621852	0.0171567	0.7268884	0.0354429	0.0597173	0.2175038	0.2130013	0.2317821	0.9800750
800	0.0489289	0.0582924	0.0431036	0.8122920	0.0322882	0.0773394	0.2207606	0.2723072	0.2204109	1.0168432
850	0.0497749	0.0662791	0.0588501	0.8683527	0.0229332	0.0698768	0.1747709	0.3958177	0.2497967	0.9617207
900	0.0449438	0.0687683	0.0514633	0.9221707	0.0315281	0.0553579	0.1695726	0.5565348	0.2168918	0.9945048
950	0.0378854	0.0598700	0.0479229	0.8487217	0.0395915	0.0645140	0.1755187	0.5951723	0.2679141	0.9952066
1000	0.0539924	0.0547564	0.0400552	0.8233486	0.0370607	0.0810528	0.1639235	0.6092910	0.2629045	0.9948546

0	0.0541411	0.0750268	0.0584811	0.9170316	0.0394795	0.0804815	0.1949582	0.5010249	0.2443697	1.0790095
50	0.0712891	0.0496247	0.0408099	0.5841000	0.3699376	0.0668332	0.1687820	0.5481006	0.2254950	1.0081277
100	0.0630539	0.0511612	0.0417025	0.2605578	0.4183777	0.0486120	0.1601493	0.3711025	0.1914636	0.9927068
150	0.0638016	0.0629547	0.0426497	0.1175435	0.4841644	0.0620771	0.1800176	0.2505609	0.1757988	0.9238793
200	0.0367879	0.0848527	0.0445414	0.0674733	0.5394504	0.0681462	0.2213223	0.1652756	0.2559435	0.9864930
250	0.0742087	0.0817938	0.0452348	0.0873418	0.5817735	0.0518172	0.1692057	0.1598765	0.2400428	1.0644038
300	0.0542580	0.0397012	0.0477738	0.0644949	0.6164643	0.0710435	0.1497705	0.1595255	0.2137538	1.0039729
350	0.0372896	0.0697281	0.0587322	0.0533157	0.5942156	0.0765653	0.2000244	0.1611582	0.2245281	0.9223888
400	0.0463159	0.0787871	0.0427312	0.0538733	0.5587027	0.0573907	0.1869611	0.1877259	0.2641165	0.9965579
450	0.0506283	0.0597924	0.0536937	0.0676825	0.5162787	0.0522033	0.1607937	0.2169489	0.2103981	0.9259251
500	0.0313229	0.0405169	0.0253612	0.0519293	0.5488292	0.0763651	0.2111920	0.1892685	0.2482225	0.9562474
550	0.0325658	0.0770807	0.0369379	0.0622365	0.2665838	0.0670637	0.2038174	0.1523586	0.2057336	1.0354208
600	0.0324206	0.0423721	0.0361971	0.1093056	0.1258804	0.0674535	0.2351568	0.1045238	0.1950658	1.0683691
650	0.0547117	0.0400048	0.0329989	0.2290215	0.0731578	0.0692214	0.1863092	0.0822892	0.2097313	1.0533010
700	0.0383804	0.0803302	0.0459205	0.4095064	0.0548059	0.0552916	0.1828396	0.0640028	0.1985898	1.0061819
750	0.0398889	0.0747558	0.0623599	0.7566086	0.0339873	0.0400363	0.2365174	0.1361653	0.2414811	1.0189821
800	0.0572884	0.0561744	0.0502231	0.8568507	0.0309497	0.0423042	0.2477487	0.2663796	0.2084364	0.9732891
850	0.0380790	0.0484788	0.0375999	0.9058804	0.0307588	0.0673364	0.2060488	0.4562308	0.2142738	1.0302359
900	0.0532661	0.0618142	0.0257576	0.9362482	0.0451756	0.0504857	0.2065529	0.5037894	0.2401719	1.0256712
950	0.0391985	0.0755057	0.0359437	0.8938708	0.0516571	0.0786584	0.2155865	0.5057062	0.2068280	0.9980930
1000	0.0549800	0.0592018	0.0320930	0.8194551	0.0426787	0.0634338	0.1961623	0.5077483	0.2244212	1.0146612

0	0.0541411	0.0750268	0.0584811	0.9170316	0.0394795	0.0804815	0.1949582	0.5010249	0.2443697	1.0790095
50	0.0112545	0.0563231	0.2939414	0.9852143	0.0421982	0.0403951	0.1648727	0.9421027	0.2030096	0.5011206
100	0.0137660	0.0453701	0.3575336	0.9222236	0.0339329	0.0528552	0.2039407	0.9341328	0.2059339	0.3978287
150	0.0445730	0.0635924	0.4106403	0.8015410	0.0506352	0.0465994	0.2121575	1.0241548	0.2523826	0.3092998
200	0.0601966	0.0353815	0.4605183	0.7625114	0.0314477	0.0627219	0.1708618	1.0048416	0.4218206	0.2655496
250	0.0306078	0.0537096	0.4173461	0.8886355	0.0241833	0.0573289	0.1106634	0.9598395	0.5844557	0.2288724
300	0.0411270	0.0667705	0.4416840	0.9447918	0.0368573	0.0576717	0.0670322	0.9215387	0.6687981	0.2337927
350	0.0476460	0.0626143	0.4235747	0.9351783	0.0339477	0.0655292	0.0686116	0.9632287	0.7183172	0.2304144
400	0.0432894	0.0655605	0.4071066	0.9540721	0.0309606	0.0689682	0.0523363	0.9979264	0.7057046	0.2421245
450	0.0603267	0.0671537	0.4125447	0.9740119	0.0343137	0.0909786	0.0508741	0.9946248	0.8246910	0.2887772
500	0.0522812	0.0890718	0.4113510	0.9306254	0.0366570	0.0999469	0.0472646	0.9993968	0.7319511	0.3148457
550	0.0442579	0.0653829	0.1735024	0.9159325	0.0132093	0.0945123	0.0585811	0.7836093	0.5706046	0.7076639
600	0.0512603	0.0699316	0.0770152	0.9613212	0.0164511	0.1263096	0.0360152	0.7288535	0.3080944	0.8748424
650	0.0627247	0.0400752	0.0468096	0.9857289	0.0184945	0.1040330	0.0904795	0.6536041	0.2728161	0.9372905
700	0.0299210	0.0669529	0.0291907	0.9980763	0.0305901	0.0765324	0.1578593	0.5905836	0.2383307	0.9258974
750	0.0444712	0.0657754	0.0362202	1.0021075	0.0375797	0.0600924	0.1908161	0.5402314	0.2525202	0.9706026
800	0.0462542	0.0739677	0.0229423	0.9223341	0.0267024	0.0607681	0.1603523	0.5017396	0.2193112	1.0318218
850	0.0393673	0.0545746	0.0326009	0.9013045	0.0293259	0.0497510	0.1736202	0.5386756	0.2486833	0.9661435
900	0.0392321	0.0442330	0.0290229	0.8844942	0.0548338	0.0601180	0.1337980	0.5911388	0.2520167	1.0523769
950	0.0391923	0.0666315	0.0411167	0.8943520	0.0369796	0.0435705	0.1362478	0.5867297	0.2185936	1.0557932
1000	0.0473643	0.0681772	0.0487236	0.9178053	0.0336393	0.0488020	0.1833590	0.5358174	0.2130866	1.0266883

0	0.0541411	0.0750268	0.0584811	0.9170316	0.0394795	0.0804815	0.1949582	0.5010249	0.2443697	1.0790095
50	0.0980204	0.5763872	0.0561712	0.8669809	0.0686149	0.0952296	0.0378197	0.5984052	0.0899442	1.0836838
100	0.1846277	0.5802125	0.0533688	0.7509970	0.1740983	0.1213677	0.0172950	0.4621685	0.0423103	1.0344828
150	0.2826488	0.5937688	0.0561776	0.4559436	0.1701567	0.4899913	0.0381120	0.3633106	0.0318972	0.9879548
200	0.2873034	0.5893770	0.0760617	0.3416460	0.1006570	0.4081386	0.0413397	0.1855292	0.0344212	0.9878216
250	0.3373895	0.5676661	0.0581512	0.4200196	0.0584179	0.2099441	0.0308106	0.1093501	0.0449148	1.0148848
300	0.4086638	0.5912490	0.1075841	0.5760723	0.0423788	0.2337913	0.0309298	0.1211862	0.0367613	0.9572331
350	0.3900540	0.6065198	0.1446426	0.7459922	0.0574841	0.2279229	0.0310097	0.1625625	0.0441492	1.0310818
400	0.3635988	0.5770565	0.1082668	0.7999907	0.0429006	0.2728237	0.0334275	0.2474376	0.0531573	1.0289080
450	0.3524726	0.6050777	0.1286080	0.9058283	0.0587201	0.2300204	0.0425919	0.3433447	0.0446564	1.0607998
500	0.3456359	0.6127978	0.1049674	0.9307804	0.0432689	0.1148722	0.0400539	0.4046395	0.0317139	1.1199625
550	0.3173961	0.1408615	0.1297934	0.9146069	0.0545528	0.0885999	0.3765815	0.4562042	0.1729920	1.0096486
600	0.2396983	0.0705522	0.1344490	0.7268558	0.0754798	0.0988688	0.3185361	0.4590258	0.2028148	1.0918985
650	0.1235460	0.0767968	0.0705956	0.7071984	0.0636066	0.0946955	0.2352125	0.4783976	0.2231673	1.1185396
700	0.0747932	0.0603845	0.0622183	0.7846515	0.0529474	0.0783703	0.1916044	0.4921111	0.2272397	0.9242013
750	0.0500551	0.0479605	0.0639979	0.8222835	0.0512159	0.0753149	0.1636578	0.4664100	0.2428411	0.9415815
800	0.0371732	0.0574748	0.0383053	0.9201360	0.0358115	0.0597842	0.1772564	0.3676285	0.2157803	1.0007586
850	0.0167551	0.0528898	0.0384476	0.9267350	0.0290272	0.0365575	0.1789771	0.5010460	0.2381358	0.9851643
900	0.0356936	0.0615194	0.0509384	0.9930725	0.0282224	0.0477731	0.1676683	0.5893061	0.2207338	0.9084299
950	0.0214438	0.0474311	0.0520559	1.0377034	0.0332935	0.0387894	0.1940782	0.5276123	0.1977174	0.9860904
1000	0.0131159	0.0316112	0.0580885	1.0380871	0.0430474	0.0564935	0.1608911	0.5550683	0.1867946	1.0661962

0	0.0541411	0.0750268	0.0584811	0.9170316	0.0394795	0.0804815	0.1949582	0.5010249	0.2443697	1.0790095
50	0.0457660	0.1101622	0.2777491	0.9747451	0.0208023	0.0461056	0.1516101	0.5376670	0.2436728	1.0464336
100	0.0909905	0.0889543	0.4341036	1.0033328	0.0295911	0.0575604	0.1288019	0.5886092	0.2300940	0.9711495
150	0.0544456	0.0666045	0.4459031	0.9290439	0.0507524	0.0435889	0.1387680	0.6963480	0.2278370	0.9695160
200	0.0765911	0.0951822	0.4867394	0.9492698	0.0353791	0.0518184	0.1426754	0.6483111	0.2592763	0.9976638
250	0.0424173	0.0900123	0.4889694	0.9242658	0.0478872	0.0760518	0.0993834	0.6900418	0.3065603	1.1075822
300	0.0670483	0.0701859	0.4550819	0.8649654	0.0570992	0.0762696	0.0763698	0.6860095	0.2289501	0.9474464
350	0.0657665	0.0615727	0.4362109	0.8873150	0.0476882	0.0755823	0.0905620	0.6108386	0.1897648	0.9146138
400	0.0607102	0.0975485	0.4443913	0.8573015	0.0433610	0.0618644	0.1232673	0.5362642	0.2344275	0.9325571
450	0.0720061	0.1186836	0.4646971	0.8711963	0.0292993	0.0715168	0.1086365	0.5598593	0.2326359	1.0283492
500	0.0714329	0.1214504	0.4858272	0.9784395	0.0626261	0.0646559	0.1076940	0.5570696	0.2593479	1.0457633
550	0.0823420	0.0599418	0.2004985	0.9126602	0.0643208	0.0813128	0.1350280	0.5452918	0.2302238	1.0183124
600	0.0432519	0.0506635	0.1085728	0.8689558	0.0549343	0.0676627	0.1552195	0.5498558	0.2461707	1.0671798
650	0.0494909	0.0426337	0.0551515	0.8464008	0.0220614	0.0792742	0.1820277	0.5984577	0.2171344	1.0486741
700	0.0363524	0.0400353	0.0532688	0.8131813	0.0234118	0.0725102	0.1765688	0.5529118	0.2483335	1.0972979
750	0.0401309	0.0499088	0.0440096	0.8800226	0.0273375	0.0811714	0.1793363	0.4819551	0.2339529	1.0420428
800	0.0419354	0.0418086	0.0489593	0.8805175	0.0226626	0.0651456	0.1875906	0.4804859	0.2400924	1.0212698
850	0.0347179	0.0560080	0.0479706	0.9950093	0.0417097	0.0438289	0.1469049	0.5516124	0.2341490	0.9779715
900	0.0572407	0.0714317	0.0289905	0.9464152	0.0445198	0.0568844	0.1972846	0.5506237	0.2168397	1.0310413
950	0.0559661	0.0398059	0.0344068	0.8664802	0.0315572	0.0510786	0.1693057	0.5979442	0.2447777	0.9523433
1000	0.0358380	0.0786998	0.0326386	0.9262598	0.0308646	0.0355658	0.1994264	0.5589610	0.2008581	0.9829175

0	0.0541411	0.0750268	0.0584811	0.9170316	0.0394795	0.0804815	0.1949582	0.5010249	0.2443697	1.0790095
50	0.0278614	0.0761265	0.5066478	0.7686680	0.0297855	0.0539261	0.1561736	0.5057700	0.2340410	0.5899300
100	0.0221967	0.0580943	0.6788314	0.7985867	0.0166700	0.0563239	0.1821884	0.4355175	0.2461340	0.4913350
150	0.0262852	0.0776929	0.8143715	0.7706155	0.0314169	0.0467042	0.1965994	0.4605570	0.3569112	0.4155053
200	0.0426075	0.0670685	0.7473892	0.8016549	0.0326276	0.0382508	0.1563633	0.5410001	0.3448316	0.4279862
250	0.0576444	0.0806521	0.7467900	0.7529751	0.0390712	0.0469183	0.1286517	0.5949288	0.3450474	0.3976335
300	0.0652938	0.0798646	0.7646903	0.7038343	0.0364480	0.0601127	0.1096662	0.5718932	0.4787190	0.4254664
350	0.0898489	0.0879875	0.7663348	0.7408315	0.0606900	0.0662171	0.0831904	0.5977926	0.4448002	0.3568499
400	0.0845053	0.0747588	0.7546288	0.7397919	0.0519946	0.0849750	0.0823351	0.5746176	0.4821804	0.3203482
450	0.0533213	0.0866237	0.7167119	0.7219142	0.0343078	0.0879886	0.0862503	0.6075494	0.5353813	0.3094753
500	0.0557247	0.0677666	0.6422602	0.7059225	0.0328286	0.0730561	0.0849786	0.6215146	0.5408902	0.3553394
550	0.0570842	0.0812046	0.2485577	0.9074695	0.0507019	0.0897597	0.0693095	0.6131115	0.5468311	0.7688394
600	0.0365535	0.0595807	0.0940989	0.8641134	0.0398109	0.0821942	0.0929448	0.6540812	0.4101626	0.8876733
650	0.0250311	0.0528577	0.0684152	0.7943863	0.0349625	0.0560446	0.0922336	0.6962127	0.3319820	1.0124501
700	0.0291201	0.0585094	0.0602258	0.8500182	0.0294279	0.0794229	0.0745890	0.6289195	0.2676619	1.0280559
750	0.0257190	0.0589703	0.0494073	0.9537820	0.0356772	0.0550049	0.1515482	0.5491843	0.2901644	0.9336839
800	0.0226711	0.0471575	0.0449465	0.8074505	0.0355670	0.0550421	0.1178072	0.5967369	0.2632085	0.9376048
850	0.0264429	0.0554129	0.0387131	0.8841889	0.0349701	0.0715791	0.1595968	0.6128050	0.2172248	0.9547425
900	0.0346246	0.0610862	0.0342959	0.9517033	0.0292309	0.0771534	0.2219800	0.5571137	0.1828321	0.9722800
950	0.0415468	0.0608227	0.0286626	0.9497676	0.0160225	0.0561506	0.2313450	0.6121477	0.1832839	0.9713654
1000	0.0286074	0.0591550	0.0428405	0.9437933	0.0362544	0.0560547	0.2409144	0.6026145	0.1998341	0.9458319

0	0.0541411	0.0750268	0.0584811	0.9170316	0.0394795	0.0804815	0.1949582	0.5010249	0.2443697	1.0790095
50	0.0504176	0.0668950	0.0517773	0.7840834	0.0434187	0.0499386	0.1374923	0.5290478	0.2294599	0.9367821
100	0.0451537	0.0470077	0.0448105	0.8470733	0.0390214	0.0571195	0.1271395	0.4705644	0.2464546	1.0148219
150	0.0510766	0.0489768	0.0399942	0.8404125	0.0467676	0.0760570	0.1151634	0.5256322	0.2309231	1.0523434
200	0.0402362	0.0499746	0.0455619	0.9482787	0.0431070	0.0503025	0.1634799	0.5233955	0.2416046	0.9741165
250	0.0611125	0.0630515	0.0524411	0.9665419	0.0317805	0.0413676	0.1403990	0.4249859	0.2474632	0.9596163
300	0.0614194	0.0732677	0.0323621	0.9600110	0.0465401	0.0513043	0.1017217	0.5375028	0.2314362	0.9501402
350	0.0689957	0.0686668	0.0508174	0.8735467	0.0381904	0.0640315	0.1184766	0.5456294	0.2335539	1.0608191
400	0.0529741	0.0571981	0.0511264	0.7785318	0.0403295	0.0691002	0.1131342	0.5948024	0.2533683	0.9991394
450	0.0491144	0.0635444	0.0489278	0.7877427	0.0410176	0.0716581	0.1471689	0.5441370	0.2326033	0.9548289
500	0.0357422	0.0549584	0.0553656	0.8653440	0.0295219	0.0587402	0.1212920	0.4227981	0.2232540	0.8950311
550	0.0633988	0.0519058	0.0489825	0.9526627	0.0353623	0.0589541	0.1430717	0.4641790	0.2670171	0.9236905
600	0.0360685	0.0639329	0.0695758	0.9893220	0.0401560	0.0571740	0.1572039	0.5351753	0.3121435	0.9059906
650	0.0271053	0.0612445	0.0564289	1.0008849	0.0442874	0.0411811	0.1735231	0.5431023	0.2686421	0.9791275
700	0.0235389	0.0738859	0.0478821	0.9572916	0.0374138	0.0725798	0.1574014	0.6192716	0.2179711	0.9594971
750	0.0604675	0.0455383	0.0409431	1.0120363	0.0263873	0.0786750	0.1682011	0.6089025	0.2183127	0.9985543
800	0.0392281	0.0545475	0.0376850	0.9429209	0.0312136	0.0618380	0.1971867	0.5738176	0.2367568	1.0897674
850	0.0395370	0.0594057	0.0388408	1.0168425	0.0231447	0.0696593	0.1871381	0.5245596	0.2317664	1.0394669
900	0.0418245	0.0574328	0.0449220	1.0107740	0.0199378	0.0600812	0.1533078	0.5902678	0.2574557	1.0396674
950	0.0338086	0.0550819	0.0375264	0.9968456	0.0255351	0.0768834	0.1879433	0.5797786	0.2039925	1.0105569
1000	0.0467717	0.0741325	0.0372366	0.8886308	0.0336494	0.0466146	0.1765501	0.6374458	0.2046935	0.9614280
