"Time"	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W
200	0.4006506	0.2444331	0.9998451	0.9904401	0.1898421	1.0000000	0.8871251	0.8512781	0.3396814	0.3678555
250	0.3952715	0.2440431	0.9998451	0.9904401	0.1898421	1.0000000	0.8828291	0.7911650	0.2990717	0.3689030
300	0.3934094	0.2439294	0.9998451	0.9904401	0.1898421	1.0000000	0.8777191	0.7559135	0.2825962	0.3691760
350	0.3927978	0.2438963	0.9998451	0.9904401	0.1898421	1.0000000	0.8732405	0.7389435	0.2763373	0.3692471
400	0.3926036	0.2438866	0.9998451	0.9904401	0.1898421	1.0000000	0.8700885	0.7314773	0.2740567	0.3692657
450	0.3925434	0.2438838	0.9998451	0.9904401	0.1898421	1.0000000	0.8681857	0.7283489	0.2732490	0.3692705
500	0.3925249	0.2438830	0.9998451	0.9904401	0.1898421	1.0000000	0.8671536	0.7270810	0.2729686	0.3692718
550	0.4213988	0.2979692	0.9998451	0.9904401	0.1898421	1.0000000	0.8667456	0.7438218	0.5835128	0.1420720
600	0.4724929	0.3137303	0.9998451	0.9904401	0.1898421	1.0000000	0.8689695	0.8440259	0.8556860	0.0828682
650	0.5021261	0.3183232	0.9998451	0.9904401	0.1898421	1.0000000	0.8755656	0.9259828	0.9526286	0.0674408
700	0.5145936	0.3196617	0.9998451	0.9904401	0.1898421	1.0000000	0.8821778	0.9617778	0.9844937	0.0634207
750	0.5191560	0.3200517	0.9998451	0.9904401	0.1898421	1.0000000	0.8864899	0.9755016	0.9949156	0.0623732
800	0.5207049	0.3201653	0.9998451	0.9904401	0.1898421	1.0000000	0.8888185	0.9805688	0.9983215	0.0621002
850	0.5212073	0.3201985	0.9998451	0.9904401	0.1898421	1.0000000	0.8899601	0.9824089	0.9994343	0.0620291
900	0.5213655	0.3202081	0.9998451	0.9904401	0.1898421	1.0000000	0.8904878	0.9830698	0.9997977	0.0620105
950	0.5214143	0.3202109	0.9998451	0.9904401	0.1898421	1.0000000	0.8907221	0.9833049	0.9999165	0.0620057
1000	0.5214292	0.3202117	0.9998451	0.9904401	0.1898421	1.0000000	0.8908229	0.9833879	0.9999552	0.0620044

0	0.5214626	0.3202139	0.9998451	0.9904395	0.1898421	1.0000000	0.8907897	0.9833661	0.9999457	0.0620068
50	0.4231439	0.1275092	0.9998451	0.9903040	0.1971424	0.8803638	0.8898467	0.9834055	0.9979530	0.2398418
100	0.2159415	0.0713536	0.9998450	0.9885722	0.2188548	0.8410458	0.8871975	0.9830740	0.9522824	0.2920971
150	0.0961521	0.0549894	0.9998444	0.9836069	0.2410103	0.8281240	0.8847035	0.9803606	0.8435170	0.3201372
200	0.0503839	0.0502209	0.9998426	0.9758688	0.2564093	0.8238773	0.8828490	0.9722333	0.7226744	0.3456926
250	0.0351243	0.0488315	0.9998398	0.9676271	0.2651632	0.8224817	0.8812806	0.9552098	0.6078615	0.3681325
300	0.0302943	0.0484269	0.9998362	0.9609577	0.2695723	0.8220230	0.8795066	0.9253138	0.5090528	0.3845759
350	0.0288038	0.0483093	0.9998327	0.9565299	0.2716262	0.8218723	0.8770823	0.8830321	0.4347936	0.3948812
