"Time"	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C
100	0.5584782	0.0518316	0.2248158	0.2758678	0.3242402	0.6036957	0.3242259	0.2566029	0.2025421	0.6971497
150	0.3949801	0.0633533	0.2421316	0.2410890	0.3420254	0.5336305	0.2282162	0.1007063	0.2446840	0.8229544
200	0.3531445	0.0199400	0.2134761	0.3098966	0.4327654	0.5892809	0.1885027	0.0805443	0.1507406	0.8243273
250	0.5510006	0.0304759	0.3011062	0.2095992	0.5471659	0.6382843	0.1060570	0.0257680	0.2603212	0.8389969
300	0.5002089	0.0223819	0.1586691	0.2096007	0.3734554	0.5973096	0.0414337	0.0208379	0.2826163	0.7647841
350	0.4733900	0.0362293	0.2419221	0.2063734	0.5090680	0.4975032	0.0359315	0.0145705	0.2048228	0.7875349
400	0.4453886	0.0390158	0.2757486	0.2189310	0.3861167	0.5041201	0.0293981	0.0153195	0.2364322	0.7513766
450	0.3635992	0.0175108	0.2283604	0.2517549	0.3531644	0.5269747	0.0108623	0.0021736	0.3822010	0.8394203
500	0.6649587	0.0652121	0.2949671	0.2352659	0.4213793	0.6334287	0.0225123	0.0031010	0.3111698	0.9035261
550	0.1821057	0.0479551	0.2988470	0.2890612	0.3200563	0.4198944	0.0182449	0.2865302	0.2433243	0.8529896
600	0.1067874	0.0244434	0.2150842	0.2150124	0.4951163	0.2335557	0.0829811	0.4836920	0.2157664	0.8245436
650	0.0662218	0.0260936	0.2396974	0.2161193	0.4319929	0.1005671	0.2802744	0.7225718	0.2696417	0.8010087
700	0.0397736	0.0673513	0.2597235	0.2099754	0.5485759	0.1316914	0.2779086	0.5541129	0.2688761	0.6832694
750	0.0619215	0.0394575	0.2870206	0.1377767	0.6812052	0.1699789	0.4428943	0.7779006	0.3492565	0.6686822
800	0.0755594	0.0684322	0.3122710	0.1481796	0.6660642	0.1931939	0.4534911	0.6439497	0.3319973	0.6701465
850	0.0863042	0.1507871	0.3359727	0.1557021	0.5330210	0.2303048	0.4586143	0.7272286	0.4430891	0.6378298
900	0.0584463	0.1975648	0.4995721	0.1343718	0.3745260	0.3632147	0.6032757	0.7139920	0.3821563	0.7497261
950	0.0749169	0.2433805	0.3131423	0.1811151	0.2921222	0.4631271	0.4510131	0.7547693	0.3989853	0.7671009
1000	0.1770874	0.1168589	0.3434905	0.2103140	0.2056178	0.4606954	0.4141068	0.8038749	0.2575278	0.7794541

0	0.0452470	0.0806470	0.2620342	0.1950424	0.3311823	0.5261165	0.4887690	0.7980820	0.2321457	0.7115952
50	0.0996208	0.0704101	0.2154226	0.2940040	0.3703672	0.6923117	0.4972086	0.8640411	0.2196109	0.5905802
100	0.0900538	0.0495654	0.2008115	0.2615882	0.4209254	0.6207933	0.5212287	0.8793203	0.2394463	0.7154435
150	0.0392136	0.0662205	0.2077610	0.2085702	0.2839545	0.7104384	0.4674449	0.9057652	0.2860754	0.6431399
200	0.0685008	0.0337263	0.2823305	0.3066319	0.3593827	0.6436289	0.4985212	0.7857292	0.2739062	0.6660672
250	0.1334098	0.0445803	0.2491884	0.2656305	0.4338813	0.5600498	0.4697733	0.8805943	0.2122521	0.6920269
300	0.0529771	0.0503097	0.2884034	0.2430999	0.3901763	0.7202295	0.5244987	0.8780997	0.2258094	0.6789102
350	0.0471024	0.0392432	0.1872012	0.1404505	0.4527546	0.5919500	0.5618470	0.6912275	0.2480614	0.6594010
400	0.1073786	0.0304316	0.2369145	0.2705284	0.5146952	0.4982706	0.4528724	0.8118578	0.2738838	0.7434740
450	0.0659832	0.0230152	0.2426070	0.3380766	0.4298028	0.5050988	0.4592930	0.8443330	0.3000094	0.7103586
500	0.0426077	0.0362495	0.2187566	0.1646541	0.4434072	0.5165025	0.5010631	0.6739946	0.2718788	0.6488474
550	0.0676003	0.0370335	0.3789834	0.2324429	0.3582970	0.4358732	0.5093610	0.8040312	0.2708761	0.7882567
600	0.0633400	0.0499821	0.2930550	0.1858384	0.3475382	0.6027857	0.5565388	0.8207905	0.2628357	0.8474722
650	0.0566379	0.0451788	0.2938043	0.1735568	0.4126549	0.5895124	0.4464426	0.7639972	0.2700824	0.6952280
700	0.0427121	0.0494003	0.2171624	0.2260779	0.4896164	0.5650502	0.4234701	0.9389388	0.1894874	0.7977554
750	0.0801793	0.0510964	0.1485851	0.1702314	0.4023305	0.4557733	0.4524387	0.8433516	0.2531903	0.8784715
800	0.0460246	0.0234579	0.1996505	0.2212332	0.4204131	0.4260003	0.6194594	0.9932215	0.2396954	0.8803139
850	0.0851437	0.0249616	0.3269247	0.1800001	0.4889611	0.4753647	0.5837356	0.8144677	0.2357355	0.7159065
900	0.0584882	0.0464331	0.2843923	0.2343263	0.4898778	0.5277617	0.5381373	0.6442735	0.2458215	0.8350821
950	0.0439600	0.0231182	0.2360860	0.1543248	0.4816229	0.5289418	0.4669076	0.6495809	0.2519966	0.8057117
1000	0.0741415	0.0348309	0.3587229	0.1125169	0.4638966	0.6536113	0.4198190	0.7204496	0.2712073	0.9179465

0	0.0471140	0.0446527	0.2541435	0.1672498	0.4134578	0.5856342	0.4754043	0.7724824	0.2165780	0.7257229
50	0.0703804	0.0738852	0.1394090	0.2010016	0.2667286	0.4565561	0.4385659	0.7461164	0.1887601	0.7520757
100	0.0750142	0.0586535	0.2443562	0.0630405	0.2979227	0.4610076	0.3515256	0.8591015	0.1583538	0.7668595
150	0.0691572	0.0320729	0.2461932	0.1823353	0.2580095	0.4089089	0.4520331	0.9592706	0.1354389	0.8083475
200	0.0755143	0.0470996	0.3182691	0.0914878	0.3628352	0.3635368	0.5006891	0.8523584	0.1670077	0.8073781
250	0.0871530	0.0366212	0.2832907	0.0950233	0.1696837	0.4697260	0.4326802	0.8117927	0.1722890	0.8908182
300	0.1319075	0.1183820	0.3738922	0.0784548	0.3082980	0.4290130	0.4759627	0.7981247	0.2139557	0.6637321
350	0.1342718	0.1314985	0.5022398	0.0594961	0.1842381	0.5716643	0.5433437	0.6826821	0.1365585	0.7645364
400	0.1070284	0.2288824	0.3836175	0.0869808	0.1592023	0.6536778	0.6210083	0.7537229	0.2019417	0.7890454
450	0.1995870	0.3129653	0.3982128	0.0977926	0.1217891	0.5920656	0.4761054	0.6547311	0.0869215	0.7753743
500	0.3426195	0.3250064	0.4830818	0.1933535	0.0909335	0.5692456	0.4877155	0.7828937	0.1643983	0.7837828
550	0.3822700	0.3179095	0.3435089	0.3640350	0.0701229	0.5620776	0.4306837	0.6471712	0.1719563	0.7898876
600	0.2990726	0.2399706	0.1869724	0.5796144	0.0404705	0.4571720	0.5100429	0.7749492	0.1681841	0.7578509
650	0.2044395	0.1616480	0.0721607	0.5934211	0.1446738	0.5180155	0.6244695	0.7713534	0.0998678	0.7810983
700	0.0982051	0.0426223	0.0926555	0.5882210	0.2030983	0.4779710	0.5199784	0.8088858	0.1467156	0.7238185
750	0.0910611	0.0550725	0.1172456	0.4712217	0.3629908	0.5224519	0.4659895	0.8972373	0.1169812	1.0318059
800	0.0300324	0.0396041	0.1035791	0.2865346	0.4264476	0.5222338	0.4728018	0.7931653	0.1918570	0.8366143
850	0.0570403	0.0630980	0.0994722	0.2662934	0.4393735	0.4647710	0.5448494	0.8330813	0.2083094	0.6371034
900	0.0777085	0.0142987	0.1129407	0.1921921	0.3585322	0.6500448	0.4308126	0.7955619	0.2094279	0.7601166
950	0.0914400	0.0083743	0.1561612	0.2334524	0.3589814	0.4988356	0.3867546	0.6978991	0.1526647	0.8403063
1000	0.0647047	0.0268056	0.2612020	0.2055126	0.4914146	0.4632288	0.5076571	0.8776218	0.1852558	0.9083587

0	0.0378135	0.0849958	0.2927863	0.1803597	0.4422375	0.6066763	0.5453720	0.7641944	0.2086256	0.7273660
50	0.2602808	0.2709374	0.1498059	0.2135587	0.3164111	0.5853838	0.6068475	0.7737174	0.2034568	0.6961137
100	0.4349929	0.4816751	0.1393360	0.2521996	0.2401468	0.8797598	0.6583827	0.7972644	0.1718359	0.6877068
150	0.5492704	0.4904072	0.0753754	0.3509697	0.1485600	0.7113363	0.7305736	0.8260008	0.2238399	0.5608730
200	0.7323477	0.5034201	0.0756618	0.3370069	0.1189749	0.7535217	0.7126066	0.8805753	0.2594220	0.4135859
250	0.7189065	0.5748305	0.0273594	0.5543986	0.0924240	0.8555489	0.6875642	0.8155283	0.2081152	0.4574355
300	0.6642381	0.5502725	0.0344307	0.5380647	0.0978785	0.8244868	0.8043328	0.7435084	0.2906145	0.3593511
350	0.7984273	0.7647697	0.0277590	0.7627615	0.0734203	0.8128761	0.6509924	0.7971247	0.2496461	0.3945784
400	0.7604565	0.6353175	0.0230528	0.7450396	0.1014757	0.8165709	0.7067262	0.7205490	0.2894719	0.3726098
450	0.8300686	0.6719688	0.0162734	0.7406484	0.0952720	0.7875784	0.6593235	0.9016444	0.3745601	0.3577472
500	0.6592159	0.5414501	0.0083954	0.7408564	0.0951024	0.7287372	0.6770705	0.6634854	0.3402926	0.4813401
550	0.7393595	0.4055067	0.0190124	0.7614947	0.0369242	0.6984493	0.6049240	0.7230643	0.2832611	0.5934593
600	0.4919980	0.2440848	0.0278142	0.6520573	0.0600110	0.6883587	0.5444443	0.9217629	0.2589292	0.7838033
650	0.2673407	0.1043901	0.0831401	0.7303621	0.1159160	0.6831861	0.5557145	0.7453771	0.2470151	0.6987317
700	0.2161856	0.0697365	0.0584775	0.5910042	0.2136663	0.6489044	0.5102514	0.7250229	0.2000420	0.7205183
750	0.1453084	0.0286094	0.0796160	0.4428069	0.2926345	0.5644353	0.4586325	0.7640239	0.1427567	0.6125687
800	0.1184254	0.0429271	0.1014062	0.2113736	0.2750375	0.4384906	0.5430837	0.7778783	0.2408371	0.7384376
850	0.0594609	0.0147012	0.1422046	0.2011601	0.4170995	0.3599769	0.4226222	0.6684081	0.2972593	0.7859251
900	0.0499147	0.0160116	0.1784711	0.2257355	0.4666976	0.4621572	0.5431249	0.7218349	0.2772163	0.9385170
950	0.0380157	0.0081437	0.1646607	0.2163509	0.4643327	0.5287537	0.6768236	0.7680269	0.2639138	0.8657656
1000	0.0391684	0.0181188	0.2815906	0.1379581	0.3986782	0.6117761	0.4948488	0.7842101	0.2426537	1.0368383

0	0.0471268	0.0453904	0.2941504	0.1762632	0.4727115	0.5587036	0.6632624	0.7654811	0.2455624	0.7562741
50	0.0698884	0.1816205	0.3334007	0.1371794	0.3280734	0.5630260	0.7155424	0.7229704	0.2588770	0.6358421
100	0.1603063	0.3685594	0.4195406	0.0774018	0.2598305	0.5973614	0.5597939	0.6346226	0.2915705	0.5826311
150	0.3564222	0.4941521	0.5430991	0.0574700	0.1651020	0.4516526	0.4567563	0.5346178	0.2717986	0.5058963
200	0.5381086	0.6029881	0.6653194	0.0230561	0.1173893	0.4915090	0.4157607	0.4083362	0.2794424	0.6055682
250	0.5868280	0.6588342	0.6220095	0.0555963	0.1178917	0.4482767	0.3582763	0.4411414	0.3556938	0.5503169
300	0.4777754	0.6207200	0.6880162	0.0183221	0.1471277	0.2155829	0.3203818	0.5254592	0.2958424	0.5416918
350	0.8112076	0.7530643	0.6916675	0.0316659	0.1176720	0.3048878	0.3605100	0.5063120	0.3215585	0.4819253
400	0.7610605	0.7028598	0.8149656	0.0663664	0.2223539	0.2575304	0.3481249	0.4081078	0.4947669	0.5049939
450	0.7005409	0.7018642	0.6948619	0.0415970	0.1553096	0.1884915	0.1937441	0.5944234	0.4840278	0.4631714
500	0.6488583	0.8733417	0.8249079	0.0245172	0.1948887	0.1536893	0.3513005	0.5232007	0.4651433	0.4610716
550	0.7823538	0.6642155	0.7439988	0.3153528	0.1774170	0.1750369	0.3218273	0.6241424	0.5244866	0.5362045
600	0.7525200	0.5946021	0.3823330	0.3611432	0.2456218	0.2333622	0.3302884	0.8301747	0.4461025	0.5594880
650	0.7316231	0.4680816	0.3051411	0.3787010	0.1970711	0.4508518	0.3896138	0.7338536	0.4018823	0.6327746
700	0.6305296	0.4090289	0.1879908	0.4382580	0.1555105	0.2646453	0.3533933	0.7621476	0.3673242	0.6028477
750	0.3958882	0.1697034	0.1687639	0.3807177	0.1719046	0.3248708	0.4486325	0.8218729	0.2643794	0.7031668
800	0.1574450	0.1460699	0.2084253	0.2586644	0.1881470	0.4054299	0.4173751	0.8985849	0.2011792	0.7542013
850	0.0787390	0.0510525	0.0918967	0.3369396	0.2628367	0.4150699	0.3937661	0.9380921	0.1908169	0.6807199
900	0.1032574	0.0208131	0.1375731	0.2473708	0.4101470	0.4547553	0.4696128	0.7527596	0.2205079	0.8432435
950	0.0730061	0.0106989	0.2716519	0.2105014	0.6394189	0.4333429	0.3949769	0.7465612	0.2011493	0.8537527
1000	0.1018026	0.0250979	0.1705176	0.2117780	0.5287873	0.5303517	0.4546875	0.8319281	0.3064997	0.7591540

0	0.0567228	0.0451968	0.2924599	0.1166330	0.3665738	0.5630308	0.4228599	0.8180268	0.2480200	0.7414408
50	0.1337665	0.1300743	0.2023948	0.3400030	0.2374996	0.5661490	0.5807483	0.8939134	0.2558923	0.6353861
100	0.1062416	0.0493268	0.1666699	0.4292426	0.1689020	0.6965763	0.7329777	0.7173783	0.2970234	0.6117354
150	0.0429384	0.0190362	0.0880256	0.5558493	0.1089228	0.7001036	0.6528826	0.8777855	0.2013461	0.5404711
200	0.0317644	0.0131633	0.0570398	0.8022595	0.0361068	0.5463592	0.6456217	0.7772500	0.1758997	0.3834150
250	0.0538795	0.0267794	0.0188837	0.6817377	0.0735276	0.7471824	0.6517745	0.7271563	0.2172821	0.4616796
300	0.0877531	0.0111707	0.0345312	0.7149822	0.0925168	0.6258078	0.6275922	0.8598626	0.2582746	0.5618411
350	0.0903816	0.0271426	0.0105246	0.7325165	0.0382553	0.6633979	0.6277492	0.8049614	0.2623300	0.4036314
400	0.0599210	0.0350871	0.0251321	0.6817602	0.0852135	0.6240857	0.5671974	0.8170306	0.2234773	0.4326250
450	0.1014812	0.0153306	0.0078501	0.7359429	0.0581752	0.6618287	0.6446720	0.8009444	0.2827358	0.4730024
500	0.0546128	0.0157620	0.0327614	0.6825682	0.0982222	0.7006704	0.7552130	0.6813383	0.3125378	0.4710005
550	0.0801774	0.0148178	0.0361963	0.6092779	0.1027737	0.5808588	0.5976184	0.6405398	0.2604676	0.5209220
600	0.1099793	0.0039019	0.0790498	0.7721023	0.2010779	0.6533286	0.3828494	0.7920963	0.2351291	0.7874595
650	0.0786334	0.0056784	0.0609670	0.5215590	0.3471515	0.5239780	0.3901109	0.6721095	0.2283673	0.7269008
700	0.0742335	0.0196270	0.1422949	0.2451583	0.3972880	0.4997389	0.5447126	0.9388852	0.2221740	0.6615119
750	0.0703325	0.0065866	0.1285927	0.2249564	0.4143047	0.4971780	0.5741115	0.7426581	0.2878085	0.7040285
800	0.0596255	0.0022663	0.1558045	0.2313030	0.4963691	0.5735371	0.4708250	0.7179944	0.2371422	0.7568570
850	0.0554130	0.0236563	0.2774116	0.1945967	0.5291612	0.5587001	0.4695589	0.7594389	0.2945745	0.8143782
900	0.0543393	0.0215458	0.3274749	0.1685465	0.3894768	0.5259739	0.4626413	0.8172697	0.2510284	0.8125087
950	0.0966241	0.0613378	0.2886994	0.1626785	0.5162480	0.3944454	0.5035829	0.7174677	0.2515103	0.6631613
1000	0.0722149	0.1130989	0.2834281	0.2451793	0.5542529	0.4884192	0.3853327	0.7497467	0.3051232	0.6295813
