"Time"	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W
150	0.1098097	0.4527230	0.6322367	0.5792159	0.8243325	0.3970160	0.5935164	0.3111454	0.0583537	0.2625553
200	0.1099297	0.4546598	0.6367984	0.6158098	0.7077315	0.4534678	0.6075922	0.3183969	0.0597522	0.2778490
250	0.1106159	0.4618535	0.6480292	0.6711701	0.6132645	0.4820575	0.6141762	0.3210159	0.0659538	0.3170488
300	0.1129819	0.4785681	0.6666656	0.7288656	0.5520872	0.4961295	0.6172716	0.3220618	0.0836810	0.3820231
350	0.1188672	0.5063390	0.6901064	0.7757275	0.5166081	0.5034175	0.6187101	0.3228591	0.1208788	0.4587521
400	0.1305805	0.5420085	0.7137976	0.8080854	0.4969608	0.5081244	0.6194366	0.3247346	0.1794238	0.5282589
450	0.1499763	0.5791866	0.7338821	0.8283308	0.4858360	0.5124420	0.6200701	0.3305033	0.2494737	0.5804795
500	0.1767394	0.6120072	0.7489349	0.8404415	0.4786880	0.5172380	0.6213023	0.3444641	0.3162779	0.6153532
550	0.2075514	0.6376944	0.7595249	0.8477656	0.4752423	0.4818411	0.2916441	0.2243464	0.3703210	0.6371906
600	0.2377309	0.6561481	0.7650652	0.8504836	0.4997813	0.3669720	0.1901669	0.2116403	0.4094791	0.6503794
650	0.2632745	0.6660503	0.7583148	0.8403440	0.5780628	0.2631695	0.1569663	0.2345204	0.4356836	0.6557155
700	0.2795103	0.6616484	0.7367732	0.8070547	0.6886416	0.2037435	0.1506851	0.2635609	0.4504293	0.6471506
750	0.2798995	0.6405657	0.7124697	0.7533982	0.7868268	0.1771922	0.1557726	0.2866243	0.4513032	0.6152876
800	0.2623578	0.6101401	0.6935408	0.6960847	0.8512021	0.1688802	0.1642834	0.2968966	0.4321606	0.5574085
850	0.2338503	0.5795471	0.6794010	0.6499137	0.8854621	0.1690354	0.1707396	0.2881799	0.3882007	0.4846460
900	0.2041569	0.5529225	0.6680233	0.6193213	0.9004885	0.1711667	0.1708218	0.2570875	0.3234666	0.4156245
950	0.1789664	0.5305861	0.6586930	0.6018358	0.9057989	0.1709540	0.1623899	0.2094545	0.2523733	0.3629216
1000	0.1595439	0.5121014	0.6515029	0.5929509	0.9081815	0.1666100	0.1474864	0.1604927	0.1904088	0.3285780

0	0.1097686	0.4524540	0.6311523	0.5637123	0.9487135	0.1302496	0.1014075	0.0760766	0.0582077	0.2593653
50	0.3374665	0.4485581	0.5992051	0.1522225	0.9369606	0.2139305	0.1014657	0.0895870	0.5089995	0.1740888
100	0.4001128	0.3783652	0.4257098	0.0523651	0.8983667	0.2446233	0.1045868	0.2179329	0.6665705	0.0914209
150	0.4101373	0.1934174	0.2332966	0.0286394	0.8564149	0.2577669	0.1267389	0.3969751	0.7205607	0.0732420
200	0.4089386	0.0720345	0.1378370	0.0235643	0.8238339	0.2754473	0.1821974	0.5207074	0.7393151	0.0702539
250	0.4083094	0.0362751	0.1005378	0.0229854	0.7924528	0.3179738	0.2518708	0.5876528	0.7459006	0.0697844
300	0.4081264	0.0283221	0.0879145	0.0235337	0.7448437	0.3837918	0.3101903	0.6201608	0.7482237	0.0697111
350	0.4080745	0.0266817	0.0864453	0.0246230	0.6758180	0.4514171	0.3491107	0.6350112	0.7490451	0.0696997
400	0.4080598	0.0263509	0.0929521	0.0262097	0.5996261	0.5049045	0.3718942	0.6415257	0.7493359	0.0696979
450	0.4080556	0.0263000	0.1092369	0.0280960	0.5334198	0.5409647	0.3841768	0.6443003	0.7494390	0.0696977
500	0.4080544	0.0263529	0.1380676	0.0299318	0.4845588	0.5629283	0.3904340	0.6454557	0.7494755	0.0696977
550	0.1725800	0.0266685	0.2492565	0.6406000	0.4625483	0.4974667	0.3905843	0.5675521	0.2728761	0.0728447
600	0.1058474	0.0379022	0.5203800	0.8010405	0.4755429	0.4469193	0.3531196	0.3380180	0.1023585	0.1883838
650	0.0869358	0.1519859	0.6645455	0.8385263	0.5147796	0.3717351	0.2659477	0.1799734	0.0550628	0.4204985
700	0.0817527	0.3628952	0.7141184	0.8332452	0.5830292	0.2895488	0.1841265	0.1144768	0.1077113	0.5613083
750	0.0862539	0.5090167	0.7178842	0.8037272	0.6749333	0.2206365	0.1370924	0.0930341	0.2205655	0.6083281
800	0.1135335	0.5679795	0.7056230	0.7568261	0.7692940	0.1761854	0.1163787	0.0996834	0.3148221	0.5994348
850	0.1505953	0.5771326	0.6916084	0.7031633	0.8437371	0.1525926	0.1097791	0.1315786	0.3586232	0.5548525
900	0.1719953	0.5656282	0.6793066	0.6550156	0.8917052	0.1417402	0.1111774	0.1676818	0.3530371	0.4897285
950	0.1744347	0.5478358	0.6684230	0.6190693	0.9186533	0.1380079	0.1168895	0.1831274	0.3106052	0.4214787
1000	0.1662328	0.5291429	0.6586779	0.5955733	0.9321567	0.1380751	0.1219777	0.1713035	0.2500318	0.3641550

0	0.1097686	0.4524540	0.6311523	0.5637123	0.9487135	0.1302496	0.1014075	0.0760766	0.0582077	0.2593653
50	0.0897960	0.5013609	0.7647025	0.5636828	0.9477875	0.1517230	0.3141985	0.0771265	0.6516578	0.2593103
100	0.1041154	0.6124191	0.8150652	0.5645939	0.9331773	0.2174144	0.3690921	0.2789953	0.8647227	0.2593584
150	0.1636255	0.6933657	0.8343921	0.5709221	0.8896652	0.2811144	0.4069907	0.5094508	0.9412200	0.2608055
200	0.2485532	0.7359350	0.8431743	0.5883519	0.8220114	0.3474483	0.4681224	0.6461002	0.9686951	0.2678225
250	0.3220099	0.7568127	0.8500232	0.6191652	0.7361338	0.4329522	0.5319367	0.7135121	0.9786022	0.2863080
300	0.3710833	0.7687019	0.8584992	0.6635891	0.6363881	0.5191894	0.5786741	0.7444265	0.9822736	0.3215176
350	0.4015734	0.7783545	0.8699476	0.7190857	0.5406871	0.5854974	0.6070259	0.7580740	0.9838385	0.3768692
400	0.4227507	0.7888122	0.8848723	0.7771224	0.4655827	0.6286423	0.6225444	0.7640033	0.9848618	0.4499298
450	0.4412979	0.8011043	0.9028473	0.8274664	0.4143976	0.6541036	0.6305373	0.7666496	0.9859558	0.5287388
500	0.4606301	0.8148604	0.9215429	0.8648769	0.3824192	0.6682686	0.6345140	0.7679966	0.9872537	0.5983817
550	0.5015022	0.8175982	0.8715152	0.8897896	0.3638492	0.6656549	0.5120482	0.7552894	0.5920687	0.6508912
600	0.5143792	0.8050076	0.8691771	0.9049604	0.3578174	0.6329739	0.4707098	0.6296664	0.4916073	0.6864151
650	0.5085687	0.7980569	0.8754526	0.9122671	0.3675550	0.5704715	0.4182291	0.4931130	0.4844228	0.7085653
700	0.5001513	0.7975903	0.8745453	0.9117551	0.3979113	0.4877391	0.3506722	0.4143927	0.5002707	0.7205707
750	0.4956191	0.7955535	0.8581571	0.9016895	0.4523932	0.4048659	0.2924953	0.3867311	0.5164723	0.7238135
800	0.4901380	0.7837290	0.8236418	0.8793803	0.5278752	0.3360885	0.2563650	0.3855070	0.5263607	0.7175418
850	0.4739040	0.7563156	0.7798021	0.8436245	0.6122573	0.2880261	0.2396291	0.3922188	0.5275654	0.6991710
900	0.4383402	0.7140132	0.7411018	0.7979517	0.6890492	0.2597084	0.2343898	0.3961451	0.5178656	0.6657127
950	0.3831904	0.6655796	0.7136637	0.7505857	0.7471348	0.2453761	0.2332961	0.3909313	0.4943275	0.6169035
1000	0.3195864	0.6212226	0.6955071	0.7096578	0.7850844	0.2381114	0.2308181	0.3720018	0.4547161	0.5581705

0	0.1097686	0.4524540	0.6311523	0.5637123	0.9487135	0.1302496	0.1014075	0.0760766	0.0582077	0.2593653
50	0.1097872	0.4524694	0.6311417	0.5637245	0.9452250	0.2077315	0.6969781	0.2731719	0.0657076	0.3341293
100	0.1097978	0.4524838	0.6313019	0.5673907	0.8867281	0.3962637	0.8462157	0.3438160	0.0855316	0.3460408
150	0.1098197	0.4529920	0.6333104	0.5924084	0.7391243	0.5183222	0.8862102	0.3694374	0.1032078	0.3530657
200	0.1100583	0.4567773	0.6421161	0.6522020	0.5897423	0.5780147	0.8982233	0.3791320	0.1170901	0.3777795
250	0.1114152	0.4706365	0.6639067	0.7300580	0.4898724	0.6050226	0.9023373	0.3832875	0.1370451	0.4354251
300	0.1162606	0.5029422	0.7012673	0.7990109	0.4338421	0.6172911	0.9039278	0.3861262	0.1772783	0.5191276
350	0.1294469	0.5561952	0.7475266	0.8468960	0.4046599	0.6241208	0.9046487	0.3909815	0.2443356	0.6021831
400	0.1585950	0.6200915	0.7900820	0.8757344	0.3894877	0.6305005	0.9051693	0.4031667	0.3265960	0.6650755
450	0.2089040	0.6784983	0.8218662	0.8919357	0.3805510	0.6385767	0.9059564	0.4287767	0.4039676	0.7055389
500	0.2740406	0.7225292	0.8432478	0.9010527	0.3737142	0.6479907	0.9074287	0.4676076	0.4642915	0.7294594
550	0.3389071	0.7522834	0.8575194	0.9066581	0.3685968	0.6215257	0.4119684	0.3624174	0.5011232	0.7140267
600	0.3922107	0.7715278	0.8660362	0.9096173	0.3815908	0.5015853	0.2725845	0.3561191	0.5168216	0.7183016
650	0.4308451	0.7823309	0.8611612	0.9051308	0.4389068	0.3710608	0.2309748	0.3710940	0.5249049	0.7220076
700	0.4544339	0.7807258	0.8299277	0.8838537	0.5402289	0.2888636	0.2221079	0.3856377	0.5296970	0.7189689
750	0.4583586	0.7583630	0.7796798	0.8403188	0.6506561	0.2499800	0.2242895	0.3956668	0.5296032	0.7016438
800	0.4342164	0.7143351	0.7360742	0.7825635	0.7358009	0.2358692	0.2290061	0.3995008	0.5195462	0.6627208
850	0.3814419	0.6613699	0.7075894	0.7272996	0.7872189	0.2328697	0.2322960	0.3933743	0.4928130	0.6022612
900	0.3152031	0.6136886	0.6896816	0.6856724	0.8131438	0.2325935	0.2312422	0.3714824	0.4451158	0.5318484
950	0.2549032	0.5769524	0.6776297	0.6592101	0.8250461	0.2297248	0.2229198	0.3295750	0.3800540	0.4676427
1000	0.2099045	0.5503004	0.6691000	0.6440708	0.8324675	0.2211999	0.2055613	0.2712075	0.3098188	0.4193851

0	0.1097686	0.4524540	0.6311523	0.5637123	0.9487135	0.1302496	0.1014075	0.0760766	0.0582077	0.2593653
50	0.1071770	0.3560739	0.3702346	0.5668849	0.8509518	0.6636300	0.1005035	0.0507753	0.6171290	0.2594664
100	0.0925369	0.1663326	0.2741467	0.6124564	0.5769598	0.8564255	0.1016900	0.2248932	0.8178176	0.2678460
150	0.0834267	0.0737653	0.2528183	0.7191167	0.3873008	0.9262029	0.1269764	0.4434247	0.8901837	0.3191231
200	0.0805872	0.0465490	0.2962869	0.8289365	0.2952096	0.9523697	0.1958691	0.5789207	0.9177348	0.4344896
250	0.0797771	0.0478009	0.3800996	0.9010624	0.2544244	0.9645740	0.2789475	0.6480797	0.9318207	0.5679568
300	0.0795475	0.0729248	0.4454324	0.9385909	0.2365778	0.9723921	0.3446893	0.6818057	0.9430939	0.6663777
350	0.0794835	0.1177459	0.4815610	0.9562192	0.2284592	0.9777764	0.3869742	0.6991018	0.9526260	0.7232067
400	0.0794772	0.1644020	0.4993421	0.9642462	0.2244860	0.9812561	0.4117320	0.7089584	0.9595574	0.7525674
450	0.0795330	0.1994345	0.5077656	0.9679291	0.2223874	0.9833738	0.4258234	0.7150571	0.9639855	0.7670503
500	0.0796807	0.2211209	0.5117286	0.9696702	0.2212166	0.9846227	0.4339188	0.7189241	0.9665856	0.7740684
550	0.0800360	0.3358513	0.8029467	0.9702831	0.2336957	0.6864601	0.4425812	0.7459753	0.7185419	0.7774501
600	0.0875700	0.5895516	0.9102139	0.9672432	0.2809869	0.5850234	0.4473624	0.6875653	0.6329181	0.7786997
650	0.1586908	0.7498603	0.9398418	0.9565012	0.3420427	0.5389073	0.4311460	0.6074833	0.6035812	0.7769386
700	0.3113041	0.8145329	0.9267689	0.9376542	0.3974909	0.5015479	0.3975875	0.5463143	0.5924509	0.7700688
750	0.4398323	0.8282793	0.8889341	0.9139138	0.4455450	0.4583366	0.3606546	0.5091411	0.5850837	0.7569068
800	0.5021331	0.8139059	0.8432549	0.8881697	0.4928555	0.4133915	0.3301200	0.4871719	0.5756054	0.7379412
850	0.5094164	0.7822206	0.8002263	0.8608060	0.5427973	0.3737243	0.3081326	0.4711199	0.5617395	0.7142189
900	0.4788741	0.7407199	0.7642426	0.8313649	0.5932032	0.3421031	0.2923581	0.4547415	0.5427609	0.6860491
950	0.4253030	0.6962882	0.7365661	0.8005632	0.6399413	0.3175026	0.2793755	0.4345392	0.5182971	0.6531840
1000	0.3628800	0.6548245	0.7164419	0.7703451	0.6804916	0.2971918	0.2663443	0.4086538	0.4879074	0.6160378

0	0.1097686	0.4524540	0.6311523	0.5637123	0.9487135	0.1302496	0.1014075	0.0760766	0.0582077	0.2593653
50	0.1056451	0.3275834	0.3449410	0.5667028	0.8563625	0.6375276	0.1014689	0.0904995	0.5329939	0.7618460
100	0.0905080	0.1267124	0.2390363	0.6099847	0.5912650	0.8209042	0.1050138	0.2384108	0.7469359	0.8414120
150	0.0826918	0.0384731	0.2119843	0.7130024	0.4024370	0.8874693	0.1325936	0.4544074	0.8453527	0.8631318
200	0.0803740	0.0142901	0.2473114	0.8214701	0.3089423	0.9139156	0.2042607	0.6067420	0.8887109	0.8869541
250	0.0797165	0.0122250	0.3254554	0.8944394	0.2666636	0.9304357	0.2935390	0.6912705	0.9086011	0.9132134
300	0.0795301	0.0248305	0.3911938	0.9333137	0.2471991	0.9450843	0.3667747	0.7343299	0.9189146	0.9328504
350	0.0794773	0.0519649	0.4294324	0.9520827	0.2372523	0.9567450	0.4151223	0.7557598	0.9248737	0.9443857
400	0.0794625	0.0843339	0.4490386	0.9609986	0.2314941	0.9646275	0.4436602	0.7665465	0.9284361	0.9504473
450	0.0794599	0.1113011	0.4587484	0.9653844	0.2279187	0.9694305	0.4595640	0.7721340	0.9305339	0.9535017
500	0.0794651	0.1293870	0.4635803	0.9676762	0.2256742	0.9721915	0.4681874	0.7751175	0.9317322	0.9550307
550	0.0795016	0.2609980	0.7839069	0.9687241	0.2358975	0.7126961	0.4723626	0.7634629	0.7805742	0.8040217
600	0.0822615	0.5454522	0.9025520	0.9663715	0.2762679	0.6166926	0.4685400	0.7159141	0.6906698	0.7816645
650	0.1333009	0.7320006	0.9382439	0.9573521	0.3286629	0.5691788	0.4509790	0.6498821	0.6374528	0.7767724
700	0.2809848	0.8087977	0.9321149	0.9415637	0.3771225	0.5336360	0.4208995	0.5871699	0.6089803	0.7705591
750	0.4218226	0.8294701	0.9024593	0.9216943	0.4190756	0.4931374	0.3853927	0.5392796	0.5928167	0.7595647
800	0.4972841	0.8217726	0.8631945	0.9001804	0.4604284	0.4474342	0.3520496	0.5063428	0.5803031	0.7439523
850	0.5165069	0.7974727	0.8229174	0.8771473	0.5059644	0.4035171	0.3249379	0.4830337	0.5669099	0.7246416
900	0.4978283	0.7626796	0.7858077	0.8514903	0.5553074	0.3658520	0.3042212	0.4636442	0.5507072	0.7017574
950	0.4547689	0.7221202	0.7544580	0.8229272	0.6047525	0.3353627	0.2879166	0.4440357	0.5307223	0.6744949
1000	0.3982683	0.6806653	0.7300524	0.7927545	0.6504960	0.3106758	0.2735967	0.4215540	0.5059905	0.6421727
