"Time"	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C
250	0.0977089	0.3164671	0.1407697	0.6268826	0.7891365	0.0456025	0.7327284	0.3250633	0.6312389	0.8709816
300	0.0596130	0.2205333	0.1044407	0.5901737	0.7232520	0.0368466	0.8292384	0.3063671	0.6750777	0.6527628
350	0.0687886	0.2430971	0.1345615	0.6335730	0.6941899	0.0348580	0.7307502	0.3640156	0.6177556	0.6410364
400	0.1185963	0.2164016	0.1611422	0.7389962	0.8463175	0.0531237	0.7016094	0.2142663	0.5808613	0.7522313
450	0.1327893	0.2693465	0.1496973	0.8055034	0.6769909	0.0580500	0.7107174	0.3031222	0.6239147	0.7570323
500	0.1036350	0.1948111	0.1389206	0.6952775	0.8163738	0.0552316	0.8649112	0.3576506	0.5796332	0.7452434
550	0.1032488	0.2787518	0.1570991	0.6678958	0.7448630	0.0715082	0.7438714	0.3739047	0.6886062	0.7919006
600	0.0771042	0.1967565	0.1799525	0.6534127	0.8353389	0.1102460	0.6160872	0.1780425	0.6603848	0.7401572
650	0.1425828	0.1592453	0.1770289	0.6142549	0.6686752	0.1022274	0.8232568	0.1948037	0.7669968	0.6841634
700	0.3957499	0.2894166	0.1635397	0.7271417	0.6600515	0.0485810	0.6724117	0.1955489	0.6980735	0.6333492
750	0.2215379	0.2058563	0.1506806	0.6982488	0.9930501	0.0574096	0.7809149	0.2169983	0.7407834	0.7496402
800	0.1881011	0.2192781	0.1749299	0.5829812	0.6286886	0.0517376	0.7358358	0.1726846	0.8620962	0.6207437
850	0.1885616	0.2458841	0.0986060	0.7730538	0.6726138	0.0514625	0.6084229	0.2333973	0.7718756	0.7330788
900	0.1113649	0.2584035	0.1372727	0.6181993	0.7040663	0.0406883	0.6845647	0.1672694	0.7110337	0.6864559
950	0.1503998	0.2277277	0.1769198	0.6567522	0.6247437	0.0644378	0.6154898	0.1344259	0.8092553	0.6658108
1000	0.1551563	0.2407019	0.1602974	0.6091203	0.7319501	0.1071123	0.7437109	0.2322716	0.6009718	0.7431524

0	0.0592982	0.1849420	0.1585494	0.6713259	0.6790528	0.0547720	0.7638775	0.2271427	0.7017712	0.7579535
50	0.5459640	0.2379740	0.1482042	0.6343002	0.4987098	0.0808396	0.8942483	0.1005299	0.5624809	0.2940570
100	0.6302109	0.1690860	0.1615802	0.5741378	0.4976456	0.0663080	0.8005873	0.1017264	0.5987924	0.2901626
150	0.6501272	0.1904481	0.1821219	0.6253706	0.4153740	0.0448274	0.7309747	0.2429547	0.5336248	0.2707395
200	0.8095012	0.3282802	0.1387870	0.6398716	0.4793548	0.0624923	0.9048247	0.1752718	0.6708103	0.2133645
250	0.7065392	0.2435908	0.1585337	0.5493145	0.3988216	0.0817204	0.7545046	0.1603091	0.5566684	0.1847878
300	0.6580284	0.1923882	0.1677966	0.5740956	0.5238516	0.0552139	0.8099597	0.1777989	0.5844588	0.1921801
350	0.5590890	0.2189369	0.1736203	0.5332006	0.4303604	0.0597956	0.6557097	0.1850541	0.5722957	0.2031477
400	0.6488638	0.2731974	0.2568993	0.4404473	0.5006180	0.0496021	0.7968715	0.1470752	0.4841285	0.1991380
450	0.6674745	0.2828648	0.1254915	0.5099157	0.4814442	0.0278692	0.6536928	0.1745582	0.6072138	0.2134242
500	0.6491202	0.2690077	0.1862774	0.5049706	0.4678926	0.0444115	0.7145062	0.1674844	0.6712194	0.2563187
550	0.3024279	0.1399976	0.1641951	0.5645164	0.6627618	0.0918122	0.8869158	0.1889312	0.7285422	0.6315071
600	0.2793553	0.2167690	0.1470571	0.6226262	0.6336779	0.0768694	0.7292534	0.1925280	0.6841386	0.8241234
650	0.1973533	0.2045114	0.1587635	0.5980263	0.5302034	0.0473742	0.5677543	0.2693379	0.7159168	0.8362284
700	0.0522145	0.2325945	0.1173119	0.6326229	0.6557580	0.0984074	0.7178335	0.2182882	0.8314902	0.8947795
750	0.0693226	0.1695373	0.1127438	0.6531895	0.7348217	0.0559280	0.8647257	0.2702648	0.8386346	0.6738725
800	0.0671474	0.1470216	0.1136526	0.7079689	0.6422292	0.0829909	0.8239111	0.2446763	0.7205068	0.8810947
850	0.1132593	0.2337679	0.1855327	0.6494963	0.8027984	0.0935274	0.6077184	0.3294647	0.6692210	0.8370223
900	0.1559084	0.1683175	0.1628413	0.5889947	0.7299238	0.0722540	0.7959238	0.2641117	0.7752059	0.6909669
950	0.0685188	0.2041484	0.1164249	0.7058617	0.8060090	0.0578341	0.6261393	0.3065537	0.8193300	0.7394778
1000	0.0592965	0.1970245	0.2069364	0.6159472	0.5877412	0.0674314	0.7248307	0.1755352	0.7181329	0.7825677

0	0.0755741	0.2236078	0.1393420	0.6674001	0.6883240	0.0795478	0.8608239	0.2149935	0.8892207	0.5733266
50	0.0670209	0.1636020	0.0327940	0.6634196	0.6292173	0.0788361	0.3777190	0.0868005	0.6412668	0.6480304
100	0.0354146	0.1100937	0.0088218	0.5423609	0.7233151	0.2077076	0.2423670	0.0305421	0.7235715	0.7049238
150	0.0871377	0.0955347	0.0076333	0.5604742	0.5357160	0.3321754	0.2618461	0.0601133	0.7898615	0.5828565
200	0.0452315	0.0799576	0.0165753	0.5839360	0.2960519	0.5109253	0.2044991	0.0422532	0.7165844	0.8230085
250	0.0464714	0.0769701	0.0006427	0.6514155	0.1896255	0.5745622	0.2536896	0.0322554	0.7512336	0.7814149
300	0.0191515	0.0577191	0.0091389	0.6482279	0.0695767	0.7397184	0.2272605	0.0422207	0.6361287	0.7619889
350	0.0441041	0.0448226	0.0060987	0.5582583	0.0421658	0.5433000	0.2848470	0.0336028	0.6951245	0.7128377
400	0.0536605	0.0520236	0.0040672	0.5068037	0.0267301	0.6696800	0.2513828	0.0227264	0.7229367	0.7514134
450	0.0197011	0.0696623	0.0037025	0.4437352	0.0341319	0.7219452	0.3110001	0.0430883	0.7300413	0.6901682
500	0.0165888	0.0366311	0.0068255	0.3576360	0.0268854	0.5870538	0.2519372	0.0350768	0.6916950	0.7845527
550	0.0300840	0.0600636	0.1483445	0.3290300	0.0638470	0.5673638	0.5237634	0.1492877	0.6539509	0.6807305
600	0.0624686	0.1101293	0.2263776	0.4595277	0.0154175	0.3352525	0.6310016	0.2193855	0.7108393	0.6973792
650	0.3305241	0.2412279	0.2261274	0.5224963	0.0753039	0.2075956	0.8842448	0.1627998	0.8509368	0.6997817
700	0.3749957	0.2478339	0.1905593	0.4707318	0.2781245	0.1187187	0.7919033	0.1555026	0.6881510	0.7299330
750	0.3624199	0.1822897	0.1432611	0.5539075	0.5658124	0.0806240	0.6919038	0.1769871	0.6708624	0.5650195
800	0.3268109	0.2306837	0.1850073	0.6007430	0.5542113	0.0593859	0.6956526	0.1470266	0.6685412	0.8444624
850	0.2031342	0.2106590	0.2005198	0.5502243	0.6239804	0.0258434	0.7961830	0.1567439	0.8634295	0.7770095
900	0.2275355	0.2475178	0.1753108	0.5818436	0.8012575	0.0675777	0.7392337	0.1833194	0.6896775	0.8202491
950	0.2041720	0.1855030	0.2036943	0.6425231	0.8841805	0.0636285	0.6654791	0.1966464	0.7833890	0.6148216
1000	0.2273595	0.2552996	0.1689653	0.6619737	0.7271775	0.0393346	0.7670194	0.1793384	0.6584465	0.6417760

0	0.0504521	0.2067694	0.1573286	0.6887863	0.7456194	0.0470699	0.7009041	0.2075912	0.8740536	0.7139807
50	0.1205421	0.2366420	0.0475468	0.6314340	0.2485346	0.0262385	0.4296159	0.1893403	0.7195756	0.1896083
100	0.0253040	0.1291389	0.0213026	0.5718196	0.0720554	0.0100342	0.3894687	0.1510756	0.6878614	0.1828896
150	0.0244033	0.0940443	0.0087481	0.5040427	0.0339087	0.0108441	0.4058102	0.2420335	0.7483010	0.0844297
200	0.0214684	0.1249389	0.0302220	0.5900676	0.0223037	0.0303268	0.3452049	0.2472054	0.5892769	0.1016291
250	0.0207511	0.0511710	0.0494490	0.5195290	0.0260732	0.0589160	0.3959334	0.1831258	0.6937734	0.1696902
300	0.0193167	0.0519309	0.0571747	0.5432509	0.0183832	0.0356949	0.4641667	0.2108922	0.7004928	0.1186466
350	0.0440508	0.0872528	0.0430844	0.3939618	0.0207246	0.0249678	0.4596277	0.1897734	0.6080999	0.1325912
400	0.0337060	0.0982772	0.0454312	0.4084419	0.0154025	0.0498903	0.4578088	0.2263688	0.7801491	0.1215042
450	0.0191918	0.0557673	0.0679826	0.4417223	0.0102212	0.0505564	0.4201090	0.1096265	0.7047536	0.1025845
