"Time"	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C
800	0.1566763	0.6850701	0.2970931	0.2448132	0.0617465	0.2942457	0.2473446	0.3915864	0.6172224	0.7458991
850	0.2309849	0.7156278	0.3698675	0.2566398	0.0727448	0.2383850	0.2242962	0.3150482	0.8447825	0.8706514
900	0.1488169	0.8504626	0.2961531	0.2396914	0.0727547	0.2545671	0.1696450	0.3724818	0.6473795	0.7573917
950	0.1399751	0.7572054	0.2446986	0.2476367	0.0226580	0.4054942	0.2639662	0.4153028	0.6779173	0.7939491
1000	0.1820618	0.8013437	0.1919730	0.3593440	0.0237765	0.3596301	0.2012581	0.4567483	0.6808531	0.7989328

0	0.1636743	0.9020065	0.1529217	0.3013920	0.0664175	0.3257339	0.2124279	0.3957682	0.9071374	0.8776131
50	0.0538734	0.7579926	0.1942365	0.3064670	0.0701777	0.2965404	0.0646290	0.5473397	0.6900025	0.7568094
100	0.0483633	0.6307001	0.1513341	0.3366428	0.0545375	0.5817424	0.0448921	0.4179749	0.7175031	0.6609621
150	0.0306514	0.7469373	0.1724048	0.4427816	0.1493471	0.8296631	0.0074505	0.4885584	0.7503788	0.9033051
200	0.0040942	0.8050439	0.1753913	0.4119649	0.2305588	0.8681422	0.0148688	0.4616811	0.8510076	0.7420759
250	0.0100113	0.7791898	0.1305269	0.4365275	0.2690020	0.7062568	0.0204621	0.4880005	0.7641875	0.7408499
300	0.0023498	0.7946650	0.0702095	0.5692011	0.2738434	0.7025989	0.0051105	0.4055439	0.7108032	0.6793436
350	0.0027502	0.6338860	0.1145315	0.4849165	0.2255062	0.8137077	0.0084047	0.3781294	0.6504661	0.7069371
400	0.0107933	0.6548349	0.0976176	0.5633976	0.3134961	0.6855383	0.0016592	0.5120001	0.6664663	0.6964201
450	0.0204437	0.7603339	0.0551392	0.5723293	0.2647714	0.7332322	0.0004911	0.4902779	0.7340055	0.7563839
500	0.0086095	0.7169121	0.0915151	0.4886930	0.2758706	0.7833743	0.0077372	0.4164512	0.7500519	0.6658004
550	0.1005782	0.7442679	0.0624258	0.5231617	0.2780393	0.6961911	0.0814348	0.5642647	0.6590553	0.8759674
600	0.1540774	0.7338813	0.0549490	0.6630689	0.2653921	0.5834217	0.1646406	0.4819063	0.6509678	0.7053699
650	0.1738298	0.7668022	0.0860561	0.4482518	0.2157072	0.5408699	0.1815164	0.4451399	0.6732131	0.6998476
700	0.2079557	0.6868627	0.0972541	0.5675977	0.1740535	0.3466880	0.3334102	0.4140105	0.6878522	0.6443598
750	0.1748146	0.6818414	0.0813404	0.4090059	0.0905592	0.4592803	0.1786519	0.5385699	0.7348590	0.8768601
800	0.2119256	0.8367249	0.0672305	0.3552012	0.0964668	0.2660474	0.1387319	0.5066962	0.7014420	0.6371225
850	0.1627704	0.6642975	0.1741795	0.3696569	0.0538231	0.2453903	0.2389723	0.5689801	0.7437500	0.6961767
900	0.1709222	0.7824220	0.1438038	0.2971047	0.0608536	0.3830758	0.1301722	0.6165975	0.7782967	0.7863307
950	0.1651437	0.6971314	0.1264833	0.2605222	0.0772906	0.2882084	0.1722530	0.6107253	0.7566187	0.7386599
1000	0.1664951	0.7771415	0.2005357	0.2886530	0.0521662	0.1858141	0.1421359	0.4544117	0.7124318	0.7753943

0	0.1253743	0.6923636	0.1790292	0.2476777	0.0551171	0.2166539	0.1377071	0.3442788	0.7952544	0.7077272
50	0.2268808	0.8044585	0.1589695	0.3230808	0.2379876	0.2742924	0.2128928	0.4989988	0.6797727	0.5942099
100	0.1421642	0.6400186	0.0457817	0.2319210	0.3558854	0.2081608	0.2201064	0.4131555	0.8895489	0.6305906
150	0.2322334	0.6888641	0.1050101	0.3118341	0.3343119	0.2289135	0.1922140	0.4325188	0.8486432	0.8832829
200	0.1403544	0.7241666	0.0585409	0.2862951	0.3027135	0.2534695	0.2407431	0.5084892	0.6488769	0.6936512
250	0.1852876	0.6592565	0.1216979	0.2906696	0.2814441	0.2075126	0.2317420	0.6056551	0.6413622	0.8829171
300	0.1779232	0.6444403	0.1577961	0.1937211	0.2608235	0.2445502	0.1755919	0.3523444	0.7994937	0.7312711
350	0.1650617	0.7291112	0.1154331	0.2088271	0.3058865	0.3092321	0.1809910	0.5186211	0.6529057	0.7968640
400	0.1677760	0.7677508	0.0848386	0.3466222	0.3732349	0.2717921	0.1279233	0.5495444	0.8151574	0.7584218
450	0.1072090	0.6402181	0.1064023	0.3271283	0.2302767	0.2189564	0.1763498	0.5192827	0.6373649	0.5984572
500	0.1008233	0.7991858	0.0895721	0.3142551	0.2999615	0.2761872	0.1952921	0.4340075	0.7921946	0.7332073
550	0.1264429	0.8474217	0.1521840	0.2889970	0.0822642	0.2237703	0.1698915	0.4414113	0.6305542	0.8723981
600	0.1238479	0.7008404	0.2286134	0.2931023	0.0708917	0.2385458	0.1424303	0.4062016	0.7131051	0.7880466
650	0.1322413	0.6751606	0.2058899	0.2623516	0.0808621	0.3018973	0.1445871	0.4958220	0.7451303	0.7585632
700	0.1603496	0.8246230	0.2418658	0.2453208	0.0982240	0.3262475	0.1754264	0.4394148	0.7023236	0.7526506
750	0.1871119	0.6196364	0.1875584	0.3031104	0.1356253	0.2611476	0.1694756	0.4428914	0.8005259	0.7727750
800	0.2000795	0.7425735	0.2053800	0.3523354	0.0556227	0.3153528	0.2432945	0.4617037	0.6156574	0.8733967
850	0.1726772	0.6436758	0.1860804	0.3307937	0.0413835	0.2979238	0.1650218	0.4571588	0.7944714	0.8703634
900	0.2035959	0.8814443	0.1306080	0.2435205	0.0241641	0.2532250	0.1506627	0.4698492	0.7161121	0.7944434
950	0.1496275	0.7025574	0.2333320	0.3376223	0.0393713	0.3198718	0.1955815	0.4843499	0.8574900	0.6981548
1000	0.1384180	0.7227976	0.2410585	0.2699529	0.0493070	0.4435089	0.1269183	0.3555012	0.6145686	0.7658775

0	0.1422029	0.6883812	0.1819803	0.3330516	0.0877779	0.2614442	0.1532636	0.4695202	0.8502079	0.8448496
50	0.0443173	0.8368502	0.0876468	0.3002743	0.5097905	0.0413128	0.1337337	0.2757346	0.7909724	0.8116327
100	0.0362364	0.8284450	0.0545765	0.2370924	0.6309862	0.0257919	0.1757393	0.3602134	0.7099225	0.7143906
150	0.0345582	0.8584850	0.0550980	0.2166386	0.4924707	0.0197584	0.1362617	0.2897661	0.6342015	0.8072505
200	0.0091082	0.7833856	0.1101415	0.1427697	0.5284698	0.0049546	0.1639132	0.1894706	0.7138706	0.8588107
250	0.0209795	1.0000000	0.1463103	0.1422206	0.6208168	0.0073102	0.1750775	0.3185303	0.6772284	0.7508203
300	0.0254840	0.8367625	0.1368190	0.1462622	0.5494814	0.0144846	0.2141059	0.3417002	0.7670024	0.8977873
350	0.0151677	0.8552711	0.1567425	0.1505870	0.5368424	0.0090094	0.1892346	0.2541902	0.6606539	0.5884819
400	0.0128356	0.8277718	0.1550908	0.1355733	0.5058915	0.0126255	0.2138093	0.2637027	0.7083215	0.7269088
450	0.0245044	0.9112860	0.1406028	0.1025009	0.5804624	0.0061608	0.2160306	0.3303014	0.7212154	0.5862308
500	0.0245500	0.8538261	0.1981083	0.1417222	0.4859214	0.0101217	0.1757198	0.3326450	0.6234072	0.7144354
550	0.1102213	0.7506735	0.3918149	0.1220732	0.1085758	0.1415611	0.2492904	0.5661336	0.7036103	0.7200726
600	0.1467511	0.6241689	0.4031466	0.0968115	0.0399174	0.2797156	0.1777298	0.5469315	0.5660256	0.7519915
650	0.1073328	0.7762342	0.4027819	0.1807741	0.0364543	0.2473322	0.2333183	0.6261728	0.6086298	0.7023120
700	0.1852450	0.7906487	0.2606346	0.2462780	0.0642879	0.2485398	0.2204278	0.5939512	0.6688753	0.7340334
750	0.0920011	0.9683359	0.2464348	0.3015548	0.0421502	0.2415699	0.2257295	0.5082512	0.6135644	0.7748997
800	0.1667402	0.9541985	0.1834027	0.2721294	0.0343092	0.3564970	0.2220804	0.4628241	0.8050674	0.8266450
850	0.1112967	0.7470589	0.2247069	0.2694754	0.0294142	0.1815904	0.1887929	0.4977897	0.7925778	0.7082331
900	0.2031646	0.8731971	0.1909229	0.2288256	0.0304812	0.3000067	0.2454249	0.5308609	0.6363877	0.7937975
950	0.1930672	0.8385040	0.1646162	0.3200464	0.0764917	0.3662272	0.2562416	0.5791441	0.7912433	0.6989245
1000	0.1655498	0.7581272	0.2173889	0.2840075	0.0786920	0.2921520	0.1636623	0.6238774	0.7731765	0.7967554

0	0.1553856	0.8046491	0.2257765	0.2137850	0.0542160	0.2911487	0.1576128	0.4116706	0.7883130	0.7530550
50	0.2027743	0.7082658	0.1623621	0.5914986	0.0984047	0.2295923	0.1547703	0.2528946	0.7359856	0.8298337
100	0.1162031	0.7820747	0.1210854	0.7312156	0.1374209	0.3385642	0.2252326	0.2896472	0.8338004	0.5786479
150	0.1285767	0.8485658	0.0720990	0.6873485	0.1946793	0.2458740	0.1939573	0.4339333	0.5949807	0.6093116
200	0.1440564	0.7510781	0.0865251	0.7809619	0.1452828	0.3514103	0.1768959	0.5965892	0.6377107	0.7414357
250	0.1693345	0.8601054	0.0488565	0.8840505	0.1232323	0.3739548	0.1911325	0.4569575	0.7413682	0.8002744
300	0.2265802	0.6066260	0.0899717	0.8490438	0.1131625	0.2623200	0.2095911	0.3885670	0.7617335	0.6623677
350	0.1945312	0.6286689	0.0405539	0.7710582	0.1689879	0.2498265	0.1917037	0.4903110	0.7626736	0.7856540
400	0.2394599	0.4440767	0.1059919	0.6659791	0.2222439	0.3491358	0.2517164	0.4707605	0.6440028	0.7873639
450	0.2028771	0.4942506	0.0959175	0.6936194	0.1999814	0.3775920	0.1337558	0.5008308	0.7915618	0.6556662
500	0.2713700	0.5927575	0.1052378	0.7422304	0.1484140	0.2337527	0.2027536	0.5568259	0.4852370	0.7445763
550	0.1806919	0.6189416	0.0563520	0.4691163	0.0694415	0.2762306	0.1656781	0.5673263	0.7200563	0.7914865
600	0.2246648	0.8192912	0.1148687	0.3251204	0.0568830	0.3310684	0.1829197	0.5280850	0.6414390	0.8907032
650	0.2202963	0.7370966	0.1127601	0.3333338	0.0613390	0.3372799	0.1731932	0.4555434	0.7820308	0.7230392
700	0.1483858	0.7721082	0.1669996	0.4384472	0.0528213	0.3095390	0.1963834	0.4563609	0.7574106	0.8205940
750	0.1968869	0.6037937	0.1200066	0.3463407	0.0740298	0.2927633	0.1808426	0.4954977	0.6820849	0.6716785
800	0.1786884	0.7459083	0.1941982	0.3524943	0.0442090	0.2026451	0.1657297	0.3409770	0.7897100	0.8345835
850	0.1612133	0.7037349	0.1680503	0.3378012	0.0595350	0.3663845	0.1517334	0.4194447	0.7131189	0.9147575
900	0.2066260	0.5884801	0.1812986	0.2994020	0.0443686	0.3330548	0.1881999	0.5169074	0.6596298	0.9045126
950	0.1429828	0.6906550	0.2500556	0.2833093	0.0527529	0.2595606	0.2443251	0.5213056	0.7855723	0.8614734
1000	0.1984146	0.7254702	0.2503946	0.2447556	0.0712959	0.2049592	0.2201972	0.4873022	0.6940121	0.7714052

0	0.1610849	0.7627578	0.2081043	0.2447597	0.0670976	0.2820163	0.1904736	0.5107142	0.7182313	0.9210167
50	0.1243770	0.8243314	0.1348919	0.4334228	0.0688432	0.3077869	0.0568531	0.4237956	0.7602987	0.6939685
100	0.1493098	0.7708782	0.2250539	0.3289916	0.0828667	0.5591044	0.0222822	0.4071646	0.7564103	0.7758167
150	0.1852255	0.7723835	0.1822182	0.3992175	0.1284644	0.7597556	0.0085360	0.4601102	0.6965960	0.6858226
200	0.1374432	0.7475364	0.1274794	0.5312713	0.2021911	0.7729215	0.0014166	0.4770656	0.6992428	0.8194926
250	0.1684467	0.8206962	0.0799344	0.4194164	0.3344740	0.7916557	0.0027046	0.6784034	0.7706528	0.7371492
300	0.1354512	0.8686742	0.0803498	0.4447785	0.2142183	0.6540941	0.0079122	0.3643389	0.7190381	0.5960798
350	0.1975788	0.6418195	0.0949119	0.4480322	0.2053529	0.7547680	0.0055015	0.4830936	0.8762892	0.7767264
400	0.1268682	0.7092998	0.1239528	0.4435681	0.3235014	0.7205114	0.0072239	0.4481913	0.8068801	0.8639935
450	0.1679534	0.6817094	0.0543181	0.5175879	0.3002960	0.7505858	0.0020248	0.5459608	0.7468165	0.7582434
500	0.1343086	0.7627389	0.1612542	0.4974674	0.3301283	0.7512148	0.0085186	0.3942991	0.7679547	0.7695469
550	0.1700947	0.8102583	0.0714586	0.4516117	0.2730690	0.7338929	0.1283859	0.5151715	0.7275882	0.7857713
600	0.1379421	0.7887361	0.0952184	0.5437325	0.2668940	0.6228251	0.1659766	0.4640236	0.6592978	0.7941744
650	0.1358801	0.6959831	0.0846518	0.5218805	0.2105989	0.4763179	0.1020250	0.4975334	0.7356807	0.7059313
700	0.2195603	0.6151176	0.0821442	0.4012543	0.2704287	0.4930633	0.1372620	0.4066391	0.7566499	0.6336511
750	0.2292873	0.8214250	0.0889773	0.4989216	0.1677425	0.3378722	0.1592000	0.4579591	0.6698561	0.7393354
800	0.2422620	0.7913313	0.1520030	0.4178217	0.0890947	0.3707744	0.1885118	0.5273505	0.7638713	0.8150203
850	0.2651800	0.8513660	0.1191021	0.3521665	0.0777205	0.3038661	0.2070398	0.6001805	0.7311256	0.7952226
900	0.1873826	0.8625514	0.1120222	0.3094765	0.0702688	0.2752434	0.1191666	0.5190881	0.6807019	0.7227096
950	0.1351590	0.6957837	0.1732082	0.2963344	0.0635050	0.3401168	0.2242368	0.6038307	0.6928060	0.6419445
1000	0.1466906	0.8555954	0.0999895	0.2261896	0.0460155	0.2980948	0.1268901	0.5686245	0.7476210	0.6718664

0	0.1346705	0.8235779	0.2461474	0.2544370	0.0524616	0.3206221	0.2035729	0.4518638	0.7304524	0.8700898
50	0.1595752	0.6517934	0.2005614	0.3504925	0.0969958	0.3296588	0.1342313	0.2027643	0.7047623	0.8049674
100	0.2395580	0.8040186	0.1573527	0.3635027	0.1065028	0.5834059	0.0519705	0.1674852	0.6810095	0.8529726
150	0.1397319	0.6987605	0.1809620	0.5300607	0.1585038	0.6534090	0.0148804	0.0927634	0.7117311	0.7539192
200	0.1510839	0.7399346	0.1941633	0.3801259	0.2458750	0.6899077	0.0223166	0.0821595	0.8231286	0.6733265
250	0.1133459	0.6833186	0.2208478	0.5363447	0.3370015	0.7704733	0.0691489	0.0694415	0.7199862	0.7168476
300	0.1603671	0.7520682	0.0926559	0.5486260	0.3013293	0.6754797	0.0507455	0.0744001	0.9460756	0.9149699
350	0.1764942	0.6869643	0.0799696	0.5277564	0.2968487	0.8238652	0.0270418	0.0725974	0.8154308	0.7122776
400	0.1367540	0.7408438	0.0895666	0.4585505	0.2593211	0.8949352	0.0196521	0.0764925	0.6931670	0.7946305
450	0.1802414	0.6547528	0.1353067	0.5764227	0.2222725	0.8098554	0.0416948	0.0510391	0.7382986	0.6636920
500	0.1248278	0.6654746	0.0811946	0.5872668	0.2913877	0.5786704	0.0409303	0.1146736	0.6527740	0.7303446
550	0.1412761	0.7549051	0.0621187	0.4939144	0.2485458	0.4828630	0.2053590	0.3186990	0.8016409	0.7352594
600	0.1482257	0.7377315	0.0767783	0.4742188	0.1801736	0.3711560	0.2288274	0.5049434	0.6713397	0.8841285
650	0.1894227	0.8170348	0.1169628	0.4339563	0.1578089	0.2903981	0.1602839	0.4479980	0.7314096	0.7859591
700	0.1071505	0.7143546	0.1132815	0.3166637	0.0415477	0.2509042	0.2238591	0.4012198	0.6638935	0.8482992
750	0.2688596	0.7232503	0.1266596	0.2808704	0.0625807	0.2750999	0.1737393	0.4355984	0.7570077	0.7103365
800	0.1001773	0.8349639	0.1513199	0.2649467	0.0664130	0.2596866	0.2400770	0.4569726	0.7071388	0.8450534
850	0.1515964	0.7548837	0.2399254	0.2835878	0.0714491	0.2415970	0.1428317	0.3952805	0.6958759	0.7828902
900	0.1322663	0.8240849	0.2030458	0.3126361	0.0328997	0.2410575	0.1806475	0.4288946	0.7089555	0.7354495
950	0.1493211	0.7250130	0.2396429	0.2490685	0.0296479	0.3401926	0.2048686	0.5168504	0.6448681	0.7250970
1000	0.1669716	0.8387486	0.2406254	0.2326844	0.0585259	0.3512071	0.1851401	0.4446039	0.7183037	0.8688346

0	0.1388799	0.7377621	0.2210695	0.2201782	0.0880144	0.4055865	0.1573185	0.4417827	0.7015594	0.7432652
50	0.0524163	0.6935625	0.1699534	0.2837410	0.0615074	0.2038232	0.1616861	0.3435831	0.7308176	0.8207871
100	0.0425468	0.7834135	0.1793373	0.2101635	0.0179352	0.1391386	0.1334521	0.2932404	0.8554738	0.8040975
150	0.0362276	0.8429555	0.1618752	0.2137970	0.0437589	0.1366208	0.2043006	0.2609615	0.6570282	0.8851629
200	0.0341922	0.7452871	0.2368519	0.1724774	0.0172338	0.1244133	0.2083276	0.2630485	0.7328927	0.8412714
250	0.0421141	0.6569446	0.3846825	0.1589050	0.0230380	0.1167759	0.2127403	0.4099279	0.7670626	0.8094062
300	0.0329033	0.7983797	0.2764924	0.1960419	0.0621319	0.1226900	0.1306022	0.2511762	0.8635621	0.6232788
350	0.0370131	0.7425435	0.2915319	0.1116813	0.0405872	0.0974760	0.1970859	0.2583508	0.7724674	0.7930638
400	0.0234164	0.7911927	0.4471776	0.1302040	0.0120217	0.1224405	0.1888694	0.2679986	0.7605204	0.7685836
450	0.0310824	0.7684275	0.3248934	0.2212447	0.0471103	0.1902190	0.2622520	0.3034330	0.7510671	0.7071694
500	0.0610286	0.6689121	0.2647236	0.1768826	0.0377684	0.1411674	0.1961617	0.3366852	0.6784398	0.8533787
550	0.1250101	0.7542191	0.3329537	0.1771076	0.0209781	0.2092148	0.1628491	0.4751152	0.6513201	0.7066272
600	0.1543781	0.6763889	0.3416851	0.1786159	0.0213630	0.3105803	0.1847575	0.3474235	0.7359109	0.7267609
650	0.1796742	0.7306665	0.3466564	0.2036520	0.0461440	0.2016280	0.1710012	0.4364989	0.6156503	0.6666149
700	0.1514508	0.7364438	0.2597181	0.2909829	0.0515681	0.3220065	0.1589152	0.4729599	0.7203007	0.8176742
750	0.1561151	0.7601345	0.2771842	0.3142674	0.0361957	0.2619674	0.2198249	0.5683612	0.6905307	0.6978563
800	0.1775119	0.6550385	0.1774761	0.2407907	0.0688784	0.3085693	0.1444806	0.4310727	0.6018993	0.8463844
850	0.1829624	0.6513769	0.1408071	0.3000816	0.1033813	0.2549462	0.2237046	0.3882443	0.6832551	0.6945173
900	0.1806016	0.9767828	0.1260690	0.3154948	0.0436024	0.2041674	0.1386956	0.4169403	0.7259818	0.7758530
950	0.1240001	0.7310764	0.1797688	0.2786147	0.0807595	0.2891969	0.1261580	0.5176965	0.7000218	0.6599160
1000	0.2427669	0.6170950	0.1959763	0.3000443	0.0539563	0.3535066	0.1880755	0.4389247	0.7123627	0.7895757
