Dionesus-rank	RandomForest-rank	Lasso-rank	range	mean-rank	median-rank	sd-rank	regulator-target	tp	index	Edge	Lag	Lag_list	Sign	parent	child	name_x	parent_cluster	name_y	child_cluster	Source	Target	moduleID	window_size	min_lag	max_lag	total_edges	pr	roc
39	7	35	(7, 39)	27.0	35.0	17.435595774162696	('gadw', 'hded')	False												gadw	hded	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
43	46	7	(7, 46)	32.0	43.0	21.702534414210707	('torr', 'hded')	False												torr	hded	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
14	10	80	(10, 80)	34.666666666666664	14.0	39.31072796748152	('gadw', 'cyoe')	False												gadw	cyoe	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
37	53	23	(23, 53)	37.666666666666664	37.0	15.01110699893027	('torr', 'gady')	False												torr	gady	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
34	51	32	(32, 51)	39.0	34.0	10.44030650891055	('torr', 'yhid')	True	2770.0	('torr', 'yhid')	10.0	[(0, 0.3720060607875329, 1.3124707494953724e-05), (10, 0.74229837528481624, 1.1402759046661609e-11), (20, 0.6193827167159407, 2.7981185285876569e-07), (30, 0.54437269714683145, 9.2369614797686991e-07), (60, 0.5669696764029597, 0.00058100901447364261), (90, -0.28714400379740679, 0.28089026451484556)]	['+']	torr	yhid	torr	11.0	yhid	11.0	torr	yhid	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
44	47	31	(31, 47)	40.666666666666664	44.0	8.504900548115383	('torr', 'cada')	False												torr	cada	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
60	37	37	(37, 60)	44.666666666666664	37.0	13.279056191361391	('idnr', 'idnk')	True	1880.0	('idnr', 'idnk')		[(0, 0.095344556913733683, 0.2805626672145709), (10, 0.047883457582415009, 0.71637343600702619), (20, 0.22139411568654901, 0.09791091226379324), (30, 0.14730874683266465, 0.22023091834315309), (60, 0.34974245215891181, 0.046025289394630339), (90, 0.091583640560575025, 0.73586946686247456)]	['+']	idnr	idnk	idnr	62.0	idnk	62.0	idnr	idnk	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
26	85	24	(24, 85)	45.0	26.0	34.655446902326915	('idnr', 'hns')	False												idnr	hns	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
7	73	55	(7, 73)	45.0	55.0	34.11744421846396	('gadw', 'hdea')	True	1776.0	('gadw', 'hdea')	0.0	[(0, 0.55025348871511748, 1.189196750769833e-11), (10, 0.49747056255031719, 5.2584156578894249e-05), (20, 0.44990219310493051, 0.00044608606521273137), (30, 0.52656340621244357, 2.3958599524074671e-06), (60, 0.6732091751793059, 1.7624440673982737e-05), (90, 0.69396067289760266, 0.00286263113255053)]	['+-']	gadw	hdea	gadw	59.0	hdea	59.0	gadw	hdea	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
76	62	3	(3, 76)	47.0	62.0	38.742741255621034	('idnr', 'cyoa')	False												idnr	cyoa	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
41	25	77	(25, 77)	47.666666666666664	41.0	26.633312473917574	('gadx', 'cyob')	False												gadx	cyob	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
33	72	41	(33, 72)	48.666666666666664	41.0	20.5993527406405	('torr', 'mdte')	False												torr	mdte	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
54	32	61	(32, 61)	49.0	54.0	15.132745950421556	('idnr', 'amtb')	False												idnr	amtb	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
68	76	10	(10, 76)	51.333333333333336	68.0	36.0185137579736	('torr', 'idnt')	False												torr	idnt	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
42	82	39	(39, 82)	54.333333333333336	42.0	24.006943440041116	('torr', 'cadb')	False												torr	cadb	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
91	50	29	(29, 91)	56.666666666666664	50.0	31.533051443419385	('idnr', 'ybas')	False												idnr	ybas	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
25	9	143	(9, 143)	59.0	25.0	73.18469785412795	('gadw', 'asnb')	False												gadw	asnb	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
29	18	132	(18, 132)	59.666666666666664	29.0	62.88349014911095	('gadw', 'btub')	False												gadw	btub	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
106	55	18	(18, 106)	59.666666666666664	55.0	44.185216230469365	('torr', 'btub')	False												torr	btub	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
57	61	65	(57, 65)	61.0	61.0	4.0	('gadx', 'asnb')	True	1783.0	('gadx', 'asnb')	30.0	[(0, 0.28875572451400222, 0.00086289349066764724), (10, 0.28597250166704563, 0.02675881029365058), (20, 0.4722700606081961, 0.00020802972165770764), (30, 0.56417433010248541, 2.9950261514963717e-07), (60, 0.10295841779686543, 0.56856615957694401), (90, 0.14643772598307148, 0.58839179839188072)]	['+']	gadx	asnb	gadx	11.0	asnb	11.0	gadx	asnb	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
70	74	40	(40, 74)	61.333333333333336	70.0	18.58314648635514	('gade', 'gada')	False												gade	gada	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
63	34	91	(34, 91)	62.666666666666664	63.0	28.5014619508076	('gadx', 'btub')	True	1784.0	('gadx', 'btub')		[(0, -0.33341899472430614, 0.00010602757150718766), (10, -0.28104075663623124, 0.029616207916412673), (20, -0.060804257159721486, 0.65320958325494649), (30, 0.15020421398455142, 0.21119536538449929), (60, -0.45449925980424177, 0.0078799664577408075), (90, -0.23949139788434148, 0.37166474255147874)]	['-']	gadx	btub	gadx	11.0	btub	11.0	gadx	btub	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
9	13	171	(9, 171)	64.33333333333333	13.0	92.39769116884541	('torr', 'tord')	True	2769.0	('torr', 'tord')	10.0	[(0, 0.43898760978717172, 1.7453982524172354e-07), (10, 0.74972795051794994, 5.4711823082271293e-12), (20, 0.58343519988283299, 1.9070218801178872e-06), (30, 0.38950361834089064, 0.00078677837705311759), (60, 0.098460228193191987, 0.58566449415526445), (90, 0.051169465884240567, 0.85072227715999671)]	['+']	torr	tord	torr	11.0	tord	11.0	torr	tord	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
77	64	68	(64, 77)	69.66666666666667	68.0	6.6583281184793925	('gadw', 'idnk')	False												gadw	idnk	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
0	24	185	(0, 185)	69.66666666666667	24.0	100.59986746180797	('idnr', 'gntk')	True	1877.0	('idnr', 'gntk')		[(0, 0.17705042867208795, 0.043890210503357036), (10, 0.065337615109545791, 0.61990348947783003), (20, -0.038842137223093876, 0.77421715634872079), (30, -0.0011799730251483478, 0.99220786517985282), (60, 0.11081764897072566, 0.53924940730123416), (90, 0.02009834836175305, 0.94110682680074564)]	['-']	idnr	gntk	idnr	62.0	gntk	62.0	idnr	gntk	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
53	145	26	(26, 145)	74.66666666666667	53.0	62.388567328744884	('torr', 'cyoa')	False												torr	cyoa	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
31	30	163	(30, 163)	74.66666666666667	31.0	76.50054466037045	('gadw', 'hns')	False												gadw	hns	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
36	26	165	(26, 165)	75.66666666666667	36.0	77.5263396100534	('gadx', 'ybat')	True	1803.0	('gadx', 'ybat')	0.0	[(0, 0.54779306830754526, 1.5296859341059886e-11), (10, 0.45804549393210786, 0.00023319515356179946), (20, 0.2634884443494977, 0.047661962172395399), (30, 0.13773208713717894, 0.25203512023478081), (60, 0.7086055319918444, 3.9402463463589524e-06), (90, 0.70261573923899889, 0.002402990794257986)]	['+']	gadx	ybat	gadx	11.0	ybat	11.0	gadx	ybat	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
46	35	150	(35, 150)	77.0	46.0	63.45864795282043	('torr', 'slp')	False												torr	slp	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
47	23	162	(23, 162)	77.33333333333333	47.0	74.29894570808749	('torr', 'ybas')	False												torr	ybas	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
69	96	67	(67, 96)	77.33333333333333	69.0	16.19670748434179	('gadw', 'idno')	False												gadw	idno	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
89	102	42	(42, 102)	77.66666666666667	89.0	31.56474826976026	('torr', 'idnk')	False												torr	idnk	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
21	43	174	(21, 174)	79.33333333333333	43.0	82.71839779234928	('gadw', 'lon')	False												gadw	lon	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
49	38	154	(38, 154)	80.33333333333333	49.0	64.03384521745772	('gadw', 'cyoa')	False												gadw	cyoa	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
32	114	97	(32, 114)	81.0	97.0	43.278170016764804	('gadw', 'cyob')	False												gadw	cyob	torr	3	1	2	70	0.4870668863623761	0.6497695852534561
