Dionesus-rank	Lasso-rank	RandomForest-rank	range	mean-rank	median-rank	sd-rank	regulator-target	tp	index	Edge	Lag	Lag_list	Sign	parent	child	name_x	parent_cluster	name_y	child_cluster	Source	Target	moduleID	window_size	min_lag	max_lag	total_edges	pr	roc
819	917	566	(566, 917)	767.3333333333334	819.0	181.11414448720822	('fis', 'pqib')	False												fis	pqib	0	5	0	0	125	0.12444175533328364	0.4722455726092105
853	810	648	(648, 853)	770.3333333333334	810.0	108.10334561581955	('rob', 'marr')	True	189.0	('rob', 'marr')		[(0, 0.050852564479329322, 0.5655750480533408), (10, 0.085687391139618152, 0.51506694753238635), (20, -0.023007520307560345, 0.86510681034223391), (30, 0.059983720233862503, 0.61925377291903372), (60, -0.1421238318932104, 0.43012600512363353), (90, -0.24923784705524529, 0.3519108166225739)]	['+']	rob	marr	rob	0.0	marr	27.0	rob	marr	0	5	0	0	125	0.12444175533328364	0.4722455726092105
717	779	822	(717, 822)	772.6666666666666	779.0	52.78573039499722	('mara', 'acra')	True	2068.0	('mara', 'acra')		[(0, -0.025332543009440267, 0.77480787213773605), (10, -0.42358734615696758, 0.00074528728498257971), (20, -0.30336356297652911, 0.021793185034086195), (30, 0.14546196601856412, 0.22613369804133829), (60, 0.25358430286369671, 0.15445823148552498), (90, 0.72608268746350602, 0.0014488448673489309)]	['+']	mara	acra	mara	0.0	acra	27.0	mara	acra	0	5	0	0	125	0.12444175533328364	0.4722455726092105
840	743	736	(736, 840)	773.0	743.0	58.12916651733448	('soxr', 'ptsg')	False												soxr	ptsg	0	5	0	0	125	0.12444175533328364	0.4722455726092105
761	723	836	(723, 836)	773.3333333333334	761.0	57.50072463311513	('rob', 'flda')	False												rob	flda	0	5	0	0	125	0.12444175533328364	0.4722455726092105
537	851	935	(537, 935)	774.3333333333334	851.0	209.78401591478158	('puta', 'mara')	False												puta	mara	0	5	0	0	125	0.12444175533328364	0.4722455726092105
860	591	872	(591, 872)	774.3333333333334	860.0	158.8846541782224	('puta', 'ynce')	False												puta	ynce	0	5	0	0	125	0.12444175533328364	0.4722455726092105
728	799	802	(728, 802)	776.3333333333334	799.0	41.88476254359494	('lrp', 'pura')	False												lrp	pura	0	5	0	0	125	0.12444175533328364	0.4722455726092105
591	945	798	(591, 945)	778.0	798.0	177.84543851333382	('lrp', 'fnr')	False												lrp	fnr	0	5	0	0	125	0.12444175533328364	0.4722455726092105
650	898	789	(650, 898)	779.0	789.0	124.30205147140573	('puta', 'ybjc')	False												puta	ybjc	0	5	0	0	125	0.12444175533328364	0.4722455726092105
712	826	799	(712, 826)	779.0	799.0	59.57348403442592	('crp', 'putp')	True	796.0	('crp', 'putp')		[(0, 0.20496810313028455, 0.019318944445962282), (10, 0.23044479853332644, 0.076495180326674794), (20, 0.22230177641907969, 0.096507337384447028), (30, 0.1211878103883018, 0.31406079590876751), (60, 0.18631880670613149, 0.2991880752063657), (90, 0.11350720326650725, 0.6755404777748546)]	['-']	crp	putp	crp	1.0	putp	0.0	crp	putp	0	5	0	0	125	0.12444175533328364	0.4722455726092105
962	573	804	(573, 962)	779.6666666666666	804.0	195.6382716477871	('oxyr', 'poxb')	False												oxyr	poxb	0	5	0	0	125	0.12444175533328364	0.4722455726092105
955	506	878	(506, 955)	779.6666666666666	878.0	240.10900302432088	('fis', 'slp')	False												fis	slp	0	5	0	0	125	0.12444175533328364	0.4722455726092105
723	697	920	(697, 920)	780.0	723.0	121.93850909372314	('basr', 'marb')	False												basr	marb	0	5	0	0	125	0.12444175533328364	0.4722455726092105
934	557	850	(557, 934)	780.3333333333334	850.0	197.9200175154937	('phop', 'hdeb')	False												phop	hdeb	0	5	0	0	125	0.12444175533328364	0.4722455726092105
882	829	631	(631, 882)	780.6666666666666	829.0	132.29638443031362	('fis', 'aslb')	False												fis	aslb	0	5	0	0	125	0.12444175533328364	0.4722455726092105
902	483	960	(483, 960)	781.6666666666666	902.0	260.2735740203629	('phop', 'nfsa')	False												phop	nfsa	0	5	0	0	125	0.12444175533328364	0.4722455726092105
523	867	967	(523, 967)	785.6666666666666	867.0	232.90627585647692	('lrp', 'fpr')	False												lrp	fpr	0	5	0	0	125	0.12444175533328364	0.4722455726092105
645	763	953	(645, 953)	787.0	763.0	155.3962676514465	('phop', 'fnr')	False												phop	fnr	0	5	0	0	125	0.12444175533328364	0.4722455726092105
589	962	810	(589, 962)	787.0	810.0	187.5606568553224	('phop', 'fldb')	False												phop	fldb	0	5	0	0	125	0.12444175533328364	0.4722455726092105
855	862	645	(645, 862)	787.3333333333334	855.0	123.31396244275557	('phop', 'arca')	False												phop	arca	0	5	0	0	125	0.12444175533328364	0.4722455726092105
748	670	945	(670, 945)	787.6666666666666	748.0	141.72626197474247	('puta', 'yhid')	False												puta	yhid	0	5	0	0	125	0.12444175533328364	0.4722455726092105
436	964	963	(436, 964)	787.6666666666666	963.0	304.552677435831	('phop', 'fur')	False												phop	fur	0	5	0	0	125	0.12444175533328364	0.4722455726092105
854	588	923	(588, 923)	788.3333333333334	854.0	176.8907384046246	('lrp', 'fur')	False												lrp	fur	0	5	0	0	125	0.12444175533328364	0.4722455726092105
561	889	919	(561, 919)	789.6666666666666	889.0	198.59842228309202	('phop', 'riba')	False												phop	riba	0	5	0	0	125	0.12444175533328364	0.4722455726092105
908	613	854	(613, 908)	791.6666666666666	854.0	157.0679258579973	('marr', 'cpxr')	False												marr	cpxr	0	5	0	0	125	0.12444175533328364	0.4722455726092105
767	695	916	(695, 916)	792.6666666666666	767.0	112.71350111381214	('fis', 'inaa')	False												fis	inaa	0	5	0	0	125	0.12444175533328364	0.4722455726092105
820	722	838	(722, 838)	793.3333333333334	820.0	62.428625912583826	('rob', 'mara')	True	188.0	('rob', 'mara')		[(0, 0.090951714452967264, 0.30341941615089851), (10, 0.053942458863896994, 0.68228639363272248), (20, -0.050923452379572381, 0.70677547623707193), (30, 0.11754606213226014, 0.32893076399318322), (60, -0.18110004852446682, 0.31316748502220726), (90, -0.28078159559951588, 0.29215715026779343)]	['+']	rob	mara	rob	0.0	mara	0.0	rob	mara	0	5	0	0	125	0.12444175533328364	0.4722455726092105
874	846	661	(661, 874)	793.6666666666666	846.0	115.7425303565346	('puta', 'tolc')	False												puta	tolc	0	5	0	0	125	0.12444175533328364	0.4722455726092105
805	798	784	(784, 805)	795.6666666666666	798.0	10.692676621563628	('mara', 'ynce')	True	2093.0	('mara', 'ynce')		[(0, 0.19357602060701229, 0.027334613872730961), (10, 0.19019873601528597, 0.14550161556750876), (20, 0.25594066230286139, 0.054650966210806354), (30, 0.40715869604634414, 0.00042527622265191626), (60, 0.20415390184179122, 0.25444995301416534), (90, 0.54561858832898613, 0.028804482373056366)]	['+']	mara	ynce	mara	0.0	ynce	0.0	mara	ynce	0	5	0	0	125	0.12444175533328364	0.4722455726092105
868	665	859	(665, 868)	797.3333333333334	859.0	114.69234208670314	('puta', 'pgi')	False												puta	pgi	0	5	0	0	125	0.12444175533328364	0.4722455726092105
914	716	763	(716, 914)	797.6666666666666	763.0	103.4520823054487	('mara', 'flda')	False												mara	flda	0	5	0	0	125	0.12444175533328364	0.4722455726092105
701	927	768	(701, 927)	798.6666666666666	768.0	116.07899609030625	('mara', 'pqib')	True	2081.0	('mara', 'pqib')		[(0, 0.11851641666224343, 0.17927767438409115), (10, -0.063934815221763516, 0.6274520889216344), (20, 0.016254788792319588, 0.90447522266618097), (30, 0.13980803776340492, 0.24488838878942862), (60, 0.083771418190066921, 0.6430125425394726), (90, 0.57799835186675419, 0.019021327828859447)]	['+']	mara	pqib	mara	0.0	pqib	0.0	mara	pqib	0	5	0	0	125	0.12444175533328364	0.4722455726092105
924	594	882	(594, 924)	800.0	882.0	179.63295911385526	('lrp', 'ptsg')	False												lrp	ptsg	0	5	0	0	125	0.12444175533328364	0.4722455726092105
